Date,Open,High,Low,Close,Adj Close,Volume
22/11/1991,4.44,4.47,4.42,4.44,0.84,6522750
25/11/1991,4.44,4.44,4.42,4.44,0.84,868950
26/11/1991,4.44,4.44,4.44,4.44,0.84,165150
27/11/1991,4.44,4.44,4.42,4.44,0.84,93600
29/11/1991,4.44,4.44,4.42,4.44,0.84,151650
02/12/1991,4.44,4.44,4.39,4.42,0.83,420300
03/12/1991,4.42,4.44,4.39,4.42,0.83,154800
04/12/1991,4.44,4.44,4.42,4.42,0.83,189450
05/12/1991,4.42,4.42,4.42,4.42,0.83,173700
06/12/1991,4.42,4.42,4.39,4.39,0.83,270450
09/12/1991,4.39,4.42,4.39,4.39,0.83,54450
10/12/1991,4.39,4.42,4.39,4.39,0.83,177750
11/12/1991,4.33,4.39,4.28,4.39,0.83,302850
12/12/1991,4.39,4.39,4.36,4.39,0.83,72900
13/12/1991,4.39,4.42,4.39,4.39,0.83,157950
16/12/1991,4.42,4.42,4.39,4.39,0.83,49500
17/12/1991,4.42,4.42,4.39,4.42,0.83,63450
18/12/1991,4.42,4.42,4.39,4.42,0.83,24300
19/12/1991,4.39,4.44,4.39,4.44,0.84,62100
20/12/1991,4.44,4.47,4.44,4.44,0.84,137700
23/12/1991,4.44,4.56,4.44,4.56,0.86,158850
24/12/1991,4.56,4.56,4.5,4.53,0.85,62550
26/12/1991,4.56,4.64,4.56,4.61,0.87,83700
27/12/1991,4.61,4.61,4.56,4.58,0.86,183150
30/12/1991,4.61,4.61,4.58,4.58,0.86,101700
31/12/1991,4.61,4.78,4.61,4.78,0.9,126000
02/01/1992,4.75,4.83,4.69,4.78,0.9,173250
03/01/1992,4.78,4.86,4.78,4.81,0.91,215100
06/01/1992,4.83,5.0,4.83,4.92,0.93,198000
07/01/1992,4.92,5.03,4.92,4.94,0.93,434250
08/01/1992,4.94,4.97,4.92,4.94,0.93,131850
09/01/1992,4.94,4.94,4.92,4.92,0.93,149400
10/01/1992,4.92,5.0,4.92,5.0,0.94,184500
13/01/1992,4.97,5.03,4.97,5.0,0.94,92700
14/01/1992,5.0,5.08,5.0,5.08,0.96,153000
15/01/1992,5.06,5.14,5.06,5.14,0.97,106200
16/01/1992,5.19,5.22,5.14,5.14,0.97,73350
17/01/1992,5.11,5.17,5.11,5.17,0.97,116100
20/01/1992,5.17,5.19,5.14,5.14,0.97,60300
21/01/1992,5.14,5.19,5.14,5.17,0.97,37800
22/01/1992,5.14,5.19,5.14,5.17,0.97,36000
23/01/1992,5.14,5.19,5.14,5.17,0.97,50850
24/01/1992,5.14,5.19,5.11,5.17,0.98,44100
27/01/1992,5.17,5.17,5.11,5.14,0.97,35550
28/01/1992,5.19,5.19,5.14,5.19,0.99,31500
29/01/1992,5.28,5.36,5.22,5.22,0.99,222750
30/01/1992,5.22,5.25,5.22,5.25,1.0,224550
31/01/1992,5.22,5.28,5.22,5.25,1.0,32850
03/02/1992,5.25,5.33,5.22,5.28,1.0,148500
04/02/1992,5.28,5.42,5.28,5.33,1.01,55800
05/02/1992,5.33,5.39,5.33,5.39,1.02,30600
06/02/1992,5.39,5.47,5.39,5.39,1.02,129150
07/02/1992,5.39,5.47,5.39,5.44,1.03,152550
10/02/1992,5.44,5.5,5.42,5.44,1.03,49500
11/02/1992,5.5,5.5,5.42,5.42,1.03,37800
12/02/1992,5.39,5.42,5.36,5.42,1.03,321300
13/02/1992,5.39,5.39,5.33,5.36,1.02,263700
14/02/1992,5.33,5.36,5.33,5.36,1.02,41400
18/02/1992,5.39,5.39,5.33,5.33,1.01,26100
19/02/1992,5.33,5.33,5.31,5.31,1.01,36450
20/02/1992,5.25,5.31,5.25,5.28,1.0,138600
21/02/1992,5.25,5.28,5.25,5.28,1.0,4950
24/02/1992,5.28,5.31,5.28,5.31,1.01,117000
25/02/1992,5.31,5.33,5.28,5.33,1.01,65700
26/02/1992,5.31,5.31,5.28,5.28,1.0,101250
27/02/1992,5.33,5.39,5.33,5.39,1.02,96750
28/02/1992,5.36,5.36,5.33,5.33,1.01,5850
02/03/1992,5.39,5.47,5.39,5.47,1.04,162450
03/03/1992,5.53,5.64,5.53,5.56,1.05,96300
04/03/1992,5.58,5.64,5.56,5.58,1.06,43650
05/03/1992,5.56,5.58,5.44,5.44,1.03,31950
06/03/1992,5.47,5.47,5.33,5.36,1.02,174150
09/03/1992,5.36,5.53,5.36,5.44,1.03,29700
10/03/1992,5.47,5.47,5.39,5.39,1.02,503550
11/03/1992,5.42,5.42,5.39,5.39,1.02,13500
12/03/1992,5.44,5.44,5.36,5.36,1.02,23400
13/03/1992,5.36,5.42,5.36,5.42,1.03,311400
