Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,17.56,17.95,17.53,17.95,6.19,626217
03/01/1990,17.98,17.98,17.83,17.89,6.17,749291
04/01/1990,17.86,17.98,17.8,17.86,6.16,439729
05/01/1990,17.8,17.86,17.62,17.74,6.11,712578
08/01/1990,17.74,17.92,17.71,17.92,6.18,495634
09/01/1990,17.8,17.83,17.5,17.53,6.04,1028398
10/01/1990,17.47,17.53,17.14,17.26,5.95,702565
11/01/1990,17.26,17.35,17.11,17.26,5.95,650832
12/01/1990,17.08,17.17,16.96,17.05,5.88,859015
15/01/1990,16.99,16.99,16.84,16.84,5.8,892808
16/01/1990,16.78,16.96,16.66,16.9,5.83,1527369
17/01/1990,16.9,16.9,16.78,16.87,5.82,1410136
18/01/1990,16.81,16.84,16.72,16.81,5.79,933694
19/01/1990,16.84,16.84,16.75,16.78,5.78,995856
22/01/1990,16.87,16.87,16.27,16.3,5.62,952468
23/01/1990,16.33,16.33,15.97,16.24,5.6,1638762
24/01/1990,16.18,16.18,15.7,15.91,5.48,1401792
25/01/1990,15.97,16.15,15.76,15.79,5.44,491462
26/01/1990,15.73,16.0,15.67,15.85,5.46,827308
29/01/1990,15.85,15.85,15.58,15.73,5.42,443066
30/01/1990,15.73,15.76,15.49,15.58,5.37,505646
31/01/1990,15.7,15.79,15.64,15.79,5.44,568226
01/02/1990,15.82,15.88,15.76,15.76,5.43,768065
02/02/1990,15.7,15.88,15.7,15.76,5.43,482700
05/02/1990,15.82,15.82,15.73,15.73,5.42,384241
06/02/1990,15.67,15.73,15.61,15.7,5.41,382990
07/02/1990,15.64,15.85,15.58,15.85,5.46,393837
08/02/1990,15.79,15.97,15.76,15.91,5.48,637482
09/02/1990,15.91,16.27,15.91,16.27,5.61,735524
12/02/1990,16.24,16.24,16.03,16.03,5.53,667520
13/02/1990,15.97,16.0,15.82,15.82,5.45,1053013
14/02/1990,15.82,16.09,15.82,16.0,5.52,333343
15/02/1990,16.03,16.33,16.0,16.21,5.59,392585
16/02/1990,16.27,16.3,16.24,16.24,5.6,559882
20/02/1990,16.18,16.24,16.09,16.09,5.55,490627
21/02/1990,15.76,15.79,15.4,15.52,5.35,2308785
22/02/1990,15.43,15.46,14.86,14.95,5.15,3057242
23/02/1990,14.92,15.16,14.92,15.04,5.19,1373422
26/02/1990,14.98,15.07,14.92,15.04,5.19,912834
27/02/1990,15.1,15.16,14.74,14.8,5.1,1980031
28/02/1990,14.8,15.07,14.8,15.07,5.2,1022974
01/03/1990,15.01,15.22,14.95,15.22,5.25,900318
02/03/1990,15.28,15.37,15.16,15.31,5.28,637064
05/03/1990,15.1,15.34,15.07,15.25,5.31,345859
06/03/1990,15.37,15.46,15.25,15.4,5.37,705068
07/03/1990,15.37,15.43,15.22,15.28,5.32,843578
08/03/1990,15.28,15.58,15.28,15.46,5.39,604106
09/03/1990,15.43,15.55,15.4,15.52,5.41,490627
12/03/1990,15.55,15.61,15.49,15.58,5.43,385910
13/03/1990,15.58,15.58,15.46,15.46,5.39,671692
14/03/1990,15.4,15.49,15.37,15.46,5.39,481449
15/03/1990,15.43,15.46,15.31,15.31,5.33,469767
16/03/1990,15.4,15.55,15.34,15.55,5.42,771820
19/03/1990,15.46,15.52,15.34,15.37,5.36,769734
20/03/1990,15.31,15.43,15.25,15.28,5.32,338766
21/03/1990,15.25,15.34,15.22,15.22,5.3,442649
22/03/1990,15.25,15.28,15.1,15.1,5.26,714246
23/03/1990,15.22,15.37,15.04,15.25,5.31,896146
26/03/1990,15.28,15.4,15.28,15.34,5.35,423875
27/03/1990,15.43,15.43,15.19,15.37,5.36,667103
28/03/1990,15.31,15.43,15.31,15.43,5.38,371725
29/03/1990,15.37,15.55,15.37,15.52,5.41,510653
30/03/1990,15.49,15.55,15.37,15.49,5.4,573650
02/04/1990,15.43,15.46,15.34,15.4,5.37,282862
03/04/1990,15.46,15.91,15.46,15.91,5.54,960394
04/04/1990,16.0,16.12,15.76,15.76,5.49,872365
05/04/1990,15.76,15.79,15.67,15.67,5.46,733855
