Date,Open,High,Low,Close,Adj Close,Volume
11/02/2011,31.7,32.14,30.75,31.05,16.58,50610600
14/02/2011,31.05,31.3,30.7,30.7,16.39,6275900
15/02/2011,30.9,31.15,30.73,30.94,16.52,4337800
16/02/2011,31.05,31.44,30.66,30.72,16.4,4627100
17/02/2011,30.68,31.09,30.51,30.55,16.31,3290700
18/02/2011,30.68,31.38,30.4,31.37,16.75,2583800
22/02/2011,31.14,31.43,30.71,30.72,16.4,2454300
23/02/2011,30.76,30.9,30.25,30.42,16.24,2671200
24/02/2011,30.55,30.65,30.3,30.46,16.26,1698000
25/02/2011,30.53,30.75,30.3,30.5,16.28,2225900
28/02/2011,30.57,30.79,30.42,30.5,16.28,2380400
01/03/2011,30.65,30.78,30.23,30.45,16.26,1908000
02/03/2011,30.57,30.69,30.26,30.57,16.32,2197000
03/03/2011,30.68,30.77,30.53,30.77,16.43,1901800
04/03/2011,30.8,30.94,30.66,30.85,16.47,892300
07/03/2011,30.94,31.04,30.7,30.9,16.5,1049600
08/03/2011,30.8,31.04,30.8,30.97,16.54,827400
09/03/2011,30.9,30.98,30.74,30.75,16.42,294100
10/03/2011,30.71,30.71,29.75,30.1,16.07,2715200
11/03/2011,30.1,30.48,29.97,30.1,16.07,1896900
14/03/2011,30.0,30.22,29.8,29.99,16.01,1967700
15/03/2011,29.81,30.2,29.6,29.88,15.95,1968400
16/03/2011,29.89,30.16,29.76,30.05,16.04,2062200
17/03/2011,30.2,30.41,30.06,30.15,16.1,1511400
18/03/2011,30.21,30.5,30.08,30.5,16.28,1906600
21/03/2011,30.53,31.0,30.4,30.82,16.46,1253000
22/03/2011,30.9,30.98,30.57,30.7,16.39,1014700
23/03/2011,30.53,30.67,29.95,30.02,16.03,2570500
24/03/2011,30.1,30.25,29.9,30.05,16.04,1411600
25/03/2011,30.01,30.09,29.5,29.52,15.76,2687100
28/03/2011,29.74,29.93,29.56,29.62,15.81,1552900
29/03/2011,29.75,29.89,29.54,29.79,15.91,1313800
30/03/2011,29.87,29.89,29.58,29.69,15.85,769700
31/03/2011,29.8,29.87,29.51,29.64,15.83,884400
01/04/2011,29.79,29.85,29.49,29.5,15.75,1869200
04/04/2011,29.44,29.7,29.25,29.44,15.72,1177900
05/04/2011,29.49,29.64,29.0,29.44,15.72,1021200
06/04/2011,29.46,29.49,29.21,29.46,15.73,725100
07/04/2011,29.52,29.56,29.13,29.22,15.6,1226100
08/04/2011,29.22,29.42,29.12,29.33,15.66,934800
11/04/2011,29.3,29.41,29.07,29.25,15.62,1160900
12/04/2011,29.1,29.24,28.27,28.73,15.34,1278100
13/04/2011,28.74,29.02,28.66,28.83,15.39,2766900
14/04/2011,28.79,29.16,28.57,29.12,15.55,785800
15/04/2011,29.11,29.15,28.69,28.88,15.42,863900
18/04/2011,28.79,28.84,28.23,28.52,15.23,882400
19/04/2011,28.59,28.86,28.53,28.78,15.37,1121200
20/04/2011,28.98,29.6,28.79,29.45,15.72,2054000
21/04/2011,29.32,29.93,29.07,29.63,15.82,1516900
25/04/2011,29.81,29.81,29.07,29.36,15.68,604100
26/04/2011,29.54,29.59,29.05,29.12,15.55,1100000
27/04/2011,29.3,29.49,28.75,28.86,15.41,1479600
28/04/2011,28.84,28.95,28.69,28.83,15.47,1041000
29/04/2011,29.04,29.29,28.35,28.58,15.33,1843400
02/05/2011,28.73,28.99,28.38,28.82,15.46,1036600
03/05/2011,28.84,28.89,28.05,28.19,15.12,1158700
04/05/2011,28.2,28.36,27.31,27.96,15.0,2537800
05/05/2011,28.02,28.26,27.41,27.98,15.01,1618300
06/05/2011,28.08,28.41,27.85,28.0,15.02,653600
09/05/2011,28.11,28.45,28.01,28.29,15.18,752100
10/05/2011,28.27,28.69,28.08,28.52,15.3,777800
11/05/2011,28.53,28.63,28.01,28.31,15.19,1400100
12/05/2011,28.2,28.45,27.82,28.45,15.26,1800000
13/05/2011,28.37,28.37,27.75,27.93,14.98,1344100
16/05/2011,28.06,28.48,27.4,27.54,14.78,1737600
17/05/2011,27.6,27.71,26.87,27.5,14.75,2404600
18/05/2011,27.77,27.88,27.42,27.56,14.79,895200
19/05/2011,27.68,28.34,27.53,28.29,15.18,1096500
20/05/2011,28.25,28.9,27.97,28.5,15.29,1535400
23/05/2011,28.41,28.57,28.19,28.33,15.2,2927600
24/05/2011,28.53,29.06,28.47,29.06,15.59,2587700
25/05/2011,28.98,29.28,28.8,29.02,15.57,3304700
26/05/2011,29.1,29.22,28.61,28.69,15.39,1507000
27/05/2011,28.9,29.18,28.5,29.18,15.66,1896600
31/05/2011,29.53,29.76,29.0,29.29,15.71,5489900
01/06/2011,29.4,29.47,28.85,29.0,15.56,1042800
02/06/2011,29.15,29.38,28.44,29.38,15.76,978400
03/06/2011,29.06,29.76,28.73,29.75,15.96,1566400
06/06/2011,29.6,29.77,29.25,29.52,15.84,1402100
07/06/2011,29.58,29.97,29.42,29.79,15.98,1980000
08/06/2011,29.58,29.86,29.46,29.73,15.95,766800
09/06/2011,29.72,29.89,29.64,29.69,15.93,1215900
10/06/2011,29.74,29.85,29.43,29.53,15.84,895800
13/06/2011,29.62,29.93,29.2,29.45,15.8,901900
14/06/2011,29.41,29.86,29.06,29.5,15.83,760200
15/06/2011,29.42,29.65,28.89,29.36,15.75,1149000
16/06/2011,29.4,29.44,29.07,29.21,15.67,792100
17/06/2011,29.36,29.74,29.15,29.7,15.93,2448200
20/06/2011,29.61,29.67,29.4,29.61,15.89,866700
21/06/2011,29.7,29.7,29.34,29.62,15.89,631300
22/06/2011,29.62,29.97,29.45,29.62,15.89,1587400
23/06/2011,29.59,29.59,28.91,29.1,15.61,1963100
24/06/2011,29.19,29.3,28.59,28.6,15.34,11554800
27/06/2011,28.68,28.79,28.22,28.26,15.16,1889000
28/06/2011,28.39,28.67,28.1,28.3,15.18,2235400
29/06/2011,28.48,28.8,28.32,28.4,15.24,1592100
30/06/2011,28.43,28.78,28.31,28.73,15.41,809500
01/07/2011,28.67,29.28,28.37,29.27,15.7,846600
05/07/2011,29.22,29.39,29.04,29.26,15.7,505800
06/07/2011,29.17,29.24,28.92,29.11,15.62,1239500
07/07/2011,29.26,29.45,28.86,28.98,15.55,876300
08/07/2011,28.8,29.33,28.69,28.92,15.52,757500
11/07/2011,28.7,28.74,28.16,28.36,15.22,725400
12/07/2011,28.25,28.37,28.1,28.17,15.11,665900
13/07/2011,28.34,28.48,28.06,28.19,15.12,556800
14/07/2011,28.3,28.41,28.02,28.03,15.04,799600
15/07/2011,28.24,28.63,28.0,28.59,15.34,785100
18/07/2011,28.4,28.41,27.98,28.19,15.12,695200
19/07/2011,28.41,28.49,28.24,28.35,15.21,390100
20/07/2011,28.57,28.93,28.25,28.5,15.29,579000
21/07/2011,28.68,28.87,28.22,28.51,15.3,1277300
22/07/2011,28.55,28.63,28.24,28.36,15.22,1017700
25/07/2011,28.3,28.39,27.48,27.5,14.75,2753000
26/07/2011,27.61,27.74,27.36,27.57,14.79,2921300
27/07/2011,27.27,28.4,27.1,28.18,15.12,3648100
28/07/2011,27.9,28.23,27.64,28.16,15.27,985200
29/07/2011,27.96,28.3,27.8,28.23,15.31,999300
01/08/2011,28.42,28.5,28.12,28.23,15.31,612300
02/08/2011,28.06,28.17,27.64,27.85,15.1,893400
03/08/2011,27.82,27.87,27.25,27.72,15.03,1392600
04/08/2011,27.6,27.6,26.33,26.47,14.35,1813800
05/08/2011,26.47,26.79,24.96,25.92,14.06,3006600
08/08/2011,25.21,25.59,23.66,23.66,12.83,2018900
09/08/2011,24.05,25.96,24.0,25.92,14.06,1689300
10/08/2011,25.58,27.08,25.24,26.05,14.13,1909300
11/08/2011,26.2,27.81,26.18,27.45,14.89,1372400
12/08/2011,27.83,27.99,26.53,26.77,14.52,1136200
15/08/2011,27.19,27.3,26.86,27.08,14.69,676900
16/08/2011,26.89,26.9,26.38,26.5,14.37,646000
17/08/2011,26.66,26.66,26.22,26.28,14.25,672000
18/08/2011,25.99,25.99,24.63,24.82,13.46,3587900
19/08/2011,24.66,25.07,23.78,23.82,12.92,1913900
22/08/2011,24.35,25.31,23.59,23.76,12.88,1543600
23/08/2011,23.93,24.54,23.51,24.54,13.31,1153000
24/08/2011,24.42,24.72,24.07,24.45,13.26,686600
25/08/2011,24.6,24.97,24.45,24.45,13.26,570200
26/08/2011,24.48,24.93,24.01,24.78,13.44,570800
29/08/2011,24.96,25.61,24.7,25.31,13.73,530600
30/08/2011,25.22,25.51,24.92,25.37,13.76,437500
31/08/2011,25.61,26.34,25.44,25.85,14.02,1786100
01/09/2011,25.98,26.06,25.61,25.72,13.95,553700
02/09/2011,25.43,25.47,25.06,25.19,13.66,567100
06/09/2011,24.75,25.44,24.61,25.37,13.76,701000
07/09/2011,25.72,25.89,25.23,25.44,13.8,895700
08/09/2011,25.37,25.73,25.19,25.4,13.77,982600
09/09/2011,25.14,25.36,24.75,24.85,13.48,1141700
12/09/2011,24.64,24.97,24.3,24.96,13.54,945500
13/09/2011,25.09,25.23,24.62,24.97,13.54,1051000
14/09/2011,25.2,25.29,24.76,25.25,13.69,834600
15/09/2011,25.46,25.83,25.34,25.54,13.85,472300
16/09/2011,25.72,25.79,25.22,25.5,13.83,1882700
19/09/2011,25.22,27.31,25.16,26.68,14.47,3781600
20/09/2011,26.89,26.89,26.52,26.7,14.48,849700
21/09/2011,26.84,27.2,26.47,26.55,14.4,1400900
22/09/2011,26.06,26.4,25.34,25.69,13.93,1731800
23/09/2011,25.71,25.85,25.18,25.52,13.84,699700
26/09/2011,25.6,26.35,25.2,26.34,14.28,1366100
27/09/2011,26.88,27.36,26.82,27.03,14.66,1766000
28/09/2011,26.9,27.19,26.56,26.62,14.44,894600
29/09/2011,27.05,27.18,25.85,26.32,14.27,801400
30/09/2011,26.12,26.25,25.72,25.89,14.04,769700
03/10/2011,25.74,25.81,25.0,25.48,13.82,860400
04/10/2011,25.4,26.23,24.66,26.05,14.13,2500000
05/10/2011,26.18,26.7,25.83,26.59,14.42,1193100
06/10/2011,26.57,26.85,26.13,26.7,14.48,795900
07/10/2011,26.84,26.94,26.21,26.34,14.28,446500
10/10/2011,26.87,26.96,26.52,26.87,14.57,785300
