Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.84,1.92,1.83,1.92,1.4,1260800
03/01/1990,1.91,1.94,1.91,1.91,1.39,1176800
04/01/1990,1.91,1.95,1.88,1.91,1.39,1201600
05/01/1990,1.89,2.02,1.89,2.02,1.47,1529600
08/01/1990,2.0,2.02,1.95,1.98,1.45,1774400
09/01/1990,1.98,2.02,1.92,1.94,1.42,1128800
10/01/1990,1.91,1.94,1.88,1.92,1.4,1265600
11/01/1990,1.92,1.95,1.91,1.92,1.4,552800
12/01/1990,1.89,1.91,1.81,1.86,1.36,1166400
15/01/1990,1.84,1.84,1.8,1.81,1.32,916000
16/01/1990,1.78,1.8,1.77,1.78,1.3,778400
17/01/1990,1.78,1.78,1.75,1.75,1.28,2027200
18/01/1990,1.75,1.78,1.75,1.75,1.28,657600
19/01/1990,1.75,1.75,1.66,1.72,1.26,980000
22/01/1990,1.73,1.75,1.66,1.66,1.21,1303200
23/01/1990,1.66,1.67,1.62,1.64,1.2,1486400
24/01/1990,1.62,1.66,1.58,1.64,1.2,1578400
25/01/1990,1.66,1.75,1.61,1.61,1.18,2414400
26/01/1990,1.62,1.64,1.59,1.64,1.2,2024000
29/01/1990,1.66,1.69,1.62,1.66,1.21,1532800
30/01/1990,1.66,1.67,1.59,1.59,1.16,1933600
31/01/1990,1.62,1.64,1.5,1.55,1.13,4949600
01/02/1990,1.55,1.59,1.52,1.58,1.15,2752800
02/02/1990,1.58,1.67,1.56,1.67,1.22,2186400
05/02/1990,1.67,1.69,1.64,1.66,1.21,2348800
06/02/1990,1.66,1.66,1.59,1.61,1.18,1080000
07/02/1990,1.62,1.64,1.59,1.64,1.2,1959200
08/02/1990,1.66,1.7,1.66,1.67,1.22,1406400
09/02/1990,1.69,1.73,1.69,1.69,1.23,4996000
12/02/1990,1.69,1.69,1.58,1.62,1.19,2230400
13/02/1990,1.64,1.66,1.61,1.66,1.21,920800
14/02/1990,1.64,1.66,1.61,1.66,1.21,515200
15/02/1990,1.69,1.73,1.67,1.72,1.26,2139200
16/02/1990,1.72,1.78,1.7,1.73,1.27,1563200
20/02/1990,1.73,1.73,1.67,1.69,1.23,1426400
21/02/1990,1.64,1.66,1.61,1.64,1.2,1560000
22/02/1990,1.64,1.66,1.62,1.62,1.19,914400
23/02/1990,1.61,1.64,1.61,1.61,1.18,436000
26/02/1990,1.62,1.67,1.61,1.66,1.21,872800
27/02/1990,1.62,1.64,1.61,1.62,1.19,632000
28/02/1990,1.61,1.64,1.61,1.62,1.19,622400
01/03/1990,1.64,1.64,1.62,1.62,1.19,1489600
02/03/1990,1.64,1.64,1.61,1.62,1.19,1116000
05/03/1990,1.61,1.62,1.59,1.61,1.18,803200
06/03/1990,1.61,1.62,1.61,1.62,1.19,812800
07/03/1990,1.61,1.67,1.61,1.62,1.19,553600
