Date,Open,High,Low,Close,Adj Close,Volume
29/03/1990,24.7,24.7,24.7,24.7,22.69,978
30/03/1990,25.77,27.38,25.77,27.38,25.15,17972
02/04/1990,24.16,24.16,24.16,24.16,22.19,47
03/04/1990,24.16,24.16,24.16,24.16,22.19,0
04/04/1990,27.38,27.38,27.38,27.38,25.15,47
05/04/1990,27.38,27.38,26.04,26.58,24.41,1723
06/04/1990,26.58,26.58,26.58,26.58,24.41,0
09/04/1990,26.85,26.85,26.85,26.85,24.66,233
10/04/1990,26.85,27.38,24.16,24.97,22.93,10197
11/04/1990,24.16,24.16,23.09,23.63,21.7,4749
12/04/1990,23.63,24.7,23.63,23.63,21.7,233
16/04/1990,23.63,26.31,23.63,26.31,24.17,186
17/04/1990,26.31,26.31,23.63,23.63,21.7,931
18/04/1990,23.63,23.63,23.63,23.63,21.7,93
19/04/1990,23.63,23.63,23.63,23.63,21.7,0
20/04/1990,23.09,23.09,23.09,23.09,21.21,93
23/04/1990,23.09,23.09,23.09,23.09,21.21,0
24/04/1990,23.09,23.09,23.09,23.09,21.21,1723
25/04/1990,23.09,23.09,23.09,23.09,21.21,0
26/04/1990,23.36,23.63,23.36,23.63,21.7,2933
27/04/1990,23.63,23.63,23.09,23.09,21.21,2514
30/04/1990,23.89,23.89,23.89,23.89,21.95,1117
01/05/1990,23.89,23.89,23.89,23.89,21.95,0
02/05/1990,23.63,23.63,23.63,23.63,21.7,47
03/05/1990,23.63,24.16,23.63,23.63,21.7,14434
04/05/1990,23.63,23.89,23.63,23.89,21.95,931
07/05/1990,23.89,24.16,23.63,24.16,22.19,4656
08/05/1990,24.16,24.16,23.63,24.16,22.19,4889
09/05/1990,24.16,24.16,23.63,24.16,22.19,4656
10/05/1990,24.16,24.16,24.16,24.16,22.19,0
11/05/1990,24.16,25.77,23.63,23.63,21.7,3026
14/05/1990,23.63,24.7,23.63,24.7,22.69,1071
15/05/1990,25.77,25.77,25.77,25.77,23.67,1024
16/05/1990,25.77,25.77,23.63,24.7,22.69,466
17/05/1990,23.63,23.63,23.63,23.63,21.7,466
18/05/1990,24.16,26.85,24.16,26.85,24.66,4935
21/05/1990,26.85,26.85,24.7,26.85,24.66,1816
22/05/1990,26.85,26.85,24.7,25.77,23.67,2188
23/05/1990,25.77,25.77,25.77,25.77,23.67,0
24/05/1990,24.7,24.7,24.7,24.7,22.69,140
25/05/1990,25.24,25.77,25.24,25.24,23.18,140
29/05/1990,25.77,26.85,25.77,26.85,24.66,2188
30/05/1990,26.85,27.92,26.85,26.85,24.66,1257
31/05/1990,26.85,27.92,26.85,27.92,25.65,1956
01/06/1990,27.92,27.92,27.92,27.92,25.65,0
04/06/1990,27.92,29.53,27.38,29.53,27.13,6472
05/06/1990,29.53,31.14,28.46,29.53,27.13,5075
06/06/1990,29.53,30.61,29.53,30.07,27.62,20067
07/06/1990,30.07,31.14,29.53,31.14,28.61,140
08/06/1990,31.14,31.14,29.53,29.53,27.13,559
11/06/1990,29.53,30.07,29.53,29.8,27.37,2468
12/06/1990,29.53,29.53,29.53,29.53,27.13,186
13/06/1990,29.53,32.22,29.53,32.22,29.59,3259
14/06/1990,31.68,31.68,30.07,30.61,28.11,2049
15/06/1990,30.61,31.14,30.61,30.61,28.11,559
18/06/1990,30.61,30.61,30.61,30.61,28.11,0
19/06/1990,30.61,32.22,30.61,31.68,29.1,698
20/06/1990,31.68,31.68,30.61,30.61,28.11,13782
21/06/1990,30.61,31.68,30.61,30.61,28.11,10523
22/06/1990,30.61,31.68,30.61,31.68,29.1,18764
25/06/1990,31.68,32.22,30.07,32.22,29.59,22954
26/06/1990,32.22,32.22,32.22,32.22,29.59,0
27/06/1990,31.68,31.68,31.68,31.68,29.1,93
28/06/1990,31.68,31.68,31.68,31.68,29.1,0
29/06/1990,31.68,31.68,29.53,29.53,27.13,4516
02/07/1990,30.07,30.61,30.07,30.07,27.62,20626
03/07/1990,30.61,31.68,30.61,30.61,28.11,1630
05/07/1990,31.14,31.14,31.14,31.14,28.61,279
06/07/1990,31.14,31.14,31.14,31.14,28.61,1397
