Date,Open,High,Low,Close,Adj Close,Volume
06/10/2003,1.9,1.99,1.88,1.97,1.87,3068800
07/10/2003,1.96,2.08,1.96,2.03,1.93,3391200
08/10/2003,2.04,2.04,1.98,2.01,1.91,3191200
09/10/2003,1.99,2.01,1.95,1.95,1.85,1222400
10/10/2003,1.95,1.99,1.89,1.93,1.83,2668000
13/10/2003,1.93,1.93,1.91,1.91,1.82,1512000
14/10/2003,1.92,2.08,1.91,2.04,1.93,2140000
15/10/2003,2.04,2.12,2.0,2.0,1.9,784800
16/10/2003,2.02,2.03,2.0,2.01,1.91,386400
17/10/2003,2.0,2.01,1.98,1.98,1.88,1601600
20/10/2003,2.0,2.0,1.97,1.99,1.89,1348000
21/10/2003,1.99,2.0,1.98,1.99,1.89,884800
22/10/2003,2.0,2.0,1.98,1.98,1.88,710400
23/10/2003,1.97,1.97,1.92,1.94,1.84,918400
24/10/2003,1.93,2.0,1.93,1.99,1.89,1616000
27/10/2003,2.0,2.08,1.97,2.0,1.9,799200
28/10/2003,2.05,2.08,1.96,1.98,1.88,1618400
29/10/2003,1.97,2.03,1.96,2.01,1.91,1645600
30/10/2003,2.01,2.12,2.0,2.08,1.98,1060000
31/10/2003,2.08,2.16,2.08,2.16,2.05,1458400
03/11/2003,2.16,2.23,2.13,2.19,2.08,762400
04/11/2003,2.21,2.21,2.12,2.15,2.05,804000
05/11/2003,2.12,2.13,2.09,2.12,2.02,64800
06/11/2003,2.12,2.12,2.08,2.11,2.0,384000
07/11/2003,2.12,2.12,2.09,2.12,2.02,218400
10/11/2003,2.09,2.14,2.09,2.12,2.01,494400
11/11/2003,2.09,2.12,2.09,2.12,2.02,916000
12/11/2003,2.1,2.15,2.09,2.12,2.02,598400
13/11/2003,2.09,2.12,2.08,2.08,1.97,120800
14/11/2003,2.08,2.1,2.08,2.09,1.99,1995200
17/11/2003,2.09,2.11,2.05,2.05,1.95,1855200
18/11/2003,2.05,2.06,2.04,2.04,1.93,97600
19/11/2003,2.03,2.08,2.03,2.06,1.96,354400
20/11/2003,2.06,2.08,2.03,2.06,1.95,862400
