Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,1.28,1.19,1.25,1.08,931050
03/01/1990,0.0,1.25,1.19,1.22,1.06,381150
04/01/1990,0.0,1.22,1.11,1.11,0.96,962100
05/01/1990,0.0,1.17,1.11,1.11,0.96,429300
08/01/1990,0.0,1.14,1.08,1.11,0.96,490500
09/01/1990,0.0,1.22,1.11,1.17,1.01,1868400
10/01/1990,0.0,1.19,1.14,1.19,1.03,576000
11/01/1990,0.0,1.22,1.14,1.19,1.03,1170900
12/01/1990,0.0,1.19,1.14,1.19,1.03,502650
15/01/1990,0.0,1.19,1.17,1.19,1.03,277200
16/01/1990,0.0,1.28,1.17,1.25,1.08,988200
17/01/1990,0.0,1.28,1.22,1.25,1.08,250200
18/01/1990,0.0,1.25,1.19,1.25,1.08,88650
19/01/1990,0.0,1.28,1.22,1.25,1.08,85950
22/01/1990,0.0,1.31,1.19,1.19,1.03,334350
23/01/1990,0.0,1.25,1.19,1.25,1.08,201150
24/01/1990,0.0,1.22,1.17,1.19,1.03,162000
25/01/1990,0.0,1.22,1.17,1.17,1.01,33750
26/01/1990,0.0,1.19,1.14,1.17,1.01,103500
29/01/1990,0.0,1.19,1.14,1.19,1.03,208350
30/01/1990,0.0,1.19,1.14,1.19,1.03,268200
31/01/1990,0.0,1.22,1.17,1.19,1.03,113400
01/02/1990,0.0,1.25,1.17,1.22,1.06,701100
02/02/1990,0.0,1.28,1.22,1.28,1.1,592200
05/02/1990,0.0,1.28,1.25,1.28,1.1,260550
06/02/1990,0.0,1.25,1.22,1.25,1.08,63900
07/02/1990,0.0,1.28,1.22,1.28,1.1,418950
08/02/1990,0.0,1.31,1.25,1.28,1.1,101250
09/02/1990,0.0,1.42,1.28,1.42,1.22,720900
12/02/1990,0.0,1.53,1.36,1.47,1.27,576900
13/02/1990,0.0,1.5,1.42,1.42,1.22,313200
14/02/1990,0.0,1.47,1.36,1.36,1.18,265500
15/02/1990,0.0,1.44,1.39,1.44,1.25,143100
16/02/1990,0.0,1.44,1.39,1.42,1.22,482400
20/02/1990,0.0,1.39,1.31,1.36,1.18,170550
21/02/1990,0.0,1.47,1.28,1.42,1.22,420300
22/02/1990,0.0,1.5,1.42,1.44,1.25,523350
23/02/1990,0.0,1.5,1.44,1.5,1.3,261450
26/02/1990,0.0,1.5,1.44,1.5,1.3,218700
27/02/1990,0.0,1.5,1.44,1.44,1.25,250200
28/02/1990,0.0,1.47,1.39,1.44,1.25,227250
01/03/1990,0.0,1.5,1.39,1.44,1.25,194400
02/03/1990,0.0,1.44,1.44,1.44,1.25,33300
05/03/1990,0.0,1.47,1.44,1.47,1.27,214650
06/03/1990,0.0,1.5,1.44,1.5,1.3,134550
07/03/1990,0.0,1.5,1.44,1.47,1.27,136800
08/03/1990,0.0,1.5,1.47,1.47,1.27,10350
09/03/1990,0.0,1.5,1.44,1.47,1.27,66150
12/03/1990,0.0,1.47,1.31,1.31,1.13,264600
13/03/1990,0.0,1.36,1.22,1.25,1.08,342000
14/03/1990,0.0,1.31,1.19,1.31,1.13,216450
15/03/1990,0.0,1.31,1.25,1.25,1.08,205200
16/03/1990,0.0,1.33,1.28,1.31,1.13,316350
19/03/1990,0.0,1.33,1.28,1.28,1.1,47250
20/03/1990,0.0,1.42,1.33,1.39,1.2,513000
21/03/1990,0.0,1.44,1.39,1.44,1.25,657000
22/03/1990,0.0,1.53,1.42,1.5,1.3,534150
23/03/1990,0.0,1.53,1.47,1.5,1.3,279450
26/03/1990,1.53,1.64,1.47,1.64,1.42,656100
27/03/1990,1.58,1.69,1.58,1.64,1.42,603900
28/03/1990,1.61,1.64,1.58,1.64,1.42,1009800
29/03/1990,1.61,1.67,1.61,1.61,1.39,313200
30/03/1990,1.61,1.64,1.61,1.64,1.42,453600
02/04/1990,1.61,1.61,1.56,1.56,1.35,189000
03/04/1990,1.61,1.61,1.56,1.61,1.39,263700
04/04/1990,1.58,1.61,1.58,1.58,1.37,177300
05/04/1990,1.58,1.61,1.56,1.61,1.39,442350
06/04/1990,1.58,1.64,1.58,1.58,1.37,219600
09/04/1990,1.61,1.61,1.58,1.61,1.39,60750
10/04/1990,1.58,1.64,1.58,1.61,1.39,376200
11/04/1990,1.64,1.69,1.61,1.61,1.39,918000
12/04/1990,1.61,1.67,1.61,1.64,1.42,539100
16/04/1990,1.67,1.67,1.61,1.64,1.42,142200
17/04/1990,1.67,1.67,1.56,1.61,1.39,333000
18/04/1990,1.58,1.61,1.58,1.61,1.39,147150
19/04/1990,1.58,1.61,1.56,1.61,1.39,271350
20/04/1990,1.56,1.58,1.5,1.53,1.32,94950
23/04/1990,1.47,1.53,1.44,1.47,1.27,228150
24/04/1990,1.47,1.56,1.47,1.47,1.27,793800
25/04/1990,1.47,1.5,1.42,1.47,1.27,334350
26/04/1990,1.5,1.5,1.47,1.47,1.27,11250
27/04/1990,1.5,1.5,1.44,1.5,1.3,91800
30/04/1990,1.5,1.5,1.44,1.44,1.25,8550
01/05/1990,1.44,1.5,1.44,1.47,1.27,19350
02/05/1990,1.5,1.53,1.44,1.53,1.32,214200
03/05/1990,1.56,1.56,1.53,1.53,1.32,33750
