Date,Open,High,Low,Close,Adj Close,Volume
27/07/2007,12.5,14.32,12.46,14.0,14.0,29257200
30/07/2007,14.43,15.93,14.18,14.99,14.99,5767200
31/07/2007,16.0,17.08,15.1,16.07,16.07,4441600
01/08/2007,16.49,16.62,15.2,15.54,15.54,3063600
02/08/2007,16.0,16.92,15.99,16.52,16.52,1969400
03/08/2007,17.23,17.25,15.05,15.5,15.5,2349400
06/08/2007,16.0,16.42,15.05,16.38,16.38,3002200
07/08/2007,16.5,18.51,16.07,18.12,18.12,3980800
08/08/2007,18.5,19.42,18.2,18.88,18.88,4066800
09/08/2007,18.33,18.88,17.25,17.67,17.67,1828200
10/08/2007,17.0,18.1,16.13,18.08,18.08,2232800
13/08/2007,19.0,19.0,18.25,18.44,18.44,962800
14/08/2007,18.5,18.59,16.75,16.75,16.75,2153400
15/08/2007,17.62,17.62,16.06,16.73,16.73,1529200
16/08/2007,15.98,16.69,14.35,16.01,16.01,2732400
17/08/2007,17.5,17.5,15.84,16.47,16.47,1150000
20/08/2007,17.0,17.08,16.0,16.5,16.5,582200
21/08/2007,16.88,17.35,16.15,17.01,17.01,1251000
22/08/2007,17.4,18.0,17.05,17.15,17.15,819400
23/08/2007,17.62,17.62,16.81,16.9,16.9,619000
24/08/2007,17.11,17.25,16.65,17.18,17.18,354200
27/08/2007,17.25,17.25,16.43,16.52,16.52,375000
28/08/2007,16.46,16.49,16.04,16.15,16.15,637000
29/08/2007,16.17,16.88,16.17,16.75,16.75,1069600
30/08/2007,16.19,16.9,16.19,16.78,16.78,682200
31/08/2007,16.9,17.39,16.83,17.03,17.03,776200
04/09/2007,17.0,17.62,17.0,17.48,17.48,665400
05/09/2007,17.44,17.6,16.66,17.42,17.42,621400
06/09/2007,17.62,18.62,17.14,18.48,18.48,1376800
07/09/2007,17.77,18.3,17.38,17.95,17.95,1053600
10/09/2007,18.49,18.49,17.82,18.33,18.33,1852400
11/09/2007,17.25,18.22,17.18,17.81,17.81,2988400
12/09/2007,17.59,18.26,17.53,17.92,17.92,674000
13/09/2007,18.36,18.36,17.42,17.51,17.51,563400
