Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.05,1.06,1.05,1.06,0.92,1587853
03/01/1990,1.06,1.07,1.04,1.04,0.9,2120934
04/01/1990,1.04,1.06,1.04,1.05,0.91,1936406
05/01/1990,1.05,1.05,1.04,1.04,0.9,3701953
08/01/1990,1.04,1.06,1.04,1.05,0.91,3476419
09/01/1990,1.05,1.06,1.01,1.01,0.87,5128059
10/01/1990,1.01,1.01,0.96,0.98,0.84,4836459
11/01/1990,0.98,0.98,0.92,0.93,0.81,6895884
12/01/1990,0.92,0.92,0.91,0.92,0.8,9761766
15/01/1990,0.92,0.94,0.91,0.94,0.81,3608550
16/01/1990,0.92,0.99,0.92,0.98,0.84,13882894
17/01/1990,0.97,0.98,0.94,0.95,0.82,3583491
18/01/1990,0.94,0.95,0.93,0.95,0.82,1478503
19/01/1990,0.94,0.95,0.94,0.95,0.82,3118753
22/01/1990,0.95,0.95,0.93,0.93,0.81,2433038
23/01/1990,0.94,0.94,0.92,0.92,0.79,1874897
24/01/1990,0.9,0.91,0.88,0.91,0.78,7248994
25/01/1990,0.91,0.92,0.9,0.9,0.78,2699578
26/01/1990,0.91,0.91,0.89,0.9,0.78,1278028
29/01/1990,0.91,0.91,0.9,0.9,0.78,952256
30/01/1990,0.9,0.91,0.89,0.89,0.77,1155009
31/01/1990,0.9,0.9,0.88,0.9,0.78,1624303
01/02/1990,0.9,0.92,0.89,0.92,0.8,1348650
02/02/1990,0.92,0.97,0.91,0.97,0.84,1779216
05/02/1990,0.96,0.99,0.96,0.99,0.86,1555959
06/02/1990,0.99,0.99,0.97,0.98,0.84,897581
07/02/1990,0.97,0.98,0.93,0.95,0.82,1230188
08/02/1990,0.95,0.95,0.91,0.92,0.79,2394309
09/02/1990,0.92,0.93,0.92,0.93,0.8,826959
12/02/1990,0.92,0.93,0.92,0.92,0.79,555863
13/02/1990,0.92,0.93,0.92,0.93,0.8,2207503
14/02/1990,0.93,0.94,0.93,0.94,0.81,972759
15/02/1990,0.95,0.95,0.93,0.94,0.82,1414716
16/02/1990,0.94,0.95,0.94,0.95,0.82,1232466
20/02/1990,0.94,0.94,0.93,0.93,0.8,4132519
21/02/1990,0.93,0.95,0.92,0.94,0.82,1745044
22/02/1990,0.94,0.95,0.93,0.93,0.81,1569628
23/02/1990,0.93,0.94,0.93,0.93,0.81,608259
26/02/1990,0.94,0.95,0.94,0.95,0.82,1995638
27/02/1990,0.96,0.98,0.96,0.97,0.83,2603897
28/02/1990,0.96,1.0,0.96,0.98,0.84,1546847
01/03/1990,0.98,1.02,0.98,1.0,0.87,8661431
02/03/1990,1.02,1.04,1.0,1.04,0.9,4137075
05/03/1990,1.03,1.05,1.03,1.05,0.91,2795259
06/03/1990,1.05,1.05,1.04,1.04,0.9,1098056
07/03/1990,1.04,1.04,1.02,1.03,0.89,3198488
08/03/1990,1.02,1.02,1.0,1.02,0.88,633319
09/03/1990,1.0,1.02,1.0,1.01,0.87,952256
12/03/1990,1.0,1.03,1.0,1.03,0.89,2180166
13/03/1990,1.03,1.06,1.03,1.05,0.91,2050313
14/03/1990,1.05,1.05,1.03,1.04,0.9,1884009
15/03/1990,1.04,1.05,1.04,1.04,0.9,1000097
16/03/1990,1.04,1.05,1.04,1.04,0.9,1521788
19/03/1990,1.04,1.05,1.04,1.05,0.91,2843100
20/03/1990,1.04,1.06,1.04,1.05,0.91,9866559
21/03/1990,1.05,1.05,1.04,1.04,0.9,1027434
22/03/1990,1.05,1.05,1.03,1.04,0.9,674325
23/03/1990,1.04,1.04,1.03,1.04,0.9,1075275
26/03/1990,1.04,1.04,1.02,1.02,0.88,236925
27/03/1990,1.03,1.04,1.02,1.04,0.9,1628859
28/03/1990,1.04,1.05,1.03,1.04,0.9,631041
29/03/1990,1.04,1.05,1.03,1.04,0.9,1184625
30/03/1990,1.04,1.04,1.04,1.04,0.9,765450
02/04/1990,1.04,1.04,1.03,1.04,0.9,323494
03/04/1990,1.04,1.05,1.04,1.05,0.91,2708691
04/04/1990,1.05,1.05,1.04,1.04,0.9,380447
05/04/1990,1.04,1.05,1.04,1.04,0.9,6597450
06/04/1990,1.04,1.04,1.03,1.03,0.89,4303378
09/04/1990,1.03,1.04,1.03,1.04,0.9,512578
10/04/1990,1.04,1.07,1.04,1.06,0.92,4064175
11/04/1990,1.06,1.1,1.06,1.1,0.95,4091513
12/04/1990,1.1,1.11,1.1,1.1,0.95,3480975
16/04/1990,1.1,1.11,1.08,1.08,0.94,1234744
17/04/1990,1.08,1.09,1.07,1.08,0.93,2052591
18/04/1990,1.08,1.08,1.05,1.06,0.92,1006931
19/04/1990,1.06,1.06,1.05,1.06,0.92,888469
20/04/1990,1.05,1.06,1.04,1.05,0.91,544472
23/04/1990,1.04,1.05,1.03,1.03,0.89,1405603
24/04/1990,1.03,1.04,1.03,1.03,0.89,3524259
25/04/1990,1.04,1.05,1.03,1.05,0.91,2745141
26/04/1990,1.06,1.08,1.06,1.06,0.92,858853
27/04/1990,1.06,1.07,1.05,1.05,0.91,2198391
30/04/1990,1.05,1.05,1.04,1.05,0.91,1540013
01/05/1990,1.05,1.08,1.05,1.07,0.93,3262275
02/05/1990,1.07,1.09,1.07,1.09,0.95,808734
03/05/1990,1.1,1.13,1.1,1.11,0.96,5046047
04/05/1990,1.12,1.12,1.11,1.12,0.97,3451359
07/05/1990,1.12,1.14,1.12,1.14,0.98,2667684
08/05/1990,1.13,1.19,1.12,1.17,1.01,6510881
09/05/1990,1.16,1.17,1.14,1.14,0.99,9187678
10/05/1990,1.15,1.15,1.12,1.13,0.98,3884203
11/05/1990,1.13,1.15,1.12,1.14,0.98,2503659
14/05/1990,1.14,1.15,1.14,1.14,0.98,1934128
15/05/1990,1.13,1.14,1.12,1.12,0.97,1104891
16/05/1990,1.12,1.12,1.11,1.12,0.97,1831613
17/05/1990,1.12,1.14,1.11,1.12,0.97,1663031
18/05/1990,1.12,1.12,1.11,1.12,0.97,1642528
21/05/1990,1.11,1.14,1.11,1.13,0.98,2489991
22/05/1990,1.14,1.14,1.13,1.14,0.99,5071106
23/05/1990,1.14,1.14,1.13,1.14,0.98,2189278
24/05/1990,1.14,1.15,1.13,1.14,0.98,2200669
25/05/1990,1.14,1.14,1.12,1.13,0.98,608259
29/05/1990,1.13,1.14,1.13,1.14,0.99,2378363
30/05/1990,1.14,1.14,1.14,1.14,0.98,551306
31/05/1990,1.14,1.14,1.13,1.13,0.98,697106
01/06/1990,1.14,1.15,1.14,1.14,0.99,1649363
04/06/1990,1.14,1.15,1.14,1.15,0.99,5125781
05/06/1990,1.14,1.17,1.14,1.16,1.01,7873200
06/06/1990,1.16,1.16,1.15,1.15,0.99,2426203
07/06/1990,1.16,1.17,1.15,1.15,0.99,6317241
08/06/1990,1.15,1.15,1.13,1.13,0.98,3296447
11/06/1990,1.13,1.14,1.13,1.14,0.98,328050
12/06/1990,1.14,1.14,1.12,1.13,0.98,1439775
13/06/1990,1.13,1.14,1.12,1.14,0.98,1685813
