Date,Open,High,Low,Close,Adj Close,Volume
10/11/2016,32.04,32.35,29.82,30.33,27.57,35019100
11/11/2016,29.8,30.09,28.85,29.89,27.17,6020100
14/11/2016,29.34,30.43,28.75,30.19,27.44,4481900
15/11/2016,29.64,30.7,29.62,30.43,27.66,3667200
16/11/2016,30.77,32.04,30.61,31.7,28.82,4342300
17/11/2016,31.4,33.06,30.64,32.51,29.55,5252000
18/11/2016,32.14,33.1,31.79,32.68,29.71,4253400
21/11/2016,32.26,32.5,31.29,31.74,28.85,5036700
22/11/2016,31.52,33.15,30.43,32.7,29.73,5601700
23/11/2016,32.7,33.47,32.5,33.02,30.02,3619500
25/11/2016,32.76,32.78,32.27,32.59,29.63,827800
28/11/2016,32.27,33.5,32.17,32.74,29.76,1928500
29/11/2016,33.05,33.36,32.72,33.19,30.17,2139500
30/11/2016,33.26,34.3,33.0,33.48,30.43,2764900
01/12/2016,33.04,33.26,32.19,32.51,29.55,2914900
02/12/2016,32.16,33.21,32.01,32.99,29.99,1213100
05/12/2016,32.87,33.76,32.75,33.65,30.59,2004700
06/12/2016,33.45,33.86,33.21,33.82,30.74,1622900
07/12/2016,34.07,34.98,34.0,34.75,31.59,3809400
08/12/2016,34.91,36.0,34.61,35.93,32.66,2603000
09/12/2016,35.82,36.51,35.6,36.38,33.07,1993100
12/12/2016,36.38,37.22,36.31,36.73,33.39,1258300
13/12/2016,36.97,37.09,35.67,36.58,33.25,1814000
14/12/2016,36.62,37.0,34.97,35.15,31.95,3886300
15/12/2016,35.06,35.26,34.15,34.38,31.25,1555100
16/12/2016,34.34,35.47,34.28,35.26,32.05,3784000
19/12/2016,35.31,35.84,34.27,34.48,31.34,1983200
20/12/2016,34.22,35.11,34.2,34.95,31.77,944900
21/12/2016,34.64,35.22,34.46,35.02,31.83,703600
22/12/2016,35.0,36.62,34.8,36.33,33.03,1438500
23/12/2016,36.41,37.07,35.97,36.85,33.5,888300
27/12/2016,36.65,37.49,36.61,37.34,33.94,822200
28/12/2016,37.25,37.66,37.01,37.23,33.84,533800
29/12/2016,37.37,37.96,37.14,37.77,34.33,658500
