Date,Open,High,Low,Close,Adj Close,Volume
21/12/2005,11.0,11.05,10.55,10.85,10.85,5796900
22/12/2005,10.6,11.12,10.59,10.6,10.6,4152500
23/12/2005,10.9,12.78,10.9,11.95,11.95,8844700
27/12/2005,12.2,12.79,12.13,12.5,12.5,3324100
28/12/2005,12.25,14.0,12.25,13.3,13.3,3187700
29/12/2005,13.8,13.83,13.21,13.21,13.21,1092100
30/12/2005,13.65,13.65,12.66,13.1,13.1,1208400
03/01/2006,12.9,13.5,12.81,13.5,13.5,1875500
04/01/2006,13.47,13.85,13.0,13.0,13.0,2342000
05/01/2006,13.3,13.31,12.95,13.0,13.0,2880600
06/01/2006,13.0,13.08,12.77,12.93,12.93,1627700
09/01/2006,12.83,13.75,12.82,13.75,13.75,1133300
10/01/2006,13.85,13.85,13.45,13.65,13.65,1382200
11/01/2006,13.6,14.6,13.48,14.32,14.32,2884200
12/01/2006,14.0,14.65,13.9,14.4,14.4,2363900
13/01/2006,14.4,14.77,14.37,14.77,14.77,2023000
17/01/2006,14.45,15.14,14.4,14.87,14.87,1754300
18/01/2006,14.4,14.65,14.31,14.49,14.49,1714500
19/01/2006,14.4,15.22,14.3,15.22,15.22,4355100
20/01/2006,15.4,16.75,15.3,16.56,16.56,3528300
23/01/2006,16.57,18.5,16.57,17.59,17.59,3088500
24/01/2006,17.39,17.8,17.3,17.59,17.59,1375600
25/01/2006,17.65,17.65,16.36,16.73,16.73,1517700
26/01/2006,16.8,17.45,16.45,16.57,16.57,811900
27/01/2006,16.57,17.4,16.57,17.05,17.05,1063900
30/01/2006,17.06,17.3,16.78,17.24,17.24,941200
31/01/2006,17.2,18.0,17.2,17.75,17.75,1478000
01/02/2006,17.76,17.85,17.26,17.51,17.51,403700
02/02/2006,17.5,17.58,17.25,17.4,17.4,804400
03/02/2006,17.28,17.74,17.25,17.65,17.65,243700
06/02/2006,17.7,17.75,17.49,17.64,17.64,338300
07/02/2006,17.75,18.15,17.54,17.76,17.76,322000
08/02/2006,17.76,17.87,17.51,17.87,17.87,210600
09/02/2006,17.92,19.0,17.9,18.95,18.95,836800
10/02/2006,19.0,19.3,18.98,19.07,19.07,456100
13/02/2006,19.0,19.56,19.0,19.4,19.4,718000
14/02/2006,19.4,19.4,18.92,19.02,19.02,436300
15/02/2006,19.0,19.12,18.97,19.07,19.07,674500
16/02/2006,19.08,19.08,18.45,18.5,18.5,1359700
17/02/2006,18.4,18.47,17.9,17.94,17.94,257000
21/02/2006,17.55,19.2,17.46,18.93,18.93,861700
22/02/2006,18.68,19.0,18.57,18.94,18.94,117900
23/02/2006,18.51,18.93,18.3,18.71,18.71,131000
24/02/2006,18.6,18.7,17.78,18.49,18.49,670600
27/02/2006,18.35,18.58,17.84,17.91,17.91,270300
28/02/2006,17.85,17.98,17.72,17.85,17.85,174200
01/03/2006,17.75,17.88,17.65,17.79,17.79,146900
02/03/2006,17.75,17.81,17.59,17.72,17.72,181000
03/03/2006,17.65,17.67,17.5,17.55,17.55,188000
06/03/2006,17.55,18.34,17.55,18.22,18.22,112700
07/03/2006,18.15,18.15,17.67,17.95,17.95,142100
08/03/2006,17.91,18.13,17.9,17.95,17.95,66400
09/03/2006,17.9,18.11,17.9,18.11,18.11,198000
10/03/2006,18.06,18.49,18.0,18.08,18.08,1187800
13/03/2006,18.0,18.03,17.93,17.98,17.98,90200
14/03/2006,17.9,18.23,17.83,18.21,18.21,141100
15/03/2006,18.12,18.12,17.94,18.0,18.0,143700
16/03/2006,18.0,18.7,18.0,18.5,18.5,263100
17/03/2006,18.5,18.6,18.23,18.51,18.51,556600
20/03/2006,18.45,18.88,18.39,18.61,18.61,171600
21/03/2006,18.55,18.95,18.55,18.85,18.85,254900
22/03/2006,18.85,19.0,18.6,19.0,19.0,116100
23/03/2006,19.0,19.02,18.82,18.85,18.85,258200
24/03/2006,18.82,19.11,18.51,18.85,18.85,271200
27/03/2006,18.83,18.85,18.47,18.72,18.72,120100
28/03/2006,18.62,19.09,18.61,18.93,18.93,123400
29/03/2006,18.98,19.03,18.65,18.99,18.99,114500
30/03/2006,18.92,19.1,18.9,19.02,19.02,237200
31/03/2006,19.09,19.99,19.09,19.84,19.84,238000
03/04/2006,19.86,19.9,19.15,19.17,19.17,150000
04/04/2006,19.1,19.28,18.92,19.02,19.02,156900
05/04/2006,19.06,19.1,18.95,19.0,19.0,119000
06/04/2006,18.98,19.25,18.97,19.19,19.19,810600
07/04/2006,19.1,19.25,19.05,19.2,19.2,57600
10/04/2006,19.18,19.21,19.0,19.06,19.06,98600
11/04/2006,19.06,19.15,18.96,19.0,19.0,135900
12/04/2006,19.0,19.25,18.87,19.17,19.17,256000
13/04/2006,19.1,19.25,19.1,19.2,19.2,216800
17/04/2006,19.16,19.44,19.16,19.39,19.39,128900
18/04/2006,19.33,19.55,19.26,19.3,19.3,86600
19/04/2006,19.35,19.44,19.18,19.24,19.24,179400
20/04/2006,19.24,19.25,19.15,19.23,19.23,77400
21/04/2006,19.23,19.43,19.11,19.16,19.16,223400
24/04/2006,19.15,19.35,19.15,19.25,19.25,228500
25/04/2006,19.25,19.44,19.16,19.21,19.21,136100
26/04/2006,19.21,19.56,19.21,19.36,19.36,144500
27/04/2006,19.25,19.38,19.01,19.15,19.15,116800
28/04/2006,19.0,19.25,19.0,19.0,19.0,211200
01/05/2006,19.05,19.57,19.05,19.41,19.41,207500
02/05/2006,19.3,19.49,19.3,19.36,19.36,176500
03/05/2006,19.35,19.49,19.3,19.39,19.39,71200
04/05/2006,19.44,19.6,19.33,19.5,19.5,168500
05/05/2006,19.6,20.5,19.55,20.24,20.24,316700
08/05/2006,20.34,20.34,19.97,20.14,20.14,113400
09/05/2006,20.12,21.18,20.12,21.0,21.0,393800
10/05/2006,20.95,21.35,20.95,21.25,21.25,166500
11/05/2006,21.2,21.2,20.71,20.95,20.95,206700
12/05/2006,20.87,21.16,20.72,21.06,21.06,211400
15/05/2006,21.13,21.71,21.0,21.69,21.69,201900
16/05/2006,21.61,21.62,21.15,21.61,21.61,149900
17/05/2006,21.65,21.65,20.68,20.81,20.81,167500
18/05/2006,21.0,21.7,21.0,21.66,21.66,247300
19/05/2006,21.62,21.99,20.94,21.8,21.8,183400
22/05/2006,21.79,21.86,21.28,21.31,21.31,474200
23/05/2006,21.35,21.44,21.29,21.41,21.41,276200
24/05/2006,21.41,21.48,21.0,21.23,21.23,570900
25/05/2006,21.33,22.12,21.08,22.05,22.05,254100
26/05/2006,22.18,23.72,22.18,23.34,23.34,326400
30/05/2006,23.4,23.4,22.57,22.65,22.65,192400
31/05/2006,22.6,22.99,22.3,22.8,22.8,1010000
01/06/2006,22.8,23.85,22.8,23.46,23.46,482300
02/06/2006,23.5,24.06,23.47,23.68,23.68,503900
05/06/2006,23.62,23.99,23.55,23.9,23.9,175200
06/06/2006,23.9,24.27,23.71,24.27,24.27,220000
07/06/2006,24.27,24.9,24.21,24.58,24.58,398300
08/06/2006,24.68,24.7,24.02,24.13,24.13,597700
09/06/2006,24.16,24.5,23.68,23.75,23.75,427600
12/06/2006,23.7,23.79,22.99,23.03,23.03,291700
13/06/2006,22.68,22.9,21.87,22.04,22.04,1077300
14/06/2006,21.89,21.95,20.78,20.93,20.93,562600
15/06/2006,20.94,21.35,20.81,20.81,20.81,459300
16/06/2006,21.05,21.7,21.05,21.19,21.19,509400
19/06/2006,21.19,21.88,21.03,21.5,21.5,825600
20/06/2006,21.6,22.09,21.48,21.75,21.75,613900
21/06/2006,21.8,22.28,21.69,21.69,21.69,433300
22/06/2006,21.71,22.24,21.65,21.96,21.96,324100
23/06/2006,21.98,22.13,21.37,21.43,21.43,340000
