Date,Open,High,Low,Close,Adj Close,Volume
28/01/1994,21.0,22.5,20.75,21.62,3.96,719200
31/01/1994,21.5,21.62,21.12,21.38,3.91,86900
01/02/1994,21.25,21.38,21.12,21.25,3.89,56900
02/02/1994,21.25,21.5,21.25,21.25,3.89,43600
03/02/1994,21.25,21.5,21.25,21.5,3.93,42900
04/02/1994,21.25,21.5,21.12,21.12,3.87,56500
07/02/1994,21.12,21.5,21.12,21.38,3.91,40900
08/02/1994,21.5,22.25,21.5,22.0,4.03,205400
09/02/1994,22.12,22.75,22.12,22.25,4.07,76900
10/02/1994,22.25,23.0,22.25,23.0,4.21,42500
11/02/1994,22.88,23.88,22.88,23.5,4.3,49400
14/02/1994,23.25,24.5,23.25,23.88,4.37,97400
15/02/1994,23.75,24.0,23.12,23.12,4.23,62100
16/02/1994,23.12,23.62,23.12,23.38,4.28,26700
17/02/1994,23.62,24.12,23.62,24.12,4.41,8900
18/02/1994,24.12,24.38,24.0,24.25,4.44,27900
22/02/1994,24.0,24.12,23.75,23.75,4.35,25000
23/02/1994,24.0,24.0,23.25,23.38,4.28,48100
24/02/1994,23.25,23.88,23.0,23.25,4.25,48500
25/02/1994,23.0,23.0,22.75,22.88,4.19,36000
28/02/1994,23.12,23.12,22.5,22.62,4.14,14500
01/03/1994,22.62,23.25,22.5,23.0,4.21,74900
02/03/1994,23.25,23.75,23.0,23.5,4.3,21700
03/03/1994,23.5,23.5,23.0,23.0,4.21,8600
04/03/1994,23.25,23.25,22.75,23.0,4.21,5000
07/03/1994,22.75,23.12,22.75,22.88,4.19,13200
08/03/1994,22.75,22.75,22.25,22.62,4.14,9800
09/03/1994,22.62,22.62,22.5,22.5,4.12,38700
10/03/1994,22.38,22.5,22.25,22.5,4.12,28800
11/03/1994,22.12,22.12,22.0,22.0,4.03,5800
14/03/1994,22.0,23.75,22.0,23.25,4.25,59900
15/03/1994,23.5,23.5,22.88,22.88,4.19,4400
16/03/1994,23.0,23.5,23.0,23.38,4.28,10800
17/03/1994,23.25,23.5,23.25,23.5,4.3,18900
18/03/1994,23.62,23.62,23.25,23.25,4.25,7400
21/03/1994,23.25,23.25,23.12,23.25,4.25,4100
22/03/1994,23.12,23.62,23.12,23.25,4.25,33600
23/03/1994,23.38,23.5,23.25,23.38,4.28,1900
24/03/1994,23.5,24.0,23.5,24.0,4.39,18400
25/03/1994,23.75,24.0,23.75,23.75,4.35,5300
28/03/1994,23.62,23.62,23.25,23.5,4.3,11500
29/03/1994,23.88,23.88,23.25,23.25,4.25,4200
30/03/1994,23.12,23.12,23.0,23.12,4.23,20600
31/03/1994,23.0,23.12,23.0,23.12,4.23,14200
04/04/1994,23.0,23.12,22.75,22.75,4.16,29900
05/04/1994,23.0,23.12,22.75,23.12,4.23,1500
06/04/1994,23.12,23.12,23.0,23.12,4.23,5100
07/04/1994,23.25,23.5,23.25,23.38,4.28,3800
