Date,Open,High,Low,Close,Adj Close,Volume
23/03/1998,16.78,16.78,16.78,16.78,13.25,1073
24/03/1998,17.01,17.42,17.01,17.42,13.76,116711
25/03/1998,17.65,17.68,17.48,17.68,13.97,27891
26/03/1998,17.57,17.6,17.39,17.6,13.9,76163
27/03/1998,17.54,17.54,16.95,17.19,13.58,847444
30/03/1998,16.95,17.16,16.66,16.75,13.23,384890
31/03/1998,16.84,16.98,16.55,16.69,13.19,644701
01/04/1998,16.31,16.37,15.73,16.26,12.84,1004918
02/04/1998,16.26,17.07,16.26,17.01,13.44,1046539
03/04/1998,16.95,17.36,16.66,17.28,13.65,766990
06/04/1998,17.22,17.33,16.78,16.78,13.25,417715
07/04/1998,16.9,16.9,16.08,16.46,13.0,1516388
08/04/1998,16.46,16.55,16.11,16.4,12.96,602007
09/04/1998,16.43,16.81,16.08,16.08,12.7,711209
13/04/1998,15.85,16.14,15.73,16.14,12.75,1257864
14/04/1998,16.2,16.9,16.2,16.87,13.32,1577532
15/04/1998,17.36,17.36,17.01,17.33,13.69,596858
16/04/1998,17.3,17.3,16.34,16.4,12.97,422864
17/04/1998,16.4,16.46,15.94,16.02,12.67,788444
20/04/1998,15.99,16.02,15.59,15.59,12.33,577120
21/04/1998,15.64,15.82,14.8,14.8,11.7,825346
22/04/1998,14.8,15.15,14.8,15.06,11.91,1218817
23/04/1998,14.86,14.97,14.68,14.97,11.84,976169
24/04/1998,14.92,15.21,14.92,15.15,11.98,862676
27/04/1998,15.06,15.21,14.92,15.15,11.98,861818
28/04/1998,15.18,15.73,15.15,15.53,12.28,305509
29/04/1998,15.64,15.64,15.32,15.44,12.21,948279
30/04/1998,15.41,15.5,14.92,14.92,11.8,1989240
01/05/1998,14.92,15.61,14.92,15.56,12.3,940341
04/05/1998,15.96,16.05,15.85,15.96,12.63,462340
05/05/1998,15.96,15.96,15.85,15.96,12.63,227844
06/05/1998,15.96,16.08,15.38,15.38,12.16,743605
07/05/1998,15.15,15.32,14.86,14.92,11.8,869542
08/05/1998,14.92,15.27,14.92,15.03,11.89,607156
11/05/1998,15.03,15.12,14.68,14.74,11.66,1053834
12/05/1998,14.71,14.83,14.22,14.22,11.24,1263871
13/05/1998,14.33,15.5,14.33,15.35,12.14,2205070
14/05/1998,15.24,15.32,14.86,15.27,12.07,356141
15/05/1998,15.27,15.61,15.06,15.47,12.23,380599
18/05/1998,15.59,15.85,15.53,15.61,12.35,539146
19/05/1998,15.67,15.85,15.56,15.59,12.33,433805
20/05/1998,15.7,16.52,15.7,16.49,13.04,652424
21/05/1998,16.46,16.46,15.96,16.02,12.67,607370
22/05/1998,16.08,16.08,15.82,15.82,12.51,535284
26/05/1998,15.96,16.02,15.7,15.7,12.42,1083870
27/05/1998,15.7,16.23,15.64,16.05,12.69,570040
28/05/1998,15.94,16.17,15.91,16.05,12.69,552233
29/05/1998,16.08,16.31,16.08,16.2,12.81,1080008
01/06/1998,15.96,16.55,15.91,16.23,12.83,758623
02/06/1998,16.26,16.31,15.85,15.94,12.6,502030
03/06/1998,15.79,16.08,15.79,15.94,12.6,761627
04/06/1998,15.76,16.28,15.64,16.28,12.88,895501
05/06/1998,16.23,16.4,16.23,16.31,12.9,871472
08/06/1998,16.31,16.37,15.59,15.64,12.37,915239
09/06/1998,15.21,15.41,15.12,15.12,11.96,1026587
10/06/1998,15.15,15.32,14.89,14.94,11.82,1434647
11/06/1998,14.97,15.12,14.74,14.8,11.7,797241
12/06/1998,14.97,15.09,14.71,14.92,11.8,916526
15/06/1998,14.8,14.89,14.51,14.51,11.47,642126
16/06/1998,14.57,15.27,14.57,14.97,11.84,700482
17/06/1998,15.0,15.27,14.94,14.94,11.82,1868881
18/06/1998,14.97,14.97,14.68,14.68,11.61,757765
19/06/1998,14.59,14.68,14.48,14.51,11.47,814833
22/06/1998,14.74,14.92,13.98,14.04,11.11,862676
23/06/1998,14.22,14.71,14.22,14.65,11.59,1113691
24/06/1998,14.51,14.8,14.42,14.8,11.72,1458676
25/06/1998,14.68,14.8,14.54,14.54,11.51,847229
26/06/1998,14.59,14.65,14.42,14.59,11.56,1260438
29/06/1998,14.71,14.92,14.71,14.8,11.72,790804
30/06/1998,14.74,15.09,14.59,15.09,11.95,1761396
01/07/1998,15.06,15.32,14.83,15.0,11.88,1254002
02/07/1998,15.0,15.0,14.71,14.74,11.68,522411
06/07/1998,14.77,15.03,14.71,14.92,11.81,771066
07/07/1998,14.92,14.94,14.65,14.83,11.75,8416725
08/07/1998,14.94,15.38,14.94,15.35,12.16,1722134
09/07/1998,15.35,15.35,15.27,15.27,12.09,1448163
10/07/1998,15.27,15.35,15.21,15.27,12.09,1476697
13/07/1998,15.21,15.29,15.03,15.18,12.02,1116909
14/07/1998,15.12,15.21,15.03,15.12,11.98,1696175
15/07/1998,15.12,15.15,14.68,14.74,11.68,4195382
16/07/1998,14.92,15.03,14.83,14.89,11.79,1040103
17/07/1998,14.89,14.92,14.74,14.86,11.77,3208272
20/07/1998,14.86,15.06,14.8,15.06,11.93,1938608
21/07/1998,15.06,15.18,14.8,14.8,11.72,1290903
22/07/1998,14.86,15.7,14.83,15.7,12.44,2199706
23/07/1998,15.61,15.61,15.12,15.15,12.0,634188
24/07/1998,15.09,15.24,14.74,14.97,11.86,597072
27/07/1998,14.94,15.85,14.8,15.85,12.55,862247
28/07/1998,15.73,15.96,15.67,15.91,12.6,904512
29/07/1998,16.02,16.08,15.32,15.5,12.28,856240
30/07/1998,15.44,15.53,15.27,15.32,12.14,471779
31/07/1998,15.35,15.67,15.0,15.15,12.0,515332
03/08/1998,15.18,15.44,15.09,15.15,12.0,1236195
04/08/1998,15.21,15.53,15.18,15.21,12.05,1304634
05/08/1998,15.38,15.44,14.89,15.21,12.05,1050616
06/08/1998,15.29,15.32,14.8,14.86,11.77,1262584
07/08/1998,14.89,14.94,14.77,14.92,11.81,1777486
10/08/1998,15.32,15.56,15.24,15.38,12.18,881127
11/08/1998,15.32,15.35,14.97,15.06,11.93,753474
12/08/1998,15.0,15.32,15.0,15.32,12.14,444962
13/08/1998,15.09,15.5,15.09,15.18,12.02,352279
14/08/1998,15.29,15.7,15.27,15.56,12.32,610374
17/08/1998,15.5,15.53,14.97,15.12,11.98,877051
18/08/1998,15.09,15.7,15.09,15.64,12.39,940770
19/08/1998,15.73,15.73,15.03,15.18,12.02,577549
20/08/1998,15.18,15.73,15.18,15.53,12.3,709278
21/08/1998,15.03,15.38,14.94,15.38,12.18,819339
24/08/1998,15.73,15.82,15.5,15.67,12.41,762699
25/08/1998,15.73,15.82,15.15,15.15,12.0,1857940
26/08/1998,15.15,15.15,14.8,14.83,11.75,1278674
27/08/1998,14.8,14.89,14.54,14.57,11.54,996980
28/08/1998,14.57,14.83,14.54,14.59,11.56,555237
31/08/1998,14.54,14.59,12.79,13.08,10.36,2265142
01/09/1998,13.05,13.28,12.26,12.58,9.97,1753672
02/09/1998,12.7,12.79,12.53,12.53,9.92,3990494
03/09/1998,11.89,12.21,11.48,12.12,9.6,1974007
04/09/1998,12.18,12.5,12.12,12.38,9.81,674951
08/09/1998,12.41,12.76,12.29,12.76,10.11,721507
09/09/1998,12.58,12.73,12.53,12.67,10.04,1011569
10/09/1998,12.47,12.79,12.32,12.56,9.95,999125
11/09/1998,12.53,12.82,12.47,12.64,10.02,766990
14/09/1998,12.88,12.88,12.64,12.64,10.02,342839
15/09/1998,12.58,12.67,12.38,12.53,9.92,1114764
16/09/1998,12.58,12.58,11.94,12.0,9.51,2073770
17/09/1998,11.89,12.03,11.83,11.94,9.46,1756676
18/09/1998,12.06,12.35,12.0,12.12,9.6,923392
21/09/1998,12.0,12.32,11.89,12.06,9.55,872545
22/09/1998,12.12,12.38,12.0,12.06,9.55,1083870
23/09/1998,12.06,12.56,12.06,12.53,9.94,739958
24/09/1998,12.53,12.53,12.09,12.15,9.64,1416840
25/09/1998,12.12,12.21,11.83,11.89,9.43,851735
28/09/1998,11.94,12.12,11.89,11.97,9.5,1230188
29/09/1998,11.91,11.97,11.39,11.39,9.04,5798446
30/09/1998,11.36,11.57,11.13,11.13,8.83,2739925
01/10/1998,10.81,10.81,10.02,10.2,8.09,2462736
02/10/1998,10.23,10.66,10.23,10.4,8.25,1633314
05/10/1998,10.52,10.66,10.37,10.37,8.23,3976763
06/10/1998,10.37,10.4,9.03,9.26,7.35,7647804
07/10/1998,9.32,9.76,9.23,9.73,7.72,3402433
08/10/1998,9.44,9.73,9.29,9.58,7.61,2892679
09/10/1998,9.64,9.9,9.32,9.41,7.47,2164521
12/10/1998,9.5,10.2,9.5,10.11,8.02,1627092
13/10/1998,10.17,10.75,10.05,10.66,8.46,1213239
14/10/1998,10.55,11.45,10.55,11.19,8.88,1285111
15/10/1998,10.95,11.48,10.92,11.27,8.95,1833482
16/10/1998,11.54,12.21,11.51,11.94,9.48,1791432
19/10/1998,11.94,12.35,11.8,12.24,9.71,1486781
20/10/1998,12.24,12.41,12.0,12.21,9.69,627752
21/10/1998,12.24,12.24,11.62,11.86,9.41,919959
22/10/1998,11.94,11.94,11.71,11.86,9.41,673235
23/10/1998,11.83,11.89,11.54,11.57,9.18,2128264
26/10/1998,11.59,11.65,11.36,11.54,9.16,600290
27/10/1998,11.59,12.06,11.59,11.94,9.48,1173978
28/10/1998,11.91,12.12,11.68,11.97,9.5,668301
29/10/1998,11.91,12.26,11.91,12.15,9.64,562316
30/10/1998,12.53,12.58,12.24,12.53,9.94,1762897
02/11/1998,12.56,13.46,12.53,13.08,10.38,1450523
03/11/1998,12.96,13.46,12.67,13.4,10.64,954930
04/11/1998,13.4,13.6,12.7,13.08,10.38,2025069
