Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,10.71,10.98,10.6,10.98,5.09,888323
03/01/1990,11.2,11.26,11.09,11.09,5.14,789772
04/01/1990,11.15,11.26,11.04,11.15,5.17,592898
05/01/1990,11.04,11.37,10.98,11.26,5.22,1768452
08/01/1990,11.15,11.37,11.09,11.37,5.29,838934
09/01/1990,11.48,11.64,11.37,11.42,5.32,512100
10/01/1990,11.37,11.37,11.2,11.31,5.27,873756
11/01/1990,11.42,11.42,11.26,11.26,5.24,574007
12/01/1990,11.2,11.2,10.93,10.93,5.09,875350
15/01/1990,10.93,10.98,10.93,10.98,5.11,440406
16/01/1990,10.93,10.93,10.76,10.87,5.06,633866
17/01/1990,10.82,10.87,10.6,10.65,4.96,637052
18/01/1990,10.65,10.93,10.65,10.93,5.09,980046
19/01/1990,10.93,10.93,10.54,10.6,4.94,930201
22/01/1990,10.6,10.76,10.54,10.54,4.91,504817
23/01/1990,10.54,10.65,10.49,10.49,4.88,707836
24/01/1990,10.54,10.76,10.43,10.71,4.99,737424
25/01/1990,10.76,10.76,10.38,10.38,4.83,442227
26/01/1990,10.49,10.65,10.38,10.6,4.94,616113
29/01/1990,10.71,10.71,10.49,10.54,4.91,307032
30/01/1990,10.43,10.49,10.33,10.43,4.86,552158
31/01/1990,10.49,10.54,10.33,10.54,4.91,658447
01/02/1990,10.43,10.49,10.33,10.38,4.83,514831
02/02/1990,10.33,10.38,10.33,10.38,4.83,467490
05/02/1990,10.38,10.49,10.38,10.43,4.86,776344
06/02/1990,10.43,10.49,10.33,10.49,4.88,330020
07/02/1990,10.43,10.6,10.38,10.49,4.88,523025
08/02/1990,10.54,10.71,10.54,10.6,4.94,427205
09/02/1990,10.65,10.71,10.6,10.6,4.94,204385
12/02/1990,10.65,10.65,10.49,10.54,4.91,358925
13/02/1990,10.54,10.6,10.38,10.49,4.88,359153
14/02/1990,10.49,10.65,10.49,10.54,4.91,408314
15/02/1990,10.54,10.71,10.54,10.65,4.96,282679
16/02/1990,10.6,10.82,10.6,10.82,5.04,712388
20/02/1990,10.76,10.76,10.71,10.76,5.01,1209466
21/02/1990,10.65,10.76,10.65,10.71,4.99,395341
22/02/1990,10.71,10.93,10.65,10.71,4.99,813442
23/02/1990,10.65,10.76,10.6,10.65,4.96,319323
26/02/1990,10.6,10.71,10.6,10.71,4.99,796828
27/02/1990,10.65,10.93,10.65,10.82,5.04,780440
28/02/1990,10.87,11.04,10.82,10.93,5.09,459752
01/03/1990,10.93,11.15,10.93,11.09,5.17,1467110
02/03/1990,11.15,11.2,11.09,11.15,5.19,524618
05/03/1990,11.04,11.15,10.98,11.04,5.14,333662
06/03/1990,11.09,11.15,11.04,11.15,5.19,159092
07/03/1990,11.2,11.31,11.04,11.09,5.17,681434
08/03/1990,11.09,11.15,11.04,11.15,5.19,164555
09/03/1990,11.15,11.2,11.04,11.15,5.19,537819
12/03/1990,11.2,11.26,11.09,11.15,5.19,438813
13/03/1990,11.15,11.2,11.04,11.09,5.17,996660
14/03/1990,11.15,11.15,11.04,11.09,5.17,618617
15/03/1990,11.2,11.2,10.98,10.98,5.11,279948
16/03/1990,11.09,11.09,10.98,11.09,5.17,698277
19/03/1990,11.04,11.09,11.04,11.09,5.17,781351
20/03/1990,11.09,11.31,11.09,11.26,5.24,609968
21/03/1990,11.26,11.37,11.26,11.37,5.29,370305
22/03/1990,11.26,11.31,11.04,11.09,5.17,318185
23/03/1990,11.2,11.26,11.15,11.15,5.19,221227
26/03/1990,11.15,11.31,11.15,11.2,5.22,310902
27/03/1990,11.2,11.26,11.09,11.2,5.22,379637
28/03/1990,11.2,11.37,11.15,11.37,5.29,429936
29/03/1990,11.31,11.31,11.26,11.31,5.27,154768
30/03/1990,11.2,11.37,11.09,11.31,5.27,307943
02/04/1990,11.2,11.26,11.15,11.2,5.22,591532
03/04/1990,11.26,11.37,11.26,11.31,5.27,292921
04/04/1990,11.42,11.75,11.15,11.15,5.19,573324
05/04/1990,11.26,11.26,11.15,11.15,5.19,431302
06/04/1990,11.2,11.2,11.09,11.2,5.24,394203
09/04/1990,11.2,11.37,11.2,11.37,5.32,207116
10/04/1990,11.37,11.53,11.31,11.42,5.35,496396
11/04/1990,11.48,11.48,11.31,11.42,5.35,277900
12/04/1990,11.48,11.53,11.42,11.42,5.35,164100
16/04/1990,11.59,11.64,11.53,11.53,5.4,587208
17/04/1990,11.48,11.53,11.42,11.48,5.37,262423
18/04/1990,11.48,11.48,11.26,11.31,5.3,530308
19/04/1990,11.31,11.31,10.87,10.87,5.09,363705
20/04/1990,10.98,11.09,10.87,10.87,5.09,660040
23/04/1990,10.87,10.87,10.76,10.82,5.06,537591
24/04/1990,10.82,10.82,10.49,10.6,4.96,609058
25/04/1990,10.71,10.71,10.49,10.49,4.91,594264
26/04/1990,10.54,10.65,10.54,10.6,4.96,286321
27/04/1990,10.65,10.71,10.54,10.54,4.94,352552
30/04/1990,10.49,10.82,10.49,10.82,5.06,343904
01/05/1990,10.93,10.98,10.82,10.87,5.09,297246
02/05/1990,10.87,10.87,10.76,10.76,5.04,260602
03/05/1990,10.82,10.87,10.71,10.76,5.04,344586
04/05/1990,10.82,10.82,10.65,10.76,5.04,246036
07/05/1990,10.76,10.87,10.71,10.87,5.09,316819
08/05/1990,10.98,10.98,10.87,10.93,5.12,465897
09/05/1990,10.93,10.98,10.82,10.93,5.12,466580
10/05/1990,10.98,11.04,10.87,10.87,5.09,306805
11/05/1990,10.98,11.42,10.87,11.42,5.35,918138
14/05/1990,11.42,11.42,11.15,11.15,5.22,366891
15/05/1990,11.15,11.26,11.04,11.15,5.22,330930
16/05/1990,11.15,11.26,11.04,11.15,5.22,500948
17/05/1990,11.15,11.15,10.98,10.98,5.14,875805
18/05/1990,10.98,10.98,10.76,10.87,5.09,1439570
21/05/1990,10.93,10.98,10.82,10.93,5.12,902889
22/05/1990,10.98,11.09,10.82,10.82,5.06,663454
23/05/1990,10.82,10.93,10.82,10.87,5.09,506638
24/05/1990,10.87,10.98,10.82,10.93,5.12,428571
25/05/1990,10.82,10.87,10.82,10.87,5.09,141795
29/05/1990,10.93,10.98,10.82,10.98,5.14,641604
30/05/1990,10.98,11.04,10.93,11.04,5.17,564903
31/05/1990,11.04,11.04,10.93,10.98,5.14,513693
01/06/1990,10.93,11.09,10.93,11.09,5.19,712160
04/06/1990,11.04,11.48,10.98,11.37,5.32,1124344
05/06/1990,11.42,11.42,11.15,11.26,5.27,1084514
06/06/1990,11.37,11.37,11.26,11.31,5.3,911993
07/06/1990,11.31,11.31,11.15,11.2,5.24,802290
08/06/1990,11.09,11.09,10.82,10.87,5.09,1260676
11/06/1990,10.82,10.87,10.71,10.76,5.04,1159850
12/06/1990,10.76,10.82,10.71,10.82,5.06,966845
13/06/1990,10.71,10.76,10.54,10.6,4.96,1876790
14/06/1990,10.6,10.71,10.6,10.71,5.01,527122
15/06/1990,10.87,10.87,10.76,10.82,5.06,1224716
18/06/1990,10.71,10.76,10.65,10.71,5.01,672330
19/06/1990,10.65,10.93,10.65,10.93,5.12,1005764
20/06/1990,10.87,10.87,10.76,10.82,5.06,400576
21/06/1990,10.76,10.87,10.76,10.82,5.06,363705
22/06/1990,10.82,10.98,10.82,10.87,5.09,867611
25/06/1990,10.76,10.93,10.76,10.82,5.06,715119
26/06/1990,10.87,10.93,10.82,10.82,5.06,730596
27/06/1990,10.82,10.87,10.76,10.87,5.09,852134
28/06/1990,10.76,10.82,10.76,10.82,5.06,376678
29/06/1990,10.76,10.82,10.76,10.76,5.04,213944
02/07/1990,10.76,10.76,10.65,10.71,5.01,743569
03/07/1990,10.71,10.71,10.65,10.71,5.01,208709
05/07/1990,10.65,10.71,10.65,10.65,4.99,375085
06/07/1990,10.6,10.65,10.6,10.6,4.96,518928
09/07/1990,10.65,10.71,10.6,10.65,4.99,314543
10/07/1990,10.6,10.65,10.54,10.54,4.94,447006
11/07/1990,10.54,10.6,10.49,10.49,4.91,854183
12/07/1990,10.49,10.65,10.49,10.65,4.99,1584779
13/07/1990,10.65,10.71,10.6,10.65,4.99,1253848
16/07/1990,10.6,10.71,10.54,10.65,5.02,596540
17/07/1990,10.65,10.76,10.65,10.71,5.04,344359
18/07/1990,10.65,10.82,10.65,10.82,5.09,853500
19/07/1990,10.76,10.82,10.71,10.71,5.04,275396
20/07/1990,10.76,10.82,10.71,10.71,5.04,938850
23/07/1990,10.65,10.71,10.6,10.71,5.04,406038
24/07/1990,10.65,10.65,10.54,10.54,4.96,744252
25/07/1990,10.54,10.6,10.43,10.49,4.94,887185
26/07/1990,10.49,10.49,10.43,10.43,4.91,260374
27/07/1990,10.38,10.43,10.38,10.43,4.91,784992
30/07/1990,10.38,10.43,10.33,10.43,4.91,1342157
31/07/1990,10.43,10.43,10.27,10.27,4.83,478643
01/08/1990,10.33,10.38,10.33,10.38,4.89,350732
02/08/1990,10.27,10.27,10.11,10.11,4.76,1556556
03/08/1990,10.11,10.11,9.94,9.94,4.68,948864
06/08/1990,9.78,9.83,9.67,9.72,4.58,1568619
07/08/1990,9.83,9.83,9.56,9.61,4.52,980273
08/08/1990,9.72,9.78,9.5,9.5,4.47,680979
09/08/1990,9.5,9.61,9.5,9.5,4.47,780668
10/08/1990,9.56,9.56,9.34,9.34,4.4,915635
13/08/1990,9.23,9.23,9.12,9.12,4.29,1150746
14/08/1990,9.17,9.23,9.12,9.12,4.29,743569
15/08/1990,9.17,9.23,9.12,9.17,4.32,664820
16/08/1990,9.12,9.17,9.06,9.06,4.27,472725
17/08/1990,9.06,9.12,9.01,9.12,4.29,642060
20/08/1990,9.17,9.23,9.01,9.01,4.24,713298
21/08/1990,9.01,9.01,8.79,8.79,4.14,1101129
22/08/1990,8.79,8.9,8.79,8.79,4.14,644336
23/08/1990,8.79,8.79,8.35,8.4,3.96,3541228
24/08/1990,8.57,8.57,8.35,8.4,3.96,988239
27/08/1990,8.51,8.51,8.4,8.4,3.96,345269
28/08/1990,8.4,8.46,8.4,8.4,3.96,438585
29/08/1990,8.4,8.51,8.4,8.46,3.98,292921
30/08/1990,8.46,8.57,8.46,8.46,3.98,801152
31/08/1990,8.57,8.57,8.4,8.46,3.98,666640
04/09/1990,8.35,8.4,8.35,8.4,3.96,299749
05/09/1990,8.35,8.4,8.35,8.4,3.96,336165
06/09/1990,8.35,8.4,8.35,8.35,3.93,304984
07/09/1990,8.35,8.51,8.35,8.4,3.96,252181
10/09/1990,8.46,8.46,8.24,8.24,3.88,595629
11/09/1990,8.35,8.35,8.24,8.24,3.88,215082
12/09/1990,8.18,8.35,8.18,8.35,3.93,838706
13/09/1990,8.29,8.29,8.18,8.24,3.88,368940
14/09/1990,8.18,8.18,8.07,8.18,3.85,872163
17/09/1990,8.13,8.24,8.13,8.18,3.85,373036
18/09/1990,8.13,8.18,8.13,8.18,3.85,674379
19/09/1990,8.13,8.18,8.07,8.13,3.83,711478
20/09/1990,8.07,8.13,7.96,8.02,3.77,1635534
21/09/1990,8.07,8.07,7.91,7.96,3.75,1294361
24/09/1990,7.85,7.85,7.69,7.74,3.65,799331
25/09/1990,7.63,7.8,7.63,7.69,3.62,786358
26/09/1990,7.63,7.63,7.52,7.58,3.57,646839
27/09/1990,7.63,7.63,7.47,7.58,3.57,785220
28/09/1990,7.52,7.58,7.25,7.52,3.54,489568
01/10/1990,7.47,7.58,7.3,7.41,3.49,1426597
02/10/1990,7.47,7.52,7.36,7.36,3.46,568317
03/10/1990,7.25,7.36,7.14,7.19,3.39,1017144
04/10/1990,7.25,7.41,7.25,7.3,3.44,1048781
05/10/1990,7.19,7.3,7.14,7.25,3.41,984370
08/10/1990,7.25,7.36,7.19,7.19,3.39,326606
09/10/1990,7.14,7.14,7.08,7.08,3.34,241711
10/10/1990,7.08,7.19,7.03,7.03,3.31,571048
11/10/1990,7.03,7.08,7.03,7.08,3.34,313633
12/10/1990,7.03,7.19,7.03,7.08,3.34,1473710
15/10/1990,7.19,7.19,6.97,7.03,3.34,597678
16/10/1990,6.97,6.97,6.87,6.87,3.26,1434563
17/10/1990,6.76,6.81,6.48,6.48,3.08,855776
18/10/1990,6.43,6.59,6.43,6.59,3.13,370533
19/10/1990,6.65,6.7,6.54,6.59,3.13,412866
22/10/1990,6.59,6.65,6.54,6.65,3.16,207571
23/10/1990,6.59,6.7,6.54,6.59,3.13,430619
24/10/1990,6.65,6.65,6.59,6.59,3.13,329565
25/10/1990,6.65,6.65,6.48,6.48,3.08,377588
26/10/1990,6.54,6.54,6.32,6.32,3.0,1079279
29/10/1990,6.37,6.54,6.37,6.43,3.05,613610
30/10/1990,6.37,6.48,6.37,6.43,3.05,551475
31/10/1990,6.48,6.48,6.43,6.43,3.05,395796
01/11/1990,6.43,6.54,6.43,6.48,3.08,684393
02/11/1990,6.43,6.65,6.43,6.48,3.08,1507395
05/11/1990,6.59,6.7,6.48,6.54,3.1,922008
06/11/1990,6.48,6.54,6.26,6.48,3.08,825050
07/11/1990,6.43,6.48,6.37,6.37,3.03,411501
