Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.59,8.72,8.56,8.72,4.47,3128000
03/01/1990,8.69,8.69,8.56,8.62,4.42,4244800
04/01/1990,8.62,8.66,8.44,8.47,4.34,3026400
05/01/1990,8.44,8.5,8.22,8.31,4.26,4822400
08/01/1990,8.28,8.5,8.22,8.47,4.34,3346000
09/01/1990,8.5,8.56,8.41,8.41,4.31,4269200
10/01/1990,8.31,8.38,8.16,8.25,4.23,4530000
11/01/1990,8.31,8.47,8.16,8.19,4.2,2773600
12/01/1990,8.12,8.12,7.75,8.03,4.12,5225200
15/01/1990,8.0,8.12,7.88,7.94,4.07,4260000
16/01/1990,7.81,8.03,7.75,8.03,4.12,4524400
17/01/1990,8.03,8.09,7.94,8.03,4.12,2595200
18/01/1990,7.88,8.12,7.84,8.06,4.13,3970000
19/01/1990,8.03,8.06,7.94,7.97,4.08,3051200
22/01/1990,7.94,7.94,7.69,7.75,3.97,3492800
23/01/1990,7.81,7.94,7.75,7.88,4.04,2500800
24/01/1990,7.78,7.91,7.66,7.75,3.97,4014000
25/01/1990,7.88,7.91,7.66,7.72,3.96,2848400
26/01/1990,7.69,7.94,7.59,7.81,4.0,4648400
29/01/1990,7.78,7.91,7.66,7.81,4.0,2763200
30/01/1990,7.78,7.94,7.75,7.81,4.0,4034400
31/01/1990,7.88,8.16,7.88,8.16,4.18,3586800
01/02/1990,8.16,8.34,8.16,8.28,4.24,4661600
02/02/1990,8.25,8.38,8.25,8.31,4.26,3623600
05/02/1990,8.25,8.38,8.25,8.38,4.29,2855600
06/02/1990,8.31,8.34,8.25,8.28,4.24,2838400
07/02/1990,8.31,8.47,8.19,8.47,4.34,4014000
08/02/1990,8.44,8.5,8.28,8.28,4.24,4473600
09/02/1990,8.34,8.38,8.22,8.25,4.23,3262000
12/02/1990,8.22,8.25,8.12,8.12,4.16,2018400
13/02/1990,8.09,8.16,8.03,8.16,4.18,3273200
14/02/1990,8.12,8.16,8.03,8.06,4.13,2158800
15/02/1990,8.09,8.22,8.06,8.22,4.21,2292000
16/02/1990,8.22,8.22,8.06,8.09,4.15,3282400
20/02/1990,8.0,8.06,7.91,7.97,4.08,2610000
21/02/1990,7.81,7.91,7.81,7.81,4.0,3957600
22/02/1990,7.81,7.91,7.75,7.81,4.0,2979200
23/02/1990,7.72,7.78,7.66,7.69,3.94,4256400
26/02/1990,7.66,7.88,7.66,7.88,4.04,3562400
27/02/1990,7.81,7.97,7.78,7.91,4.06,3072800
28/02/1990,7.94,8.06,7.88,7.88,4.05,3367200
01/03/1990,7.91,7.94,7.78,7.88,4.05,3275200
02/03/1990,7.91,8.0,7.88,7.94,4.08,2934800
05/03/1990,7.97,8.0,7.94,8.0,4.11,1977200
06/03/1990,8.0,8.03,7.94,8.0,4.11,3800000
07/03/1990,8.0,8.03,7.78,7.78,4.0,3456000
08/03/1990,7.84,8.0,7.78,8.0,4.11,3044400
09/03/1990,8.0,8.06,7.94,8.03,4.13,2304000
12/03/1990,7.97,8.0,7.91,8.0,4.11,2383200
13/03/1990,7.94,7.97,7.88,7.91,4.06,2369600
14/03/1990,7.97,7.97,7.84,7.94,4.08,2038000
15/03/1990,7.91,7.97,7.88,7.91,4.06,2024400
16/03/1990,7.97,7.97,7.94,7.97,4.09,4211600
19/03/1990,7.97,8.19,7.88,8.19,4.21,4793200
20/03/1990,8.12,8.19,8.06,8.09,4.16,3330800
21/03/1990,8.09,8.12,7.91,7.97,4.09,1659600
22/03/1990,7.84,7.91,7.75,7.88,4.05,4283600
23/03/1990,7.94,7.97,7.81,7.84,4.03,1635200
26/03/1990,7.88,7.94,7.84,7.84,4.03,1956000
27/03/1990,7.84,7.97,7.81,7.97,4.09,2750000
28/03/1990,8.0,8.03,7.94,7.97,4.09,2410800
29/03/1990,7.94,7.97,7.84,7.91,4.06,2060800
30/03/1990,7.91,8.06,7.88,7.94,4.08,2594800
02/04/1990,7.88,7.94,7.81,7.91,4.06,2372800
03/04/1990,7.91,8.03,7.91,8.0,4.11,1872800
04/04/1990,7.94,8.0,7.88,7.88,4.05,2658400
05/04/1990,7.88,7.94,7.84,7.88,4.05,2044000
06/04/1990,7.91,7.91,7.75,7.81,4.01,1904800
09/04/1990,7.78,7.97,7.75,7.97,4.09,2602000
10/04/1990,7.97,8.12,7.94,8.06,4.14,3718800
11/04/1990,8.09,8.12,8.03,8.03,4.13,1948800
12/04/1990,8.03,8.22,8.03,8.16,4.19,2447600
16/04/1990,8.22,8.31,8.16,8.22,4.22,2835600
17/04/1990,8.16,8.28,8.12,8.25,4.24,2768000
18/04/1990,8.28,8.28,8.06,8.09,4.16,2541600
19/04/1990,8.03,8.09,7.97,7.97,4.09,1995600
20/04/1990,7.97,8.0,7.75,7.88,4.05,4820400
23/04/1990,7.88,7.88,7.69,7.78,4.0,3690000
24/04/1990,7.78,7.84,7.69,7.72,3.97,2756400
25/04/1990,7.75,7.78,7.72,7.72,3.97,2880400
26/04/1990,7.75,7.78,7.59,7.66,3.93,4033600
27/04/1990,7.66,7.72,7.59,7.59,3.9,4776000
30/04/1990,7.59,7.62,7.5,7.56,3.89,3803200
01/05/1990,7.56,7.69,7.5,7.66,3.93,3445600
02/05/1990,7.66,7.78,7.66,7.78,4.0,1776800
03/05/1990,7.81,7.94,7.78,7.81,4.01,4505600
04/05/1990,7.88,7.97,7.78,7.97,4.09,2851600
07/05/1990,7.97,8.03,7.91,7.94,4.08,2378800
08/05/1990,7.91,7.94,7.81,7.84,4.03,2984000
09/05/1990,7.78,7.97,7.78,7.94,4.08,3361600
10/05/1990,7.94,8.06,7.91,7.97,4.09,3478400
11/05/1990,8.0,8.19,7.97,8.16,4.19,8518800
14/05/1990,8.12,8.25,8.06,8.12,4.17,5972800
15/05/1990,8.03,8.09,7.97,8.03,4.13,3652800
16/05/1990,8.0,8.06,7.91,7.94,4.08,3352400
17/05/1990,7.97,8.06,7.94,7.97,4.09,3609200
18/05/1990,8.0,8.22,7.94,8.19,4.21,4956800
21/05/1990,8.19,8.38,8.09,8.38,4.3,4436800
22/05/1990,8.44,8.5,8.34,8.41,4.32,3956400
23/05/1990,8.31,8.53,8.25,8.53,4.38,4913600
24/05/1990,8.62,8.88,8.59,8.78,4.51,7754000
25/05/1990,8.72,8.72,8.59,8.59,4.42,2594400
29/05/1990,8.62,8.75,8.56,8.69,4.46,2357200
30/05/1990,8.75,8.75,8.59,8.66,4.46,4573200
31/05/1990,8.56,8.66,8.56,8.66,4.46,2806400
01/06/1990,8.75,9.19,8.66,8.88,4.57,4931200
04/06/1990,8.84,9.09,8.56,9.09,4.68,4961200
05/06/1990,9.16,9.19,8.88,8.94,4.6,8258400
06/06/1990,8.84,8.94,8.72,8.78,4.52,3402400
07/06/1990,8.81,8.88,8.66,8.84,4.56,2962400
08/06/1990,8.78,8.81,8.59,8.69,4.47,2798400
11/06/1990,8.62,8.88,8.59,8.84,4.56,3076400
12/06/1990,8.91,9.12,8.84,9.03,4.65,4192800
13/06/1990,9.06,9.16,8.94,9.06,4.67,4071600
14/06/1990,9.06,9.09,8.84,8.91,4.59,2912800
15/06/1990,8.81,8.94,8.81,8.84,4.56,4158800
18/06/1990,8.84,9.0,8.78,8.81,4.54,3657600
19/06/1990,8.81,8.88,8.81,8.84,4.56,2940400
20/06/1990,8.88,8.94,8.78,8.81,4.54,2515600
21/06/1990,8.84,8.88,8.66,8.81,4.54,3616400
22/06/1990,8.75,8.81,8.38,8.56,4.41,2782400
25/06/1990,8.62,8.94,8.56,8.56,4.41,3035600
26/06/1990,8.69,8.75,8.56,8.56,4.41,2205200
27/06/1990,8.56,8.72,8.56,8.66,4.46,1991600
28/06/1990,8.69,9.03,8.66,8.97,4.62,3812800
29/06/1990,8.97,9.06,8.84,8.88,4.57,2924800
02/07/1990,8.91,8.94,8.84,8.91,4.59,1792000
03/07/1990,9.0,9.16,8.97,9.0,4.64,2157200
05/07/1990,8.94,8.97,8.75,8.84,4.56,2613200
06/07/1990,8.88,8.97,8.81,8.94,4.6,1470400
09/07/1990,9.0,9.03,8.94,9.0,4.64,2040800
10/07/1990,8.97,9.0,8.88,8.88,4.57,2776000
11/07/1990,8.94,9.0,8.88,9.0,4.64,2435200
12/07/1990,9.0,9.28,9.0,9.25,4.76,5433600
13/07/1990,9.31,9.62,9.25,9.25,4.76,6925200
16/07/1990,9.31,9.53,9.28,9.44,4.86,3828000
17/07/1990,9.44,9.53,9.34,9.53,4.91,3935600
18/07/1990,9.47,9.5,9.41,9.5,4.89,2729600
19/07/1990,9.5,9.5,9.19,9.38,4.83,2722800
20/07/1990,9.38,9.44,8.88,9.0,4.64,3421200
23/07/1990,8.19,8.38,7.91,8.25,4.25,16860800
24/07/1990,8.25,8.34,7.78,8.31,4.28,7170400
25/07/1990,8.31,8.38,8.28,8.31,4.28,4081600
26/07/1990,8.22,8.25,8.06,8.16,4.2,5297200
27/07/1990,8.19,8.22,7.84,7.94,4.09,540800
30/07/1990,7.88,8.03,7.75,8.03,4.14,5655600
31/07/1990,7.94,8.0,7.81,7.84,4.04,5311600
01/08/1990,7.84,7.84,7.69,7.78,4.01,5664800
02/08/1990,7.75,7.75,7.5,7.69,3.96,5073600
03/08/1990,7.59,7.59,7.38,7.56,3.9,10657200
06/08/1990,7.31,7.47,7.22,7.28,3.75,6693600
07/08/1990,7.38,7.47,6.88,7.44,3.83,8657600
08/08/1990,7.44,7.56,7.19,7.53,3.88,6063600
09/08/1990,7.59,7.75,7.47,7.72,3.98,2954400
10/08/1990,7.66,7.66,7.34,7.47,3.85,4451600
13/08/1990,7.34,7.5,7.28,7.44,3.83,2960400
14/08/1990,7.5,7.53,7.38,7.5,3.86,2031600
15/08/1990,7.53,7.56,7.47,7.53,3.88,2261200
16/08/1990,7.47,7.47,7.25,7.25,3.73,3073600
17/08/1990,7.06,7.12,7.0,7.06,3.64,5909600
20/08/1990,7.06,7.22,7.03,7.09,3.65,2496400
21/08/1990,7.0,7.09,6.78,7.0,3.61,5644000
22/08/1990,7.03,7.06,6.84,6.91,3.56,3335200
23/08/1990,6.53,6.75,6.41,6.62,3.41,6626400
24/08/1990,6.94,6.94,6.69,6.84,3.53,4584400
27/08/1990,7.31,7.31,7.0,7.06,3.65,4550000
28/08/1990,7.09,7.09,6.84,6.97,3.6,3219200
29/08/1990,6.94,6.97,6.81,6.88,3.55,4519200
30/08/1990,6.91,7.0,6.88,6.94,3.58,2544000
31/08/1990,6.94,7.0,6.88,6.97,3.6,1645200
04/09/1990,6.88,7.0,6.84,7.0,3.62,1895200
05/09/1990,6.97,7.03,6.78,6.91,3.57,2756800
06/09/1990,6.88,6.91,6.66,6.69,3.46,2775200
07/09/1990,6.62,6.97,6.62,6.97,3.6,4934400
10/09/1990,6.97,7.16,6.91,6.91,3.57,3243600
11/09/1990,6.81,6.94,6.72,6.94,3.58,3064000
12/09/1990,7.03,7.06,6.81,6.88,3.55,3442800
13/09/1990,6.81,6.84,6.66,6.72,3.47,3046400
14/09/1990,6.69,6.72,6.62,6.72,3.47,3151200
17/09/1990,6.66,6.75,6.59,6.59,3.41,2605600
18/09/1990,6.53,6.72,6.5,6.72,3.47,2783600
19/09/1990,6.72,6.72,6.53,6.56,3.39,251200
20/09/1990,6.53,6.56,6.41,6.44,3.33,3482800
21/09/1990,6.47,6.47,6.38,6.44,3.33,3482800
24/09/1990,6.41,6.41,6.28,6.34,3.28,3858400
25/09/1990,6.31,6.53,6.25,6.53,3.37,3510000
26/09/1990,6.47,6.56,6.34,6.47,3.34,3324400
27/09/1990,6.53,6.62,6.38,6.44,3.33,1728800
