Date,Open,High,Low,Close,Adj Close,Volume
19/03/1993,0.33,0.36,0.32,0.33,0.19,90045169
22/03/1993,0.32,0.32,0.31,0.31,0.18,13600406
23/03/1993,0.31,0.32,0.31,0.31,0.18,8301488
24/03/1993,0.32,0.32,0.31,0.32,0.18,3663225
25/03/1993,0.32,0.33,0.32,0.33,0.19,4250981
26/03/1993,0.33,0.35,0.33,0.34,0.2,8315156
29/03/1993,0.35,0.35,0.34,0.35,0.2,7362900
30/03/1993,0.35,0.35,0.34,0.35,0.2,3809025
31/03/1993,0.36,0.36,0.35,0.35,0.2,3321506
01/04/1993,0.35,0.36,0.35,0.35,0.2,1421550
02/04/1993,0.36,0.36,0.35,0.36,0.2,1904513
05/04/1993,0.36,0.36,0.35,0.35,0.2,441956
06/04/1993,0.35,0.35,0.35,0.35,0.2,874800
07/04/1993,0.35,0.35,0.35,0.35,0.2,1366875
08/04/1993,0.35,0.36,0.35,0.36,0.2,947700
12/04/1993,0.36,0.36,0.35,0.35,0.2,186806
13/04/1993,0.36,0.37,0.35,0.36,0.21,2022975
14/04/1993,0.36,0.39,0.36,0.38,0.21,6187388
15/04/1993,0.38,0.38,0.36,0.36,0.21,3544763
16/04/1993,0.37,0.37,0.36,0.37,0.21,2063981
19/04/1993,0.37,0.37,0.35,0.36,0.2,1672144
20/04/1993,0.36,0.36,0.35,0.36,0.2,2360138
21/04/1993,0.35,0.38,0.35,0.37,0.21,3166594
22/04/1993,0.37,0.4,0.37,0.39,0.22,2984344
23/04/1993,0.4,0.41,0.39,0.41,0.23,1868063
26/04/1993,0.41,0.42,0.4,0.41,0.24,3521981
27/04/1993,0.41,0.43,0.41,0.43,0.25,2916000
28/04/1993,0.43,0.47,0.43,0.46,0.26,7900538
29/04/1993,0.46,0.47,0.42,0.44,0.25,8214919
30/04/1993,0.45,0.47,0.44,0.47,0.27,5216906
03/05/1993,0.46,0.47,0.46,0.47,0.27,1795163
04/05/1993,0.47,0.47,0.45,0.45,0.26,1612913
05/05/1993,0.45,0.47,0.45,0.46,0.26,1025156
06/05/1993,0.47,0.47,0.46,0.47,0.27,154913
07/05/1993,0.47,0.49,0.47,0.49,0.28,1895400
10/05/1993,0.49,0.52,0.49,0.52,0.29,5900344
11/05/1993,0.52,0.52,0.5,0.52,0.29,2847656
12/05/1993,0.52,0.52,0.5,0.52,0.29,1854394
13/05/1993,0.52,0.52,0.49,0.49,0.28,2574281
14/05/1993,0.49,0.5,0.49,0.49,0.28,2328244
17/05/1993,0.49,0.52,0.49,0.51,0.29,596869
18/05/1993,0.52,0.53,0.52,0.53,0.3,1931850
19/05/1993,0.53,0.53,0.52,0.52,0.3,2009306
20/05/1993,0.54,0.54,0.52,0.53,0.3,984150
21/05/1993,0.54,0.54,0.52,0.54,0.31,369056
24/05/1993,0.53,0.53,0.49,0.5,0.29,1590131
25/05/1993,0.5,0.5,0.5,0.5,0.29,1170956
26/05/1993,0.5,0.52,0.5,0.52,0.29,405506
27/05/1993,0.51,0.52,0.5,0.51,0.29,1603800
28/05/1993,0.5,0.51,0.5,0.51,0.29,223256
01/06/1993,0.5,0.51,0.5,0.5,0.29,437400
02/06/1993,0.51,0.51,0.5,0.5,0.29,132131
03/06/1993,0.5,0.51,0.5,0.5,0.29,419175
04/06/1993,0.5,0.51,0.46,0.47,0.27,2715525
07/06/1993,0.47,0.48,0.47,0.48,0.28,2355581
08/06/1993,0.47,0.47,0.43,0.44,0.25,5039213
09/06/1993,0.46,0.47,0.44,0.46,0.26,2269013
10/06/1993,0.46,0.48,0.46,0.47,0.27,405506
11/06/1993,0.49,0.52,0.48,0.52,0.29,1344094
14/06/1993,0.52,0.54,0.5,0.53,0.3,7176094
15/06/1993,0.54,0.54,0.53,0.54,0.31,2114100
16/06/1993,0.54,0.59,0.54,0.58,0.33,4948088
17/06/1993,0.58,0.58,0.57,0.58,0.33,5836556
18/06/1993,0.57,0.58,0.57,0.58,0.33,883913
