Date,Open,High,Low,Close,Adj Close,Volume
31/10/1994,8.19,8.31,8.19,8.31,6.55,1984200
01/11/1994,8.31,8.31,8.19,8.25,6.51,2176400
02/11/1994,8.25,8.25,8.19,8.19,6.46,2348200
03/11/1994,8.19,8.25,8.12,8.19,6.46,2060800
04/11/1994,8.19,8.25,8.12,8.12,6.41,2663800
07/11/1994,8.06,8.06,8.0,8.06,6.36,1049400
08/11/1994,8.06,8.06,7.88,7.88,6.21,5761000
09/11/1994,7.94,8.06,7.94,8.0,6.31,2480000
10/11/1994,8.0,8.06,8.0,8.06,6.36,1956000
11/11/1994,8.06,8.06,8.0,8.0,6.31,1300200
14/11/1994,7.94,7.94,7.88,7.94,6.26,1419200
15/11/1994,7.94,7.94,7.88,7.88,6.21,3118800
16/11/1994,7.88,7.94,7.88,7.88,6.21,813400
17/11/1994,7.88,7.88,7.75,7.81,6.16,1477600
18/11/1994,7.81,7.81,7.69,7.75,6.11,2452600
21/11/1994,7.75,7.75,7.56,7.56,5.96,3276000
22/11/1994,7.56,7.62,7.44,7.44,5.86,2725000
23/11/1994,7.44,7.5,7.31,7.5,5.91,2634200
25/11/1994,7.5,7.5,7.5,7.5,5.91,640800
28/11/1994,7.5,7.56,7.44,7.56,5.96,1583400
29/11/1994,7.56,7.56,7.44,7.5,5.91,1056400
30/11/1994,7.5,7.5,7.44,7.5,5.91,1086800
01/12/1994,7.5,7.5,7.44,7.44,5.86,979000
02/12/1994,7.44,7.5,7.38,7.5,5.91,1257200
05/12/1994,7.5,7.56,7.44,7.44,5.86,1071200
06/12/1994,7.44,7.44,7.38,7.44,5.86,1819200
07/12/1994,7.44,7.44,7.31,7.38,5.82,1223400
08/12/1994,7.38,7.44,7.38,7.38,5.82,1178400
09/12/1994,7.38,7.38,7.31,7.38,5.82,1682000
12/12/1994,7.38,7.44,7.31,7.38,5.82,1011400
13/12/1994,7.38,7.5,7.38,7.44,5.86,1555200
14/12/1994,7.44,7.5,7.44,7.5,5.91,1351600
15/12/1994,7.5,7.56,7.38,7.5,5.91,2600400
16/12/1994,7.5,7.56,7.44,7.5,5.91,3428800
19/12/1994,7.5,7.62,7.38,7.56,5.96,3590000
20/12/1994,7.56,7.62,7.56,7.62,6.01,1464200
21/12/1994,7.62,7.69,7.62,7.62,6.01,3717600
22/12/1994,7.62,7.75,7.62,7.75,6.11,1467200
23/12/1994,7.75,7.75,7.62,7.62,6.01,1012000
27/12/1994,7.62,7.75,7.62,7.75,6.11,3242800
28/12/1994,7.75,7.75,7.62,7.75,6.11,1814400
29/12/1994,7.75,7.81,7.75,7.81,6.16,1436200
30/12/1994,7.81,7.81,7.69,7.81,6.16,1365600
03/01/1995,7.81,7.81,7.69,7.75,6.11,1064200
04/01/1995,7.75,7.81,7.62,7.69,6.06,1751600
05/01/1995,7.69,7.75,7.62,7.75,6.11,1600200
06/01/1995,7.75,7.81,7.69,7.69,6.06,2230600
09/01/1995,7.69,7.75,7.62,7.69,6.06,2108800
