Date,Open,High,Low,Close,Adj Close,Volume
13/06/2001,31.5,32.0,31.09,31.25,11.84,69567200
14/06/2001,31.0,31.0,29.5,30.15,11.43,31979800
15/06/2001,30.0,30.75,29.95,30.6,11.6,14369300
18/06/2001,30.06,30.6,30.06,30.32,11.49,4019800
19/06/2001,30.6,30.71,30.21,30.4,11.52,5690300
20/06/2001,30.4,30.59,30.18,30.3,11.48,3791600
21/06/2001,30.35,30.35,30.0,30.0,11.37,6027200
22/06/2001,30.0,30.02,29.76,30.0,11.37,4847700
25/06/2001,30.0,30.15,29.85,30.15,11.43,2420300
26/06/2001,30.0,30.08,29.81,30.04,11.38,3333300
27/06/2001,29.95,30.0,29.81,29.94,11.35,3182300
28/06/2001,29.98,30.44,29.97,30.41,11.52,2778100
29/06/2001,30.5,31.0,30.33,31.0,11.75,5777800
02/07/2001,30.7,30.7,30.42,30.47,11.55,3167600
03/07/2001,30.46,30.64,30.42,30.56,11.58,608700
05/07/2001,30.75,31.03,30.63,30.93,11.72,2085500
06/07/2001,30.98,30.98,30.5,30.65,11.62,945300
09/07/2001,30.6,30.74,30.25,30.38,11.51,2295300
10/07/2001,30.45,30.85,30.28,30.35,11.5,3301300
11/07/2001,30.36,30.36,30.0,30.3,11.48,2023000
12/07/2001,30.65,30.9,30.2,30.9,11.71,1912500
13/07/2001,30.9,30.98,30.46,30.73,11.65,995400
16/07/2001,30.73,31.01,30.65,30.71,11.64,1198100
17/07/2001,30.89,31.45,30.85,31.45,11.92,3792700
18/07/2001,31.45,31.5,30.8,31.49,11.93,5645100
19/07/2001,31.74,31.74,30.19,31.32,11.87,3326000
20/07/2001,31.25,31.34,31.01,31.2,11.82,1390900
23/07/2001,31.1,31.19,30.92,31.0,11.75,1756000
24/07/2001,31.18,31.19,30.9,31.07,11.78,1146500
25/07/2001,31.0,31.0,30.51,30.7,11.63,860600
26/07/2001,30.95,31.19,30.62,31.12,11.79,1901900
27/07/2001,31.2,31.2,30.81,30.91,11.71,1541800
30/07/2001,31.09,31.1,30.5,30.6,11.6,1233900
31/07/2001,30.5,31.16,30.5,30.95,11.73,2020200
01/08/2001,30.9,31.01,30.58,30.78,11.67,2302200
02/08/2001,30.7,31.17,30.65,30.95,11.73,2700000
03/08/2001,30.86,30.98,30.5,30.7,11.63,456800
06/08/2001,30.71,30.84,30.25,30.35,11.5,847600
