Date,Open,High,Low,Close,Adj Close,Volume
18/05/2012,42.05,45.0,38.0,38.23,38.19,573576400
21/05/2012,36.53,36.66,33.0,34.03,33.99,168192700
22/05/2012,32.61,33.59,30.94,31.0,30.97,101786600
23/05/2012,31.37,32.5,31.36,32.0,31.97,73600000
24/05/2012,32.95,33.21,31.77,33.03,32.99,50237200
25/05/2012,32.9,32.95,31.11,31.91,31.88,37149800
29/05/2012,31.48,31.69,28.65,28.84,28.81,78063400
30/05/2012,28.7,29.55,27.86,28.19,28.16,57267900
31/05/2012,28.55,29.67,26.83,29.6,29.57,111639200
01/06/2012,28.89,29.15,27.39,27.72,27.69,41855500
04/06/2012,27.2,27.65,26.44,26.9,26.87,35230300
05/06/2012,26.7,27.76,25.75,25.87,25.84,42473400
06/06/2012,26.07,27.17,25.52,26.81,26.78,61489200
07/06/2012,27.0,27.35,26.15,26.31,26.28,26159500
08/06/2012,26.55,27.76,26.44,27.1,27.07,38034000
11/06/2012,27.18,28.07,26.84,27.01,26.98,28219600
12/06/2012,27.48,27.77,26.96,27.4,27.37,15816800
13/06/2012,27.66,28.1,27.1,27.27,27.24,17102800
14/06/2012,27.65,28.32,27.38,28.29,28.26,16855000
15/06/2012,28.51,30.1,28.35,30.01,29.98,43563800
18/06/2012,29.96,32.08,29.41,31.41,31.38,42978900
19/06/2012,31.54,32.18,30.7,31.91,31.88,30849000
20/06/2012,31.92,31.93,31.15,31.6,31.57,15553600
21/06/2012,31.67,32.5,31.51,31.84,31.81,21875300
22/06/2012,32.41,33.45,32.06,33.05,33.01,74834000
25/06/2012,32.86,33.02,31.55,32.06,32.03,24352900
26/06/2012,32.69,33.44,32.5,33.1,33.06,24858700
27/06/2012,32.46,32.9,31.9,32.23,32.2,28568000
28/06/2012,31.96,32.19,30.9,31.36,31.33,17713300
29/06/2012,31.92,31.99,30.76,31.1,31.07,19526900
02/07/2012,31.25,31.73,30.55,30.77,30.74,14122000
03/07/2012,30.91,31.44,30.8,31.2,31.17,8763600
05/07/2012,31.32,31.63,31.02,31.47,31.44,10032100
06/07/2012,31.44,31.9,31.26,31.73,31.7,10945600
09/07/2012,32.1,32.88,31.99,32.17,32.14,17785200
10/07/2012,32.43,32.48,31.16,31.47,31.44,14269500
11/07/2012,31.48,31.56,30.55,30.97,30.94,13030300
12/07/2012,30.7,31.4,30.6,30.81,30.78,11300700
13/07/2012,31.04,31.07,30.56,30.72,30.69,8108300
16/07/2012,30.5,30.5,28.21,28.25,28.22,24672100
17/07/2012,28.48,28.59,27.15,28.09,28.06,30438600
18/07/2012,28.31,29.29,28.15,29.11,29.08,16841800
19/07/2012,29.41,29.5,28.63,29.0,28.97,13685100
20/07/2012,29.0,29.47,28.72,28.76,28.73,11869100
23/07/2012,28.12,29.0,28.01,28.75,28.72,12390700
24/07/2012,28.82,29.45,28.1,28.45,28.42,11539800
25/07/2012,28.39,29.49,28.08,29.34,29.31,17230200
26/07/2012,27.75,28.23,26.73,26.85,26.82,64597400
27/07/2012,23.19,24.54,22.28,23.71,23.68,123102300
30/07/2012,24.0,24.04,23.03,23.15,23.13,29285900
31/07/2012,23.37,23.37,21.61,21.71,21.69,56179400
01/08/2012,21.5,21.58,20.84,20.88,20.86,44604400
02/08/2012,20.77,20.84,19.82,20.04,20.02,56374500
03/08/2012,20.36,22.16,19.9,21.09,21.07,80647000
06/08/2012,21.39,22.15,21.3,21.92,21.9,27778900
07/08/2012,22.2,22.45,20.5,20.72,20.7,36782900
08/08/2012,20.71,21.15,20.22,20.72,20.7,29537400
09/08/2012,20.75,21.17,20.61,21.01,20.99,15610700
10/08/2012,21.41,21.82,21.13,21.81,21.79,25794700
