Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,3.22,3.17,3.2,1.58,569600
03/01/1990,0.0,3.22,3.19,3.19,1.58,1988800
04/01/1990,0.0,3.22,3.19,3.2,1.58,355200
05/01/1990,0.0,3.22,3.17,3.17,1.57,3070400
08/01/1990,0.0,3.2,3.16,3.17,1.57,3081600
09/01/1990,0.0,3.19,3.03,3.03,1.5,2798400
10/01/1990,0.0,3.03,2.77,2.78,1.38,5043200
11/01/1990,0.0,2.86,2.8,2.8,1.38,7345600
12/01/1990,0.0,2.81,2.71,2.81,1.39,7579200
15/01/1990,0.0,2.81,2.75,2.77,1.37,1875200
16/01/1990,0.0,2.78,2.72,2.78,1.38,1824000
17/01/1990,0.0,2.81,2.77,2.81,1.39,1185600
18/01/1990,0.0,2.83,2.77,2.81,1.39,2022400
19/01/1990,0.0,2.88,2.81,2.88,1.42,1683200
22/01/1990,0.0,2.91,2.75,2.81,1.39,817600
23/01/1990,0.0,2.84,2.77,2.78,1.38,1204000
24/01/1990,0.0,2.75,2.69,2.72,1.34,4342400
25/01/1990,0.0,2.78,2.66,2.66,1.31,2132000
26/01/1990,0.0,2.69,2.5,2.59,1.28,3225600
29/01/1990,0.0,2.59,2.47,2.56,1.27,2889600
30/01/1990,0.0,2.56,2.5,2.5,1.24,1430400
31/01/1990,0.0,2.59,2.5,2.56,1.27,349600
01/02/1990,0.0,2.56,2.5,2.53,1.25,1361600
02/02/1990,0.0,2.56,2.44,2.44,1.21,605600
05/02/1990,0.0,2.5,2.41,2.47,1.22,1244800
06/02/1990,0.0,2.47,2.41,2.47,1.22,2666400
07/02/1990,0.0,2.47,2.44,2.47,1.22,1289600
08/02/1990,0.0,2.47,2.34,2.34,1.16,3352000
09/02/1990,0.0,2.56,2.44,2.53,1.25,3427200
12/02/1990,0.0,2.59,2.53,2.59,1.28,338400
13/02/1990,0.0,2.66,2.56,2.62,1.3,760000
14/02/1990,0.0,2.62,2.56,2.59,1.28,1318400
15/02/1990,0.0,2.62,2.56,2.62,1.3,100000
16/02/1990,0.0,2.75,2.56,2.69,1.33,414400
20/02/1990,0.0,2.78,2.66,2.78,1.38,427200
21/02/1990,0.0,2.78,2.69,2.72,1.34,292800
22/02/1990,0.0,2.81,2.72,2.72,1.34,1124800
23/02/1990,0.0,2.75,2.67,2.69,1.33,1446400
26/02/1990,0.0,2.72,2.66,2.72,1.34,1672000
27/02/1990,0.0,2.72,2.66,2.72,1.34,699200
28/02/1990,0.0,2.72,2.66,2.66,1.31,1520000
01/03/1990,0.0,2.72,2.66,2.66,1.31,1500800
02/03/1990,0.0,2.72,2.66,2.72,1.34,910400
05/03/1990,0.0,2.72,2.66,2.66,1.31,713600
06/03/1990,0.0,2.69,2.62,2.62,1.3,801600
07/03/1990,0.0,2.66,2.61,2.66,1.31,1176800
08/03/1990,0.0,2.66,2.56,2.56,1.27,1120000
09/03/1990,0.0,2.62,2.53,2.56,1.27,1103200
12/03/1990,0.0,2.56,2.53,2.55,1.26,3487200
13/03/1990,0.0,2.58,2.5,2.53,1.25,1752000
14/03/1990,0.0,2.66,2.52,2.66,1.31,2656800
15/03/1990,0.0,2.62,2.53,2.56,1.27,903200
16/03/1990,0.0,2.59,2.53,2.53,1.25,1107200
19/03/1990,0.0,2.59,2.52,2.55,1.26,1525600
20/03/1990,0.0,2.59,2.53,2.56,1.27,488800
21/03/1990,0.0,2.59,2.53,2.53,1.25,772000
22/03/1990,0.0,2.59,2.53,2.53,1.25,614400
23/03/1990,0.0,2.59,2.53,2.58,1.27,2490400
26/03/1990,2.59,2.59,2.53,2.59,1.28,116000
27/03/1990,2.56,2.56,2.53,2.56,1.27,642400
28/03/1990,2.56,2.56,2.53,2.56,1.27,291200
29/03/1990,2.56,2.59,2.53,2.56,1.27,1314400
30/03/1990,2.62,2.75,2.53,2.75,1.37,984800
02/04/1990,2.66,2.75,2.66,2.69,1.34,249600
03/04/1990,2.75,2.94,2.75,2.88,1.43,674400
04/04/1990,2.94,2.94,2.84,2.84,1.41,231200
05/04/1990,2.91,2.92,2.84,2.91,1.44,256800
06/04/1990,2.94,2.97,2.88,2.91,1.44,213600
09/04/1990,2.91,3.0,2.91,2.94,1.46,405600
10/04/1990,2.94,3.0,2.84,2.84,1.41,1288800
11/04/1990,2.91,2.91,2.84,2.91,1.44,503200
12/04/1990,2.84,2.97,2.81,2.84,1.41,772800
16/04/1990,2.78,2.84,2.72,2.75,1.37,956800
17/04/1990,2.72,2.75,2.64,2.72,1.35,1268800
18/04/1990,2.72,2.75,2.66,2.66,1.32,1003200
19/04/1990,2.72,2.72,2.66,2.69,1.34,1481600
20/04/1990,2.66,2.72,2.66,2.7,1.34,1586400
23/04/1990,2.66,2.72,2.66,2.72,1.35,360000
24/04/1990,2.66,2.81,2.66,2.78,1.38,401600
25/04/1990,2.75,2.78,2.64,2.66,1.32,1365600
26/04/1990,2.66,2.69,2.64,2.69,1.34,720000
27/04/1990,2.69,2.72,2.66,2.72,1.35,84000
30/04/1990,2.66,2.69,2.53,2.58,1.28,811200
01/05/1990,2.66,2.69,2.62,2.62,1.31,1284000
02/05/1990,2.69,2.69,2.62,2.69,1.34,84800
03/05/1990,2.69,2.78,2.62,2.75,1.37,1129600
04/05/1990,2.75,2.84,2.75,2.78,1.38,1254400
07/05/1990,2.75,2.84,2.75,2.78,1.38,1332800
08/05/1990,2.78,2.81,2.78,2.78,1.38,659200
09/05/1990,2.78,2.81,2.78,2.78,1.38,235200
10/05/1990,2.81,2.81,2.75,2.78,1.38,1502400
11/05/1990,2.78,3.0,2.78,3.0,1.49,2388800
14/05/1990,3.0,3.0,2.94,2.94,1.46,1055200
15/05/1990,2.94,3.0,2.94,2.94,1.46,2167200
16/05/1990,2.97,2.97,2.91,2.97,1.48,1140800
17/05/1990,2.97,2.97,2.91,2.91,1.44,1189600
18/05/1990,2.97,2.97,2.91,2.94,1.46,236800
21/05/1990,2.91,2.97,2.91,2.91,1.44,1284000
22/05/1990,2.97,2.97,2.88,2.94,1.46,318400
23/05/1990,2.94,2.94,2.88,2.88,1.43,285600
24/05/1990,2.91,2.91,2.78,2.78,1.38,406400
25/05/1990,2.84,2.84,2.75,2.75,1.37,71200
29/05/1990,2.75,2.81,2.72,2.78,1.38,908800
30/05/1990,2.75,2.81,2.75,2.78,1.38,932800
31/05/1990,2.78,2.94,2.78,2.91,1.44,1857600
01/06/1990,2.94,2.94,2.88,2.88,1.43,2089600
04/06/1990,2.94,2.97,2.84,2.97,1.48,412000
05/06/1990,2.94,3.03,2.91,3.0,1.49,1700000
06/06/1990,2.97,3.06,2.97,2.98,1.48,1254400
07/06/1990,3.03,3.03,2.97,2.97,1.48,653600
08/06/1990,2.97,3.03,2.97,2.97,1.48,769600
11/06/1990,2.94,3.03,2.94,3.0,1.49,347200
12/06/1990,3.03,3.09,3.0,3.06,1.52,859200
13/06/1990,3.12,3.31,3.12,3.16,1.57,2042400
14/06/1990,3.16,3.25,3.16,3.23,1.61,736000
15/06/1990,3.19,3.23,3.19,3.19,1.58,784800
18/06/1990,3.19,3.25,3.19,3.19,1.58,442400
19/06/1990,3.16,3.22,3.16,3.22,1.6,1520000
20/06/1990,3.25,3.25,3.12,3.16,1.57,392800
21/06/1990,3.12,3.19,3.12,3.16,1.57,451200
22/06/1990,3.12,3.22,3.12,3.19,1.58,384000
25/06/1990,3.16,3.22,3.12,3.19,1.59,1469600
26/06/1990,3.22,3.25,3.16,3.22,1.61,752000
27/06/1990,3.16,3.22,3.16,3.22,1.61,400800
28/06/1990,3.19,3.25,3.19,3.25,1.62,340800
29/06/1990,3.25,3.25,3.16,3.16,1.58,293600
02/07/1990,3.22,3.22,3.16,3.16,1.58,330400
03/07/1990,3.16,3.19,3.12,3.14,1.57,514400
05/07/1990,3.14,3.19,3.12,3.16,1.58,376000
06/07/1990,3.09,3.16,3.06,3.09,1.55,612800
09/07/1990,3.09,3.22,3.09,3.17,1.58,414400
10/07/1990,3.22,3.22,3.16,3.16,1.58,497600
11/07/1990,3.12,3.16,3.09,3.16,1.58,232000
12/07/1990,3.16,3.19,3.09,3.12,1.56,81600
13/07/1990,3.19,3.19,3.03,3.09,1.55,620000
16/07/1990,3.09,3.22,3.06,3.22,1.61,1778400
17/07/1990,3.16,3.22,3.16,3.16,1.58,368000
18/07/1990,3.12,3.19,3.12,3.17,1.58,496800
19/07/1990,3.19,3.19,3.09,3.19,1.59,167200
20/07/1990,3.19,3.19,3.12,3.12,1.56,48000
23/07/1990,3.12,3.16,3.06,3.06,1.53,403200
24/07/1990,3.06,3.12,3.06,3.09,1.55,364000
25/07/1990,3.06,3.12,3.06,3.09,1.55,51200
26/07/1990,3.06,3.12,3.06,3.06,1.53,36000
27/07/1990,3.06,3.19,3.06,3.16,1.58,1166400
30/07/1990,3.09,3.16,3.09,3.09,1.55,100800
31/07/1990,3.16,3.16,3.09,3.16,1.58,286400
01/08/1990,3.16,3.16,3.09,3.16,1.58,284800
02/08/1990,3.16,3.16,3.09,3.09,1.55,928800
03/08/1990,3.09,3.12,2.88,3.0,1.5,1438400
06/08/1990,2.91,2.91,2.77,2.77,1.38,572000
07/08/1990,2.84,2.84,2.75,2.75,1.37,2053600
08/08/1990,2.81,2.84,2.75,2.84,1.42,433600
09/08/1990,2.88,2.88,2.78,2.81,1.4,350400
10/08/1990,2.84,2.84,2.78,2.83,1.41,730400
13/08/1990,2.81,2.81,2.75,2.78,1.39,187200
14/08/1990,2.84,2.88,2.8,2.84,1.42,780000
15/08/1990,2.88,2.88,2.81,2.81,1.4,166400
16/08/1990,2.88,2.88,2.75,2.81,1.4,77600
17/08/1990,2.75,2.75,2.69,2.72,1.36,681600
20/08/1990,2.66,2.72,2.59,2.62,1.31,484000
21/08/1990,2.56,2.59,2.5,2.56,1.28,750400
22/08/1990,2.5,2.56,2.41,2.44,1.22,318400
23/08/1990,2.34,2.41,2.25,2.28,1.14,488000
24/08/1990,2.38,2.5,2.34,2.38,1.19,5359200
27/08/1990,2.44,2.5,2.38,2.47,1.23,393600
28/08/1990,2.47,2.53,2.44,2.53,1.26,502400
29/08/1990,2.47,2.59,2.47,2.59,1.3,182400
30/08/1990,2.59,2.59,2.53,2.53,1.26,86400
31/08/1990,2.56,2.56,2.5,2.5,1.25,236000
04/09/1990,2.5,2.53,2.47,2.53,1.26,893600
05/09/1990,2.56,2.69,2.53,2.69,1.34,427200
