Date,Open,High,Low,Close,Adj Close,Volume
17/02/1994,25.5,25.88,24.5,24.62,16.47,4478600
18/02/1994,24.75,25.0,24.25,24.62,16.47,777900
22/02/1994,24.25,24.5,24.0,24.38,16.3,361900
23/02/1994,24.38,24.5,23.25,23.25,15.55,284500
24/02/1994,23.12,23.25,22.75,23.0,15.38,494600
25/02/1994,23.0,23.88,23.0,23.75,15.88,102000
28/02/1994,23.88,24.0,23.75,23.88,15.97,115200
01/03/1994,23.75,24.0,23.12,23.25,15.55,246600
02/03/1994,22.75,22.88,22.62,22.75,15.21,355900
03/03/1994,22.75,23.0,22.75,22.88,15.3,51500
04/03/1994,23.0,23.38,22.75,23.12,15.46,145500
07/03/1994,23.12,23.25,23.0,23.0,15.38,102200
08/03/1994,23.0,23.12,22.88,23.0,15.38,34700
09/03/1994,23.12,23.12,22.88,22.88,15.3,101100
10/03/1994,22.88,23.0,22.12,22.25,14.88,220400
11/03/1994,22.12,22.38,22.0,22.38,14.96,42100
14/03/1994,22.25,22.5,22.12,22.25,14.88,11900
15/03/1994,22.75,23.0,22.5,22.75,15.21,128500
16/03/1994,22.75,22.88,22.5,22.75,15.21,93800
17/03/1994,22.88,22.88,22.5,22.62,15.13,43700
18/03/1994,22.5,22.88,22.5,22.88,15.3,125000
21/03/1994,22.75,23.12,22.75,23.12,15.46,81100
22/03/1994,23.0,23.62,23.0,23.5,15.71,91800
23/03/1994,24.25,24.88,24.25,24.25,16.22,332700
24/03/1994,24.38,24.38,24.0,24.0,16.05,113300
25/03/1994,24.0,24.25,24.0,24.0,16.05,54700
28/03/1994,24.25,24.25,23.75,24.0,16.05,67900
29/03/1994,23.88,24.0,22.5,22.5,15.05,174400
30/03/1994,22.25,22.25,22.0,22.12,14.8,198000
31/03/1994,22.25,22.38,21.5,22.0,14.71,201000
04/04/1994,21.62,21.62,21.0,21.5,14.38,206600
05/04/1994,21.5,22.75,21.5,22.75,15.21,40500
06/04/1994,22.75,22.88,22.5,22.88,15.3,31700
07/04/1994,22.88,22.88,22.62,22.88,15.3,14500
08/04/1994,22.88,22.88,22.12,22.5,15.05,29900
11/04/1994,22.75,22.75,22.25,22.62,15.13,28900
12/04/1994,22.5,22.5,22.0,22.12,14.8,56200
13/04/1994,22.25,22.38,21.25,21.75,14.54,48100
14/04/1994,21.5,21.5,21.25,21.38,14.29,81800
15/04/1994,21.38,21.38,21.25,21.38,14.29,23400
18/04/1994,21.38,21.38,20.5,20.5,13.71,119100
19/04/1994,20.5,20.5,20.0,20.12,13.46,23100
20/04/1994,20.12,20.12,19.5,19.75,13.21,72900
21/04/1994,19.62,19.88,19.5,19.75,13.21,67100
22/04/1994,19.5,19.75,19.5,19.75,13.21,8000
25/04/1994,19.5,19.62,18.25,19.62,13.12,130900
26/04/1994,19.62,21.0,19.62,20.75,13.88,172800
28/04/1994,21.0,21.12,20.75,20.88,13.96,73900
29/04/1994,21.0,23.0,21.0,23.0,15.38,166100
02/05/1994,22.75,23.75,22.62,23.75,15.88,87800
03/05/1994,23.5,23.75,23.25,23.38,15.63,55000
04/05/1994,23.5,24.0,23.38,23.5,15.71,81500
