Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,13.0,13.02,12.92,13.0,5.47,814800
03/01/1990,12.98,13.04,12.81,12.92,5.43,1372800
04/01/1990,12.92,12.94,12.69,12.79,5.38,1063200
05/01/1990,12.65,12.67,12.46,12.5,5.27,631800
08/01/1990,12.46,12.52,12.42,12.42,5.23,825000
09/01/1990,12.42,12.71,12.31,12.67,5.34,904800
10/01/1990,12.75,12.92,12.65,12.75,5.37,810600
11/01/1990,12.88,12.88,12.79,12.79,5.39,358800
12/01/1990,12.71,12.75,12.58,12.65,5.33,765000
15/01/1990,12.67,12.67,12.52,12.54,5.28,362400
16/01/1990,12.5,12.83,12.5,12.83,5.41,489000
17/01/1990,12.79,12.94,12.75,12.81,5.4,662400
18/01/1990,12.71,12.81,12.67,12.81,5.4,770400
19/01/1990,12.81,12.96,12.67,12.75,5.37,490800
22/01/1990,12.67,12.75,12.4,12.42,5.23,781800
23/01/1990,12.38,12.6,12.33,12.58,5.3,429600
24/01/1990,12.38,12.58,12.33,12.56,5.29,593400
25/01/1990,12.58,12.69,12.58,12.58,5.3,522000
26/01/1990,12.58,12.67,12.15,12.5,5.27,1045800
29/01/1990,12.58,12.62,12.46,12.5,5.27,503400
30/01/1990,12.5,12.54,12.21,12.44,5.24,340800
31/01/1990,12.54,12.65,12.5,12.65,5.33,744000
01/02/1990,12.67,12.75,12.62,12.62,5.32,670200
02/02/1990,12.54,12.73,12.46,12.73,5.36,193800
05/02/1990,12.69,12.98,12.67,12.94,5.45,1081800
06/02/1990,12.98,12.98,12.9,12.98,5.47,386400
07/02/1990,12.88,13.0,12.88,12.94,5.45,493200
08/02/1990,12.94,12.94,12.62,12.77,5.38,448200
09/02/1990,12.83,12.83,12.62,12.75,5.37,350400
12/02/1990,12.71,12.75,12.67,12.67,5.34,242400
13/02/1990,12.67,12.71,12.54,12.71,5.35,442200
14/02/1990,12.67,12.83,12.67,12.79,5.39,577200
15/02/1990,12.85,13.0,12.85,12.92,5.44,499800
16/02/1990,12.92,12.94,12.83,12.88,5.42,805200
20/02/1990,12.83,12.83,12.58,12.67,5.34,477000
21/02/1990,12.5,12.75,12.5,12.75,5.37,304200
22/02/1990,12.75,12.83,12.67,12.67,5.34,673200
23/02/1990,12.54,12.79,12.54,12.67,5.34,334800
26/02/1990,12.79,12.88,12.75,12.88,5.42,271800
27/02/1990,13.0,13.08,12.92,12.92,5.44,257400
28/02/1990,12.88,13.04,12.77,12.92,5.44,979200
01/03/1990,12.92,13.0,12.67,12.88,5.42,718800
02/03/1990,12.96,13.21,12.88,13.17,5.55,561600
05/03/1990,13.12,13.29,12.96,13.0,5.48,553800
06/03/1990,12.96,12.96,12.62,12.92,5.44,830400
07/03/1990,12.92,12.92,12.5,12.54,5.28,931200
08/03/1990,12.52,12.56,12.33,12.56,5.29,634200
09/03/1990,12.48,12.54,12.17,12.25,5.16,823800
