Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.02,0.02,0.02,0.02,0.02,0
03/01/1990,0.0,0.02,0.02,0.02,0.02,0
04/01/1990,0.0,0.02,0.02,0.02,0.02,9600
05/01/1990,0.0,0.02,0.02,0.02,0.02,201600
08/01/1990,0.0,0.02,0.02,0.02,0.02,105600
09/01/1990,0.0,0.02,0.02,0.02,0.02,105600
10/01/1990,0.0,0.02,0.02,0.02,0.02,86400
11/01/1990,0.0,0.02,0.02,0.02,0.02,220800
12/01/1990,0.0,0.02,0.02,0.02,0.02,393600
15/01/1990,0.0,0.02,0.02,0.02,0.02,76800
16/01/1990,0.0,0.02,0.02,0.02,0.02,384000
17/01/1990,0.0,0.02,0.02,0.02,0.02,211200
18/01/1990,0.0,0.02,0.02,0.02,0.02,1670400
19/01/1990,0.0,0.02,0.02,0.02,0.02,787200
22/01/1990,0.0,0.03,0.02,0.02,0.02,1305600
23/01/1990,0.0,0.03,0.02,0.02,0.02,499200
24/01/1990,0.02,0.02,0.02,0.02,0.02,0
25/01/1990,0.0,0.03,0.02,0.02,0.02,96000
26/01/1990,0.0,0.03,0.02,0.02,0.02,230400
29/01/1990,0.0,0.03,0.02,0.02,0.02,297600
30/01/1990,0.0,0.03,0.02,0.02,0.02,192000
31/01/1990,0.0,0.03,0.02,0.02,0.02,76800
01/02/1990,0.0,0.03,0.02,0.02,0.02,67200
02/02/1990,0.0,0.03,0.02,0.02,0.02,1958400
05/02/1990,0.0,0.03,0.02,0.02,0.02,67200
06/02/1990,0.0,0.03,0.02,0.02,0.02,4358400
07/02/1990,0.0,0.03,0.02,0.02,0.02,2208000
08/02/1990,0.0,0.03,0.02,0.02,0.02,134400
09/02/1990,0.0,0.03,0.02,0.02,0.02,537600
12/02/1990,0.0,0.03,0.03,0.03,0.02,240000
13/02/1990,0.0,0.03,0.03,0.03,0.02,230400
14/02/1990,0.0,0.03,0.03,0.03,0.02,115200
15/02/1990,0.0,0.03,0.03,0.03,0.02,556800
16/02/1990,0.0,0.03,0.03,0.03,0.02,489600
20/02/1990,0.0,0.03,0.03,0.03,0.02,508800
21/02/1990,0.0,0.03,0.03,0.03,0.02,211200
22/02/1990,0.0,0.03,0.03,0.03,0.02,384000
23/02/1990,0.0,0.03,0.03,0.03,0.02,336000
26/02/1990,0.0,0.03,0.03,0.03,0.02,28800
27/02/1990,0.0,0.03,0.03,0.03,0.02,883200
28/02/1990,0.0,0.03,0.02,0.02,0.02,1296000
01/03/1990,0.0,0.03,0.02,0.02,0.02,489600
02/03/1990,0.0,0.03,0.02,0.02,0.02,211200
05/03/1990,0.02,0.02,0.02,0.02,0.02,0
06/03/1990,0.0,0.06,0.04,0.04,0.04,6528000
07/03/1990,0.0,0.05,0.04,0.04,0.04,6729600
08/03/1990,0.0,0.06,0.04,0.04,0.04,3120000
09/03/1990,0.0,0.06,0.05,0.05,0.04,2467200
12/03/1990,0.0,0.06,0.05,0.05,0.04,1824000
13/03/1990,0.0,0.06,0.05,0.05,0.04,2928000
14/03/1990,0.0,0.06,0.05,0.05,0.04,1200000
15/03/1990,0.0,0.06,0.05,0.05,0.04,96000
16/03/1990,0.0,0.06,0.05,0.05,0.04,566400
19/03/1990,0.0,0.05,0.04,0.04,0.04,748800
20/03/1990,0.0,0.05,0.04,0.04,0.04,998400
21/03/1990,0.0,0.05,0.04,0.04,0.04,1315200
22/03/1990,0.0,0.05,0.04,0.04,0.04,288000
23/03/1990,0.0,0.05,0.04,0.04,0.04,115200
26/03/1990,0.0,0.05,0.04,0.04,0.04,76800
27/03/1990,0.0,0.05,0.04,0.04,0.04,364800
28/03/1990,0.0,0.05,0.04,0.04,0.04,67200
29/03/1990,0.0,0.05,0.04,0.04,0.04,288000
30/03/1990,0.0,0.05,0.04,0.04,0.04,144000
02/04/1990,0.0,0.05,0.04,0.04,0.04,96000
03/04/1990,0.0,0.05,0.04,0.04,0.04,249600
04/04/1990,0.0,0.05,0.04,0.04,0.04,566400
05/04/1990,0.0,0.05,0.04,0.04,0.04,240000
06/04/1990,0.0,0.05,0.04,0.04,0.04,57600
09/04/1990,0.0,0.05,0.04,0.04,0.04,288000
10/04/1990,0.0,0.05,0.04,0.04,0.04,96000
11/04/1990,0.0,0.05,0.04,0.04,0.04,316800
12/04/1990,0.0,0.05,0.04,0.04,0.04,19200
16/04/1990,0.0,0.05,0.04,0.04,0.04,441600
17/04/1990,0.0,0.05,0.04,0.04,0.03,873600
18/04/1990,0.0,0.05,0.04,0.04,0.03,364800
19/04/1990,0.0,0.05,0.04,0.04,0.03,163200
20/04/1990,0.0,0.05,0.04,0.04,0.03,4560000
23/04/1990,0.0,0.05,0.04,0.04,0.03,633600
24/04/1990,0.0,0.05,0.04,0.04,0.03,211200
25/04/1990,0.0,0.05,0.04,0.04,0.03,211200
26/04/1990,0.0,0.05,0.04,0.04,0.03,9600
27/04/1990,0.0,0.05,0.04,0.04,0.03,134400
30/04/1990,0.0,0.05,0.04,0.04,0.03,57600
01/05/1990,0.0,0.05,0.04,0.04,0.04,96000
02/05/1990,0.0,0.05,0.04,0.04,0.03,384000
03/05/1990,0.0,0.05,0.04,0.04,0.03,28800
04/05/1990,0.0,0.05,0.04,0.04,0.03,48000
07/05/1990,0.0,0.05,0.04,0.04,0.03,345600
08/05/1990,0.0,0.05,0.04,0.04,0.03,57600
09/05/1990,0.0,0.05,0.04,0.04,0.03,86400
10/05/1990,0.0,0.05,0.04,0.04,0.03,374400
11/05/1990,0.0,0.05,0.04,0.04,0.03,316800
14/05/1990,0.0,0.05,0.04,0.04,0.03,9600
15/05/1990,0.0,0.05,0.04,0.04,0.03,57600
16/05/1990,0.0,0.05,0.04,0.04,0.03,28800
17/05/1990,0.0,0.05,0.04,0.04,0.03,403200
18/05/1990,0.0,0.05,0.04,0.04,0.03,259200
21/05/1990,0.0,0.05,0.04,0.04,0.03,0
22/05/1990,0.04,0.04,0.04,0.04,0.03,0
23/05/1990,0.0,0.05,0.04,0.04,0.03,105600
24/05/1990,0.0,0.05,0.04,0.04,0.03,0
25/05/1990,0.0,0.05,0.04,0.04,0.03,240000
29/05/1990,0.0,0.05,0.04,0.04,0.03,9600
30/05/1990,0.04,0.04,0.04,0.04,0.03,0
31/05/1990,0.0,0.05,0.04,0.04,0.03,105600
01/06/1990,0.0,0.06,0.05,0.05,0.04,2745600
04/06/1990,0.0,0.06,0.06,0.06,0.05,7641600
05/06/1990,0.0,0.06,0.05,0.05,0.04,1161600
06/06/1990,0.0,0.06,0.05,0.05,0.04,403200
07/06/1990,0.0,0.06,0.05,0.05,0.04,460800
08/06/1990,0.0,0.06,0.05,0.05,0.04,489600
11/06/1990,0.0,0.06,0.05,0.05,0.04,748800
12/06/1990,0.0,0.06,0.05,0.05,0.04,1104000
13/06/1990,0.0,0.05,0.05,0.05,0.04,1459200
14/06/1990,0.0,0.05,0.05,0.05,0.04,1516800
15/06/1990,0.0,0.05,0.04,0.04,0.03,1977600
18/06/1990,0.04,0.04,0.04,0.04,0.03,0
19/06/1990,0.0,0.05,0.04,0.04,0.03,249600
20/06/1990,0.0,0.05,0.04,0.04,0.03,57600
21/06/1990,0.0,0.04,0.04,0.04,0.03,1987200
22/06/1990,0.0,0.04,0.04,0.04,0.03,614400
25/06/1990,0.0,0.05,0.04,0.04,0.03,259200
26/06/1990,0.0,0.04,0.04,0.04,0.03,384000
27/06/1990,0.0,0.04,0.04,0.04,0.03,28800
28/06/1990,0.0,0.04,0.04,0.04,0.03,201600
29/06/1990,0.04,0.04,0.04,0.04,0.03,0
02/07/1990,0.0,0.04,0.04,0.04,0.03,28800
03/07/1990,0.0,0.04,0.04,0.04,0.03,57600
05/07/1990,0.0,0.04,0.04,0.04,0.03,28800
06/07/1990,0.04,0.04,0.04,0.04,0.03,0
09/07/1990,0.0,0.04,0.04,0.04,0.03,9600
10/07/1990,0.0,0.04,0.04,0.04,0.03,9600
11/07/1990,0.0,0.04,0.04,0.04,0.03,547200
12/07/1990,0.0,0.04,0.04,0.04,0.03,28800
13/07/1990,0.0,0.04,0.04,0.04,0.03,124800
16/07/1990,0.0,0.04,0.04,0.04,0.03,57600
17/07/1990,0.0,0.04,0.04,0.04,0.03,240000
18/07/1990,0.0,0.04,0.04,0.04,0.03,259200
19/07/1990,0.04,0.04,0.04,0.04,0.03,0
20/07/1990,0.0,0.04,0.04,0.04,0.03,518400
23/07/1990,0.0,0.04,0.04,0.04,0.03,230400
24/07/1990,0.0,0.04,0.04,0.04,0.03,28800
