Date,Open,High,Low,Close,Adj Close,Volume
19/11/2004,9.06,9.93,8.5,9.84,8.54,3906200
22/11/2004,9.9,11.0,9.51,9.62,8.35,728000
23/11/2004,9.5,9.75,8.76,9.38,8.14,505800
24/11/2004,9.5,10.0,9.5,9.78,8.48,319500
26/11/2004,9.3,9.95,9.25,9.8,8.5,65600
29/11/2004,10.0,10.1,9.46,9.8,8.5,130700
30/11/2004,9.8,9.99,9.31,9.88,8.57,194900
01/12/2004,9.5,10.22,9.5,9.99,8.67,209800
02/12/2004,10.03,11.0,9.97,10.85,9.41,337400
03/12/2004,10.99,11.35,10.58,11.14,9.66,288100
06/12/2004,11.39,11.68,11.0,11.13,9.66,192600
07/12/2004,11.38,11.38,10.64,10.91,9.46,195900
08/12/2004,10.96,11.2,10.51,10.9,9.46,78500
09/12/2004,10.8,10.96,10.53,10.81,9.38,40900
10/12/2004,10.71,10.71,10.15,10.41,9.03,86100
13/12/2004,10.1,10.97,9.88,10.33,8.96,77500
14/12/2004,10.85,10.85,10.1,10.23,8.87,29800
15/12/2004,10.0,10.45,9.9,10.05,8.72,191400
16/12/2004,9.85,10.18,9.85,10.01,8.68,108800
17/12/2004,9.9,10.15,9.32,9.5,8.24,418100
20/12/2004,9.9,9.9,9.04,9.3,8.07,173700
21/12/2004,9.0,9.76,9.0,9.47,8.22,81400
22/12/2004,9.37,9.69,9.0,9.61,8.34,50000
23/12/2004,9.6,9.9,9.59,9.77,8.48,29900
27/12/2004,9.72,9.79,9.46,9.72,8.43,72000
28/12/2004,9.63,9.73,9.22,9.5,8.24,58200
29/12/2004,9.4,9.65,9.4,9.5,8.24,80100
30/12/2004,9.33,9.61,9.3,9.39,8.15,33300
31/12/2004,9.39,9.55,9.25,9.3,8.07,53000
03/01/2005,9.31,9.45,8.8,8.87,7.69,91300
04/01/2005,8.73,9.05,8.59,8.65,7.5,105900
05/01/2005,8.62,8.64,8.1,8.3,7.2,76500
06/01/2005,8.25,8.69,8.15,8.24,7.15,29700
07/01/2005,8.15,8.58,8.1,8.25,7.16,17500
10/01/2005,8.16,8.16,7.6,7.8,6.77,75600
11/01/2005,7.64,7.96,7.15,7.22,6.26,52400
12/01/2005,7.3,7.3,6.4,6.6,5.73,113000
13/01/2005,6.77,6.77,6.12,6.23,5.4,346100
14/01/2005,6.1,6.42,6.06,6.28,5.45,109600
18/01/2005,6.43,6.43,6.21,6.29,5.46,102100
