Date,Open,High,Low,Close,Adj Close,Volume
15/11/2007,23.0,28.45,22.06,26.1,23.52,11770500
16/11/2007,25.98,25.98,23.6,24.96,22.49,1242900
19/11/2007,24.71,25.75,24.53,25.75,23.2,469500
20/11/2007,25.42,29.21,25.26,27.32,24.62,522200
21/11/2007,27.0,27.13,25.94,26.65,24.01,167500
23/11/2007,27.3,28.33,26.82,27.4,24.69,100700
26/11/2007,27.99,29.49,27.53,27.8,25.05,438300
27/11/2007,28.23,28.75,26.28,26.98,24.31,305800
28/11/2007,27.12,27.62,26.68,27.3,24.6,273600
29/11/2007,26.61,27.99,26.6,27.3,24.6,110600
30/11/2007,27.6,28.7,27.1,27.65,24.91,524000
03/12/2007,27.7,28.2,27.4,27.97,25.2,83600
04/12/2007,27.71,29.75,27.24,29.35,26.44,387400
05/12/2007,32.68,32.68,28.89,29.28,26.38,207200
06/12/2007,29.0,29.42,28.44,28.91,26.05,97700
07/12/2007,29.06,29.1,28.5,28.88,26.02,82500
10/12/2007,28.59,29.95,28.59,29.0,26.13,177900
11/12/2007,28.99,29.4,28.25,29.0,26.13,236200
12/12/2007,29.36,29.36,28.3,28.48,25.66,64700
13/12/2007,27.93,29.0,27.93,28.94,26.07,78000
14/12/2007,28.83,28.94,28.33,28.72,25.88,118200
17/12/2007,27.94,29.06,27.67,27.98,25.21,128600
18/12/2007,28.0,28.8,28.0,28.5,25.68,132400
19/12/2007,28.56,29.35,28.56,28.95,26.08,197600
20/12/2007,28.95,29.01,28.89,28.89,26.03,197800
21/12/2007,29.5,34.33,29.4,33.72,30.38,498600
24/12/2007,33.6,34.4,32.55,33.92,30.56,142000
26/12/2007,33.92,36.0,33.8,34.35,30.95,228300
27/12/2007,34.35,37.19,33.8,36.55,32.93,194600
28/12/2007,36.45,38.27,36.0,37.32,33.63,165900
31/12/2007,37.45,38.4,36.0,38.4,34.6,136200
02/01/2008,37.82,37.95,33.12,33.85,30.5,442900
03/01/2008,33.85,33.85,30.56,30.79,27.74,395900
04/01/2008,28.74,31.0,28.11,30.15,27.17,354100
07/01/2008,29.75,29.75,27.75,28.14,25.35,383000
08/01/2008,28.0,28.15,26.01,26.63,23.99,183900
09/01/2008,27.3,29.75,24.74,27.76,25.01,383400
10/01/2008,29.3,31.4,26.8,29.64,26.71,531500
11/01/2008,29.42,32.77,29.21,30.43,27.42,121900
14/01/2008,30.1,30.5,29.75,30.5,27.48,198300
15/01/2008,30.5,30.93,29.72,30.71,27.67,74200
16/01/2008,30.76,30.76,28.5,29.3,26.4,123700
17/01/2008,29.45,29.45,28.65,28.99,26.12,122400
18/01/2008,29.71,29.75,29.0,29.32,26.42,238900
22/01/2008,28.15,29.2,27.33,28.9,26.04,193000
23/01/2008,28.98,32.47,28.38,31.16,28.08,193100
24/01/2008,30.78,33.0,30.24,32.17,28.99,305000
25/01/2008,32.4,32.58,31.13,31.78,28.63,148700
28/01/2008,31.3,34.0,30.03,33.06,29.79,222500
29/01/2008,32.67,33.46,32.35,32.78,29.53,142600
30/01/2008,32.77,33.0,31.0,32.7,29.46,117300
31/01/2008,32.5,33.0,32.1,32.97,29.71,114800
01/02/2008,32.97,35.97,32.4,34.6,31.17,134600
04/02/2008,34.6,34.9,33.0,33.48,30.17,75300
05/02/2008,33.48,33.48,31.98,32.87,29.62,109100
06/02/2008,32.7,32.72,31.09,31.37,28.26,146000
07/02/2008,31.4,32.0,29.52,29.71,26.77,128000
08/02/2008,30.15,31.33,30.14,31.33,28.23,103400
11/02/2008,31.35,31.95,31.0,31.43,28.32,94600
12/02/2008,31.25,31.94,30.43,31.3,28.2,147800
13/02/2008,31.2,33.87,31.2,33.83,30.48,114200
14/02/2008,33.59,33.8,32.15,33.28,29.99,103100
15/02/2008,33.28,33.32,30.33,31.74,28.6,142700
19/02/2008,31.7,32.44,30.36,32.1,28.92,183500
20/02/2008,31.84,34.34,30.94,32.21,29.02,181300
21/02/2008,32.3,33.99,31.6,33.6,30.27,207100
22/02/2008,33.5,34.15,32.48,33.73,30.39,123500
25/02/2008,33.75,34.17,32.85,33.09,29.81,158500
26/02/2008,33.34,35.36,32.62,33.92,30.56,186100
27/02/2008,33.75,34.29,31.32,32.0,28.83,220300
28/02/2008,32.55,32.55,29.18,31.09,28.01,344100
29/02/2008,32.36,32.36,29.33,29.73,26.79,216900
03/03/2008,29.5,30.35,28.29,29.07,26.19,188100
04/03/2008,27.82,29.87,27.19,29.36,26.45,177400
05/03/2008,29.92,32.1,29.72,31.65,28.52,221400
06/03/2008,31.64,31.84,29.56,29.86,26.9,214800
07/03/2008,29.76,30.21,26.47,28.26,25.46,268800
10/03/2008,28.39,28.39,26.84,27.01,24.34,85800
