Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.61,0.62,0.6,0.62,0.38,53035200
03/01/1990,0.62,0.63,0.61,0.62,0.38,113774400
04/01/1990,0.62,0.64,0.62,0.64,0.39,125740800
05/01/1990,0.64,0.64,0.62,0.62,0.39,69566400
08/01/1990,0.62,0.63,0.61,0.63,0.39,58982400
09/01/1990,0.63,0.64,0.63,0.63,0.39,70300800
10/01/1990,0.62,0.63,0.61,0.61,0.38,103766400
11/01/1990,0.62,0.62,0.59,0.6,0.37,95774400
12/01/1990,0.59,0.61,0.58,0.6,0.37,148910400
15/01/1990,0.6,0.6,0.59,0.6,0.37,62467200
16/01/1990,0.59,0.62,0.59,0.62,0.38,80092800
17/01/1990,0.61,0.63,0.6,0.61,0.38,97588800
18/01/1990,0.62,0.66,0.62,0.66,0.41,292363200
19/01/1990,0.66,0.67,0.65,0.65,0.4,99259200
22/01/1990,0.65,0.65,0.63,0.63,0.39,167688000
23/01/1990,0.63,0.63,0.62,0.62,0.39,139348800
24/01/1990,0.61,0.63,0.61,0.63,0.39,180345600
25/01/1990,0.64,0.64,0.63,0.63,0.39,112752000
26/01/1990,0.63,0.63,0.62,0.63,0.39,68083200
29/01/1990,0.64,0.64,0.63,0.64,0.39,55080000
30/01/1990,0.64,0.64,0.62,0.63,0.39,73108800
31/01/1990,0.64,0.64,0.63,0.64,0.4,112939200
01/02/1990,0.64,0.65,0.64,0.65,0.4,89193600
02/02/1990,0.65,0.66,0.65,0.65,0.4,71395200
05/02/1990,0.65,0.65,0.65,0.65,0.41,59731200
06/02/1990,0.65,0.65,0.64,0.65,0.4,81964800
07/02/1990,0.65,0.66,0.65,0.65,0.4,134150400
08/02/1990,0.65,0.66,0.65,0.65,0.41,95227200
09/02/1990,0.65,0.66,0.65,0.66,0.41,62380800
12/02/1990,0.66,0.66,0.65,0.66,0.41,56088000
13/02/1990,0.66,0.66,0.66,0.66,0.41,58752000
14/02/1990,0.66,0.66,0.66,0.66,0.41,35870400
15/02/1990,0.66,0.68,0.66,0.67,0.42,89496000
16/02/1990,0.68,0.69,0.68,0.68,0.42,70876800
20/02/1990,0.68,0.7,0.67,0.7,0.43,132652800
21/02/1990,0.69,0.69,0.66,0.67,0.41,103348800
22/02/1990,0.67,0.68,0.67,0.67,0.41,60811200
23/02/1990,0.66,0.68,0.66,0.68,0.42,56851200
26/02/1990,0.68,0.69,0.68,0.69,0.43,69220800
27/02/1990,0.69,0.69,0.68,0.68,0.42,62020800
28/02/1990,0.68,0.69,0.68,0.69,0.42,39312000
01/03/1990,0.68,0.71,0.68,0.69,0.43,76867200
02/03/1990,0.7,0.72,0.7,0.72,0.45,100209600
05/03/1990,0.72,0.73,0.71,0.73,0.45,75528000
06/03/1990,0.73,0.73,0.71,0.73,0.45,68630400
07/03/1990,0.73,0.73,0.71,0.71,0.44,47606400
08/03/1990,0.72,0.74,0.71,0.74,0.46,88977600
09/03/1990,0.74,0.75,0.73,0.74,0.46,75744000
12/03/1990,0.74,0.76,0.74,0.75,0.47,68875200
13/03/1990,0.75,0.76,0.74,0.74,0.46,85204800
14/03/1990,0.74,0.76,0.74,0.75,0.46,130968000
15/03/1990,0.75,0.78,0.75,0.77,0.48,81676800
16/03/1990,0.78,0.8,0.78,0.79,0.49,118900800
19/03/1990,0.79,0.81,0.78,0.81,0.5,81172800
20/03/1990,0.81,0.81,0.78,0.78,0.49,92145600
21/03/1990,0.78,0.8,0.78,0.79,0.49,69840000
22/03/1990,0.79,0.79,0.77,0.77,0.48,92419200
23/03/1990,0.78,0.79,0.76,0.77,0.47,53596800
26/03/1990,0.77,0.78,0.77,0.77,0.48,55929600
27/03/1990,0.77,0.78,0.77,0.78,0.48,52516800
28/03/1990,0.78,0.78,0.75,0.77,0.48,99532800
29/03/1990,0.77,0.78,0.76,0.77,0.47,64785600
30/03/1990,0.76,0.77,0.76,0.77,0.48,36691200
02/04/1990,0.76,0.78,0.76,0.77,0.48,74059200
03/04/1990,0.78,0.81,0.78,0.81,0.5,84643200
04/04/1990,0.81,0.82,0.8,0.81,0.5,79646400
05/04/1990,0.81,0.81,0.8,0.8,0.49,66369600
06/04/1990,0.8,0.8,0.79,0.79,0.49,72878400
09/04/1990,0.79,0.8,0.79,0.8,0.49,31176000
10/04/1990,0.8,0.82,0.8,0.82,0.51,45187200
11/04/1990,0.82,0.84,0.82,0.84,0.52,70372800
12/04/1990,0.85,0.85,0.83,0.84,0.52,48254400
16/04/1990,0.85,0.86,0.84,0.84,0.52,39470400
17/04/1990,0.84,0.88,0.83,0.86,0.53,66780000
18/04/1990,0.86,0.86,0.82,0.84,0.52,97797600
19/04/1990,0.83,0.85,0.82,0.83,0.51,58003200
20/04/1990,0.83,0.84,0.82,0.82,0.51,44661600
23/04/1990,0.82,0.83,0.8,0.82,0.51,64879200
24/04/1990,0.83,0.83,0.78,0.81,0.5,47916000
25/04/1990,0.81,0.82,0.79,0.81,0.5,53870400
26/04/1990,0.81,0.82,0.8,0.8,0.49,46296000
27/04/1990,0.79,0.8,0.77,0.78,0.48,57124800
30/04/1990,0.78,0.81,0.77,0.81,0.5,51451200
01/05/1990,0.82,0.82,0.79,0.79,0.49,52473600
02/05/1990,0.8,0.81,0.8,0.81,0.5,33264000
03/05/1990,0.81,0.83,0.81,0.82,0.51,45892800
04/05/1990,0.83,0.86,0.82,0.86,0.53,47815200
07/05/1990,0.86,0.92,0.85,0.89,0.55,97351200
08/05/1990,0.87,0.88,0.86,0.87,0.54,50824800
09/05/1990,0.87,0.88,0.86,0.87,0.54,35164800
10/05/1990,0.88,0.9,0.87,0.9,0.55,48801600
11/05/1990,0.9,0.92,0.88,0.91,0.56,49168800
14/05/1990,0.92,0.92,0.91,0.91,0.57,47232000
15/05/1990,0.91,0.91,0.89,0.9,0.56,54122400
16/05/1990,0.9,0.9,0.88,0.9,0.56,38556000
17/05/1990,0.9,0.91,0.89,0.9,0.56,41731200
18/05/1990,0.9,0.96,0.9,0.95,0.59,101822400
21/05/1990,0.95,1.0,0.95,0.98,0.6,159595200
22/05/1990,0.99,1.0,0.96,0.99,0.61,142437600
23/05/1990,1.0,1.06,1.0,1.05,0.65,141184800
24/05/1990,1.07,1.09,1.06,1.06,0.66,146649600
25/05/1990,1.03,1.06,1.03,1.03,0.64,104688000
29/05/1990,1.03,1.05,1.03,1.05,0.65,61480800
30/05/1990,1.06,1.06,1.04,1.05,0.65,65073600
31/05/1990,1.04,1.05,1.01,1.01,0.63,69436800
01/06/1990,1.02,1.05,1.01,1.04,0.65,69069600
04/06/1990,1.04,1.07,1.03,1.06,0.66,59162400
05/06/1990,1.07,1.08,1.01,1.02,0.63,80258400
06/06/1990,1.02,1.03,1.01,1.01,0.63,86292000
07/06/1990,1.02,1.02,0.99,1.0,0.62,90122400
08/06/1990,1.0,1.02,0.99,1.02,0.63,63770400
11/06/1990,1.01,1.05,1.01,1.04,0.64,58240800
12/06/1990,1.05,1.06,1.03,1.05,0.65,46656000
13/06/1990,1.05,1.08,1.04,1.06,0.66,80265600
14/06/1990,1.06,1.07,1.03,1.05,0.65,58204800
15/06/1990,1.03,1.07,1.03,1.06,0.65,51552000
18/06/1990,1.05,1.06,1.03,1.04,0.64,52790400
19/06/1990,1.04,1.05,1.02,1.04,0.64,41716800
20/06/1990,1.05,1.08,1.04,1.08,0.67,39564000
21/06/1990,1.08,1.08,1.06,1.07,0.66,34308000
22/06/1990,1.07,1.08,1.05,1.05,0.65,34034400
25/06/1990,1.05,1.06,1.03,1.03,0.64,68983200
26/06/1990,1.05,1.05,1.03,1.04,0.64,50198400
27/06/1990,1.04,1.06,1.03,1.06,0.66,35762400
28/06/1990,1.06,1.07,1.06,1.06,0.66,30052800
29/06/1990,1.06,1.06,1.05,1.06,0.65,34956000
02/07/1990,1.06,1.06,1.02,1.02,0.63,35474400
03/07/1990,1.02,1.02,0.99,1.0,0.62,79257600
05/07/1990,0.99,1.01,0.98,1.0,0.62,61855200
06/07/1990,1.0,1.03,1.0,1.02,0.63,41803200
09/07/1990,1.02,1.04,1.02,1.03,0.64,37317600
10/07/1990,1.03,1.04,1.02,1.02,0.63,29700000
