Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,17.68,18.47,17.64,18.39,12.06,1625522
03/01/1990,18.54,18.88,18.47,18.84,12.36,3009587
04/01/1990,18.81,19.18,18.81,18.92,12.41,4071931
05/01/1990,18.92,18.92,18.58,18.58,12.19,1748241
08/01/1990,18.54,18.77,18.54,18.66,12.24,1709435
09/01/1990,18.77,18.96,18.62,18.81,12.34,1877924
10/01/1990,18.69,18.73,18.05,18.47,12.11,1709435
11/01/1990,18.69,18.77,18.58,18.62,12.21,1640447
12/01/1990,18.39,18.39,18.01,18.13,11.89,2718380
15/01/1990,17.94,18.13,17.86,18.13,11.89,1704460
16/01/1990,17.98,18.47,17.98,18.39,12.06,1692188
17/01/1990,18.47,18.77,17.98,18.05,11.84,1953214
18/01/1990,17.86,18.28,17.79,17.86,11.72,2678248
19/01/1990,17.94,17.94,17.3,17.3,11.35,2654699
22/01/1990,16.88,16.92,16.47,16.54,10.85,5036764
23/01/1990,16.77,16.81,16.54,16.58,10.88,2588696
24/01/1990,16.13,16.88,16.06,16.81,11.03,2936951
25/01/1990,17.0,17.11,16.73,16.81,11.03,1555539
26/01/1990,16.88,17.03,16.47,16.73,10.98,1145925
29/01/1990,16.88,17.34,16.85,17.07,11.2,2325349
30/01/1990,17.19,17.19,16.21,16.43,10.78,2940600
31/01/1990,16.47,16.81,16.47,16.47,10.8,2560504
01/02/1990,16.66,16.96,16.62,16.85,11.05,1799981
02/02/1990,16.85,16.92,16.77,16.81,11.03,1141945
05/02/1990,17.0,17.22,16.92,17.15,11.25,1440449
06/02/1990,17.26,17.41,17.15,17.26,11.32,1228843
07/02/1990,17.3,17.79,17.22,17.68,11.59,1352888
08/02/1990,17.86,18.01,17.68,17.75,11.64,1397664
09/02/1990,17.94,17.94,17.64,17.71,11.62,1402971
12/02/1990,17.68,17.68,17.45,17.49,11.47,936309
13/02/1990,17.45,17.68,17.26,17.64,11.57,1008613
14/02/1990,17.64,17.9,17.64,17.83,11.69,724702
15/02/1990,17.71,17.83,17.71,17.79,11.67,888880
16/02/1990,17.79,17.79,17.6,17.64,11.57,897835
20/02/1990,17.49,17.52,17.19,17.37,11.4,908780
21/02/1990,17.15,17.52,17.11,17.45,11.45,1616235
22/02/1990,17.6,17.71,17.41,17.45,11.45,1661011
23/02/1990,17.26,17.41,17.03,17.19,11.27,2187374
26/02/1990,17.26,17.52,17.15,17.52,11.5,1760181
27/02/1990,17.71,18.05,17.68,18.05,11.84,2706771
28/02/1990,18.24,18.66,18.2,18.62,12.21,3117712
01/03/1990,18.47,18.5,18.28,18.28,11.99,3918036
02/03/1990,18.39,18.99,18.28,18.99,12.46,2492843
05/03/1990,18.92,18.96,18.5,18.5,12.14,2335963
06/03/1990,18.5,18.62,18.28,18.58,12.19,1581078
07/03/1990,18.58,18.88,18.58,18.77,12.31,1689866
08/03/1990,18.92,19.52,18.92,19.41,12.73,3082887
09/03/1990,19.15,19.37,18.99,19.26,12.63,1951887
12/03/1990,19.11,19.41,19.07,19.37,12.74,1338958
13/03/1990,19.3,19.48,19.26,19.45,12.79,2393673
14/03/1990,19.6,19.75,19.45,19.67,12.94,2526342
15/03/1990,19.9,19.97,19.71,19.97,13.14,1586053
16/03/1990,20.13,20.95,20.13,20.58,13.54,4089842
19/03/1990,20.2,21.07,20.2,21.07,13.86,2146578
20/03/1990,20.95,20.99,20.69,20.88,13.74,2647734
21/03/1990,20.8,20.84,20.5,20.54,13.51,1372788
22/03/1990,20.39,20.54,19.67,19.94,13.12,2732973
23/03/1990,19.94,20.09,19.86,19.94,13.12,1511759
26/03/1990,20.16,20.28,20.09,20.09,13.22,771468
27/03/1990,20.16,20.43,20.13,20.43,13.44,1592355
28/03/1990,20.31,20.35,20.13,20.24,13.31,1891854
29/03/1990,20.05,20.35,20.05,20.35,13.39,1077932
30/03/1990,19.9,19.97,19.6,19.6,12.89,4511728
02/04/1990,19.56,20.01,19.48,19.9,13.09,2154870
03/04/1990,19.94,20.05,19.79,20.01,13.17,1579751
04/04/1990,20.13,20.24,19.9,20.09,13.22,1661674
05/04/1990,20.01,20.09,19.82,19.86,13.07,1007618
06/04/1990,19.86,19.86,19.52,19.64,12.92,736642
09/04/1990,19.56,19.6,19.33,19.37,12.74,796675
10/04/1990,19.37,20.73,19.03,20.65,13.59,6621159
11/04/1990,20.95,20.95,20.58,20.8,13.69,2235134
12/04/1990,20.84,21.18,20.69,20.84,13.71,1741607
16/04/1990,20.95,20.95,20.39,20.43,13.44,985728
17/04/1990,20.24,20.73,20.24,20.69,13.61,992693
18/04/1990,20.62,20.69,20.24,20.46,13.46,1245095
19/04/1990,20.39,20.84,20.39,20.62,13.56,1777428
20/04/1990,20.62,20.77,20.46,20.58,13.54,1370135
23/04/1990,20.28,20.31,19.97,20.09,13.22,1347581
24/04/1990,20.13,20.28,20.09,20.13,13.24,924700
25/04/1990,20.13,20.43,20.01,20.35,13.39,1387050
26/04/1990,20.5,20.58,20.31,20.35,13.39,974119
27/04/1990,20.31,20.31,19.9,19.97,13.14,991035
30/04/1990,19.94,20.31,19.9,20.28,13.34,807620
01/05/1990,20.5,20.77,20.43,20.73,13.64,1495507
02/05/1990,20.77,21.71,20.77,21.56,14.18,2319047
03/05/1990,21.71,21.71,21.22,21.29,14.01,1347913
