Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,6.57,6.56,6.56,3.07,8000
03/01/1990,0.0,6.56,6.56,6.56,3.07,6000
04/01/1990,0.0,6.6,6.6,6.6,3.09,7000
05/01/1990,0.0,6.75,6.65,6.75,3.16,326000
08/01/1990,0.0,6.72,6.72,6.72,3.14,28000
09/01/1990,0.0,6.75,6.71,6.71,3.14,419000
10/01/1990,0.0,6.75,6.69,6.69,3.13,636000
11/01/1990,0.0,6.68,6.66,6.66,3.12,4000
12/01/1990,0.0,6.64,6.61,6.61,3.09,4000
15/01/1990,0.0,6.6,6.55,6.55,3.06,13000
16/01/1990,0.0,6.53,6.53,6.53,3.05,4000
17/01/1990,0.0,6.56,6.53,6.53,3.05,21000
18/01/1990,0.0,6.51,6.49,6.49,3.03,120000
19/01/1990,0.0,6.49,6.46,6.49,3.03,4000
22/01/1990,0.0,6.49,6.49,6.49,3.03,145000
23/01/1990,0.0,6.46,6.46,6.46,3.02,2000
24/01/1990,0.0,6.43,6.35,6.38,2.98,444000
25/01/1990,0.0,6.41,6.39,6.39,2.99,5000
26/01/1990,0.0,6.38,6.3,6.32,2.96,29000
29/01/1990,0.0,6.41,6.41,6.41,3.0,19000
30/01/1990,0.0,6.45,6.45,6.45,3.02,2000
31/01/1990,0.0,6.43,6.43,6.43,3.0,1000
01/02/1990,0.0,6.44,6.41,6.44,3.01,193000
02/02/1990,0.0,6.5,6.44,6.5,3.04,12000
05/02/1990,0.0,6.5,6.46,6.49,3.03,64000
06/02/1990,0.0,6.47,6.47,6.47,3.03,4000
07/02/1990,0.0,6.46,6.45,6.45,3.02,16000
08/02/1990,0.0,6.45,6.43,6.45,3.02,42000
09/02/1990,0.0,6.5,6.46,6.5,3.04,13000
12/02/1990,0.0,6.54,6.51,6.53,3.05,23000
13/02/1990,0.0,6.54,6.51,6.51,3.04,205000
14/02/1990,0.0,6.54,6.5,6.5,3.04,7000
15/02/1990,0.0,6.5,6.47,6.5,3.04,29000
16/02/1990,0.0,6.5,6.41,6.41,3.0,25000
20/02/1990,0.0,6.4,6.4,6.4,2.99,1000
21/02/1990,0.0,6.44,6.39,6.4,2.99,7000
22/02/1990,0.0,6.44,6.44,6.44,3.01,1000
23/02/1990,0.0,6.41,6.4,6.4,2.99,7000
26/02/1990,0.0,6.38,6.35,6.38,2.98,18000
27/02/1990,0.0,6.34,6.34,6.34,2.96,3000
28/02/1990,0.0,6.38,6.35,6.35,2.97,9000
01/03/1990,0.0,6.39,6.35,6.39,3.0,15000
02/03/1990,0.0,6.4,6.38,6.4,3.01,13000
05/03/1990,6.4,6.4,6.4,6.4,3.01,0
06/03/1990,0.0,6.4,6.4,6.4,3.01,1000
07/03/1990,0.0,6.44,6.41,6.44,3.02,3000
08/03/1990,0.0,6.44,6.44,6.44,3.02,2000
09/03/1990,0.0,6.49,6.46,6.47,3.04,17000
12/03/1990,0.0,6.47,6.47,6.47,3.04,170000
13/03/1990,0.0,6.49,6.49,6.49,3.05,2000
14/03/1990,0.0,6.49,6.49,6.49,3.05,29000
15/03/1990,0.0,6.55,6.51,6.55,3.08,15000
16/03/1990,0.0,6.51,6.51,6.51,3.06,1000
19/03/1990,6.51,6.51,6.51,6.51,3.06,0
20/03/1990,0.0,6.5,6.49,6.49,3.05,6000
21/03/1990,0.0,6.51,6.51,6.51,3.06,120000
