Date,Open,High,Low,Close,Adj Close,Volume
19/01/1993,0.31,0.35,0.31,0.31,0.3,3697205
20/01/1993,0.35,0.35,0.31,0.31,0.3,297626
21/01/1993,0.35,0.35,0.31,0.31,0.3,124252
22/01/1993,0.35,0.35,0.31,0.35,0.33,83798
25/01/1993,0.31,0.36,0.31,0.33,0.31,959337
26/01/1993,0.33,0.38,0.33,0.35,0.33,118472
27/01/1993,0.35,0.45,0.35,0.4,0.38,983899
28/01/1993,0.4,0.45,0.35,0.38,0.36,551908
29/01/1993,0.4,0.4,0.35,0.36,0.35,141589
01/02/1993,0.35,0.38,0.35,0.35,0.34,1317644
02/02/1993,0.35,0.38,0.35,0.37,0.35,1573371
03/02/1993,0.35,0.38,0.35,0.35,0.34,177709
04/02/1993,0.35,0.38,0.35,0.37,0.35,759957
05/02/1993,0.35,0.42,0.35,0.38,0.36,976675
08/02/1993,0.38,0.42,0.38,0.42,0.4,2922800
09/02/1993,0.42,0.43,0.37,0.37,0.35,1765527
10/02/1993,0.4,0.4,0.37,0.38,0.36,258617
11/02/1993,0.37,0.41,0.37,0.37,0.35,192156
12/02/1993,0.37,0.47,0.37,0.42,0.4,2945917
16/02/1993,0.45,0.45,0.42,0.42,0.4,1323423
17/02/1993,0.42,0.47,0.42,0.45,0.43,1863773
18/02/1993,0.42,0.45,0.42,0.45,0.43,720948
19/02/1993,0.42,0.45,0.42,0.45,0.43,2107941
22/02/1993,0.45,0.45,0.42,0.42,0.4,927552
23/02/1993,0.42,0.45,0.42,0.45,0.43,430546
24/02/1993,0.45,0.48,0.42,0.45,0.43,2252420
25/02/1993,0.45,0.48,0.45,0.48,0.46,351083
26/02/1993,0.48,0.48,0.45,0.46,0.44,2896794
01/03/1993,0.45,0.47,0.43,0.47,0.44,484003
02/03/1993,0.43,0.47,0.42,0.47,0.44,1671616
03/03/1993,0.42,0.47,0.42,0.42,0.4,163261
04/03/1993,0.47,0.47,0.4,0.42,0.4,1517024
05/03/1993,0.4,0.44,0.4,0.42,0.4,150258
08/03/1993,0.4,0.44,0.4,0.4,0.38,130031
09/03/1993,0.4,0.42,0.39,0.41,0.39,887098
10/03/1993,0.41,0.41,0.36,0.36,0.35,130031
11/03/1993,0.36,0.4,0.35,0.36,0.35,823528
12/03/1993,0.36,0.38,0.35,0.36,0.35,440659
15/03/1993,0.38,0.38,0.35,0.37,0.35,160371
16/03/1993,0.35,0.38,0.35,0.37,0.35,385758
17/03/1993,0.35,0.37,0.35,0.35,0.33,79463
18/03/1993,0.37,0.37,0.34,0.35,0.33,442104
19/03/1993,0.33,0.35,0.33,0.33,0.31,1392773
22/03/1993,0.33,0.35,0.33,0.33,0.31,109804
23/03/1993,0.35,0.35,0.33,0.33,0.31,394426
24/03/1993,0.33,0.35,0.29,0.31,0.3,1138491
25/03/1993,0.33,0.33,0.31,0.33,0.31,518678
26/03/1993,0.31,0.33,0.29,0.29,0.28,223942
29/03/1993,0.29,0.32,0.29,0.3,0.29,1605156
30/03/1993,0.3,0.31,0.28,0.28,0.26,397316
31/03/1993,0.3,0.3,0.28,0.28,0.26,65015
01/04/1993,0.3,0.3,0.28,0.29,0.28,148813
02/04/1993,0.29,0.3,0.29,0.29,0.28,1586374
05/04/1993,0.29,0.31,0.29,0.29,0.28,222497
06/04/1993,0.29,0.33,0.26,0.26,0.25,1061917
07/04/1993,0.26,0.28,0.23,0.25,0.24,195046
08/04/1993,0.23,0.24,0.23,0.23,0.22,274509
12/04/1993,0.22,0.23,0.18,0.21,0.2,476779
13/04/1993,0.19,0.21,0.18,0.18,0.17,1210730
14/04/1993,0.18,0.22,0.18,0.21,0.2,811969
15/04/1993,0.2,0.22,0.2,0.21,0.2,299071
16/04/1993,0.2,0.22,0.2,0.2,0.19,1007015
19/04/1993,0.2,0.28,0.2,0.28,0.26,900101
20/04/1993,0.26,0.31,0.26,0.29,0.28,5026407
21/04/1993,0.31,0.31,0.29,0.31,0.3,707945
22/04/1993,0.32,0.32,0.3,0.3,0.29,177709
23/04/1993,0.3,0.32,0.3,0.3,0.29,98245
26/04/1993,0.3,0.32,0.28,0.3,0.29,1353764
27/04/1993,0.3,0.3,0.26,0.26,0.25,495561
28/04/1993,0.26,0.29,0.26,0.29,0.27,163261
29/04/1993,0.29,0.29,0.26,0.29,0.27,86687
30/04/1993,0.26,0.26,0.26,0.26,0.25,459442
03/05/1993,0.26,0.26,0.26,0.26,0.25,26006
04/05/1993,0.26,0.29,0.26,0.26,0.25,39009
05/05/1993,0.26,0.29,0.26,0.28,0.26,247058
06/05/1993,0.26,0.28,0.26,0.26,0.25,209494
07/05/1993,0.26,0.28,0.24,0.24,0.23,1048914
10/05/1993,0.24,0.28,0.24,0.25,0.24,833641
11/05/1993,0.27,0.27,0.24,0.24,0.23,143034
12/05/1993,0.24,0.27,0.24,0.24,0.23,693497
13/05/1993,0.24,0.28,0.24,0.25,0.24,98245
14/05/1993,0.25,0.28,0.25,0.26,0.25,105469
17/05/1993,0.29,0.29,0.27,0.27,0.26,366975
18/05/1993,0.27,0.29,0.27,0.27,0.26,40454
19/05/1993,0.29,0.33,0.28,0.33,0.31,2857785
20/05/1993,0.31,0.4,0.31,0.39,0.37,2009696
21/05/1993,0.4,0.47,0.37,0.4,0.38,1463567
24/05/1993,0.4,0.42,0.4,0.4,0.38,660267
25/05/1993,0.4,0.42,0.37,0.38,0.36,489782
26/05/1993,0.4,0.4,0.37,0.37,0.35,218163
27/05/1993,0.37,0.4,0.36,0.39,0.37,299071
28/05/1993,0.36,0.39,0.36,0.39,0.37,125696
01/06/1993,0.39,0.39,0.36,0.37,0.35,1134156
02/06/1993,0.37,0.42,0.37,0.42,0.4,758512
03/06/1993,0.42,0.43,0.38,0.43,0.41,200825
04/06/1993,0.4,0.43,0.4,0.43,0.41,53457
07/06/1993,0.41,0.43,0.41,0.41,0.39,481113
08/06/1993,0.41,0.42,0.4,0.4,0.38,2135392
09/06/1993,0.42,0.42,0.4,0.42,0.4,3042717
10/06/1993,0.42,0.42,0.4,0.42,0.4,512899
11/06/1993,0.4,0.44,0.4,0.44,0.42,797521
14/06/1993,0.44,0.46,0.42,0.44,0.42,491227
15/06/1993,0.44,0.48,0.44,0.48,0.45,666046
16/06/1993,0.48,0.56,0.46,0.55,0.52,2974813
17/06/1993,0.54,0.61,0.54,0.57,0.54,2889570
18/06/1993,0.57,0.62,0.57,0.6,0.57,1596488
21/06/1993,0.61,0.67,0.58,0.63,0.6,3200199
22/06/1993,0.67,0.72,0.62,0.7,0.67,4863147
23/06/1993,0.62,0.64,0.52,0.61,0.58,2578941
24/06/1993,0.62,0.62,0.59,0.62,0.59,1452009
25/06/1993,0.59,0.62,0.59,0.62,0.59,887098
28/06/1993,0.62,0.72,0.61,0.67,0.64,2602058
29/06/1993,0.69,0.78,0.67,0.78,0.74,3112067
30/06/1993,0.76,0.81,0.67,0.69,0.66,2524040
01/07/1993,0.74,0.74,0.69,0.69,0.66,605365
02/07/1993,0.73,0.83,0.69,0.8,0.76,3554171
06/07/1993,0.8,0.87,0.76,0.84,0.8,2700303
07/07/1993,0.83,0.97,0.83,0.95,0.91,1674506
08/07/1993,0.99,0.99,0.88,0.9,0.86,1603711
09/07/1993,0.88,0.9,0.8,0.86,0.82,983899
12/07/1993,0.87,1.16,0.87,1.12,1.07,3505049
13/07/1993,1.21,1.28,1.16,1.23,1.17,6773153
14/07/1993,1.26,1.26,1.14,1.16,1.1,2084825
15/07/1993,1.12,1.18,1.07,1.07,1.02,3584512
16/07/1993,1.07,1.11,1.04,1.04,0.99,1967797
19/07/1993,1.04,1.11,1.04,1.1,1.05,541794
20/07/1993,1.14,1.33,1.09,1.3,1.24,1739521
21/07/1993,1.32,1.33,1.25,1.28,1.22,1009905
22/07/1993,1.32,1.32,1.16,1.21,1.15,781629
23/07/1993,1.23,1.23,1.12,1.19,1.14,754178
26/07/1993,1.16,1.19,1.12,1.19,1.14,670380
27/07/1993,1.19,1.19,1.14,1.19,1.14,365531
28/07/1993,1.19,1.25,1.16,1.19,1.14,316408
29/07/1993,1.19,1.26,1.19,1.23,1.17,719503
30/07/1993,1.23,1.3,1.23,1.25,1.19,410319
02/08/1993,1.25,1.26,1.16,1.18,1.12,566356
03/08/1993,1.16,1.19,1.16,1.18,1.12,462331
04/08/1993,1.16,1.18,1.02,1.08,1.03,1456343
05/08/1993,1.07,1.12,1.04,1.04,0.99,759957
06/08/1993,1.04,1.08,1.04,1.06,1.01,684828
09/08/1993,1.06,1.09,1.04,1.06,1.01,1925899
10/08/1993,1.04,1.09,1.02,1.05,1.0,284623
11/08/1993,1.02,1.06,1.02,1.04,0.99,118472
12/08/1993,1.04,1.07,1.02,1.06,1.0,660267
13/08/1993,1.02,1.06,0.95,0.95,0.91,2253865
16/08/1993,0.95,0.99,0.95,0.98,0.93,616923
17/08/1993,0.95,1.06,0.95,1.06,1.01,427656
18/08/1993,1.04,1.14,1.04,1.07,1.02,1287304
19/08/1993,1.06,1.09,1.04,1.04,0.99,151702
20/08/1993,1.04,1.09,1.04,1.06,1.0,5033631
23/08/1993,1.06,1.09,1.06,1.06,1.0,1439006
24/08/1993,1.06,1.09,1.06,1.07,1.02,495561
25/08/1993,1.06,1.09,1.06,1.06,1.0,351083
26/08/1993,1.09,1.26,1.06,1.25,1.19,3658196
27/08/1993,1.28,1.32,1.26,1.26,1.2,992567
30/08/1993,1.3,1.3,1.16,1.19,1.14,679049
31/08/1993,1.23,1.23,1.19,1.23,1.17,1654279
01/09/1993,1.25,1.25,1.19,1.21,1.15,3304224
02/09/1993,1.21,1.23,1.21,1.22,1.16,1495353
03/09/1993,1.23,1.23,1.21,1.21,1.15,218163
07/09/1993,1.21,1.22,1.18,1.21,1.15,293291
08/09/1993,1.18,1.21,1.14,1.16,1.1,1066251
09/09/1993,1.16,1.19,1.12,1.18,1.12,780184
10/09/1993,1.18,1.18,1.1,1.11,1.05,235500
13/09/1993,1.14,1.14,1.09,1.09,1.04,44788
