Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.96,1.0,0.95,1.0,0.96,1589000
03/01/1990,0.99,1.04,0.99,1.02,0.99,2963000
04/01/1990,1.04,1.04,0.98,1.01,0.98,1426000
05/01/1990,1.01,1.02,0.99,0.99,0.95,1507000
08/01/1990,0.99,1.01,0.98,0.98,0.94,1270000
09/01/1990,1.0,1.02,1.0,1.0,0.96,3547000
10/01/1990,0.99,1.01,0.96,0.99,0.95,1494000
11/01/1990,0.98,0.99,0.96,0.96,0.93,904000
12/01/1990,0.94,0.96,0.91,0.94,0.9,2284000
15/01/1990,0.96,0.96,0.89,0.9,0.87,2210000
16/01/1990,0.89,0.94,0.88,0.91,0.88,1711000
17/01/1990,0.9,0.91,0.89,0.9,0.87,1241000
18/01/1990,0.9,0.91,0.88,0.91,0.88,1294000
19/01/1990,0.9,0.93,0.9,0.91,0.88,862000
22/01/1990,0.91,0.91,0.84,0.84,0.81,3784000
23/01/1990,0.85,0.85,0.77,0.79,0.76,4398000
24/01/1990,0.76,0.81,0.73,0.81,0.78,5765000
25/01/1990,0.82,0.84,0.79,0.8,0.77,2959000
26/01/1990,0.79,0.81,0.77,0.8,0.77,1821000
29/01/1990,0.8,0.82,0.76,0.77,0.75,2950000
30/01/1990,0.77,0.77,0.7,0.71,0.69,4804000
31/01/1990,0.73,0.79,0.71,0.77,0.75,3430000
01/02/1990,0.79,0.85,0.76,0.84,0.81,3213000
02/02/1990,0.84,0.91,0.84,0.9,0.87,3274000
05/02/1990,0.89,0.96,0.89,0.93,0.89,2589000
06/02/1990,0.91,0.93,0.85,0.88,0.84,1703000
07/02/1990,0.85,0.91,0.85,0.9,0.87,2239000
08/02/1990,0.89,0.9,0.88,0.89,0.85,1508000
09/02/1990,0.89,0.9,0.86,0.86,0.83,2870000
12/02/1990,0.89,0.89,0.85,0.86,0.83,1518000
13/02/1990,0.85,0.94,0.85,0.93,0.89,4628000
14/02/1990,0.94,0.99,0.93,0.96,0.93,2649000
15/02/1990,0.96,1.04,0.95,1.04,1.0,2893000
16/02/1990,1.04,1.05,1.01,1.02,0.99,3141000
20/02/1990,1.01,1.02,0.99,0.99,0.95,1377000
21/02/1990,0.98,1.05,0.95,1.02,0.99,3578000
22/02/1990,1.04,1.11,1.04,1.11,1.07,7995000
23/02/1990,1.09,1.15,1.08,1.14,1.1,5384000
26/02/1990,1.12,1.3,1.11,1.3,1.25,7004000
27/02/1990,1.33,1.34,1.21,1.25,1.2,7627000
28/02/1990,1.23,1.25,1.19,1.21,1.17,2533000
01/03/1990,1.19,1.21,1.16,1.21,1.17,3895000
02/03/1990,1.21,1.26,1.2,1.24,1.19,2590000
05/03/1990,1.25,1.29,1.24,1.26,1.22,1997000
06/03/1990,1.26,1.29,1.25,1.29,1.24,2669000
07/03/1990,1.27,1.3,1.26,1.26,1.22,1974000
08/03/1990,1.26,1.29,1.23,1.26,1.22,2350000
09/03/1990,1.3,1.35,1.29,1.3,1.25,5547000
12/03/1990,1.3,1.33,1.29,1.31,1.26,1620000
13/03/1990,1.29,1.34,1.27,1.29,1.24,2468000
14/03/1990,1.31,1.33,1.26,1.33,1.28,2594000
15/03/1990,1.25,1.3,1.23,1.27,1.23,4591000
16/03/1990,1.27,1.34,1.27,1.33,1.28,8199000
19/03/1990,1.33,1.33,1.3,1.31,1.26,3112000
20/03/1990,1.31,1.33,1.26,1.29,1.24,1983000
21/03/1990,1.27,1.27,1.24,1.25,1.2,2331000
22/03/1990,1.24,1.26,1.21,1.23,1.18,5140000
23/03/1990,1.23,1.24,1.19,1.21,1.17,2565000
26/03/1990,1.23,1.25,1.21,1.24,1.19,2694000
27/03/1990,1.21,1.24,1.2,1.21,1.17,811000
28/03/1990,1.2,1.27,1.2,1.26,1.22,3341000
