Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.76,3.78,3.73,3.78,0.86,323724
03/01/1990,3.78,3.78,3.73,3.73,0.85,465735
04/01/1990,3.73,3.76,3.73,3.73,0.85,337976
05/01/1990,3.76,3.76,3.71,3.71,0.85,435195
08/01/1990,3.71,3.73,3.68,3.68,0.84,290130
09/01/1990,3.68,3.71,3.66,3.66,0.84,403128
10/01/1990,3.68,3.68,3.63,3.63,0.83,346629
11/01/1990,3.66,3.68,3.63,3.66,0.84,825598
12/01/1990,3.63,3.66,3.56,3.59,0.82,466244
15/01/1990,3.56,3.61,3.56,3.59,0.82,637268
16/01/1990,3.59,3.59,3.54,3.56,0.81,216834
17/01/1990,3.56,3.59,3.49,3.49,0.8,1412475
18/01/1990,3.46,3.51,3.46,3.51,0.8,432141
19/01/1990,3.54,3.56,3.51,3.54,0.81,201055
22/01/1990,3.51,3.54,3.49,3.49,0.8,609782
23/01/1990,3.49,3.51,3.46,3.46,0.79,662209
24/01/1990,3.41,3.46,3.39,3.46,0.79,2071121
25/01/1990,3.36,3.41,3.36,3.39,0.79,2697700
26/01/1990,3.39,3.44,3.39,3.44,0.8,1182916
29/01/1990,3.41,3.49,3.41,3.41,0.79,412799
30/01/1990,3.44,3.46,3.41,3.41,0.79,816945
31/01/1990,3.41,3.49,3.39,3.49,0.81,375133
01/02/1990,3.49,3.59,3.46,3.59,0.83,532923
02/02/1990,3.54,3.56,3.49,3.51,0.81,309472
05/02/1990,3.51,3.54,3.49,3.51,0.81,663227
06/02/1990,3.51,3.51,3.49,3.51,0.81,301328
07/02/1990,3.49,3.51,3.49,3.51,0.81,349174
08/02/1990,3.51,3.56,3.49,3.56,0.82,789968
09/02/1990,3.54,3.63,3.54,3.61,0.84,1897552
12/02/1990,3.61,3.61,3.56,3.59,0.83,749248
13/02/1990,3.59,3.59,3.56,3.59,0.83,715654
14/02/1990,3.56,3.59,3.54,3.59,0.83,204618
15/02/1990,3.56,3.59,3.56,3.59,0.83,286567
16/02/1990,3.56,3.59,3.56,3.59,0.83,455555
20/02/1990,3.56,3.56,3.49,3.51,0.81,215307
21/02/1990,3.49,3.49,3.44,3.46,0.8,988987
22/02/1990,3.49,3.49,3.44,3.46,0.8,428069
23/02/1990,3.46,3.49,3.46,3.49,0.81,487113
26/02/1990,3.51,3.51,3.46,3.46,0.8,298274
27/02/1990,3.46,3.49,3.46,3.46,0.8,282495
28/02/1990,3.46,3.56,3.46,3.56,0.82,4355513
01/03/1990,3.56,3.59,3.54,3.56,0.82,352228
02/03/1990,3.56,3.59,3.56,3.59,0.83,444866
05/03/1990,3.56,3.59,3.56,3.59,0.83,443848
06/03/1990,3.59,3.59,3.56,3.56,0.82,1100458
07/03/1990,3.56,3.63,3.56,3.63,0.84,276387
08/03/1990,3.61,3.63,3.61,3.61,0.84,1510712
09/03/1990,3.61,3.63,3.61,3.61,0.84,1340706
12/03/1990,3.61,3.63,3.59,3.63,0.84,199528
13/03/1990,3.63,3.63,3.61,3.63,0.84,459627
14/03/1990,3.61,3.63,3.61,3.61,0.84,836796
15/03/1990,3.61,3.63,3.56,3.59,0.83,492712
16/03/1990,3.56,3.56,3.54,3.56,0.82,226505
