Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,13.58,13.92,13.38,13.92,6.07,803700
03/01/1990,13.75,13.79,13.46,13.46,5.87,830700
04/01/1990,13.54,13.71,13.38,13.67,5.97,1026600
05/01/1990,13.67,13.67,13.33,13.42,5.86,1161000
08/01/1990,13.38,13.42,13.25,13.42,5.86,721500
09/01/1990,13.38,13.42,13.08,13.17,5.75,582900
10/01/1990,13.25,13.29,13.04,13.17,5.75,811800
11/01/1990,13.25,13.29,13.12,13.12,5.73,296100
12/01/1990,13.04,13.04,12.58,12.67,5.53,1132800
15/01/1990,12.67,12.71,12.5,12.5,5.46,782700
16/01/1990,12.33,12.79,12.25,12.79,5.58,856200
17/01/1990,12.79,12.79,12.38,12.42,5.42,745200
18/01/1990,12.42,12.67,12.38,12.67,5.53,795600
19/01/1990,12.67,12.92,12.67,12.88,5.62,805200
22/01/1990,12.83,12.96,12.54,12.54,5.47,809100
23/01/1990,12.67,12.67,12.46,12.46,5.44,988500
24/01/1990,12.08,12.5,12.04,12.38,5.4,861000
25/01/1990,12.42,12.5,12.21,12.25,5.35,835200
26/01/1990,12.25,12.33,12.17,12.25,5.35,1068600
29/01/1990,12.25,12.25,11.96,12.12,5.34,1029000
30/01/1990,12.17,12.21,11.88,11.92,5.25,1065300
31/01/1990,11.96,12.21,11.92,12.21,5.38,671400
01/02/1990,12.21,12.25,12.0,12.08,5.33,500100
02/02/1990,12.17,12.25,12.08,12.17,5.36,564000
05/02/1990,12.17,12.29,12.12,12.21,5.38,413700
06/02/1990,12.17,12.21,12.04,12.08,5.33,874800
07/02/1990,12.0,12.38,12.0,12.29,5.42,602100
08/02/1990,12.25,12.38,12.17,12.29,5.42,417300
09/02/1990,12.38,12.58,12.33,12.5,5.51,534000
12/02/1990,12.5,12.54,12.29,12.29,5.42,630600
13/02/1990,12.29,12.38,12.25,12.33,5.44,587700
14/02/1990,12.33,12.46,12.33,12.38,5.45,1006800
15/02/1990,12.29,12.38,12.29,12.33,5.44,717000
16/02/1990,12.33,12.33,12.25,12.25,5.4,790200
20/02/1990,12.17,12.17,12.04,12.08,5.33,736500
21/02/1990,12.0,12.29,12.0,12.17,5.36,550200
22/02/1990,12.21,12.25,12.04,12.04,5.31,887400
23/02/1990,12.0,12.08,12.0,12.04,5.31,630000
26/02/1990,12.0,12.12,12.0,12.12,5.34,668400
27/02/1990,12.25,12.46,12.21,12.33,5.44,912600
28/02/1990,12.29,12.58,12.29,12.54,5.53,786300
01/03/1990,12.46,12.75,12.46,12.75,5.62,905400
02/03/1990,12.71,12.92,12.62,12.79,5.64,825300
05/03/1990,12.71,12.71,12.46,12.58,5.55,625800
06/03/1990,12.54,12.62,12.46,12.58,5.55,725100
07/03/1990,12.54,12.58,12.33,12.33,5.44,988800
08/03/1990,12.29,12.5,12.29,12.46,5.49,720000
09/03/1990,12.46,12.46,12.33,12.46,5.49,465600
12/03/1990,12.46,12.58,12.33,12.58,5.55,518700
13/03/1990,12.46,12.54,12.38,12.5,5.51,607500
14/03/1990,12.54,12.62,12.46,12.5,5.51,412200
15/03/1990,12.42,12.62,12.42,12.58,5.55,729600
16/03/1990,12.62,12.62,12.46,12.46,5.49,1159800
19/03/1990,12.46,12.58,12.42,12.54,5.53,422400
20/03/1990,12.58,12.75,12.54,12.71,5.6,568800
21/03/1990,12.67,12.71,12.58,12.62,5.56,773400
22/03/1990,12.58,12.67,12.33,12.46,5.49,571200
23/03/1990,12.46,12.5,12.25,12.38,5.45,542400
26/03/1990,12.58,12.71,12.54,12.67,5.58,571500
27/03/1990,12.75,13.25,12.75,13.08,5.77,659100
28/03/1990,12.83,13.29,12.83,13.29,5.86,1354500
29/03/1990,13.29,13.29,13.17,13.21,5.82,934200
30/03/1990,13.17,13.21,13.08,13.21,5.82,573300
02/04/1990,13.0,13.17,13.0,13.17,5.8,715200
03/04/1990,13.08,13.25,13.08,13.17,5.8,1233900
04/04/1990,13.12,13.17,13.04,13.08,5.77,523800
05/04/1990,13.08,13.08,13.0,13.08,5.77,367200
06/04/1990,13.04,13.08,12.96,13.04,5.75,675000
09/04/1990,13.0,13.04,12.92,13.0,5.73,335400
10/04/1990,13.0,13.04,12.92,12.96,5.71,517800
11/04/1990,12.96,13.04,12.88,12.96,5.71,528000
12/04/1990,12.88,13.08,12.88,12.96,5.71,541200
16/04/1990,13.04,13.08,12.96,13.04,5.75,1086300
17/04/1990,12.96,13.0,12.88,12.92,5.69,382800
18/04/1990,12.92,12.96,12.83,12.88,5.68,750000
19/04/1990,12.83,12.88,12.54,12.54,5.53,863400
20/04/1990,12.58,12.67,12.46,12.67,5.58,808800
23/04/1990,12.67,12.67,12.42,12.42,5.47,880800
24/04/1990,12.42,12.54,12.42,12.5,5.51,391200
25/04/1990,12.5,12.75,12.46,12.58,5.55,644400
26/04/1990,12.67,12.71,12.58,12.67,5.58,822600
27/04/1990,12.67,12.79,12.67,12.67,5.58,627300
30/04/1990,12.46,12.62,12.42,12.54,5.58,395100
01/05/1990,12.62,12.75,12.54,12.58,5.6,831300
02/05/1990,12.58,12.75,12.54,12.75,5.67,1765500
03/05/1990,12.83,12.88,12.75,12.83,5.71,459300
04/05/1990,12.83,12.96,12.79,12.83,5.71,1252800
07/05/1990,12.83,13.04,12.83,12.96,5.77,585000
08/05/1990,12.96,13.0,12.88,12.96,5.77,488400
09/05/1990,12.96,13.17,12.92,13.17,5.86,360900
10/05/1990,13.12,13.25,13.04,13.21,5.88,466200
11/05/1990,13.29,13.42,13.21,13.42,5.97,701700
14/05/1990,13.46,13.96,13.42,13.75,6.12,1526100
15/05/1990,13.71,13.83,13.67,13.75,6.12,569700
16/05/1990,13.71,13.88,13.67,13.88,6.17,737100
17/05/1990,13.92,14.17,13.92,13.92,6.19,1390200
18/05/1990,13.92,14.0,13.88,14.0,6.23,2364900
21/05/1990,14.0,14.0,13.88,13.88,6.17,707400
22/05/1990,13.92,13.92,13.62,13.92,6.19,609600
23/05/1990,13.83,13.96,13.79,13.92,6.19,561000
24/05/1990,13.88,14.0,13.88,13.92,6.19,573300
25/05/1990,13.92,13.96,13.71,13.75,6.12,346800
29/05/1990,13.71,13.79,13.62,13.75,6.12,684300
30/05/1990,13.75,13.79,13.67,13.75,6.12,1591200
31/05/1990,13.75,13.79,13.67,13.75,6.12,638700
01/06/1990,13.83,13.83,13.79,13.83,6.16,623700
04/06/1990,13.79,13.96,13.71,13.88,6.17,723600
05/06/1990,13.92,14.08,13.88,14.08,6.27,1981800
06/06/1990,14.08,14.67,14.08,14.54,6.47,1917900
07/06/1990,14.5,14.54,14.08,14.29,6.36,1653300
08/06/1990,14.33,14.42,14.17,14.33,6.38,1243500
11/06/1990,14.21,14.38,14.17,14.29,6.36,435900
12/06/1990,14.33,14.62,14.17,14.42,6.42,663000
13/06/1990,14.5,14.5,14.21,14.25,6.34,606900
14/06/1990,14.25,14.42,14.21,14.42,6.42,356400
15/06/1990,14.08,14.38,14.08,14.25,6.34,1209000
18/06/1990,14.25,14.42,14.17,14.21,6.32,708000
19/06/1990,14.21,14.46,14.21,14.42,6.42,489000
20/06/1990,14.42,14.5,14.38,14.46,6.43,639300
21/06/1990,14.46,14.79,14.46,14.75,6.56,608700
