Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,5.15,5.08,5.1,2.54,297600
03/01/1990,0.0,5.29,5.1,5.23,2.6,562800
04/01/1990,0.0,5.27,5.23,5.27,2.62,74400
05/01/1990,0.0,5.4,5.23,5.4,2.68,939600
08/01/1990,0.0,5.42,5.35,5.4,2.68,525600
09/01/1990,0.0,5.4,5.33,5.38,2.67,470400
10/01/1990,0.0,5.38,5.21,5.21,2.59,368400
11/01/1990,0.0,5.23,5.21,5.23,2.6,174000
12/01/1990,0.0,5.23,5.08,5.15,2.56,184800
15/01/1990,0.0,5.08,4.98,5.04,2.51,903600
16/01/1990,0.0,5.06,4.98,5.06,2.52,1492800
17/01/1990,0.0,5.19,5.12,5.17,2.57,1123200
18/01/1990,0.0,5.17,5.12,5.14,2.55,584400
19/01/1990,0.0,5.21,5.12,5.19,2.58,1075200
22/01/1990,0.0,5.19,5.12,5.17,2.57,542400
23/01/1990,0.0,5.19,5.1,5.19,2.58,735600
24/01/1990,0.0,5.17,5.1,5.15,2.56,180000
25/01/1990,0.0,5.19,5.15,5.19,2.58,272400
26/01/1990,0.0,5.19,5.15,5.17,2.57,285600
29/01/1990,0.0,5.19,5.15,5.17,2.57,609600
30/01/1990,0.0,5.19,5.08,5.1,2.54,1126800
31/01/1990,0.0,5.12,5.06,5.12,2.55,601200
01/02/1990,0.0,5.15,5.1,5.1,2.54,223200
02/02/1990,0.0,5.3,5.1,5.25,2.61,735600
05/02/1990,0.0,5.33,5.23,5.33,2.65,705600
06/02/1990,0.0,5.33,5.29,5.31,2.64,295200
07/02/1990,0.0,5.33,5.29,5.31,2.64,489600
08/02/1990,0.0,5.35,5.29,5.31,2.64,355200
09/02/1990,0.0,5.33,5.29,5.31,2.64,160800
12/02/1990,0.0,5.3,5.25,5.29,2.63,372000
13/02/1990,0.0,5.29,5.25,5.25,2.61,147600
14/02/1990,0.0,5.29,5.25,5.25,2.61,270000
15/02/1990,0.0,5.29,5.25,5.25,2.61,176400
16/02/1990,0.0,5.29,5.27,5.29,2.63,144000
20/02/1990,0.0,5.29,5.23,5.27,2.62,297600
21/02/1990,0.0,5.23,5.15,5.17,2.57,866400
22/02/1990,0.0,5.19,5.17,5.19,2.58,226800
23/02/1990,0.0,5.19,5.12,5.19,2.58,18000
26/02/1990,0.0,5.17,5.1,5.12,2.55,609600
27/02/1990,0.0,5.21,5.12,5.21,2.59,916800
28/02/1990,0.0,5.27,5.21,5.27,2.62,236400
01/03/1990,0.0,5.27,5.23,5.26,2.62,224400
02/03/1990,0.0,5.27,5.23,5.27,2.62,73200
05/03/1990,0.0,5.27,5.21,5.21,2.61,201600
06/03/1990,0.0,5.25,5.21,5.25,2.63,189600
07/03/1990,0.0,5.25,5.21,5.25,2.63,202800
08/03/1990,0.0,5.29,5.21,5.29,2.65,307200
09/03/1990,0.0,5.35,5.29,5.31,2.66,217200
12/03/1990,0.0,5.35,5.31,5.31,2.66,144000
13/03/1990,0.0,5.38,5.31,5.38,2.69,81600
14/03/1990,0.0,5.4,5.35,5.35,2.68,157200
15/03/1990,0.0,5.4,5.31,5.31,2.66,196800
16/03/1990,0.0,5.38,5.31,5.33,2.67,506400
19/03/1990,0.0,5.31,5.25,5.29,2.65,319200
20/03/1990,0.0,5.27,5.22,5.22,2.61,526800
21/03/1990,0.0,5.27,5.23,5.23,2.62,553200
22/03/1990,0.0,5.27,5.19,5.19,2.6,666000
23/03/1990,0.0,5.25,5.17,5.2,2.6,189600
26/03/1990,5.23,5.23,5.17,5.17,2.59,139200
27/03/1990,5.17,5.21,5.12,5.17,2.59,471600
28/03/1990,5.17,5.17,5.12,5.17,2.59,15600
29/03/1990,5.17,5.19,5.08,5.12,2.56,787200
30/03/1990,5.12,5.12,5.08,5.12,2.56,906000
02/04/1990,5.1,5.1,5.06,5.06,2.53,362400
03/04/1990,5.1,5.1,5.06,5.1,2.55,123600
04/04/1990,5.1,5.1,5.04,5.04,2.52,496800
05/04/1990,5.06,5.1,5.04,5.08,2.54,712800
06/04/1990,5.06,5.1,5.06,5.06,2.53,630000
09/04/1990,5.08,5.08,5.02,5.08,2.54,330000
10/04/1990,5.08,5.08,5.04,5.06,2.53,210000
11/04/1990,5.08,5.08,5.04,5.04,2.52,43200
12/04/1990,5.04,5.08,5.04,5.08,2.54,93600
16/04/1990,5.04,5.1,5.04,5.1,2.55,478800
17/04/1990,5.12,5.15,5.06,5.15,2.57,140400
18/04/1990,5.12,5.17,5.1,5.15,2.57,555600
19/04/1990,5.17,5.17,5.12,5.12,2.56,1048800
20/04/1990,5.12,5.17,5.12,5.15,2.57,81600
23/04/1990,5.17,5.17,5.12,5.17,2.59,56400
24/04/1990,5.12,5.17,5.12,5.17,2.59,70800
25/04/1990,5.17,5.17,5.12,5.12,2.56,76800
26/04/1990,5.1,5.17,5.1,5.1,2.55,273600
27/04/1990,5.1,5.15,5.08,5.08,2.54,442800
30/04/1990,5.08,5.12,5.06,5.08,2.54,1083600
01/05/1990,5.12,5.12,5.08,5.12,2.56,166200
02/05/1990,5.12,5.12,5.04,5.04,2.52,106800
03/05/1990,5.12,5.12,5.04,5.04,2.52,242400
04/05/1990,5.08,5.08,5.0,5.06,2.53,348600
07/05/1990,5.08,5.08,5.0,5.08,2.54,1182600
08/05/1990,5.0,5.08,5.0,5.08,2.54,895200
09/05/1990,5.12,5.21,5.04,5.17,2.59,415800
10/05/1990,5.21,5.29,5.17,5.29,2.65,126600
11/05/1990,5.29,5.42,5.29,5.42,2.71,247800
14/05/1990,5.42,5.46,5.33,5.33,2.67,174600
15/05/1990,5.42,5.58,5.33,5.54,2.77,377400
16/05/1990,5.54,5.54,5.46,5.52,2.76,168000
17/05/1990,5.54,5.54,5.46,5.46,2.73,69000
18/05/1990,5.46,5.52,5.42,5.5,2.75,53400
21/05/1990,5.54,5.62,5.46,5.58,2.79,131400
22/05/1990,5.58,5.62,5.54,5.54,2.77,193800
23/05/1990,5.54,5.62,5.5,5.54,2.77,1092000
24/05/1990,5.5,5.54,5.46,5.46,2.73,31800
25/05/1990,5.46,5.54,5.42,5.42,2.71,34200
29/05/1990,5.5,5.5,5.42,5.42,2.71,117600
30/05/1990,5.42,5.46,5.42,5.46,2.73,339000
31/05/1990,5.42,5.42,5.25,5.29,2.65,667200
01/06/1990,5.29,5.33,5.25,5.27,2.64,437400
04/06/1990,5.29,5.29,5.25,5.27,2.64,286800
05/06/1990,5.29,5.38,5.25,5.33,2.68,612000
06/06/1990,5.38,5.46,5.29,5.46,2.75,177600
07/06/1990,5.5,5.5,5.42,5.42,2.73,120600
08/06/1990,5.42,5.54,5.42,5.46,2.75,177000
11/06/1990,5.5,5.5,5.38,5.38,2.71,162000
12/06/1990,5.46,5.46,5.38,5.38,2.71,655200
13/06/1990,5.38,5.42,5.33,5.42,2.73,687600
14/06/1990,5.38,5.38,5.29,5.38,2.71,655800
15/06/1990,5.29,5.33,5.25,5.25,2.64,217200
18/06/1990,5.25,5.33,5.25,5.33,2.68,366000
19/06/1990,5.29,5.29,5.21,5.21,2.62,204600
20/06/1990,5.21,5.21,5.17,5.17,2.6,18600
21/06/1990,5.17,5.25,5.17,5.17,2.6,370800
22/06/1990,5.25,5.25,5.12,5.12,2.58,792000
25/06/1990,5.08,5.12,5.04,5.12,2.58,320400
26/06/1990,5.12,5.17,5.04,5.08,2.56,302400
27/06/1990,5.08,5.17,5.0,5.0,2.52,546600
28/06/1990,5.08,5.08,4.96,5.04,2.54,396600
29/06/1990,5.04,5.04,4.96,5.04,2.54,344400
02/07/1990,4.96,5.04,4.96,5.0,2.52,505800
03/07/1990,4.96,5.0,4.96,4.98,2.51,774600
05/07/1990,4.96,5.0,4.96,4.98,2.51,428400
06/07/1990,5.0,5.0,4.94,4.96,2.5,249600
09/07/1990,4.96,5.0,4.94,4.94,2.49,371400
10/07/1990,4.94,4.96,4.83,4.83,2.43,255000
11/07/1990,4.83,4.88,4.75,4.75,2.39,587400
12/07/1990,4.79,4.79,4.5,4.56,2.3,1723800
13/07/1990,4.58,5.0,4.54,4.92,2.47,1783200
16/07/1990,5.0,5.1,4.92,5.04,2.54,623400
17/07/1990,5.04,5.08,5.0,5.04,2.54,398400
18/07/1990,4.96,5.04,4.92,4.92,2.47,1322400
19/07/1990,4.92,4.96,4.92,4.96,2.5,84600
20/07/1990,4.94,4.96,4.92,4.96,2.5,519600
23/07/1990,4.92,4.96,4.79,4.79,2.41,435000
24/07/1990,4.79,4.83,4.79,4.81,2.42,2634600
25/07/1990,4.81,4.83,4.71,4.79,2.41,334200
26/07/1990,4.71,4.83,4.71,4.75,2.39,391800
27/07/1990,4.79,4.79,4.71,4.71,2.37,154200
30/07/1990,4.71,4.75,4.71,4.75,2.39,197400
31/07/1990,4.75,4.79,4.71,4.79,2.41,337800
01/08/1990,4.79,4.79,4.71,4.71,2.37,95400
02/08/1990,4.67,4.69,4.62,4.62,2.33,712200
03/08/1990,4.62,4.67,4.33,4.5,2.27,728400
06/08/1990,4.46,4.46,4.33,4.42,2.22,286200
07/08/1990,4.4,4.42,4.29,4.33,2.18,675600
08/08/1990,4.29,4.38,4.29,4.29,2.16,139200
09/08/1990,4.38,4.38,4.29,4.33,2.18,389400
10/08/1990,4.33,4.33,4.17,4.17,2.1,619200
13/08/1990,4.17,4.21,4.12,4.21,2.12,175200
14/08/1990,4.21,4.21,4.12,4.17,2.1,463800
15/08/1990,4.21,4.29,4.21,4.29,2.16,1021800
16/08/1990,4.25,4.29,4.17,4.17,2.1,250800
17/08/1990,4.17,4.21,4.08,4.17,2.1,187800
20/08/1990,4.08,4.17,4.08,4.17,2.1,314400
21/08/1990,4.08,4.08,3.88,3.96,1.99,440400
22/08/1990,3.96,4.08,3.96,4.02,2.02,426600
23/08/1990,3.96,4.0,3.92,3.94,1.98,534000
24/08/1990,4.04,4.04,3.92,3.94,1.98,790800
27/08/1990,4.08,4.17,4.04,4.08,2.06,514200
28/08/1990,4.17,4.17,4.08,4.17,2.1,410400
29/08/1990,4.21,4.21,4.12,4.15,2.09,518400
30/08/1990,4.21,4.21,4.12,4.12,2.08,490800
31/08/1990,4.12,4.17,4.08,4.15,2.09,1270200
04/09/1990,4.12,4.17,4.08,4.12,2.09,507000
05/09/1990,4.21,4.25,4.17,4.21,2.13,967800
06/09/1990,4.17,4.25,4.17,4.21,2.13,519600
07/09/1990,4.19,4.25,4.17,4.19,2.12,680400
10/09/1990,4.17,4.29,4.17,4.27,2.17,772800
11/09/1990,4.27,4.27,4.19,4.19,2.12,730200
12/09/1990,4.17,4.25,4.12,4.25,2.16,267000
13/09/1990,4.17,4.21,4.17,4.17,2.11,361200
14/09/1990,4.17,4.21,4.17,4.21,2.13,431400
17/09/1990,4.17,4.21,4.17,4.21,2.13,69600
18/09/1990,4.12,4.21,4.1,4.21,2.13,328800
19/09/1990,4.12,4.21,4.12,4.15,2.1,705600
20/09/1990,4.21,4.21,4.0,4.04,2.05,827400
21/09/1990,4.0,4.08,3.96,3.96,2.01,549600
24/09/1990,3.92,3.92,3.79,3.81,1.93,356400
25/09/1990,3.79,3.88,3.75,3.75,1.9,738600
26/09/1990,3.83,3.83,3.5,3.5,1.78,1110000
27/09/1990,3.62,3.62,3.38,3.38,1.71,1401000
28/09/1990,3.33,3.5,3.25,3.5,1.78,1438800
01/10/1990,3.54,3.67,3.5,3.62,1.84,1084200
02/10/1990,3.71,3.94,3.67,3.9,1.98,903000
03/10/1990,3.83,4.04,3.83,3.92,1.99,456600
04/10/1990,3.96,4.04,3.92,4.04,2.05,64800
05/10/1990,3.92,4.12,3.92,4.04,2.05,320400
08/10/1990,4.17,4.25,4.12,4.25,2.16,361800
09/10/1990,4.12,4.21,4.12,4.12,2.09,694800
10/10/1990,4.15,4.17,4.08,4.15,2.1,765600
11/10/1990,4.08,4.12,3.83,3.92,1.99,336000
