Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,3.28,3.19,3.25,1.48,744800
03/01/1990,0.0,3.31,3.25,3.25,1.48,1433600
04/01/1990,0.0,3.27,3.22,3.23,1.47,1109600
05/01/1990,0.0,3.25,3.2,3.23,1.47,1783200
08/01/1990,0.0,3.23,3.2,3.2,1.46,1407200
09/01/1990,0.0,3.23,3.2,3.23,1.47,2000800
10/01/1990,0.0,3.2,3.06,3.16,1.44,1328800
11/01/1990,0.0,3.16,3.11,3.14,1.43,2757600
12/01/1990,0.0,3.12,3.09,3.09,1.41,672000
15/01/1990,0.0,3.12,3.09,3.09,1.41,516000
16/01/1990,0.0,3.11,3.08,3.11,1.42,1080800
17/01/1990,0.0,3.12,3.09,3.12,1.42,604800
18/01/1990,0.0,3.12,3.05,3.08,1.4,1137600
19/01/1990,0.0,3.08,3.05,3.05,1.39,54400
22/01/1990,0.0,3.08,3.05,3.05,1.39,511200
23/01/1990,0.0,3.08,3.05,3.08,1.4,228000
24/01/1990,0.0,3.05,2.98,3.0,1.37,195200
25/01/1990,0.0,3.05,3.0,3.03,1.38,109600
26/01/1990,0.0,3.03,3.0,3.0,1.37,896800
29/01/1990,0.0,3.03,2.97,2.98,1.36,793600
30/01/1990,0.0,2.98,2.94,2.95,1.34,532000
31/01/1990,0.0,2.95,2.92,2.95,1.34,464000
01/02/1990,0.0,2.97,2.91,2.91,1.32,848800
02/02/1990,0.0,2.94,2.83,2.83,1.29,636000
05/02/1990,0.0,2.84,2.72,2.72,1.24,912000
06/02/1990,0.0,2.86,2.75,2.86,1.3,1337600
07/02/1990,0.0,3.0,2.83,2.97,1.35,530400
08/02/1990,0.0,3.05,2.98,2.98,1.36,1263200
09/02/1990,0.0,3.02,2.97,3.0,1.37,3160800
12/02/1990,0.0,3.0,2.94,2.97,1.35,329600
13/02/1990,0.0,2.97,2.92,2.95,1.34,1004000
14/02/1990,0.0,2.95,2.91,2.91,1.32,1685600
15/02/1990,0.0,2.92,2.91,2.91,1.32,295200
16/02/1990,0.0,2.94,2.91,2.94,1.34,1138400
20/02/1990,0.0,2.94,2.86,2.88,1.31,196800
21/02/1990,0.0,2.89,2.86,2.86,1.3,105600
22/02/1990,0.0,2.91,2.86,2.88,1.31,173600
23/02/1990,0.0,2.91,2.86,2.89,1.32,736800
26/02/1990,0.0,2.91,2.89,2.89,1.32,2656000
27/02/1990,0.0,2.91,2.89,2.89,1.32,1354400
28/02/1990,0.0,2.91,2.89,2.89,1.32,97600
01/03/1990,0.0,2.91,2.89,2.89,1.32,1251200
02/03/1990,0.0,2.92,2.89,2.91,1.32,2564800
05/03/1990,0.0,2.94,2.91,2.91,1.32,1885600
06/03/1990,0.0,2.94,2.91,2.91,1.32,1924000
07/03/1990,0.0,2.95,2.92,2.94,1.34,877600
08/03/1990,0.0,2.97,2.94,2.95,1.34,1020800
09/03/1990,0.0,2.97,2.92,2.92,1.34,296800
12/03/1990,0.0,2.94,2.84,2.84,1.31,1266400
13/03/1990,0.0,2.91,2.84,2.89,1.33,1360800
14/03/1990,0.0,2.89,2.88,2.88,1.32,260800
15/03/1990,0.0,2.92,2.88,2.92,1.34,360000
16/03/1990,0.0,2.92,2.89,2.89,1.33,120000
19/03/1990,0.0,2.91,2.89,2.89,1.33,92000
20/03/1990,0.0,2.92,2.89,2.89,1.33,274400
21/03/1990,0.0,2.91,2.88,2.88,1.32,193600
22/03/1990,0.0,2.89,2.86,2.88,1.32,668000
23/03/1990,0.0,2.88,2.86,2.88,1.32,462400
26/03/1990,2.86,2.91,2.86,2.91,1.34,1022400
27/03/1990,2.88,2.92,2.88,2.92,1.34,2573600
28/03/1990,2.94,2.95,2.91,2.95,1.36,437600
29/03/1990,2.92,2.92,2.92,2.92,1.34,97600
30/03/1990,2.92,2.94,2.92,2.94,1.35,768000
02/04/1990,2.94,2.94,2.89,2.89,1.33,698400
03/04/1990,2.91,2.91,2.89,2.89,1.33,154400
04/04/1990,2.89,2.91,2.77,2.89,1.33,952800
05/04/1990,2.86,2.89,2.84,2.86,1.32,519200
06/04/1990,2.84,2.88,2.83,2.83,1.3,1216800
09/04/1990,2.83,2.86,2.83,2.84,1.31,489600
10/04/1990,2.83,2.86,2.83,2.83,1.3,544800
11/04/1990,2.83,2.86,2.83,2.84,1.31,264000
12/04/1990,2.86,2.89,2.84,2.89,1.33,363200
16/04/1990,2.86,2.94,2.86,2.92,1.34,273600
17/04/1990,2.92,2.94,2.92,2.94,1.35,212000
18/04/1990,2.92,2.92,2.89,2.91,1.34,715200
19/04/1990,2.91,2.91,2.88,2.88,1.32,993600
20/04/1990,2.88,2.91,2.84,2.86,1.32,851200
23/04/1990,2.88,2.88,2.84,2.86,1.32,528000
24/04/1990,2.84,2.88,2.84,2.88,1.32,876800
25/04/1990,2.86,2.88,2.84,2.88,1.32,455200
26/04/1990,2.86,2.88,2.84,2.88,1.32,1266400
27/04/1990,2.88,2.88,2.84,2.86,1.32,651200
30/04/1990,2.88,2.89,2.86,2.89,1.33,284000
01/05/1990,2.86,2.91,2.86,2.88,1.32,3185600
02/05/1990,2.88,2.89,2.86,2.86,1.32,469600
03/05/1990,2.86,2.88,2.86,2.88,1.32,2809600
04/05/1990,2.86,2.89,2.86,2.89,1.33,412000
07/05/1990,2.88,2.94,2.88,2.94,1.35,356800
08/05/1990,2.94,3.05,2.94,3.02,1.39,758400
09/05/1990,3.0,3.05,3.0,3.05,1.4,331200
10/05/1990,3.03,3.05,3.03,3.05,1.4,271200
11/05/1990,3.05,3.06,3.03,3.05,1.4,637600
14/05/1990,3.06,3.09,3.03,3.09,1.42,909600
15/05/1990,3.11,3.11,3.08,3.11,1.43,293600
16/05/1990,3.12,3.17,3.09,3.17,1.46,565600
17/05/1990,3.19,3.25,3.17,3.23,1.49,796800
18/05/1990,3.23,3.25,3.2,3.2,1.47,548800
21/05/1990,3.22,3.25,3.22,3.22,1.48,604000
22/05/1990,3.25,3.25,3.2,3.2,1.47,424800
23/05/1990,3.2,3.22,3.17,3.17,1.46,304800
24/05/1990,3.17,3.2,3.17,3.17,1.46,80800
25/05/1990,3.17,3.17,3.14,3.16,1.45,357600
29/05/1990,3.16,3.19,3.12,3.17,1.46,1158400
30/05/1990,3.17,3.17,3.09,3.09,1.42,584000
31/05/1990,3.11,3.11,3.09,3.11,1.43,265600
01/06/1990,3.11,3.14,3.09,3.12,1.44,360000
04/06/1990,3.14,3.17,3.14,3.16,1.45,216000
05/06/1990,3.17,3.2,3.16,3.2,1.47,329600
06/06/1990,3.2,3.2,3.19,3.2,1.47,937600
07/06/1990,3.19,3.2,3.12,3.14,1.45,962400
08/06/1990,3.14,3.17,3.12,3.16,1.45,1682400
11/06/1990,3.14,3.2,3.14,3.2,1.49,419200
12/06/1990,3.19,3.28,3.19,3.25,1.51,905600
13/06/1990,3.27,3.28,3.25,3.25,1.51,351200
14/06/1990,3.23,3.25,3.2,3.22,1.5,152800
15/06/1990,3.2,3.27,3.19,3.27,1.52,425600
18/06/1990,3.23,3.27,3.23,3.23,1.5,162400
19/06/1990,3.23,3.3,3.23,3.28,1.53,751200
20/06/1990,3.3,3.31,3.28,3.31,1.54,157600
21/06/1990,3.31,3.31,3.28,3.3,1.53,932000
22/06/1990,3.28,3.3,3.2,3.23,1.5,398400
25/06/1990,3.23,3.27,3.2,3.27,1.52,539200
26/06/1990,3.27,3.27,3.23,3.25,1.51,428000
27/06/1990,3.23,3.25,3.23,3.25,1.51,640800
28/06/1990,3.25,3.25,3.23,3.23,1.5,156800
29/06/1990,3.25,3.28,3.23,3.28,1.53,268000
02/07/1990,3.27,3.3,3.27,3.28,1.53,47200
03/07/1990,3.27,3.33,3.27,3.28,1.53,336800
05/07/1990,3.3,3.3,3.28,3.28,1.53,272000
06/07/1990,3.3,3.3,3.27,3.3,1.53,64800
09/07/1990,3.33,3.36,3.33,3.36,1.56,81600
10/07/1990,3.38,3.41,3.34,3.38,1.57,204800
11/07/1990,3.38,3.39,3.38,3.38,1.57,56000
12/07/1990,3.41,3.41,3.39,3.39,1.58,139200
13/07/1990,3.39,3.42,3.39,3.39,1.58,267200
16/07/1990,3.39,3.44,3.38,3.42,1.59,112000
17/07/1990,3.42,3.44,3.41,3.42,1.59,272000
18/07/1990,3.41,3.41,3.39,3.39,1.58,136800
19/07/1990,3.36,3.38,3.31,3.34,1.56,396000
20/07/1990,3.3,3.34,3.28,3.33,1.55,206400
23/07/1990,3.31,3.34,3.31,3.31,1.54,252800
24/07/1990,3.31,3.31,3.25,3.25,1.51,239200
25/07/1990,3.27,3.27,3.25,3.27,1.52,84800
26/07/1990,3.23,3.25,3.23,3.23,1.5,12800
27/07/1990,3.23,3.25,3.23,3.25,1.51,5600
30/07/1990,3.22,3.27,3.22,3.27,1.52,77600
31/07/1990,3.25,3.27,3.25,3.27,1.52,181600
01/08/1990,3.25,3.28,3.25,3.25,1.51,320800
02/08/1990,3.22,3.22,3.19,3.22,1.5,160000
03/08/1990,3.22,3.22,3.16,3.16,1.47,326400
06/08/1990,3.16,3.16,3.16,3.16,1.47,0
07/08/1990,3.03,3.03,2.92,2.92,1.36,120800
08/08/1990,2.92,2.95,2.89,2.92,1.36,346400
09/08/1990,2.94,2.94,2.88,2.89,1.34,258400
10/08/1990,2.89,2.95,2.89,2.92,1.36,256800
13/08/1990,2.89,2.92,2.89,2.92,1.36,15200
14/08/1990,2.91,2.95,2.91,2.94,1.37,64800
15/08/1990,2.94,3.05,2.94,3.05,1.42,264800
16/08/1990,3.02,3.05,3.02,3.02,1.4,74400
17/08/1990,2.98,2.98,2.89,2.89,1.34,300000
20/08/1990,2.89,2.94,2.89,2.91,1.35,52800
21/08/1990,2.94,2.95,2.91,2.91,1.35,48800
22/08/1990,2.91,2.94,2.91,2.91,1.35,26400
23/08/1990,2.88,2.88,2.81,2.84,1.32,116000
24/08/1990,2.84,2.88,2.77,2.84,1.32,295200
27/08/1990,2.88,2.88,2.84,2.86,1.33,41600
28/08/1990,2.88,2.98,2.88,2.98,1.39,55200
29/08/1990,2.98,3.0,2.98,3.0,1.4,29600
30/08/1990,2.98,3.0,2.98,3.0,1.4,145600
31/08/1990,2.98,3.0,2.98,3.0,1.4,3200
04/09/1990,2.97,2.97,2.92,2.94,1.37,53600
05/09/1990,2.94,2.95,2.92,2.92,1.36,19200
06/09/1990,2.94,2.94,2.94,2.94,1.37,188000
07/09/1990,2.94,2.97,2.94,2.95,1.37,184000
10/09/1990,2.94,2.94,2.91,2.92,1.38,51200
11/09/1990,2.97,3.0,2.97,3.0,1.41,60000
12/09/1990,2.97,2.97,2.94,2.94,1.38,12800
13/09/1990,2.94,2.94,2.92,2.92,1.38,19200
14/09/1990,2.92,2.95,2.84,2.86,1.35,151200
17/09/1990,2.88,2.88,2.81,2.83,1.33,275200
18/09/1990,2.83,2.91,2.83,2.91,1.37,446400
