Date,Open,High,Low,Close,Adj Close,Volume
19/03/2020,40.0,46.0,40.0,45.25,42.82,7000
20/03/2020,45.01,46.01,45.0,45.0,42.58,3600
23/03/2020,42.0,42.0,39.98,40.0,37.85,11900
24/03/2020,40.0,40.0,39.0,40.0,37.85,77800
25/03/2020,40.0,44.8,38.0,41.01,38.8,7000
26/03/2020,45.0,47.5,44.25,45.0,42.58,29100
27/03/2020,45.0,47.5,44.99,45.24,42.8,263200
30/03/2020,44.25,50.0,44.25,50.0,47.31,118100
31/03/2020,46.5,50.0,44.78,50.0,47.31,210300
01/04/2020,45.99,48.5,44.0,46.7,44.19,1206100
02/04/2020,45.02,48.66,43.2,44.0,41.63,9264200
03/04/2020,43.75,49.3,41.8,47.32,44.77,22551600
06/04/2020,47.0,47.85,44.7,45.94,43.47,10294200
07/04/2020,45.15,46.99,42.93,44.28,41.9,12146500
08/04/2020,42.21,45.2,41.26,44.09,41.72,22265800
09/04/2020,44.05,50.25,44.0,49.14,46.5,17355600
13/04/2020,48.55,48.67,45.72,46.0,43.53,8545100
14/04/2020,45.91,46.3,43.97,45.89,43.42,10152100
15/04/2020,44.19,44.85,42.8,44.55,42.15,7935500
16/04/2020,44.08,46.41,43.55,45.62,43.17,8740200
17/04/2020,47.0,48.56,45.92,46.15,43.67,7878100
20/04/2020,45.0,46.98,44.9,45.39,42.95,5407500
21/04/2020,44.5,47.2,44.5,45.9,43.43,6939700
22/04/2020,47.31,49.55,46.0,47.05,44.52,6801900
23/04/2020,47.44,48.04,46.48,47.47,44.92,5174800
24/04/2020,48.02,48.5,46.31,47.85,45.28,6446900
27/04/2020,48.08,48.6,47.61,48.22,45.63,5541100
28/04/2020,49.07,50.95,48.65,49.86,47.18,5368200
29/04/2020,50.77,51.73,49.71,51.15,48.4,4343900
30/04/2020,50.97,51.6,50.5,50.91,48.17,6123800
01/05/2020,50.33,50.53,48.31,49.71,47.04,3089700
04/05/2020,48.85,49.67,47.51,49.53,46.87,5676600
05/05/2020,49.53,50.64,47.96,48.09,45.5,4103600
06/05/2020,48.61,49.0,47.89,48.31,45.71,2931800
07/05/2020,49.02,53.29,48.99,51.81,49.02,4803200
08/05/2020,52.12,54.17,52.11,52.95,50.1,4289400
11/05/2020,52.0,52.4,51.06,51.81,49.02,3150600
12/05/2020,52.19,52.29,49.69,49.72,47.05,3059800
13/05/2020,49.0,50.3,47.88,48.21,45.62,4567000
14/05/2020,47.61,48.4,47.23,48.0,45.42,4849900
15/05/2020,47.32,49.22,47.2,48.89,46.26,2981400
18/05/2020,50.12,52.34,50.12,52.13,49.33,4452600
19/05/2020,51.68,52.93,51.06,52.31,49.5,2050300
20/05/2020,52.55,54.7,52.47,53.18,50.32,4755100
21/05/2020,52.36,53.55,51.87,52.03,49.42,3813100
22/05/2020,52.46,52.72,50.92,51.71,49.11,2134300
26/05/2020,53.03,53.99,50.7,50.89,48.33,6247000
27/05/2020,51.59,52.65,50.77,52.38,49.75,5202300
28/05/2020,52.87,52.95,50.93,50.96,48.4,4260700
29/05/2020,50.44,52.87,50.18,52.65,50.01,7522700
01/06/2020,52.45,54.44,52.11,54.08,51.36,3073300
02/06/2020,54.16,54.75,53.29,54.15,51.43,2638100
03/06/2020,55.0,55.58,54.55,55.47,52.68,4134500
04/06/2020,55.3,56.66,54.69,55.4,52.62,3281300
05/06/2020,57.83,58.71,56.0,58.57,55.63,4615100
