Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,0.76,0.75,0.76,0.36,330613
03/01/1990,0.0,0.78,0.75,0.78,0.37,3062654
04/01/1990,0.0,0.78,0.77,0.78,0.37,248600
05/01/1990,0.0,0.78,0.77,0.78,0.37,151211
08/01/1990,0.0,0.78,0.77,0.77,0.36,176839
09/01/1990,0.0,0.8,0.78,0.78,0.37,2726916
10/01/1990,0.0,0.8,0.78,0.78,0.37,568962
11/01/1990,0.0,0.8,0.78,0.78,0.37,289607
12/01/1990,0.0,0.79,0.77,0.77,0.36,345990
15/01/1990,0.0,0.79,0.77,0.77,0.36,802185
16/01/1990,0.0,0.79,0.77,0.77,0.36,233223
17/01/1990,0.0,0.79,0.77,0.78,0.37,1191744
18/01/1990,0.0,0.79,0.77,0.78,0.37,469009
19/01/1990,0.0,0.78,0.77,0.77,0.36,2437309
22/01/1990,0.0,0.78,0.76,0.77,0.36,602279
23/01/1990,0.0,0.78,0.74,0.76,0.36,1371146
24/01/1990,0.0,0.75,0.71,0.74,0.35,1955486
25/01/1990,0.0,0.75,0.74,0.74,0.35,376745
26/01/1990,0.0,0.73,0.72,0.72,0.34,105079
29/01/1990,0.0,0.74,0.73,0.73,0.34,445943
30/01/1990,0.0,0.75,0.73,0.73,0.34,1366021
31/01/1990,0.0,0.75,0.72,0.72,0.34,11548385
01/02/1990,0.0,0.73,0.68,0.69,0.32,5253926
02/02/1990,0.0,0.7,0.68,0.68,0.32,904700
05/02/1990,0.0,0.7,0.68,0.7,0.33,130707
06/02/1990,0.0,0.7,0.68,0.7,0.33,238349
07/02/1990,0.0,0.71,0.68,0.71,0.33,609968
08/02/1990,0.0,0.74,0.71,0.73,0.34,1717137
09/02/1990,0.0,0.74,0.72,0.74,0.35,1465973
12/02/1990,0.0,0.73,0.72,0.72,0.34,5271866
13/02/1990,0.0,0.73,0.72,0.72,0.34,597154
14/02/1990,0.0,0.73,0.7,0.71,0.33,1983677
15/02/1990,0.0,0.72,0.7,0.72,0.34,589465
16/02/1990,0.0,0.72,0.71,0.71,0.33,112767
20/02/1990,0.0,0.72,0.7,0.71,0.33,317798
21/02/1990,0.0,0.71,0.69,0.69,0.32,1614621
22/02/1990,0.0,0.7,0.69,0.69,0.32,809873
23/02/1990,0.0,0.7,0.66,0.66,0.31,2401429
26/02/1990,0.0,0.68,0.66,0.67,0.31,1383961
27/02/1990,0.0,0.7,0.66,0.7,0.33,940581
28/02/1990,0.0,0.7,0.68,0.68,0.32,107641
01/03/1990,0.0,0.7,0.68,0.69,0.32,1576178
02/03/1990,0.0,0.69,0.68,0.68,0.32,827814
05/03/1990,0.0,0.69,0.68,0.68,0.32,17553238
06/03/1990,0.0,0.69,0.68,0.69,0.32,3816144
07/03/1990,0.0,0.72,0.68,0.68,0.32,5845954
08/03/1990,0.0,0.69,0.62,0.64,0.3,8042351
09/03/1990,0.0,0.65,0.63,0.63,0.3,1545423
12/03/1990,0.0,0.65,0.63,0.65,0.31,5571724
13/03/1990,0.0,0.65,0.62,0.63,0.3,2565454
14/03/1990,0.0,0.65,0.63,0.64,0.3,4690090
15/03/1990,0.0,0.66,0.64,0.66,0.31,2140014
16/03/1990,0.0,0.66,0.64,0.66,0.31,440817
19/03/1990,0.0,0.66,0.64,0.66,0.31,3554729
20/03/1990,0.0,0.66,0.6,0.63,0.3,6742965
21/03/1990,0.0,0.63,0.61,0.62,0.29,9692852
22/03/1990,0.0,0.63,0.61,0.62,0.29,853443
23/03/1990,0.0,0.63,0.61,0.63,0.3,274229
26/03/1990,0.61,0.63,0.61,0.61,0.29,115330
27/03/1990,0.63,0.63,0.61,0.63,0.3,87138
28/03/1990,0.63,0.63,0.61,0.63,0.3,607405
29/03/1990,0.61,0.64,0.61,0.63,0.3,735550
30/03/1990,0.64,0.64,0.62,0.64,0.3,307547
02/04/1990,0.64,0.64,0.62,0.64,0.3,469009
03/04/1990,0.63,0.66,0.63,0.66,0.31,566399
04/04/1990,0.66,0.66,0.64,0.64,0.3,1148175
05/04/1990,0.64,0.67,0.64,0.66,0.31,727861
06/04/1990,0.67,0.68,0.66,0.68,0.32,1050785
09/04/1990,0.68,0.69,0.66,0.68,0.32,448506
10/04/1990,0.69,0.69,0.66,0.69,0.32,299858
11/04/1990,0.67,0.69,0.67,0.67,0.32,325487
12/04/1990,0.68,0.72,0.68,0.72,0.34,2442435
16/04/1990,0.72,0.73,0.7,0.7,0.33,938018
17/04/1990,0.69,0.7,0.67,0.68,0.32,586902
18/04/1990,0.7,0.7,0.68,0.68,0.32,394685
19/04/1990,0.69,0.69,0.68,0.68,0.32,105079
20/04/1990,0.68,0.69,0.68,0.69,0.32,658663
23/04/1990,0.68,0.69,0.64,0.66,0.31,3482968
24/04/1990,0.65,0.65,0.63,0.63,0.3,3790515
25/04/1990,0.63,0.65,0.61,0.65,0.31,10869219
26/04/1990,0.65,0.65,0.63,0.65,0.31,2444998
27/04/1990,0.65,0.65,0.63,0.63,0.3,399811
30/04/1990,0.62,0.64,0.62,0.63,0.3,697106
01/05/1990,0.64,0.64,0.61,0.62,0.29,2670532
02/05/1990,0.63,0.63,0.59,0.6,0.28,9434000
03/05/1990,0.6,0.61,0.6,0.61,0.29,310110
04/05/1990,0.61,0.61,0.57,0.57,0.27,2552639
07/05/1990,0.59,0.6,0.58,0.59,0.28,3044714
08/05/1990,0.6,0.6,0.58,0.59,0.28,1063600
09/05/1990,0.6,0.6,0.59,0.6,0.28,868820
10/05/1990,0.6,0.6,0.59,0.59,0.28,525393
11/05/1990,0.6,0.6,0.59,0.6,0.28,1271194
14/05/1990,0.61,0.62,0.61,0.62,0.29,5828013
15/05/1990,0.61,0.63,0.61,0.63,0.3,2647466
16/05/1990,0.63,0.64,0.62,0.62,0.29,1002090
17/05/1990,0.64,0.64,0.62,0.63,0.3,2380925
18/05/1990,0.63,0.63,0.6,0.62,0.29,1258379
21/05/1990,0.62,0.62,0.6,0.61,0.29,589465
22/05/1990,0.62,0.63,0.61,0.63,0.3,945707
23/05/1990,0.62,0.63,0.61,0.63,0.3,1035408
24/05/1990,0.63,0.63,0.6,0.6,0.28,1278882
25/05/1990,0.61,0.62,0.6,0.6,0.28,2116948
29/05/1990,0.6,0.61,0.6,0.6,0.28,894449
30/05/1990,0.61,0.61,0.59,0.6,0.28,1594118
31/05/1990,0.6,0.61,0.6,0.61,0.29,335739
01/06/1990,0.6,0.61,0.6,0.61,0.29,3644430
04/06/1990,0.61,0.62,0.6,0.61,0.29,1876036
05/06/1990,0.62,0.63,0.6,0.62,0.29,1412153
06/06/1990,0.62,0.62,0.58,0.6,0.28,1704322
07/06/1990,0.58,0.6,0.57,0.58,0.27,1550549
08/06/1990,0.58,0.59,0.57,0.58,0.27,794496
11/06/1990,0.57,0.58,0.54,0.57,0.27,1022593
12/06/1990,0.57,0.57,0.56,0.56,0.26,430566
13/06/1990,0.57,0.58,0.56,0.56,0.26,2798677
14/06/1990,0.58,0.59,0.56,0.59,0.28,976461
15/06/1990,0.59,0.6,0.59,0.6,0.28,635597
18/06/1990,0.6,0.6,0.6,0.6,0.28,271666
19/06/1990,0.6,0.6,0.59,0.6,0.28,607405
20/06/1990,0.6,0.6,0.6,0.6,0.28,353679
21/06/1990,0.6,0.61,0.6,0.61,0.29,1555675
22/06/1990,0.61,0.65,0.6,0.64,0.3,2234841
