Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,2.78,2.83,2.77,2.83,0.88,780638
03/01/1990,2.85,2.91,2.8,2.85,0.89,1301569
04/01/1990,2.83,2.85,2.8,2.8,0.87,666731
05/01/1990,2.8,2.83,2.68,2.72,0.85,599906
08/01/1990,2.68,2.73,2.68,2.73,0.85,217181
09/01/1990,2.73,2.77,2.72,2.72,0.85,522450
10/01/1990,2.73,2.75,2.68,2.68,0.84,874800
11/01/1990,2.72,2.73,2.68,2.7,0.84,2029050
12/01/1990,2.67,2.68,2.62,2.67,0.83,1293975
15/01/1990,2.63,2.63,2.57,2.6,0.81,1448888
16/01/1990,2.6,2.73,2.58,2.72,0.85,461700
17/01/1990,2.73,2.75,2.7,2.73,0.85,463219
18/01/1990,2.68,2.73,2.68,2.72,0.85,943144
19/01/1990,2.77,2.77,2.72,2.72,0.85,586238
22/01/1990,2.72,2.73,2.58,2.6,0.81,1511156
23/01/1990,2.62,2.62,2.52,2.55,0.8,639394
24/01/1990,2.49,2.55,2.44,2.52,0.79,1495969
25/01/1990,2.57,2.6,2.55,2.58,0.81,706219
26/01/1990,2.58,2.6,2.55,2.55,0.8,455625
29/01/1990,2.6,2.63,2.5,2.53,0.79,2788425
30/01/1990,2.5,2.55,2.5,2.5,0.78,366019
31/01/1990,2.5,2.52,2.5,2.52,0.79,607500
01/02/1990,2.53,2.53,2.49,2.49,0.78,722925
02/02/1990,2.5,2.55,2.5,2.53,0.79,615094
05/02/1990,2.55,2.65,2.55,2.64,0.82,561938
06/02/1990,2.6,2.65,2.58,2.62,0.82,604463
07/02/1990,2.58,2.67,2.58,2.65,0.83,1410919
08/02/1990,2.65,2.65,2.55,2.57,0.8,864169
09/02/1990,2.58,2.58,2.53,2.58,0.81,1251450
12/02/1990,2.58,2.58,2.55,2.55,0.8,200475
13/02/1990,2.58,2.58,2.55,2.57,0.8,435881
14/02/1990,2.55,2.6,2.55,2.6,0.81,596869
15/02/1990,2.57,2.6,2.57,2.57,0.8,262744
16/02/1990,2.57,2.65,2.57,2.63,0.82,612056
20/02/1990,2.6,2.63,2.58,2.58,0.81,1131469
21/02/1990,2.58,2.63,2.58,2.63,0.82,1365356
22/02/1990,2.6,2.63,2.58,2.58,0.81,249075
23/02/1990,2.55,2.58,2.55,2.55,0.8,915806
26/02/1990,2.58,2.65,2.55,2.64,0.82,350831
27/02/1990,2.67,2.72,2.65,2.71,0.84,1233225
28/02/1990,2.72,2.81,2.68,2.81,0.88,2162700
01/03/1990,2.77,2.83,2.77,2.83,0.88,759375
02/03/1990,2.8,2.88,2.8,2.86,0.89,2297869
05/03/1990,2.85,2.89,2.85,2.85,0.89,829238
06/03/1990,2.88,2.88,2.85,2.88,0.9,978075
07/03/1990,2.85,2.88,2.83,2.85,0.89,709256
08/03/1990,2.83,2.88,2.83,2.88,0.9,250594
09/03/1990,2.85,2.88,2.85,2.88,0.9,410063
12/03/1990,2.88,2.88,2.85,2.86,0.89,243000
13/03/1990,2.88,2.9,2.85,2.86,0.89,959850
14/03/1990,2.9,2.91,2.86,2.86,0.89,1085906
15/03/1990,2.95,3.0,2.91,2.98,0.93,745706
16/03/1990,3.0,3.01,2.98,3.01,0.94,751781
19/03/1990,2.96,3.01,2.96,3.0,0.93,379688
20/03/1990,2.96,3.0,2.93,2.93,0.91,482963
21/03/1990,2.91,2.95,2.91,2.91,0.91,403988
22/03/1990,2.9,2.91,2.83,2.83,0.88,842906
23/03/1990,2.83,2.88,2.83,2.83,0.88,198956
26/03/1990,2.88,2.9,2.83,2.9,0.9,501188
27/03/1990,2.9,2.91,2.86,2.86,0.89,297675
28/03/1990,2.88,2.95,2.88,2.95,0.92,621169
29/03/1990,2.91,2.95,2.91,2.93,0.91,463219
30/03/1990,2.93,2.96,2.93,2.95,0.92,346275
02/04/1990,2.91,2.95,2.88,2.91,0.91,633319
03/04/1990,2.88,2.91,2.88,2.91,0.91,3699675
04/04/1990,2.88,2.91,2.77,2.77,0.86,1726819
05/04/1990,2.8,2.8,2.73,2.73,0.85,323494
06/04/1990,2.77,2.77,2.63,2.65,0.83,754819
09/04/1990,2.63,2.68,2.63,2.63,0.82,1167919
10/04/1990,2.63,2.67,2.53,2.53,0.79,2457338
11/04/1990,2.55,2.6,2.52,2.58,0.81,1167919
12/04/1990,2.6,2.63,2.57,2.6,0.81,1014525
16/04/1990,2.7,2.7,2.63,2.67,0.83,1568869
17/04/1990,2.63,2.67,2.6,2.65,0.83,393356
18/04/1990,2.62,2.62,2.58,2.58,0.81,435881
19/04/1990,2.58,2.62,2.58,2.62,0.82,534600
20/04/1990,2.58,2.6,2.57,2.57,0.8,1828575
23/04/1990,2.57,2.6,2.55,2.55,0.8,897581
24/04/1990,2.55,2.6,2.55,2.58,0.8,296156
25/04/1990,2.57,2.63,2.57,2.62,0.82,287044
26/04/1990,2.63,2.63,2.55,2.55,0.8,1017563
27/04/1990,2.58,2.58,2.49,2.56,0.8,2159663
30/04/1990,2.55,2.58,2.53,2.58,0.81,1714669
01/05/1990,2.55,2.6,2.55,2.59,0.81,2232563
02/05/1990,2.57,2.6,2.57,2.57,0.8,976556
03/05/1990,2.6,2.6,2.57,2.57,0.8,8861906
