Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,22.0,22.0,21.38,21.75,7.06,503400
03/01/1990,21.88,21.88,21.62,21.75,7.06,375900
04/01/1990,21.75,21.88,21.38,21.5,6.98,376100
05/01/1990,21.38,21.5,20.88,21.0,6.82,521800
08/01/1990,21.0,21.25,20.88,21.12,6.86,387200
09/01/1990,21.0,21.25,20.62,20.62,6.7,291900
10/01/1990,20.62,21.0,20.5,21.0,6.82,395900
11/01/1990,21.12,21.25,21.0,21.12,6.86,800300
12/01/1990,21.0,21.25,20.38,20.5,6.66,1263500
15/01/1990,20.38,20.5,20.0,20.38,6.62,656000
16/01/1990,20.25,20.88,20.12,20.88,6.78,620000
17/01/1990,20.88,21.12,20.75,20.75,6.74,502500
18/01/1990,20.75,21.38,20.75,21.38,6.94,972500
19/01/1990,21.38,21.62,21.25,21.5,6.98,867000
22/01/1990,21.62,21.62,20.75,20.88,6.78,439200
23/01/1990,21.0,21.38,20.88,21.25,6.9,485700
24/01/1990,20.75,21.38,20.62,21.25,6.9,410200
25/01/1990,21.25,21.5,21.0,21.0,6.82,339500
26/01/1990,21.0,21.5,21.0,21.5,6.98,677900
29/01/1990,21.38,21.5,21.0,21.25,6.9,852300
30/01/1990,21.25,21.38,21.12,21.25,6.9,432700
31/01/1990,21.25,21.75,21.25,21.75,7.06,379700
01/02/1990,21.75,21.75,21.5,21.62,7.02,261100
02/02/1990,21.62,21.75,21.5,21.62,7.02,506800
05/02/1990,21.62,21.62,21.25,21.5,6.98,476300
06/02/1990,21.38,21.5,21.25,21.5,6.98,354600
07/02/1990,21.25,21.62,21.25,21.38,6.94,690800
08/02/1990,21.5,21.5,21.38,21.38,6.94,298200
09/02/1990,21.62,21.88,21.62,21.88,7.11,435500
12/02/1990,21.75,22.0,21.62,21.75,7.06,437700
13/02/1990,21.75,22.0,21.62,22.0,7.15,463400
14/02/1990,22.0,22.12,21.75,22.0,7.15,436500
15/02/1990,21.88,22.25,21.88,22.25,7.23,563700
16/02/1990,22.12,22.38,22.12,22.38,7.27,485200
20/02/1990,22.12,22.25,22.0,22.0,7.15,344600
21/02/1990,22.0,22.12,21.88,22.12,7.19,904900
22/02/1990,22.0,22.25,22.0,22.0,7.15,752200
23/02/1990,22.0,22.12,21.88,22.0,7.15,1140900
26/02/1990,22.0,22.38,22.0,22.38,7.27,469500
27/02/1990,22.25,22.5,22.25,22.5,7.31,695700
28/02/1990,22.38,22.75,22.38,22.62,7.35,496700
01/03/1990,22.5,22.62,22.38,22.5,7.31,978900
02/03/1990,22.5,22.88,22.5,22.88,7.43,577200
05/03/1990,22.62,22.75,22.25,22.25,7.23,1052000
06/03/1990,22.25,22.5,22.25,22.5,7.31,292500
07/03/1990,22.5,22.5,22.25,22.25,7.23,174900
08/03/1990,22.38,22.38,22.0,22.38,7.27,997700
09/03/1990,21.62,21.88,21.62,21.75,7.19,1353000
12/03/1990,21.62,21.75,21.62,21.75,7.19,784200
13/03/1990,21.62,21.75,21.25,21.38,7.06,724100
14/03/1990,21.38,21.5,21.38,21.5,7.1,297600
15/03/1990,21.38,21.5,21.38,21.5,7.1,343600
16/03/1990,21.62,21.62,21.5,21.5,7.1,617400
19/03/1990,21.38,21.5,21.25,21.38,7.06,281000
20/03/1990,21.38,21.5,21.25,21.38,7.06,482600
21/03/1990,21.38,21.62,21.25,21.25,7.02,416500
22/03/1990,21.25,21.38,21.0,21.0,6.94,289200
23/03/1990,21.25,21.38,21.12,21.25,7.02,285300
26/03/1990,21.25,21.62,21.25,21.25,7.02,413600
27/03/1990,21.25,21.62,21.25,21.62,7.15,260900
28/03/1990,21.62,21.88,21.5,21.75,7.19,965700
29/03/1990,21.62,21.88,21.62,21.75,7.19,549300
30/03/1990,21.62,21.88,21.62,21.88,7.23,898300
02/04/1990,21.88,21.88,21.62,21.75,7.19,228400
03/04/1990,21.75,22.12,21.62,22.0,7.27,491800
04/04/1990,21.88,22.0,21.88,22.0,7.27,361400
05/04/1990,22.0,22.12,21.88,21.88,7.23,488600
06/04/1990,21.88,22.12,21.88,22.0,7.27,457100
09/04/1990,21.88,22.0,21.62,21.75,7.19,466800
10/04/1990,21.88,21.88,21.75,21.75,7.19,315400
11/04/1990,21.75,21.88,21.75,21.88,7.23,233400
12/04/1990,21.88,22.25,21.88,21.88,7.23,470700
16/04/1990,22.0,22.0,21.75,21.88,7.23,461300
