Date,Open,High,Low,Close,Adj Close,Volume
23/10/2001,20.5,21.39,20.4,21.0,11.71,32584000
24/10/2001,21.1,22.2,21.0,22.15,12.35,5847500
25/10/2001,22.0,22.15,21.65,21.95,12.24,2038800
26/10/2001,21.95,22.0,21.4,21.5,11.99,3339100
29/10/2001,22.0,22.0,21.0,21.2,11.82,1758700
30/10/2001,21.4,22.25,21.0,22.04,12.29,2225300
31/10/2001,22.4,23.99,21.95,22.5,12.55,5101800
01/11/2001,22.63,22.63,21.7,21.95,12.24,2747400
02/11/2001,22.1,22.25,21.95,22.18,12.37,1183800
05/11/2001,22.1,22.2,21.75,22.0,12.27,1144000
06/11/2001,21.92,22.7,21.85,22.6,12.6,695100
07/11/2001,22.65,22.65,21.65,21.85,12.18,1002900
08/11/2001,21.95,22.0,21.59,21.82,12.17,1642800
09/11/2001,21.5,21.77,21.5,21.6,12.04,1601000
12/11/2001,21.61,22.0,21.31,21.98,12.26,1101400
13/11/2001,22.0,22.0,21.75,21.85,12.18,687300
14/11/2001,22.1,22.1,21.4,21.75,12.13,1964000
15/11/2001,21.65,21.99,21.6,21.93,12.23,867300
16/11/2001,22.0,22.88,21.98,22.25,12.41,1851600
19/11/2001,22.0,22.74,22.0,22.33,12.45,1231800
20/11/2001,22.25,22.75,22.25,22.72,12.67,1182300
21/11/2001,22.8,22.9,22.65,22.87,12.75,1016400
23/11/2001,22.88,22.88,22.2,22.38,12.48,328800
26/11/2001,22.1,22.48,21.98,22.33,12.45,2417500
27/11/2001,22.25,22.6,22.25,22.4,12.49,1536000
28/11/2001,22.93,22.93,22.48,22.8,12.71,871900
29/11/2001,22.8,22.95,22.5,22.88,12.76,523100
30/11/2001,22.9,23.0,22.7,22.95,12.8,2255100
03/12/2001,22.98,23.2,22.25,22.95,12.8,1037600
04/12/2001,22.95,22.99,22.65,22.95,12.8,578700
05/12/2001,23.03,23.3,22.95,23.2,12.94,1370400
06/12/2001,23.2,23.81,23.12,23.45,13.08,509400
07/12/2001,23.3,23.78,23.2,23.45,13.08,1175600
10/12/2001,23.44,23.44,23.2,23.35,13.02,1396900
11/12/2001,23.35,23.85,23.35,23.49,13.1,1376300
12/12/2001,23.65,23.95,23.5,23.65,13.19,1933800
13/12/2001,23.75,23.85,23.35,23.48,13.09,1813400
14/12/2001,23.4,24.35,23.4,24.08,13.43,2133900
17/12/2001,24.28,24.75,23.52,23.69,13.21,1285500
18/12/2001,23.9,24.09,23.5,23.69,13.21,1949800
19/12/2001,23.88,24.12,23.0,23.51,13.11,3143500
20/12/2001,23.51,23.7,23.0,23.58,13.15,3660000
21/12/2001,23.1,23.56,23.08,23.37,13.03,2871400
24/12/2001,23.4,23.49,23.3,23.4,13.05,1578200
26/12/2001,23.5,23.7,23.25,23.3,12.99,2152100
27/12/2001,23.45,23.9,23.2,23.55,13.13,1772400
28/12/2001,23.6,24.05,23.4,23.52,13.11,1977900
31/12/2001,23.6,24.05,23.55,24.0,13.38,1596000
02/01/2002,24.05,24.2,23.43,23.83,13.29,2708100
03/01/2002,23.81,23.95,23.55,23.75,13.24,1501300
04/01/2002,23.8,24.26,23.75,23.95,13.35,2971800
07/01/2002,24.0,24.1,23.4,23.85,13.3,2623000
08/01/2002,23.75,24.15,23.52,24.08,13.43,2397100
09/01/2002,24.08,24.15,23.72,23.9,13.33,2569100
10/01/2002,24.3,24.3,24.0,24.2,13.49,2023900
11/01/2002,24.2,24.3,23.75,24.0,13.38,1845800
14/01/2002,24.05,24.15,23.8,23.98,13.37,1516500
15/01/2002,23.85,24.06,23.65,23.8,13.27,1548300
16/01/2002,23.95,23.95,23.54,23.7,13.22,1409800
17/01/2002,23.78,24.18,23.77,24.18,13.48,2317000
18/01/2002,24.3,24.4,23.94,24.2,13.49,1503600
22/01/2002,24.5,24.65,24.23,24.48,13.65,2034700
23/01/2002,24.5,24.58,23.75,23.8,13.27,2306700
24/01/2002,24.1,24.25,23.93,24.15,13.47,2413800
25/01/2002,24.25,26.0,24.07,25.64,14.3,2492400
28/01/2002,25.44,26.2,25.05,26.0,14.5,1486900
29/01/2002,25.9,27.05,25.7,25.97,14.48,2980800
30/01/2002,25.95,26.15,25.0,25.5,14.22,1981800
31/01/2002,25.58,25.58,25.0,25.45,14.19,2352100
01/02/2002,25.15,25.2,24.4,24.4,13.61,4133400
04/02/2002,24.3,24.54,22.2,23.75,13.24,3861300
05/02/2002,23.5,23.6,22.9,23.25,12.96,3665100
06/02/2002,24.0,24.47,23.77,23.92,13.34,2942300
07/02/2002,23.92,24.4,23.85,24.0,13.38,1683200
08/02/2002,24.1,24.79,24.02,24.79,13.82,1214000
11/02/2002,24.85,25.06,24.22,24.36,13.58,2064500
12/02/2002,24.5,24.84,24.4,24.8,13.83,1156500
13/02/2002,24.9,25.3,24.6,24.75,13.8,1899000
14/02/2002,24.75,24.75,23.95,24.36,13.58,3033900
15/02/2002,24.5,24.5,23.7,24.05,13.41,1902200
19/02/2002,23.99,24.0,23.3,23.58,13.15,2002100
20/02/2002,23.72,23.78,23.38,23.55,13.13,943100
21/02/2002,23.65,23.9,23.05,23.2,12.94,1624200
22/02/2002,23.4,23.4,22.0,22.5,12.55,2532900
25/02/2002,22.9,23.24,22.9,23.19,12.93,2515300
26/02/2002,23.4,23.95,23.12,23.7,13.22,1166900
27/02/2002,23.8,24.47,23.75,24.44,13.63,1842500
28/02/2002,24.75,24.98,24.0,24.36,13.58,1467600
01/03/2002,24.3,24.8,24.15,24.8,13.83,1293700
04/03/2002,24.8,26.0,24.5,25.27,14.09,1993100
05/03/2002,25.23,25.51,25.02,25.05,13.97,2963400
06/03/2002,25.2,25.32,24.55,25.0,13.94,995300
07/03/2002,25.0,25.48,24.55,25.2,14.05,1714400
08/03/2002,25.15,25.5,25.0,25.05,13.97,1085900
11/03/2002,25.05,25.24,24.77,24.95,13.91,1338800
12/03/2002,25.08,25.2,24.88,25.0,13.94,615600
13/03/2002,25.0,25.14,24.8,25.02,13.95,965100
14/03/2002,25.0,25.48,25.0,25.42,14.17,1636200
15/03/2002,25.4,25.75,25.3,25.5,14.22,504400
18/03/2002,26.5,26.6,25.3,25.5,14.22,2792000
19/03/2002,25.7,25.9,25.4,25.52,14.23,3362800
20/03/2002,25.55,25.97,25.43,25.8,14.39,1655700
21/03/2002,25.85,25.88,25.55,25.78,14.38,1683100
22/03/2002,25.85,25.85,25.64,25.8,14.39,1944400
25/03/2002,25.8,25.8,25.05,25.45,14.19,2036100
26/03/2002,25.44,25.58,25.25,25.5,14.22,1944000
27/03/2002,25.58,25.67,25.5,25.67,14.31,1618200
28/03/2002,25.75,25.84,25.2,25.3,14.11,2301100
01/04/2002,25.35,25.45,25.0,25.33,14.12,1085900
02/04/2002,25.33,25.74,25.21,25.52,14.23,1085000
03/04/2002,25.75,25.89,25.37,25.45,14.19,1118600
04/04/2002,25.75,26.24,25.56,26.1,14.55,1413400
05/04/2002,26.35,27.21,26.06,27.02,15.07,1595500
08/04/2002,27.03,27.6,26.65,27.44,15.3,1636700
09/04/2002,27.45,28.04,27.3,27.62,15.4,1432300
10/04/2002,27.85,28.12,27.38,27.78,15.49,944900
11/04/2002,27.75,27.95,26.9,27.0,15.06,695600
12/04/2002,27.05,27.3,27.0,27.3,15.22,966600
15/04/2002,27.05,27.2,26.41,26.7,14.89,1397000
16/04/2002,27.2,28.0,27.2,28.0,15.61,1819700
17/04/2002,28.0,28.7,27.8,28.25,15.75,2130500
18/04/2002,28.3,28.55,28.0,28.38,15.82,830800
19/04/2002,28.35,28.54,27.85,28.16,15.7,639500
22/04/2002,28.3,28.7,28.3,28.49,15.89,1078800
23/04/2002,28.65,28.65,27.39,27.75,15.47,1671900
24/04/2002,27.95,28.08,27.8,27.8,15.5,918900
25/04/2002,27.55,27.7,27.0,27.1,15.11,1407200
26/04/2002,27.4,27.5,27.05,27.3,15.22,1045500
29/04/2002,27.5,27.85,27.22,27.48,15.32,1184100
30/04/2002,27.3,28.1,27.2,27.8,15.5,846600
01/05/2002,27.85,27.98,27.45,27.72,15.46,340300
02/05/2002,27.8,27.98,27.62,27.9,15.56,1185400
03/05/2002,27.75,27.77,26.92,27.04,15.08,1404200
06/05/2002,27.26,27.57,27.05,27.25,15.19,526400
07/05/2002,27.4,27.45,26.12,26.73,14.9,1170700
08/05/2002,26.98,28.1,26.58,27.7,15.45,2104100
09/05/2002,27.69,28.1,27.25,27.97,15.6,1565600
10/05/2002,28.05,28.05,27.45,27.86,15.53,1142600
13/05/2002,28.3,28.38,27.75,28.1,15.67,885600
14/05/2002,28.5,28.5,28.01,28.3,15.78,1506100
15/05/2002,28.43,28.5,28.18,28.42,15.85,919100
16/05/2002,28.55,28.99,28.4,28.8,16.06,1052900
17/05/2002,28.85,29.14,28.72,28.87,16.1,735600
20/05/2002,28.81,29.35,28.3,28.93,16.13,1011500
21/05/2002,29.13,29.7,28.76,29.29,16.33,905200
22/05/2002,29.6,30.02,29.0,29.31,16.34,1140600
23/05/2002,29.0,29.32,28.62,28.7,16.0,2129400
24/05/2002,28.7,29.5,28.5,28.95,16.14,931400
28/05/2002,29.0,29.73,28.96,29.51,16.45,831900
29/05/2002,29.95,30.05,29.3,29.35,16.37,830700
30/05/2002,29.25,29.49,29.06,29.17,16.27,824500
31/05/2002,29.45,30.65,29.44,30.4,16.95,1629600
03/06/2002,29.1,29.8,28.92,29.1,16.23,2208500
04/06/2002,28.9,28.95,28.41,28.57,15.93,1398900
05/06/2002,28.75,29.6,28.44,28.71,16.01,1826000
06/06/2002,28.72,29.45,28.72,28.85,16.09,1234100
07/06/2002,29.0,29.0,28.25,28.67,15.99,1497200
10/06/2002,28.8,29.42,28.78,29.24,16.3,998000
11/06/2002,29.15,29.65,29.15,29.15,16.25,1156600
12/06/2002,29.1,29.99,29.05,29.95,16.7,1154600
13/06/2002,29.94,31.5,29.94,30.48,17.0,2731400
14/06/2002,30.3,30.65,30.0,30.31,16.9,1642500
17/06/2002,30.27,30.65,30.03,30.25,16.87,1988600
18/06/2002,30.25,30.26,29.02,29.28,16.33,1628000
19/06/2002,29.25,30.03,29.2,29.69,16.56,1251400
20/06/2002,29.65,30.15,29.31,29.43,16.41,1392900
21/06/2002,29.44,29.6,28.5,28.79,16.05,2215700
24/06/2002,28.6,29.7,28.51,29.36,16.37,860600
25/06/2002,29.0,30.02,28.88,29.7,16.56,1483600
26/06/2002,28.8,29.2,28.3,28.93,16.13,1449300
27/06/2002,29.0,30.2,28.5,29.75,16.59,1691300
28/06/2002,30.0,31.0,29.85,31.0,17.29,8889800
01/07/2002,30.25,30.44,29.45,29.59,16.5,1757100
02/07/2002,29.5,29.99,28.4,28.45,15.86,1743200
03/07/2002,28.45,28.45,26.9,27.04,15.08,1682100
05/07/2002,27.15,28.0,27.15,27.7,15.45,658100
08/07/2002,27.75,28.99,27.7,28.7,16.0,1316500
09/07/2002,28.7,28.7,26.92,27.0,15.06,2243100
10/07/2002,28.9,28.97,28.25,28.34,15.8,6830500
11/07/2002,28.1,29.45,28.1,29.3,16.34,2504900
12/07/2002,29.5,29.95,29.35,29.7,16.56,2522400
15/07/2002,29.4,30.1,28.75,29.15,16.25,2752700
16/07/2002,29.16,29.6,28.81,29.15,16.25,2220400
17/07/2002,29.4,29.5,28.0,28.73,16.02,4005300
18/07/2002,28.45,28.58,27.25,27.85,15.53,5702800
19/07/2002,27.85,27.95,26.22,27.95,15.59,33880100
22/07/2002,27.0,27.74,26.24,27.3,15.22,5536700
23/07/2002,27.35,27.36,25.3,26.4,14.72,3629000
24/07/2002,26.0,27.8,25.4,27.8,15.5,4735700
25/07/2002,27.55,27.55,25.3,26.34,14.69,4979700
26/07/2002,26.15,26.45,25.56,26.0,14.5,2666000
29/07/2002,26.4,28.1,26.34,28.1,15.67,2627900
30/07/2002,27.9,28.95,27.15,28.35,15.81,1914100
31/07/2002,28.25,28.95,27.95,28.71,16.01,1674900
01/08/2002,28.6,28.69,27.95,28.0,15.61,1341000
02/08/2002,27.9,27.98,26.7,27.1,15.11,2380100
05/08/2002,27.0,27.01,25.6,26.0,14.5,1929900
06/08/2002,26.75,26.75,25.3,25.36,14.14,2603500
07/08/2002,25.15,26.7,25.15,26.34,14.69,1849400
08/08/2002,26.34,28.15,26.3,27.7,15.45,2335400
09/08/2002,27.55,28.92,27.14,28.85,16.09,981800
12/08/2002,28.5,28.55,27.81,28.33,15.8,1112600
13/08/2002,28.33,29.0,27.79,27.8,15.5,1393100
14/08/2002,28.0,29.45,27.66,29.3,16.34,1230500
15/08/2002,29.45,30.04,28.88,29.57,16.49,1058200
16/08/2002,29.5,29.5,28.5,28.9,16.11,1013000
19/08/2002,29.0,29.5,28.4,29.47,16.43,1628300
20/08/2002,29.47,29.47,28.6,28.85,16.09,715500
21/08/2002,29.05,29.22,28.43,28.86,16.09,550700
22/08/2002,28.9,30.45,28.9,30.27,16.88,1558800
23/08/2002,30.15,30.18,29.45,29.74,16.58,751100
26/08/2002,29.8,30.7,29.7,29.78,16.61,1499200
27/08/2002,29.76,30.1,29.01,29.28,16.33,1029400
28/08/2002,29.22,29.25,28.61,28.92,16.13,729300
29/08/2002,28.8,29.89,28.7,29.28,16.33,650800
30/08/2002,29.23,30.0,28.92,29.33,16.35,876800
03/09/2002,29.0,29.15,28.51,28.56,15.93,1602500
04/09/2002,28.56,29.3,28.5,29.18,16.27,1052200
05/09/2002,29.0,29.2,28.8,29.0,16.17,1047400
06/09/2002,29.25,29.4,28.94,29.07,16.21,883800
09/09/2002,28.9,29.64,28.87,29.1,16.23,996400
10/09/2002,29.15,29.25,28.95,29.15,16.25,1080000
11/09/2002,29.4,29.44,28.86,29.02,16.18,565600
12/09/2002,29.0,29.0,28.3,28.5,15.89,1402400
13/09/2002,28.5,28.79,28.1,28.37,15.82,1032700
16/09/2002,28.4,28.75,28.05,28.65,15.98,646700
17/09/2002,29.25,29.3,27.71,27.84,15.52,844700
18/09/2002,27.7,27.85,27.37,27.44,15.3,1113000
19/09/2002,27.05,27.14,26.7,26.78,14.93,943500
20/09/2002,26.7,27.13,26.64,26.88,14.99,2389700
23/09/2002,26.87,27.7,26.65,27.5,15.33,1304400
24/09/2002,27.25,28.3,27.22,27.6,15.39,1249100
25/09/2002,28.0,28.0,26.36,26.45,14.75,2659500
26/09/2002,26.46,26.68,25.5,26.67,14.87,2795800
27/09/2002,26.68,27.05,26.33,26.48,14.77,1232900
30/09/2002,26.42,26.45,25.2,26.18,14.6,1718100
01/10/2002,26.28,27.94,26.2,27.94,15.58,1580400
02/10/2002,27.9,28.19,26.86,27.05,15.08,2956400
03/10/2002,27.04,27.05,24.1,25.27,14.09,2785000
04/10/2002,25.28,25.35,24.0,24.68,13.76,1922900
07/10/2002,24.7,25.6,24.63,24.79,13.82,1401900
08/10/2002,24.7,25.22,22.9,23.99,13.38,2998300
09/10/2002,23.99,23.99,22.89,22.94,12.79,2151600
10/10/2002,22.75,23.52,22.5,23.5,13.1,2760400
11/10/2002,24.1,26.24,24.07,25.49,14.21,1639000
14/10/2002,25.34,26.2,24.95,25.76,14.36,1146100
15/10/2002,27.2,27.74,27.1,27.4,15.28,1440300
16/10/2002,27.3,27.76,26.38,26.5,14.78,2679100
17/10/2002,27.15,28.2,27.14,27.8,15.5,1340300
18/10/2002,27.8,28.6,27.4,28.13,15.69,1310700
21/10/2002,27.7,29.31,27.32,28.8,16.06,1600700
22/10/2002,28.65,28.66,28.07,28.48,15.88,1031400
23/10/2002,28.1,28.45,27.3,28.26,15.76,1219100
24/10/2002,28.33,28.7,27.65,28.0,15.61,1577100
25/10/2002,27.8,28.5,27.38,28.34,15.8,1306300
28/10/2002,28.44,28.82,27.85,28.43,15.85,1401700
29/10/2002,28.0,28.44,27.1,27.53,15.35,1825100
30/10/2002,27.35,28.17,26.94,27.93,15.57,1560400
31/10/2002,27.95,28.4,27.53,28.05,15.64,1055300
01/11/2002,27.9,27.95,27.4,27.75,15.47,1603000
04/11/2002,27.9,28.94,27.8,28.09,15.66,2088300
05/11/2002,28.1,28.56,27.54,27.88,15.55,1904100
06/11/2002,28.5,28.85,27.8,28.23,15.88,3737300
07/11/2002,28.2,28.9,28.09,28.75,16.18,2089900
08/11/2002,28.82,29.0,28.0,28.48,16.02,731400
11/11/2002,28.3,28.3,27.47,27.69,15.58,1126900
12/11/2002,27.6,28.26,27.43,27.84,15.66,629200
13/11/2002,27.8,28.6,27.54,28.17,15.85,892500
14/11/2002,28.4,29.12,28.4,29.09,16.37,1027000
15/11/2002,29.0,29.7,28.75,29.61,16.66,884200
18/11/2002,29.9,29.9,28.8,28.95,16.29,1123500
19/11/2002,28.96,29.71,28.96,29.26,16.46,862200
20/11/2002,29.2,29.74,28.92,29.6,16.65,1240400
21/11/2002,29.56,30.55,29.45,30.35,17.08,1295400
22/11/2002,30.33,30.89,30.17,30.6,17.22,1008100
25/11/2002,30.3,30.43,29.35,29.57,16.64,1431400
26/11/2002,29.37,29.49,28.98,29.07,16.36,873000
27/11/2002,29.07,29.55,28.78,29.24,16.45,979700
29/11/2002,29.2,29.21,28.9,29.0,16.32,716000
02/12/2002,29.1,29.28,28.1,28.85,16.23,1437300
03/12/2002,28.85,29.4,28.6,29.02,16.33,666400
04/12/2002,29.03,29.42,28.69,29.35,16.51,1310700
05/12/2002,29.6,29.62,28.82,29.0,16.32,708500
06/12/2002,29.01,29.92,29.01,29.58,16.64,740100
09/12/2002,29.55,29.59,29.0,29.3,16.49,604900
10/12/2002,29.35,29.74,29.14,29.65,16.68,737700
11/12/2002,29.55,29.55,29.1,29.45,16.57,874700
12/12/2002,29.6,29.64,28.91,29.23,16.45,807100
13/12/2002,29.22,29.38,28.73,29.2,16.43,801300
16/12/2002,29.35,30.19,29.35,30.19,16.99,1223600
17/12/2002,30.19,30.31,29.94,30.03,16.9,959500
18/12/2002,30.18,30.33,29.75,29.98,16.87,1073900
19/12/2002,29.98,30.29,29.45,29.6,16.65,1123000
20/12/2002,29.82,31.0,29.65,30.58,17.21,3759700
23/12/2002,30.85,31.0,30.46,30.84,17.35,1320600
24/12/2002,31.04,31.04,30.65,30.78,17.32,303600
26/12/2002,30.88,31.49,30.5,30.8,17.33,556900
27/12/2002,30.6,30.65,29.75,30.21,17.0,719700
30/12/2002,30.4,30.59,29.8,30.45,17.13,964200
31/12/2002,30.4,30.4,29.75,30.13,16.95,834500
02/01/2003,30.45,30.7,30.18,30.58,17.21,1942300
03/01/2003,30.4,30.69,30.2,30.4,17.1,951800
06/01/2003,30.32,30.98,30.25,30.72,17.28,1611200
07/01/2003,30.85,30.98,30.0,30.0,16.88,1173600
08/01/2003,30.0,30.15,29.0,29.28,16.47,2149000
09/01/2003,29.4,30.85,29.2,30.75,17.3,1544300
10/01/2003,30.4,31.06,30.4,30.7,17.27,1027900
13/01/2003,30.3,31.2,30.3,30.66,17.25,1282000
14/01/2003,30.64,30.93,30.55,30.8,17.33,761100
15/01/2003,30.81,30.81,30.28,30.4,17.1,1056300
16/01/2003,30.35,30.4,29.7,29.87,16.81,1484300
17/01/2003,29.88,30.0,29.66,29.87,16.81,969300
21/01/2003,29.93,30.0,29.25,29.25,16.46,1412400
22/01/2003,28.85,29.42,28.85,28.97,16.3,1082900
23/01/2003,29.0,29.75,29.0,29.42,16.55,1077100
24/01/2003,29.2,29.24,28.48,28.58,16.08,886600
27/01/2003,28.54,28.75,28.15,28.48,16.02,1311800
28/01/2003,28.65,28.89,28.08,28.83,16.22,773700
29/01/2003,28.45,28.93,28.1,28.85,16.23,684500
30/01/2003,28.89,29.27,28.64,28.66,16.13,998200
31/01/2003,28.66,29.22,28.59,28.6,16.09,1755900
03/02/2003,28.7,28.92,28.35,28.64,16.11,1006800
04/02/2003,28.52,28.52,27.7,27.9,15.7,1275200
05/02/2003,27.9,27.9,27.02,27.47,15.46,2096700
06/02/2003,27.3,27.31,26.72,26.81,15.08,1426400
07/02/2003,27.05,27.35,26.75,26.85,15.11,1079900
10/02/2003,26.93,27.05,26.22,26.95,15.16,934100
11/02/2003,26.93,27.3,26.55,26.59,14.96,888400
12/02/2003,26.54,26.81,26.31,26.39,14.85,769700
13/02/2003,26.46,26.71,26.35,26.57,14.95,770100
14/02/2003,26.7,27.68,26.62,27.68,15.57,1116000
18/02/2003,27.7,28.43,27.7,28.36,15.96,988800
19/02/2003,28.2,28.22,27.88,28.04,15.78,1085600
20/02/2003,28.15,28.4,27.76,27.8,15.64,1426000
21/02/2003,27.9,28.79,27.7,28.22,15.88,672800
24/02/2003,28.2,28.2,27.65,27.7,15.59,529900
25/02/2003,27.6,27.74,27.14,27.57,15.51,1325700
26/02/2003,26.8,27.05,26.54,26.6,14.97,1898800
27/02/2003,27.1,27.9,27.01,27.57,15.51,1858000
28/02/2003,27.65,28.1,27.45,27.57,15.51,1309800
03/03/2003,27.7,28.18,27.51,27.56,15.51,644900
04/03/2003,27.65,27.7,27.4,27.4,15.42,700600
05/03/2003,27.18,27.6,26.82,27.54,15.5,1220300
06/03/2003,27.5,27.88,27.35,27.62,15.54,1055300
07/03/2003,27.52,28.07,27.28,27.82,15.65,1023200
10/03/2003,27.74,27.79,27.06,27.1,15.25,752600
11/03/2003,26.9,27.75,25.7,26.0,14.63,2168900
12/03/2003,25.96,25.97,25.21,25.83,14.53,1297000
13/03/2003,26.0,26.92,26.0,26.9,15.14,1521500
14/03/2003,27.05,27.94,26.81,26.98,15.18,1149600
17/03/2003,26.7,28.1,26.31,28.1,15.81,1728700
18/03/2003,28.03,28.5,27.25,27.71,15.59,1827600
19/03/2003,27.88,28.28,27.67,28.15,15.84,1488500
20/03/2003,28.0,28.08,27.56,27.82,15.65,1842800
21/03/2003,27.83,28.4,27.37,28.4,15.98,3437100
24/03/2003,28.15,28.16,27.69,27.72,15.6,1124300
25/03/2003,27.82,28.39,27.52,28.14,15.83,900300
26/03/2003,27.8,27.93,27.5,27.76,15.62,1116600
27/03/2003,27.77,27.87,27.32,27.69,15.58,637000
