Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.75,8.81,8.66,8.81,3.81,5742400
03/01/1990,8.81,8.86,8.75,8.8,3.8,6478400
04/01/1990,8.75,8.77,8.56,8.62,3.73,6286400
05/01/1990,8.56,8.64,8.47,8.47,3.66,4283200
08/01/1990,8.47,8.66,8.45,8.62,3.73,2887200
09/01/1990,8.61,8.67,8.56,8.62,3.73,5472000
10/01/1990,8.67,8.69,8.56,8.67,3.75,4456000
11/01/1990,8.73,8.84,8.69,8.8,3.8,3821600
12/01/1990,8.62,8.67,8.39,8.47,3.69,6524800
15/01/1990,8.42,8.55,8.41,8.5,3.7,3548000
16/01/1990,8.42,8.61,8.42,8.61,3.75,5158400
17/01/1990,8.59,8.67,8.53,8.56,3.73,4715200
18/01/1990,8.52,8.72,8.52,8.69,3.78,4432800
19/01/1990,8.75,8.75,8.62,8.62,3.75,6000000
22/01/1990,8.62,8.64,8.36,8.42,3.67,4911200
23/01/1990,8.47,8.5,8.22,8.27,3.6,6199200
24/01/1990,8.12,8.31,8.12,8.28,3.6,5979200
25/01/1990,8.33,8.45,7.84,7.84,3.41,13050400
26/01/1990,7.89,8.02,7.81,7.89,3.43,12151200
29/01/1990,7.89,7.94,7.75,7.83,3.41,4562400
30/01/1990,7.88,7.89,7.75,7.84,3.41,5979200
31/01/1990,7.92,8.08,7.88,8.0,3.48,6228000
01/02/1990,8.03,8.11,8.0,8.08,3.52,5135200
02/02/1990,8.06,8.19,8.02,8.14,3.54,3768000
05/02/1990,8.16,8.22,8.16,8.2,3.57,3948000
06/02/1990,8.19,8.2,8.09,8.14,3.54,4194400
07/02/1990,8.08,8.3,8.03,8.23,3.58,4373600
08/02/1990,8.22,8.31,8.12,8.19,3.56,4962400
09/02/1990,8.25,8.33,8.17,8.28,3.6,4240000
12/02/1990,8.28,8.3,8.14,8.14,3.54,2880800
13/02/1990,8.16,8.2,8.11,8.14,3.54,4260000
14/02/1990,8.16,8.23,8.16,8.2,3.57,2314400
15/02/1990,8.19,8.36,8.19,8.33,3.62,2984800
16/02/1990,8.36,8.41,8.3,8.36,3.64,5103200
20/02/1990,8.16,8.23,8.12,8.16,3.55,3996800
21/02/1990,8.03,8.11,8.02,8.08,3.52,4656000
22/02/1990,8.05,8.11,7.88,7.89,3.43,4048000
23/02/1990,7.84,7.94,7.72,7.81,3.4,4683200
26/02/1990,7.84,7.91,7.81,7.89,3.43,2842400
27/02/1990,7.86,7.98,7.86,7.89,3.43,2995200
28/02/1990,7.89,8.05,7.89,7.98,3.48,3504000
01/03/1990,7.97,8.02,7.88,7.92,3.45,3273600
02/03/1990,7.94,7.95,7.83,7.92,3.45,4338400
05/03/1990,7.92,7.94,7.81,7.92,3.45,3295200
06/03/1990,7.91,7.97,7.83,7.92,3.45,3928800
07/03/1990,7.94,8.03,7.89,7.92,3.45,5844000
08/03/1990,7.94,8.16,7.92,8.12,3.54,4908000
09/03/1990,8.03,8.11,7.98,8.11,3.53,5536000
12/03/1990,8.06,8.14,8.02,8.02,3.49,3555200
13/03/1990,8.05,8.09,7.98,8.02,3.49,3976000
14/03/1990,8.03,8.2,8.03,8.14,3.54,4073600
15/03/1990,8.14,8.19,8.08,8.08,3.52,3354400
16/03/1990,8.16,8.28,8.12,8.28,3.6,8744000
19/03/1990,8.23,8.48,8.19,8.44,3.67,5091200
20/03/1990,8.44,8.55,8.39,8.52,3.71,6793600
21/03/1990,8.55,8.55,8.47,8.5,3.7,2896800
22/03/1990,8.44,8.48,8.3,8.34,3.63,4032000
23/03/1990,8.34,8.48,8.33,8.41,3.66,3397600
26/03/1990,8.41,8.58,8.41,8.52,3.71,4994400
27/03/1990,8.48,8.62,8.45,8.62,3.75,2451200
28/03/1990,8.62,8.66,8.55,8.61,3.75,2824800
29/03/1990,8.55,8.62,8.53,8.53,3.71,2586400
30/03/1990,8.5,8.58,8.42,8.47,3.69,3866400
02/04/1990,8.39,8.47,8.38,8.45,3.68,2668800
03/04/1990,8.47,8.69,8.42,8.66,3.77,3745600
04/04/1990,8.64,8.64,8.52,8.53,3.71,3900000
05/04/1990,8.58,8.62,8.53,8.59,3.74,3765600
