Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.06,1.07,1.06,1.07,0.56,889200
03/01/1990,1.07,1.09,1.07,1.08,0.57,1198800
04/01/1990,1.07,1.07,1.07,1.07,0.56,1760400
05/01/1990,1.07,1.08,1.07,1.07,0.56,100800
08/01/1990,1.07,1.08,1.07,1.08,0.57,644400
09/01/1990,1.08,1.08,1.07,1.08,0.57,799200
10/01/1990,1.08,1.08,1.08,1.08,0.57,14400
11/01/1990,1.08,1.09,1.08,1.08,0.57,57600
12/01/1990,1.08,1.1,1.08,1.09,0.57,597600
15/01/1990,1.09,1.09,1.08,1.08,0.57,1087200
16/01/1990,1.07,1.08,1.07,1.07,0.56,223200
17/01/1990,1.08,1.08,1.07,1.08,0.57,169200
18/01/1990,1.08,1.08,1.07,1.07,0.56,806400
19/01/1990,1.08,1.08,1.06,1.06,0.56,450000
22/01/1990,1.06,1.06,1.05,1.05,0.55,266400
23/01/1990,1.04,1.04,1.01,1.01,0.53,1368000
24/01/1990,1.0,1.0,0.99,1.0,0.52,601200
25/01/1990,1.0,1.01,1.0,1.0,0.53,1353600
26/01/1990,0.99,1.0,0.97,0.98,0.52,3013200
29/01/1990,0.97,0.98,0.97,0.97,0.51,244800
30/01/1990,0.97,0.97,0.97,0.97,0.51,885600
31/01/1990,0.97,0.97,0.96,0.97,0.51,1666800
01/02/1990,0.97,0.98,0.96,0.98,0.52,4852800
02/02/1990,0.99,1.0,0.99,1.0,0.53,849600
05/02/1990,0.99,1.02,0.99,1.01,0.53,4194000
06/02/1990,1.01,1.01,1.01,1.01,0.53,540000
07/02/1990,1.01,1.01,1.0,1.0,0.53,604800
08/02/1990,1.01,1.01,1.0,1.0,0.53,93600
09/02/1990,1.0,1.0,0.96,0.96,0.5,9727200
12/02/1990,0.96,0.96,0.95,0.95,0.5,3686400
13/02/1990,0.95,0.95,0.94,0.95,0.5,5860800
14/02/1990,0.95,0.95,0.95,0.95,0.5,4298400
15/02/1990,0.95,0.96,0.95,0.96,0.5,1414800
16/02/1990,0.96,0.96,0.95,0.96,0.51,752400
20/02/1990,0.96,0.96,0.95,0.95,0.5,1278000
21/02/1990,0.95,0.97,0.95,0.97,0.51,511200
22/02/1990,0.97,0.98,0.96,0.98,0.51,957600
23/02/1990,0.97,0.97,0.97,0.97,0.51,1152000
26/02/1990,0.97,0.99,0.97,0.99,0.52,385200
27/02/1990,0.98,0.99,0.98,0.99,0.52,338400
28/02/1990,0.99,1.0,0.99,1.0,0.52,252000
01/03/1990,1.0,1.01,0.99,1.0,0.53,1130400
02/03/1990,1.0,1.01,1.0,1.0,0.53,262800
05/03/1990,0.99,1.0,0.99,0.99,0.52,813600
06/03/1990,0.99,1.0,0.99,1.0,0.53,104400
07/03/1990,1.0,1.0,0.99,0.99,0.52,6364800
08/03/1990,0.99,0.99,0.98,0.98,0.52,2912400
09/03/1990,0.98,0.98,0.98,0.98,0.52,1202400
12/03/1990,0.98,0.98,0.97,0.98,0.52,252000
13/03/1990,0.98,0.98,0.97,0.97,0.51,18000
14/03/1990,0.97,0.97,0.97,0.97,0.51,1879200
