Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.45,1.5,1.41,1.5,1.13,755200
03/01/1990,1.45,1.52,1.44,1.52,1.14,609600
04/01/1990,1.56,1.56,1.47,1.48,1.12,527200
05/01/1990,1.5,1.5,1.41,1.42,1.07,211200
08/01/1990,1.39,1.41,1.36,1.38,1.04,359200
09/01/1990,1.38,1.38,1.33,1.34,1.01,371200
10/01/1990,1.34,1.36,1.31,1.33,1.0,834400
11/01/1990,1.31,1.36,1.31,1.33,1.0,159200
12/01/1990,1.28,1.31,1.22,1.23,0.93,575200
15/01/1990,1.22,1.25,1.19,1.19,0.9,430400
16/01/1990,1.19,1.27,1.19,1.27,0.95,324000
17/01/1990,1.27,1.27,1.2,1.22,0.92,213600
18/01/1990,1.22,1.22,1.2,1.22,0.92,452800
19/01/1990,1.23,1.23,1.12,1.12,0.85,1367200
22/01/1990,1.14,1.14,0.98,1.0,0.75,1453600
23/01/1990,1.0,1.02,0.98,1.02,0.77,320800
24/01/1990,1.02,1.02,0.98,0.98,0.74,222400
25/01/1990,1.0,1.0,0.91,0.94,0.71,561600
26/01/1990,0.95,0.98,0.94,0.98,0.74,500800
29/01/1990,0.97,0.97,0.95,0.97,0.73,274400
30/01/1990,0.97,0.97,0.94,0.95,0.72,243200
31/01/1990,0.97,0.98,0.95,0.98,0.74,104000
01/02/1990,0.98,1.0,0.97,1.0,0.75,353600
02/02/1990,0.98,1.08,0.98,1.08,0.81,525600
05/02/1990,1.09,1.09,1.08,1.09,0.82,987200
06/02/1990,1.08,1.09,1.06,1.08,0.81,295200
07/02/1990,1.09,1.09,1.08,1.09,0.82,365600
08/02/1990,1.09,1.09,1.08,1.08,0.81,56800
09/02/1990,1.09,1.09,1.05,1.06,0.8,321600
12/02/1990,1.06,1.06,1.03,1.03,0.78,41600
13/02/1990,1.03,1.05,1.0,1.0,0.75,140800
14/02/1990,1.0,1.0,0.97,0.98,0.74,148000
15/02/1990,0.97,0.97,0.95,0.97,0.73,603200
16/02/1990,0.95,0.97,0.95,0.95,0.72,1010400
20/02/1990,0.95,0.97,0.94,0.94,0.71,476000
21/02/1990,0.94,0.95,0.94,0.95,0.72,379200
22/02/1990,0.95,0.97,0.95,0.95,0.72,497600
23/02/1990,0.95,0.97,0.95,0.95,0.72,286400
26/02/1990,0.95,1.03,0.95,1.03,0.78,962400
27/02/1990,1.05,1.05,1.02,1.02,0.77,121600
28/02/1990,1.03,1.08,1.03,1.06,0.8,150400
01/03/1990,1.06,1.06,1.0,1.0,0.75,291200
02/03/1990,1.0,1.02,1.0,1.02,0.77,81600
05/03/1990,1.02,1.02,0.97,0.97,0.73,204000
06/03/1990,0.97,1.0,0.97,1.0,0.75,299200
07/03/1990,1.0,1.03,0.95,0.97,0.73,864000
08/03/1990,0.98,1.0,0.94,0.98,0.74,544000
09/03/1990,0.98,1.0,0.95,0.97,0.73,152800
12/03/1990,0.97,0.98,0.95,0.97,0.73,587200
13/03/1990,0.97,0.98,0.95,0.98,0.75,452000
14/03/1990,0.95,0.97,0.94,0.97,0.73,108000
15/03/1990,0.95,0.98,0.95,0.97,0.73,196800
16/03/1990,0.98,1.0,0.97,1.0,0.76,460800
19/03/1990,0.98,1.03,0.98,1.02,0.77,122400
20/03/1990,1.0,1.11,1.0,1.06,0.8,1307200
21/03/1990,1.05,1.08,1.05,1.05,0.79,268000
22/03/1990,1.05,1.08,1.03,1.08,0.82,1480000
23/03/1990,1.05,1.08,1.05,1.08,0.82,266400
26/03/1990,1.09,1.11,1.09,1.09,0.83,311200
27/03/1990,1.11,1.12,1.09,1.12,0.85,355200
28/03/1990,1.12,1.19,1.12,1.19,0.9,408000
29/03/1990,1.19,1.19,1.17,1.17,0.89,269600
30/03/1990,1.17,1.19,1.16,1.17,0.89,337600
02/04/1990,1.12,1.2,1.12,1.19,0.9,780000
03/04/1990,1.19,1.23,1.19,1.22,0.92,656800
04/04/1990,1.23,1.23,1.2,1.22,0.92,464800
05/04/1990,1.22,1.25,1.22,1.25,0.95,194400
06/04/1990,1.23,1.27,1.22,1.25,0.95,374400
09/04/1990,1.25,1.25,1.16,1.17,0.89,680800
10/04/1990,1.16,1.17,1.14,1.17,0.89,228000
11/04/1990,1.17,1.17,1.16,1.16,0.88,68800
12/04/1990,1.17,1.17,1.14,1.16,0.88,122400
16/04/1990,1.16,1.19,1.14,1.14,0.86,279200
17/04/1990,1.12,1.19,1.11,1.19,0.9,1233600
18/04/1990,1.19,1.19,1.16,1.16,0.88,264800
19/04/1990,1.16,1.17,1.16,1.17,0.89,120000
20/04/1990,1.16,1.17,1.16,1.16,0.88,1013600
23/04/1990,1.14,1.16,1.12,1.14,0.86,596800
24/04/1990,1.14,1.16,1.14,1.14,0.86,95200
25/04/1990,1.16,1.16,1.14,1.14,0.86,12000
26/04/1990,1.14,1.14,1.12,1.12,0.85,59200
27/04/1990,1.12,1.14,1.12,1.12,0.85,1005600
30/04/1990,1.11,1.11,1.09,1.11,0.84,357600
01/05/1990,1.09,1.09,1.06,1.06,0.8,182400
02/05/1990,1.06,1.06,1.03,1.03,0.78,97600
03/05/1990,1.05,1.09,1.05,1.06,0.8,354400
04/05/1990,1.06,1.09,1.06,1.08,0.82,133600
07/05/1990,1.08,1.08,1.06,1.08,0.82,9600
08/05/1990,1.08,1.08,1.05,1.06,0.8,177600
09/05/1990,1.06,1.06,1.05,1.06,0.8,195200
10/05/1990,1.06,1.08,1.05,1.08,0.82,328800
11/05/1990,1.08,1.11,1.06,1.11,0.84,129600
14/05/1990,1.11,1.16,1.11,1.16,0.88,430400
15/05/1990,1.14,1.16,1.14,1.14,0.86,476000
16/05/1990,1.16,1.16,1.12,1.12,0.85,34400
17/05/1990,1.14,1.16,1.14,1.14,0.86,144800
18/05/1990,1.16,1.16,1.11,1.11,0.84,72000
21/05/1990,1.12,1.12,1.11,1.12,0.85,101600
22/05/1990,1.12,1.14,1.08,1.11,0.84,100000
23/05/1990,1.11,1.11,1.05,1.06,0.8,101600
24/05/1990,1.06,1.08,1.05,1.08,0.82,636800
25/05/1990,1.08,1.09,1.06,1.06,0.8,385600
29/05/1990,1.08,1.09,1.06,1.08,0.82,448000
30/05/1990,1.09,1.11,1.08,1.08,0.82,597600
31/05/1990,1.09,1.11,1.08,1.09,0.83,69600
01/06/1990,1.08,1.09,1.08,1.08,0.82,156800
04/06/1990,1.08,1.09,1.08,1.09,0.83,399200
05/06/1990,1.08,1.09,1.08,1.09,0.83,107200
06/06/1990,1.09,1.11,1.09,1.11,0.84,228000
07/06/1990,1.09,1.11,1.08,1.11,0.84,164800
08/06/1990,1.11,1.11,1.08,1.08,0.82,64000
11/06/1990,1.08,1.14,1.08,1.14,0.87,228800
12/06/1990,1.12,1.16,1.12,1.12,0.85,154400
13/06/1990,1.12,1.14,1.11,1.11,0.84,158400
14/06/1990,1.11,1.12,1.11,1.12,0.85,21600
15/06/1990,1.09,1.11,1.03,1.03,0.78,432800
18/06/1990,1.05,1.09,1.05,1.08,0.82,1073600
19/06/1990,1.08,1.11,1.08,1.11,0.84,50400
20/06/1990,1.11,1.11,1.09,1.11,0.84,416800
21/06/1990,1.09,1.09,1.06,1.09,0.83,630400
22/06/1990,1.09,1.11,1.08,1.08,0.82,264800
25/06/1990,1.08,1.08,1.05,1.06,0.81,375200
26/06/1990,1.08,1.09,1.06,1.06,0.81,51200
27/06/1990,1.08,1.09,1.06,1.06,0.81,153600
28/06/1990,1.06,1.08,1.06,1.08,0.82,54400
29/06/1990,1.08,1.12,1.08,1.12,0.85,936800
02/07/1990,1.12,1.12,1.11,1.11,0.84,191200
03/07/1990,1.14,1.16,1.12,1.12,0.85,187200
05/07/1990,1.09,1.09,1.06,1.08,0.82,117600
06/07/1990,1.06,1.09,1.06,1.09,0.83,269600
09/07/1990,1.08,1.09,1.08,1.09,0.83,118400
10/07/1990,1.09,1.09,1.06,1.08,0.82,446400
11/07/1990,1.06,1.11,1.06,1.11,0.84,339200
12/07/1990,1.09,1.12,1.09,1.11,0.84,352000
13/07/1990,1.12,1.14,1.11,1.14,0.87,767200
16/07/1990,1.11,1.12,1.11,1.11,0.84,72800
17/07/1990,1.11,1.12,1.11,1.12,0.85,32800
18/07/1990,1.11,1.12,1.11,1.12,0.85,358400
19/07/1990,1.14,1.14,1.11,1.11,0.84,304800
20/07/1990,1.12,1.12,1.11,1.11,0.84,1522400
23/07/1990,1.12,1.12,1.11,1.12,0.85,709600
24/07/1990,1.11,1.12,1.09,1.12,0.85,248800
25/07/1990,1.11,1.12,1.09,1.11,0.84,356000
26/07/1990,1.11,1.14,1.09,1.12,0.85,373600
27/07/1990,1.12,1.14,1.12,1.12,0.85,60000
30/07/1990,1.11,1.12,1.11,1.12,0.85,329600
31/07/1990,1.12,1.12,1.09,1.09,0.83,587200
01/08/1990,1.08,1.09,1.06,1.08,0.82,226400
02/08/1990,1.06,1.06,1.06,1.06,0.81,576800
03/08/1990,1.05,1.06,1.03,1.03,0.78,115200
06/08/1990,1.02,1.02,0.97,1.0,0.76,282400
07/08/1990,0.98,1.0,0.94,0.94,0.71,100800
08/08/1990,0.94,1.0,0.94,0.98,0.75,194400
09/08/1990,0.98,0.98,0.97,0.97,0.74,160800
10/08/1990,0.97,0.97,0.95,0.95,0.72,84800
13/08/1990,0.94,0.95,0.92,0.94,0.71,135200
14/08/1990,0.95,0.95,0.92,0.94,0.71,78400
15/08/1990,0.94,0.97,0.91,0.91,0.69,56000
16/08/1990,0.92,0.92,0.86,0.86,0.65,327200
17/08/1990,0.84,0.86,0.83,0.84,0.64,550400
20/08/1990,0.86,0.86,0.84,0.84,0.64,172000
21/08/1990,0.84,0.84,0.75,0.83,0.63,650400
22/08/1990,0.84,0.86,0.83,0.83,0.63,256000
23/08/1990,0.83,0.83,0.81,0.81,0.62,171200
24/08/1990,0.83,0.84,0.81,0.84,0.64,156800
27/08/1990,0.89,0.92,0.89,0.92,0.7,284800
28/08/1990,0.91,0.92,0.89,0.91,0.69,147200
29/08/1990,0.92,0.95,0.92,0.92,0.7,353600
30/08/1990,0.92,0.94,0.91,0.92,0.7,266400
31/08/1990,0.94,0.95,0.92,0.95,0.72,33600
04/09/1990,0.92,0.94,0.91,0.94,0.71,74400
05/09/1990,0.92,0.92,0.91,0.91,0.69,284800
06/09/1990,0.91,0.91,0.89,0.89,0.68,326400
07/09/1990,0.89,0.95,0.89,0.91,0.69,265600
10/09/1990,0.91,0.91,0.88,0.88,0.67,400000
11/09/1990,0.88,0.91,0.88,0.89,0.68,180800
12/09/1990,0.89,0.91,0.89,0.91,0.69,56000
13/09/1990,0.91,0.91,0.89,0.91,0.69,69600
14/09/1990,0.89,0.91,0.89,0.89,0.68,51200
17/09/1990,0.91,0.92,0.91,0.92,0.7,178400
18/09/1990,0.91,0.94,0.91,0.94,0.72,277600
19/09/1990,0.92,0.94,0.92,0.92,0.7,47200
20/09/1990,0.92,0.94,0.92,0.92,0.7,63200
21/09/1990,0.94,0.94,0.91,0.92,0.7,190400
24/09/1990,0.91,0.91,0.89,0.89,0.68,44800
25/09/1990,0.89,0.89,0.86,0.88,0.67,116000
26/09/1990,0.88,0.88,0.86,0.86,0.66,142400
27/09/1990,0.88,0.88,0.84,0.86,0.66,79200
28/09/1990,0.84,0.88,0.84,0.88,0.67,214400
01/10/1990,0.86,0.89,0.86,0.88,0.67,171200
02/10/1990,0.89,0.91,0.86,0.86,0.66,378400
03/10/1990,0.88,0.88,0.86,0.86,0.66,162400
04/10/1990,0.88,0.88,0.86,0.86,0.66,56000
05/10/1990,0.86,0.86,0.84,0.86,0.66,299200
08/10/1990,0.88,0.89,0.88,0.89,0.68,67200
09/10/1990,0.86,0.86,0.83,0.83,0.63,348800
10/10/1990,0.83,0.83,0.8,0.8,0.61,280000
11/10/1990,0.81,0.81,0.78,0.78,0.6,204800
12/10/1990,0.8,0.81,0.78,0.81,0.62,405600
15/10/1990,0.81,0.89,0.8,0.88,0.67,139200
16/10/1990,0.88,0.88,0.83,0.83,0.63,314400
17/10/1990,0.83,0.84,0.81,0.83,0.63,226400
18/10/1990,0.84,0.86,0.84,0.86,0.66,50400
19/10/1990,0.88,0.91,0.88,0.91,0.69,511200
22/10/1990,0.88,0.91,0.88,0.89,0.68,98400
23/10/1990,0.88,0.89,0.88,0.88,0.67,28800
24/10/1990,0.88,0.89,0.88,0.88,0.67,75200
25/10/1990,0.89,0.89,0.88,0.88,0.67,14400
26/10/1990,0.86,0.88,0.86,0.86,0.66,608000
29/10/1990,0.88,0.88,0.86,0.88,0.67,210400
30/10/1990,0.88,0.88,0.84,0.86,0.66,74400
31/10/1990,0.88,0.88,0.84,0.88,0.67,283200
01/11/1990,0.89,0.89,0.86,0.88,0.67,158400
02/11/1990,0.86,0.89,0.86,0.86,0.66,40000
05/11/1990,0.88,0.88,0.86,0.88,0.67,93600
06/11/1990,0.86,0.88,0.84,0.86,0.66,32800
07/11/1990,0.84,0.88,0.84,0.86,0.66,394400
