Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,11.0,11.62,11.0,11.5,3.15,515500
03/01/1990,11.5,12.12,11.5,12.0,3.29,646500
04/01/1990,11.88,12.0,11.75,11.75,3.22,360000
05/01/1990,11.75,12.12,11.75,11.88,3.26,459700
08/01/1990,11.88,12.0,11.75,12.0,3.29,283500
09/01/1990,11.88,12.25,11.88,12.25,3.36,486300
10/01/1990,12.25,12.25,11.75,12.0,3.29,290000
11/01/1990,11.88,12.12,11.88,12.12,3.33,221100
12/01/1990,12.0,12.0,11.38,11.5,3.15,266000
15/01/1990,11.5,11.5,11.25,11.5,3.15,296300
16/01/1990,11.38,12.0,11.12,11.88,3.26,711700
17/01/1990,11.88,12.0,11.75,11.88,3.26,263500
18/01/1990,11.88,11.88,11.62,11.62,3.19,247500
19/01/1990,11.62,11.75,11.5,11.62,3.19,245300
22/01/1990,11.62,12.0,11.5,11.5,3.15,129000
23/01/1990,11.5,11.5,11.0,11.0,3.02,223900
24/01/1990,10.5,11.0,10.5,10.88,2.98,206700
25/01/1990,10.88,11.12,10.88,11.0,3.02,191600
26/01/1990,10.88,11.0,10.75,10.88,2.98,142400
29/01/1990,10.88,10.88,10.75,10.75,2.95,78700
30/01/1990,10.75,11.0,10.75,10.75,2.95,708900
31/01/1990,10.88,11.12,10.88,10.88,2.98,382400
01/02/1990,11.62,11.88,11.5,11.62,3.19,438700
02/02/1990,11.62,11.75,11.5,11.5,3.15,278400
05/02/1990,11.5,11.62,11.38,11.38,3.12,382300
06/02/1990,11.38,11.5,11.38,11.5,3.15,129300
07/02/1990,11.25,11.75,11.25,11.62,3.19,189500
08/02/1990,11.5,11.75,11.5,11.75,3.22,102700
09/02/1990,11.75,11.75,11.62,11.62,3.19,130300
12/02/1990,11.62,11.75,11.5,11.75,3.22,177500
13/02/1990,11.75,11.75,11.5,11.5,3.15,57300
14/02/1990,11.5,11.62,11.5,11.5,3.15,154500
15/02/1990,11.62,11.75,11.5,11.5,3.15,127400
16/02/1990,11.5,11.62,11.5,11.62,3.19,267000
20/02/1990,11.62,11.62,11.5,11.62,3.19,155200
21/02/1990,11.5,11.75,11.38,11.75,3.22,137300
22/02/1990,11.62,11.75,11.5,11.75,3.22,220200
23/02/1990,11.62,11.75,11.62,11.62,3.19,88200
26/02/1990,11.62,11.75,11.5,11.5,3.15,229600
27/02/1990,11.5,11.75,11.5,11.62,3.19,101100
28/02/1990,11.62,12.12,11.62,12.12,3.33,334400
01/03/1990,12.0,12.25,11.88,12.25,3.36,165000
02/03/1990,12.25,12.25,12.0,12.0,3.29,140200
05/03/1990,12.0,12.12,11.75,11.75,3.22,93500
06/03/1990,13.0,14.0,13.0,13.88,3.81,1181400
07/03/1990,13.75,13.88,13.62,13.62,3.74,504100
08/03/1990,13.62,14.0,13.5,13.88,3.81,594000
09/03/1990,14.0,14.38,13.88,14.12,3.87,398400
12/03/1990,14.0,14.12,13.88,14.12,3.87,139700
13/03/1990,14.0,14.12,14.0,14.12,3.87,268600
14/03/1990,14.0,14.25,14.0,14.12,3.87,153000
15/03/1990,14.12,14.25,14.0,14.25,3.91,123800
16/03/1990,14.12,14.38,14.12,14.38,3.94,258400
19/03/1990,14.38,14.38,14.0,14.12,3.87,148800
20/03/1990,14.0,14.25,14.0,14.12,3.87,243900
21/03/1990,14.0,14.0,13.5,13.62,3.74,454300
22/03/1990,13.62,13.75,13.25,13.25,3.63,213800
23/03/1990,13.5,13.88,13.38,13.38,3.67,182700
26/03/1990,13.62,13.62,13.5,13.5,3.7,63500
27/03/1990,13.5,13.75,13.38,13.75,3.77,120500
28/03/1990,13.88,14.0,13.62,14.0,3.84,97800
29/03/1990,13.88,14.25,13.0,13.75,3.77,134800
30/03/1990,13.75,14.12,13.62,14.12,3.87,350100
02/04/1990,13.88,13.88,13.62,13.88,3.81,368100
03/04/1990,13.88,13.88,13.62,13.88,3.81,269800
04/04/1990,13.88,13.88,13.62,13.62,3.74,344700
05/04/1990,13.62,13.88,13.62,13.75,3.77,80500
06/04/1990,13.75,13.75,13.5,13.5,3.7,56700
09/04/1990,13.5,13.75,13.5,13.62,3.74,120800
10/04/1990,13.62,13.75,13.5,13.5,3.7,326300
11/04/1990,13.5,13.75,13.38,13.5,3.7,184700
12/04/1990,13.5,13.75,13.5,13.62,3.74,219300
16/04/1990,13.62,14.0,13.62,13.88,3.81,219700
17/04/1990,13.75,13.88,13.62,13.88,3.81,204600
18/04/1990,13.75,13.88,13.5,13.62,3.74,117600
19/04/1990,13.5,13.5,13.12,13.12,3.6,65300
20/04/1990,13.25,13.38,12.62,13.0,3.57,438300
23/04/1990,12.88,13.0,12.75,12.88,3.53,112100
24/04/1990,12.88,13.12,12.88,12.88,3.53,149800
25/04/1990,12.75,12.88,12.75,12.88,3.53,109500
26/04/1990,12.75,13.0,12.38,12.62,3.46,542200
27/04/1990,12.62,12.88,12.12,12.38,3.39,138000
30/04/1990,12.25,12.38,11.88,12.12,3.33,231800
01/05/1990,12.12,12.88,12.0,12.75,3.5,187900
02/05/1990,12.62,12.88,12.5,12.75,3.5,245500
03/05/1990,12.75,13.0,12.75,12.75,3.5,104100
04/05/1990,12.75,13.12,12.75,13.12,3.6,187000
