Date,Open,High,Low,Close,Adj Close,Volume
13/10/1995,0.92,0.99,0.92,0.92,0.69,6328631
16/10/1995,0.97,0.97,0.92,0.93,0.7,993263
17/10/1995,0.92,0.97,0.92,0.92,0.69,276792
18/10/1995,0.88,0.92,0.86,0.88,0.66,5322839
19/10/1995,0.89,0.9,0.88,0.89,0.66,1140202
20/10/1995,0.9,0.97,0.88,0.92,0.69,681159
23/10/1995,0.92,0.92,0.9,0.91,0.68,961369
24/10/1995,0.91,0.94,0.9,0.9,0.67,419175
25/10/1995,0.94,0.94,0.9,0.9,0.67,613955
26/10/1995,0.9,0.94,0.89,0.89,0.66,199336
27/10/1995,0.89,0.94,0.89,0.89,0.66,195919
30/10/1995,0.89,0.94,0.89,0.89,0.66,60370
31/10/1995,0.89,0.94,0.89,0.89,0.66,367917
01/11/1995,0.89,0.9,0.89,0.89,0.66,273375
02/11/1995,0.88,0.88,0.88,0.88,0.66,76317
03/11/1995,0.88,0.89,0.88,0.88,0.66,42145
06/11/1995,0.94,0.94,0.88,0.88,0.66,205031
07/11/1995,0.9,0.97,0.9,0.97,0.72,1636833
08/11/1995,0.97,0.97,0.9,0.92,0.69,267680
09/11/1995,0.93,0.97,0.9,0.9,0.67,92264
10/11/1995,0.97,0.97,0.9,0.9,0.67,117323
13/11/1995,0.97,0.97,0.9,0.93,0.7,332606
14/11/1995,0.97,0.99,0.9,0.94,0.71,1973995
15/11/1995,0.94,0.97,0.88,0.9,0.67,374752
16/11/1995,0.97,0.99,0.92,0.94,0.71,1128811
17/11/1995,0.97,0.97,0.94,0.94,0.71,686855
20/11/1995,0.94,0.94,0.88,0.88,0.66,424870
21/11/1995,0.94,0.94,0.88,0.94,0.71,34172
22/11/1995,0.94,0.94,0.88,0.94,0.71,31894
24/11/1995,0.88,0.88,0.88,0.88,0.66,31894
27/11/1995,0.94,0.94,0.88,0.94,0.71,56953
28/11/1995,0.94,0.94,0.88,0.94,0.71,34172
29/11/1995,0.92,0.92,0.88,0.92,0.69,324633
30/11/1995,0.92,0.92,0.88,0.89,0.66,118463
01/12/1995,0.88,0.92,0.88,0.88,0.66,101377
04/12/1995,0.92,0.92,0.88,0.88,0.66,74039
05/12/1995,0.88,0.92,0.88,0.88,0.66,115045
06/12/1995,0.94,0.94,0.88,0.92,0.69,537638
07/12/1995,0.88,0.92,0.88,0.92,0.69,105933
08/12/1995,0.88,0.92,0.88,0.88,0.66,71761
11/12/1995,0.9,0.92,0.88,0.89,0.66,168581
12/12/1995,0.89,0.92,0.89,0.92,0.69,185667
13/12/1995,0.92,0.92,0.88,0.92,0.69,242620
14/12/1995,0.9,0.92,0.9,0.9,0.67,75178
15/12/1995,0.92,0.92,0.89,0.92,0.69,117323
18/12/1995,0.92,0.92,0.9,0.92,0.69,192502
19/12/1995,0.88,0.92,0.88,0.88,0.66,249455
20/12/1995,0.92,0.92,0.88,0.88,0.66,148078
21/12/1995,0.92,0.92,0.88,0.92,0.69,1835030
22/12/1995,0.9,0.92,0.89,0.9,0.67,239203
