Date,Open,High,Low,Close,Adj Close,Volume
13/12/2001,29.1,30.0,29.0,29.3,15.3,49466000
14/12/2001,29.9,30.1,29.52,29.68,15.5,9676300
17/12/2001,29.95,29.95,29.4,29.45,15.38,5110900
18/12/2001,29.5,29.95,29.39,29.95,15.64,5167700
19/12/2001,29.85,30.19,29.62,30.15,15.74,3693200
20/12/2001,30.25,30.98,30.12,30.17,15.76,3914200
21/12/2001,30.4,30.99,30.25,30.99,16.18,3429100
24/12/2001,30.75,31.49,30.75,31.45,16.42,976900
26/12/2001,31.5,32.74,31.5,32.2,16.82,2456300
27/12/2001,32.2,32.97,31.52,32.85,17.15,4447500
28/12/2001,32.86,33.1,32.58,32.94,17.2,4174800
31/12/2001,33.11,33.74,32.72,33.19,17.33,5532800
02/01/2002,32.61,32.8,31.12,31.3,16.35,5168900
03/01/2002,31.3,32.75,30.82,31.25,16.32,2906500
04/01/2002,31.2,32.0,31.1,31.95,16.68,3086000
07/01/2002,31.75,32.05,31.37,31.95,16.68,2449300
08/01/2002,31.25,31.85,31.25,31.78,16.6,1766500
09/01/2002,31.95,31.95,31.25,31.3,16.35,1639100
10/01/2002,31.12,31.68,31.01,31.01,16.19,1689400
11/01/2002,31.01,31.15,30.75,30.9,16.14,1966200
14/01/2002,30.75,30.75,29.53,30.05,15.69,3160000
15/01/2002,30.4,31.12,29.92,30.78,16.07,1962400
16/01/2002,30.58,31.15,30.45,30.68,16.02,1881100
17/01/2002,30.88,31.0,30.3,30.52,15.94,1739800
18/01/2002,30.4,30.45,29.75,30.25,15.8,1531400
22/01/2002,30.49,31.25,30.4,31.25,16.32,2322700
23/01/2002,31.65,31.7,30.52,30.52,15.94,2460800
24/01/2002,30.6,30.67,30.0,30.25,15.8,3064100
25/01/2002,30.0,30.5,29.9,30.43,15.89,2373600
28/01/2002,30.65,31.04,30.55,30.93,16.15,2450800
29/01/2002,30.0,30.89,30.0,30.39,15.87,2512800
30/01/2002,30.5,30.57,29.8,30.15,15.74,3533700
31/01/2002,30.48,31.18,30.33,31.05,16.21,3986900
01/02/2002,30.95,30.95,30.4,30.6,15.98,3200100
04/02/2002,30.6,30.98,30.5,30.88,16.13,3193400
05/02/2002,30.85,31.6,30.76,31.05,16.21,2397200
06/02/2002,31.2,31.2,30.89,31.15,16.27,2107700
07/02/2002,30.95,31.05,30.52,30.62,15.99,1801500
08/02/2002,30.57,31.03,30.55,31.03,16.2,1399300
11/02/2002,30.7,31.89,30.67,31.76,16.59,1904300
12/02/2002,31.41,31.85,31.25,31.5,16.45,2038700
13/02/2002,31.2,32.22,30.86,32.09,16.76,3779900
14/02/2002,32.05,32.28,31.9,32.03,16.73,2200800
15/02/2002,31.83,31.93,31.03,31.5,16.45,1649600
19/02/2002,31.0,31.1,30.0,30.26,15.8,2983900
20/02/2002,30.5,30.73,30.1,30.65,16.01,2283100
21/02/2002,30.45,30.87,30.45,30.84,16.11,1929100
22/02/2002,30.55,30.65,30.0,30.24,15.79,1655900
25/02/2002,30.25,30.32,30.07,30.28,15.81,2355800
26/02/2002,30.38,30.69,30.33,30.5,15.93,2309100
27/02/2002,30.6,30.61,30.3,30.35,15.85,2937000
28/02/2002,30.35,30.75,30.35,30.57,15.96,2012600
01/03/2002,30.69,30.89,30.4,30.85,16.11,2189500
04/03/2002,30.88,31.48,30.7,30.7,16.03,2321500
05/03/2002,30.7,31.49,30.41,31.44,16.42,3350200
06/03/2002,31.0,31.4,31.0,31.4,16.4,1593000
07/03/2002,31.2,31.67,31.1,31.57,16.49,2412800
08/03/2002,31.85,32.06,31.45,31.75,16.58,2561600
11/03/2002,31.85,31.9,31.2,31.35,16.37,2237500
12/03/2002,31.0,31.35,30.69,30.9,16.14,2054000
13/03/2002,30.63,30.9,30.6,30.63,16.0,2077400
14/03/2002,30.7,31.0,30.7,30.97,16.17,2493400
15/03/2002,30.69,31.38,30.69,31.1,16.24,3211200
