Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,2.19,2.11,2.19,2.19,628800
03/01/1990,0.0,2.29,2.16,2.27,2.27,660480
04/01/1990,0.0,2.24,2.16,2.24,2.24,732480
05/01/1990,0.0,2.27,2.19,2.27,2.27,396480
08/01/1990,0.0,2.32,2.16,2.32,2.32,490560
09/01/1990,0.0,2.37,2.29,2.29,2.29,434880
10/01/1990,0.0,2.32,2.24,2.27,2.27,254400
11/01/1990,0.0,2.29,2.19,2.21,2.21,327360
12/01/1990,0.0,2.21,2.11,2.14,2.14,608640
15/01/1990,0.0,2.16,2.06,2.06,2.06,463680
16/01/1990,0.0,2.06,1.95,2.06,2.06,875520
17/01/1990,0.0,2.11,2.08,2.11,2.11,257280
18/01/1990,0.0,2.33,2.08,2.32,2.32,980160
19/01/1990,0.0,2.58,2.29,2.58,2.58,1104960
22/01/1990,0.0,2.58,2.4,2.42,2.42,805440
23/01/1990,0.0,2.55,2.37,2.55,2.55,1039680
24/01/1990,0.0,2.84,2.42,2.79,2.79,1621440
25/01/1990,0.0,2.85,2.55,2.64,2.64,3177600
26/01/1990,0.0,2.66,2.34,2.64,2.64,1975680
29/01/1990,0.0,2.66,2.45,2.53,2.53,1343040
30/01/1990,0.0,2.53,2.27,2.4,2.4,2641920
31/01/1990,0.0,2.5,2.42,2.45,2.45,558720
01/02/1990,0.0,2.6,2.42,2.53,2.53,523200
02/02/1990,0.0,2.7,2.53,2.6,2.6,844800
05/02/1990,0.0,2.66,2.53,2.59,2.59,649920
06/02/1990,0.0,2.6,2.42,2.47,2.47,1814400
07/02/1990,0.0,2.53,2.41,2.5,2.5,2859840
08/02/1990,0.0,2.53,2.45,2.46,2.46,1713600
09/02/1990,0.0,2.47,2.41,2.45,2.45,1498560
12/02/1990,0.0,2.47,2.37,2.37,2.37,612480
13/02/1990,0.0,2.37,2.27,2.32,2.32,2857920
14/02/1990,0.0,2.32,2.24,2.27,2.27,757440
15/02/1990,0.0,2.37,2.29,2.37,2.37,984960
16/02/1990,0.0,2.45,2.37,2.42,2.42,596160
20/02/1990,0.0,2.42,2.29,2.3,2.3,126720
21/02/1990,0.0,2.37,2.24,2.32,2.32,491520
22/02/1990,0.0,2.47,2.34,2.4,2.4,567360
23/02/1990,0.0,2.4,2.29,2.32,2.32,1117440
26/02/1990,0.0,2.37,2.32,2.34,2.34,88320
27/02/1990,0.0,2.42,2.34,2.37,2.37,678720
28/02/1990,0.0,2.4,2.24,2.28,2.28,1264320
01/03/1990,0.0,2.45,2.28,2.4,2.4,1239360
