Date,Open,High,Low,Close,Adj Close,Volume
08/08/1997,37.69,37.69,36.44,37.0,27.46,245500
11/08/1997,37.0,37.25,36.12,36.81,27.32,243600
12/08/1997,36.75,37.0,36.69,36.94,27.41,405500
13/08/1997,37.0,37.5,35.75,37.5,27.83,405700
14/08/1997,37.25,37.38,36.38,36.88,27.37,195600
15/08/1997,36.62,36.75,35.75,36.06,26.76,260500
18/08/1997,36.19,36.25,35.62,36.06,26.76,180600
19/08/1997,36.0,36.12,34.75,36.12,26.81,703300
20/08/1997,36.0,36.25,35.25,35.56,26.39,1029500
21/08/1997,35.5,35.75,35.12,35.31,26.21,1406500
22/08/1997,34.88,35.31,34.75,35.31,26.21,157300
25/08/1997,36.0,36.88,35.94,36.75,27.27,1698400
26/08/1997,37.0,38.38,37.0,38.0,28.2,589700
27/08/1997,38.0,38.31,37.62,37.69,27.97,716300
28/08/1997,37.75,39.19,37.44,39.12,29.03,1333100
29/08/1997,39.25,40.0,39.25,39.94,29.64,1840400
02/09/1997,39.94,42.0,39.75,41.75,30.98,1023700
03/09/1997,42.0,42.75,42.0,42.56,31.59,788200
04/09/1997,42.0,44.38,41.5,44.0,32.65,3477000
05/09/1997,44.0,44.25,43.75,44.06,32.7,907200
08/09/1997,44.0,44.0,43.62,43.75,32.47,728300
09/09/1997,43.75,43.75,42.75,42.88,31.82,669300
10/09/1997,42.62,42.81,42.19,42.31,31.4,329500
11/09/1997,42.19,42.25,41.69,41.75,30.98,221600
12/09/1997,41.69,41.75,41.44,41.62,30.93,85400
15/09/1997,41.88,42.0,41.0,41.25,30.65,228600
16/09/1997,41.5,41.69,41.12,41.25,30.65,348400
17/09/1997,41.25,41.25,40.06,40.31,29.95,285100
18/09/1997,40.31,40.88,40.19,40.69,30.23,459400
19/09/1997,40.25,40.75,40.25,40.31,29.95,137500
22/09/1997,40.31,40.31,39.5,39.69,29.49,188700
23/09/1997,39.69,39.69,38.5,39.5,29.35,450700
24/09/1997,39.56,40.25,39.5,39.69,29.49,552200
25/09/1997,39.81,40.0,39.62,39.69,29.49,274500
26/09/1997,39.75,40.88,39.69,40.62,30.18,273700
29/09/1997,40.81,41.75,40.75,41.19,30.6,234500
30/09/1997,41.44,42.0,41.0,42.0,31.21,277300
01/10/1997,41.88,41.94,41.25,41.5,30.83,227800
02/10/1997,41.38,41.5,41.12,41.38,30.74,116600
03/10/1997,41.5,42.0,41.12,41.81,31.07,559100
06/10/1997,41.75,43.19,41.62,43.12,32.04,684200
07/10/1997,43.38,43.81,43.25,43.69,32.46,564100
08/10/1997,43.62,43.75,42.88,43.12,32.04,349800
09/10/1997,43.0,43.0,42.44,42.5,31.58,203000
10/10/1997,42.56,42.56,42.12,42.12,31.3,251600
13/10/1997,42.38,42.5,41.88,41.88,31.11,377100
14/10/1997,41.94,42.25,41.19,41.31,30.69,107200
15/10/1997,41.38,41.5,40.88,41.38,30.74,196400
16/10/1997,41.38,41.38,40.75,41.12,30.56,221900
17/10/1997,41.0,41.0,40.25,40.81,30.32,178000
20/10/1997,40.62,41.5,40.5,41.44,30.79,224900
21/10/1997,41.5,41.88,41.38,41.56,30.88,84900
22/10/1997,41.5,41.88,41.25,41.88,31.11,244400
23/10/1997,41.5,41.5,40.56,41.25,30.65,198000
24/10/1997,41.5,41.62,40.62,41.06,30.51,232300
27/10/1997,41.0,41.06,40.06,40.31,29.95,430200
28/10/1997,39.5,40.69,38.56,40.69,30.23,791300
29/10/1997,40.69,41.56,40.62,41.56,30.88,337600
30/10/1997,41.0,41.25,40.62,41.12,30.56,865300
31/10/1997,41.0,41.06,39.75,40.06,29.77,502100
03/11/1997,40.31,40.44,39.5,39.5,29.35,317200
04/11/1997,39.5,40.25,39.5,40.12,29.81,469200
05/11/1997,40.25,40.25,39.06,39.06,29.02,198200
06/11/1997,38.81,38.88,38.06,38.38,28.51,438800
07/11/1997,37.88,37.94,36.38,36.88,27.4,651400
10/11/1997,36.88,36.88,35.62,36.0,26.75,283900
11/11/1997,36.0,36.0,34.88,35.31,26.24,385100
12/11/1997,34.75,34.75,31.0,32.56,24.19,547000
13/11/1997,32.94,33.25,30.5,30.75,22.85,527500
14/11/1997,31.0,31.38,29.62,31.0,23.03,979700
17/11/1997,31.69,33.19,31.31,32.69,24.29,1027100
18/11/1997,32.69,32.88,32.0,32.06,23.82,209400
19/11/1997,32.19,32.19,31.75,31.75,23.59,307200
20/11/1997,31.94,32.56,31.88,32.25,23.96,187500
21/11/1997,32.12,32.75,32.06,32.38,24.05,1169400
24/11/1997,32.25,32.38,31.25,31.25,23.22,399900
25/11/1997,31.25,31.25,30.06,30.25,22.48,373700
26/11/1997,30.12,31.19,30.06,31.19,23.17,393500
28/11/1997,31.38,32.0,30.69,31.94,23.73,234500
01/12/1997,31.94,31.94,30.38,30.38,22.57,556800
02/12/1997,30.31,30.75,30.31,30.5,22.66,355100
03/12/1997,30.44,30.75,30.0,30.38,22.57,314600
04/12/1997,30.62,30.62,30.0,30.38,22.57,194200
05/12/1997,30.25,30.56,30.25,30.25,22.48,730500
08/12/1997,30.31,30.44,29.62,29.75,22.1,211400
09/12/1997,29.62,30.12,29.25,29.25,21.73,287700
10/12/1997,28.75,28.75,27.5,28.0,20.8,856400
11/12/1997,27.75,27.75,26.5,27.5,20.43,654200
12/12/1997,27.75,27.88,27.19,27.19,20.2,425500
15/12/1997,27.0,27.06,25.62,26.38,19.6,413900
16/12/1997,26.12,27.12,26.12,26.94,20.01,390800
17/12/1997,27.75,27.94,27.38,27.69,20.57,554100
18/12/1997,27.88,28.19,27.62,27.62,20.53,545700
19/12/1997,27.62,27.62,26.5,27.12,20.15,630900
22/12/1997,26.88,27.12,26.06,26.06,19.36,364300
23/12/1997,25.75,27.12,25.75,26.5,19.69,360600
24/12/1997,26.44,26.62,26.0,26.44,19.64,140000
26/12/1997,26.44,26.75,26.25,26.25,19.5,192600
29/12/1997,26.31,28.0,26.31,27.31,20.29,382100
30/12/1997,27.31,28.0,27.0,27.5,20.43,344000
31/12/1997,28.5,29.0,28.5,29.0,21.55,515300
02/01/1998,29.5,30.0,28.62,28.69,21.31,242500
05/01/1998,28.5,28.5,27.0,27.44,20.39,340900
06/01/1998,27.44,27.44,25.88,25.88,19.22,517900
07/01/1998,26.0,26.44,24.38,25.06,18.62,682300
08/01/1998,25.06,25.31,24.0,24.62,18.3,515700
09/01/1998,24.5,24.62,22.25,23.75,17.65,725600
12/01/1998,23.0,23.62,23.0,23.25,17.27,488800
13/01/1998,23.38,24.19,23.25,24.19,17.97,444000
14/01/1998,24.5,24.88,24.06,24.25,18.02,439800
15/01/1998,24.12,24.75,23.88,24.0,17.83,294900
16/01/1998,24.12,24.38,23.62,24.0,17.83,361400
20/01/1998,24.0,24.69,23.88,24.62,18.3,432400
21/01/1998,25.0,25.25,24.12,24.31,18.06,233700
22/01/1998,24.06,24.06,23.38,23.81,17.69,109700
23/01/1998,23.5,23.56,22.38,22.62,16.81,218700
26/01/1998,22.44,22.44,20.62,20.88,15.51,1709000
27/01/1998,21.0,21.75,20.75,21.62,16.07,1257500
28/01/1998,22.06,22.5,21.38,22.12,16.44,281900
29/01/1998,22.25,22.62,21.62,21.94,16.3,508000
30/01/1998,22.0,22.12,21.62,21.69,16.11,499200
02/02/1998,21.94,22.06,21.0,21.31,15.84,1803000
03/02/1998,21.31,21.75,21.12,21.5,15.97,1392200
04/02/1998,21.5,21.5,21.0,21.31,15.84,544800
05/02/1998,21.44,22.19,21.38,22.0,16.35,884100
06/02/1998,22.12,23.0,21.88,22.38,16.62,390600
09/02/1998,22.38,22.69,22.0,22.06,16.39,479500
10/02/1998,22.12,23.69,22.12,23.12,17.18,655400
11/02/1998,23.12,23.5,22.56,22.56,16.76,337800
12/02/1998,22.62,22.94,21.88,22.44,16.71,809900
13/02/1998,22.5,22.5,22.0,22.31,16.61,1002600
17/02/1998,22.38,22.38,22.06,22.12,16.48,750700
18/02/1998,22.12,22.12,21.69,21.94,16.34,535300
19/02/1998,21.94,22.25,21.06,22.0,16.38,714800
20/02/1998,22.06,22.06,21.56,22.0,16.38,567200
23/02/1998,21.88,22.12,21.56,21.88,16.29,308500
24/02/1998,21.94,22.25,21.75,21.81,16.24,548600
25/02/1998,22.06,22.38,21.81,22.06,16.43,467000
26/02/1998,22.19,23.19,22.19,22.94,17.08,614400
27/02/1998,23.06,23.75,23.06,23.69,17.64,617700
02/03/1998,23.75,24.0,23.44,23.81,17.73,231000
03/03/1998,24.0,24.31,23.75,24.06,17.92,491600
04/03/1998,24.06,24.19,23.94,24.12,17.96,293300
05/03/1998,24.12,24.38,23.75,24.0,17.87,295600
06/03/1998,24.06,24.06,23.06,23.69,17.64,125700
09/03/1998,23.69,23.88,22.62,22.75,16.94,294800
10/03/1998,23.0,23.06,22.38,22.38,16.66,370200
11/03/1998,22.31,22.94,22.31,22.38,16.66,1038400
12/03/1998,22.5,22.88,22.19,22.75,16.94,645700
13/03/1998,23.0,23.0,22.69,23.0,17.13,286300
16/03/1998,22.94,23.5,22.94,23.5,17.5,445300
17/03/1998,23.0,23.62,22.75,23.62,17.59,476500
18/03/1998,23.5,24.19,23.44,23.94,17.82,576300
19/03/1998,24.19,25.12,24.19,24.94,18.57,410000
20/03/1998,24.94,26.12,24.94,26.06,19.41,271300
23/03/1998,27.75,27.75,26.56,26.56,19.78,767100
24/03/1998,26.62,26.81,25.62,26.44,19.69,243300
25/03/1998,26.38,26.75,24.81,25.12,18.71,831200
26/03/1998,25.12,25.12,24.62,24.81,18.48,919700
27/03/1998,24.88,25.19,24.88,24.88,18.52,355700
30/03/1998,24.88,25.0,24.88,25.0,18.62,121700
31/03/1998,25.0,25.25,24.38,24.88,18.52,455700
01/04/1998,25.0,25.75,24.75,25.69,19.13,321000
02/04/1998,25.81,25.94,25.0,25.25,18.8,69700
03/04/1998,25.38,25.75,24.88,25.0,18.62,107000
06/04/1998,25.0,25.0,24.19,24.38,18.15,706200
07/04/1998,24.25,24.62,24.06,24.62,18.34,275000
08/04/1998,24.81,24.94,24.5,24.5,18.24,217900
09/04/1998,24.5,24.75,24.19,24.25,18.06,295900
