Date,Open,High,Low,Close,Adj Close,Volume
02/01/2015,69.0,72.0,68.01,70.4,70.4,4218700
05/01/2015,71.23,71.3,67.06,67.63,67.63,4534700
06/01/2015,67.93,67.99,63.02,64.67,64.67,3749400
07/01/2015,65.01,66.76,63.51,66.65,66.65,2122600
08/01/2015,67.95,69.69,67.13,67.69,67.69,2510300
09/01/2015,68.45,68.45,66.61,67.11,67.11,933900
12/01/2015,67.39,67.99,64.8,65.52,65.52,1259200
13/01/2015,65.74,67.59,63.61,65.02,65.02,1228400
14/01/2015,64.65,65.45,63.11,64.59,64.59,980700
15/01/2015,64.23,64.94,63.6,64.39,64.39,1246800
16/01/2015,64.02,66.42,63.81,65.81,65.81,1392900
20/01/2015,65.75,68.2,65.23,67.96,67.96,1096200
21/01/2015,67.61,70.8,67.57,68.84,68.84,1451600
22/01/2015,69.54,70.68,67.03,70.61,70.61,1332400
23/01/2015,70.72,74.34,70.57,73.37,73.37,1677100
26/01/2015,72.4,74.0,72.3,73.15,73.15,1571800
27/01/2015,73.0,73.88,71.5,73.75,73.75,1246700
28/01/2015,75.0,78.05,74.22,75.5,75.5,3063000
29/01/2015,72.7,75.88,72.2,75.76,75.76,2636700
30/01/2015,74.64,75.26,73.31,73.87,73.87,1623400
02/02/2015,73.08,74.0,66.88,68.72,68.72,3348300
03/02/2015,68.74,70.0,67.05,68.52,68.52,2551800
04/02/2015,67.53,69.4,66.76,68.33,68.33,1499600
05/02/2015,67.66,68.73,66.5,67.39,67.39,1322900
06/02/2015,67.5,68.5,65.53,65.89,65.89,1302200
09/02/2015,65.2,65.82,63.35,63.74,63.74,1562800
10/02/2015,63.87,65.12,63.67,65.02,65.02,1306600
11/02/2015,64.93,65.65,63.17,64.75,64.75,1096600
12/02/2015,65.63,66.33,65.0,66.2,66.2,1159000
13/02/2015,66.35,70.27,65.63,70.03,70.03,1870200
17/02/2015,70.0,70.0,68.06,69.44,69.44,974000
18/02/2015,69.15,70.0,67.31,67.54,67.54,1056700
19/02/2015,67.0,68.17,65.25,65.3,65.3,1225400
20/02/2015,65.57,65.77,64.04,65.17,65.17,1462900
23/02/2015,65.16,65.88,64.3,65.05,65.05,889600
24/02/2015,65.36,69.35,65.2,69.34,69.34,1700200
25/02/2015,68.95,69.28,66.6,67.21,67.21,965200
26/02/2015,68.0,71.72,67.89,71.53,71.53,2116400
27/02/2015,70.75,71.43,69.2,69.4,69.4,1400900
02/03/2015,69.39,70.8,68.8,69.35,69.35,1127900
03/03/2015,69.36,70.96,68.35,70.84,70.84,1508900
04/03/2015,70.23,73.25,70.11,72.02,72.02,1396500
05/03/2015,72.2,75.16,72.02,74.51,74.51,1621900
06/03/2015,73.41,74.5,72.75,72.98,72.98,988100
09/03/2015,73.24,75.45,73.13,74.83,74.83,1076500
10/03/2015,74.13,74.31,71.74,72.15,72.15,1365500
11/03/2015,72.67,73.6,72.05,72.95,72.95,1039500
12/03/2015,73.34,74.35,72.92,73.42,73.42,794800
13/03/2015,73.35,73.99,71.8,72.57,72.57,761900
16/03/2015,74.21,76.75,74.0,76.33,76.33,1822400
17/03/2015,76.16,78.12,75.9,77.71,77.71,1824300
18/03/2015,77.86,80.8,77.69,79.96,79.96,2272900
19/03/2015,81.52,82.27,79.21,80.38,80.38,1886000
20/03/2015,81.44,81.5,79.69,80.8,80.8,4741000
23/03/2015,81.15,84.19,81.07,84.09,84.09,2000600
24/03/2015,84.6,85.63,82.66,83.21,83.21,1792300
25/03/2015,83.55,83.79,75.52,77.13,77.13,3728800
26/03/2015,73.5,77.75,72.1,77.19,77.19,3005900
27/03/2015,77.63,80.69,77.51,79.28,79.28,2634900
30/03/2015,80.22,81.4,79.71,81.4,81.4,1820400
31/03/2015,80.93,81.0,78.55,79.7,79.7,2006900
01/04/2015,78.53,79.3,77.81,78.8,78.8,1430200
02/04/2015,79.2,79.2,76.67,77.79,77.79,1603800
06/04/2015,76.88,77.15,75.2,76.51,76.51,1613600
07/04/2015,77.08,77.69,72.73,73.23,73.23,2251100
08/04/2015,73.8,75.2,72.51,72.84,72.84,2108000
09/04/2015,72.71,74.9,71.22,74.63,74.63,1385100
10/04/2015,75.61,75.93,72.76,73.58,73.58,1315300
13/04/2015,73.79,75.12,72.11,72.63,72.63,1242800
14/04/2015,72.38,73.17,69.3,70.5,70.5,2457100
15/04/2015,71.0,72.0,69.37,70.91,70.91,1714600
16/04/2015,70.8,71.5,68.61,71.46,71.46,1495500
17/04/2015,70.7,71.11,69.61,70.07,70.07,1177600
20/04/2015,70.4,72.35,70.4,72.01,72.01,1216900
21/04/2015,72.5,74.26,72.01,74.07,74.07,1159700
22/04/2015,74.25,74.54,73.06,74.48,74.48,817900
23/04/2015,73.93,73.95,71.55,73.27,73.27,1121000
24/04/2015,73.08,73.1,69.7,70.12,70.12,1633000
27/04/2015,69.93,71.69,68.9,69.37,69.37,1512900
28/04/2015,69.97,70.31,65.44,67.86,67.86,2043700
29/04/2015,67.59,69.0,66.51,68.65,68.65,994200
30/04/2015,68.47,68.85,65.8,65.91,65.91,1632000
01/05/2015,66.8,69.61,66.68,69.6,69.6,1708100
04/05/2015,69.85,70.5,68.66,68.99,68.99,1621600
05/05/2015,68.51,69.22,66.02,67.07,67.07,1532600
06/05/2015,67.7,69.4,66.5,69.06,69.06,2131900
07/05/2015,77.63,78.0,73.21,75.56,75.56,4721300
08/05/2015,76.38,77.97,76.21,76.56,76.56,1991600
11/05/2015,75.99,76.0,73.84,74.56,74.56,1697700
12/05/2015,74.13,75.85,74.0,74.75,74.75,1381600
13/05/2015,75.35,76.1,74.33,74.96,74.96,804100
14/05/2015,75.17,77.21,75.04,76.98,76.98,1556400
15/05/2015,76.7,77.14,75.83,76.54,76.54,1710700
18/05/2015,75.76,80.39,75.5,80.3,80.3,2668800
19/05/2015,80.75,81.89,79.4,80.1,80.1,1644100
20/05/2015,79.8,81.99,79.4,81.15,81.15,1213500
21/05/2015,81.15,81.85,79.79,81.26,81.26,1937800
22/05/2015,82.0,84.64,82.0,84.03,84.03,3054900
26/05/2015,83.44,83.73,81.39,82.46,82.46,2157300
27/05/2015,82.96,86.75,82.7,86.4,86.4,2806100
28/05/2015,86.21,86.33,82.06,82.3,82.3,2310500
29/05/2015,82.87,84.33,82.03,82.15,82.15,2769600
01/06/2015,82.5,83.36,80.09,80.94,80.94,2210400
02/06/2015,80.59,80.96,79.0,80.86,80.86,1703800
03/06/2015,81.35,81.91,80.9,81.55,81.55,2263400
04/06/2015,80.68,82.1,80.08,81.32,81.32,1203800
05/06/2015,81.06,83.85,80.12,83.7,83.7,1801100
08/06/2015,83.42,83.77,79.75,80.24,80.24,2180100
09/06/2015,80.51,81.0,77.6,80.05,80.05,2807700
10/06/2015,81.38,82.74,80.29,82.5,82.5,6108700
11/06/2015,82.49,83.0,81.65,82.0,82.0,28866300
12/06/2015,81.99,83.7,81.75,83.51,83.51,2641000
15/06/2015,82.51,82.99,82.05,82.18,82.18,2640800
16/06/2015,82.22,84.99,82.11,84.75,84.75,2476500
17/06/2015,84.81,85.07,83.09,84.56,84.56,1893600
18/06/2015,84.63,85.46,83.62,84.65,84.65,2013000
19/06/2015,84.89,86.28,84.33,85.25,85.25,2833100
22/06/2015,86.27,88.35,85.86,87.81,87.81,2663900
23/06/2015,87.9,87.96,84.85,85.31,85.31,2469400
24/06/2015,85.13,85.88,84.56,84.59,84.59,1488600
25/06/2015,84.75,85.86,84.75,84.98,84.98,1391300
26/06/2015,84.85,85.0,79.66,80.41,80.41,20596300
29/06/2015,78.75,81.69,77.83,79.06,79.06,2892500
30/06/2015,80.0,81.0,78.58,80.27,80.27,1955200
01/07/2015,81.25,82.25,80.01,80.36,80.36,1639100
02/07/2015,80.72,81.55,80.2,81.36,81.36,1151400
06/07/2015,80.33,81.93,78.59,79.99,79.99,2121600
07/07/2015,80.29,80.43,74.36,79.95,79.95,3085800
08/07/2015,77.43,77.45,74.48,74.68,74.68,3271800
09/07/2015,76.3,77.27,74.33,74.63,74.63,2010600
10/07/2015,75.22,76.5,73.71,76.16,76.16,2365800
13/07/2015,77.17,78.21,75.24,76.61,76.61,1397400
14/07/2015,77.14,78.52,76.93,77.96,77.96,1047500
15/07/2015,78.6,79.1,77.43,77.88,77.88,1050700
16/07/2015,78.07,80.52,77.7,80.24,80.24,1501000
17/07/2015,80.14,80.79,78.1,78.86,78.86,1327600
20/07/2015,78.5,79.58,76.5,76.7,76.7,2117600
21/07/2015,76.22,77.95,75.41,77.45,77.45,1692300
22/07/2015,72.55,74.88,71.01,74.17,74.17,3345600
23/07/2015,74.71,77.22,74.44,75.24,75.24,1777400
24/07/2015,76.51,77.17,72.2,72.28,72.28,1951500
27/07/2015,71.45,71.45,69.01,69.94,69.94,1926400
28/07/2015,70.5,71.08,68.5,70.75,70.75,1371700
29/07/2015,70.33,70.85,68.94,70.47,70.47,2562700
30/07/2015,60.65,62.35,57.1,60.49,60.49,10331400
31/07/2015,60.61,60.79,57.64,57.95,57.95,4389300
03/08/2015,57.52,58.61,56.55,57.52,57.52,3662900
04/08/2015,56.68,58.14,54.37,55.06,55.06,5794800
05/08/2015,55.16,56.83,54.25,54.83,54.83,4186000
06/08/2015,54.73,54.83,50.8,51.83,51.83,3198800
07/08/2015,51.54,53.07,51.0,52.2,52.2,1874100
10/08/2015,53.18,55.1,53.17,54.53,54.53,2160600
11/08/2015,53.5,54.91,53.13,53.86,53.86,2311300
12/08/2015,52.74,57.6,51.71,56.96,56.96,3350700
13/08/2015,57.23,59.68,55.84,58.32,58.32,3508200
14/08/2015,57.58,58.68,56.31,58.24,58.24,2517100
17/08/2015,57.71,58.43,57.35,58.28,58.28,1251400
18/08/2015,57.6,57.94,55.85,55.93,55.93,1585700
19/08/2015,55.9,56.85,55.01,55.59,55.59,1819900
20/08/2015,54.61,55.35,52.23,52.36,52.36,2399500
21/08/2015,51.83,51.99,49.86,49.99,49.99,3704000
24/08/2015,45.5,51.07,45.0,48.5,48.5,3978200
25/08/2015,51.79,52.97,49.78,49.81,49.81,2656100
26/08/2015,51.67,52.97,49.77,52.75,52.75,2351000
27/08/2015,54.13,55.89,54.02,54.74,54.74,2540700
28/08/2015,54.37,55.92,54.22,55.79,55.79,1758000
31/08/2015,54.79,56.28,54.17,55.51,55.51,2092800
01/09/2015,53.89,55.94,53.12,53.45,53.45,2299300
02/09/2015,54.75,55.44,53.51,54.82,54.82,1925100
03/09/2015,55.0,58.36,54.86,56.57,56.57,2281100
04/09/2015,55.29,56.64,54.72,55.79,55.79,1332200
08/09/2015,57.04,58.4,56.68,58.19,58.19,1411300
09/09/2015,58.54,59.45,56.05,56.55,56.55,2079900
10/09/2015,56.98,57.16,53.61,53.98,53.98,2971300
11/09/2015,53.77,54.38,52.61,53.52,53.52,1532000
14/09/2015,54.1,54.5,52.91,53.49,53.49,1539900
15/09/2015,53.86,54.08,51.73,52.73,52.73,1825700
16/09/2015,52.64,53.28,51.3,51.74,51.74,1621700
17/09/2015,51.49,52.66,51.21,51.39,51.39,1528300
18/09/2015,50.7,51.73,49.77,50.73,50.73,3070100
21/09/2015,50.97,51.35,49.8,49.9,49.9,1527000
22/09/2015,49.27,49.82,47.19,47.37,47.37,2027100
23/09/2015,47.95,49.81,47.8,48.06,48.06,1479200
24/09/2015,47.66,47.96,45.88,46.77,46.77,1784400
25/09/2015,47.5,49.15,47.01,47.68,47.68,1714100
28/09/2015,46.52,46.97,43.14,43.25,43.25,3174700
29/09/2015,43.01,44.67,42.73,43.57,43.57,1548100
30/09/2015,44.23,45.47,44.04,45.05,45.05,1912100
01/10/2015,44.46,44.63,42.43,43.63,43.63,2323900
02/10/2015,42.88,44.98,42.24,44.96,44.96,1406800
05/10/2015,45.35,45.86,44.6,44.77,44.77,1159000
06/10/2015,44.83,45.04,42.67,44.28,44.28,1699500
07/10/2015,44.74,45.73,44.18,45.55,45.55,1635000
08/10/2015,45.25,45.43,43.68,45.26,45.26,1396500
09/10/2015,45.03,46.28,44.91,45.66,45.66,1027000
12/10/2015,45.85,46.73,45.24,46.43,46.43,1263800
13/10/2015,46.0,46.2,43.94,44.14,44.14,1550000
14/10/2015,44.43,46.97,44.2,46.5,46.5,2130500
15/10/2015,47.06,48.79,46.88,48.31,48.31,1891000
16/10/2015,48.44,48.44,46.53,47.32,47.32,961500
19/10/2015,47.29,47.71,46.29,46.85,46.85,845400
20/10/2015,47.18,48.25,46.66,48.2,48.2,1179400
21/10/2015,48.48,48.9,47.84,48.5,48.5,1377000
22/10/2015,49.25,50.81,48.81,49.55,49.55,1460800
23/10/2015,50.11,51.62,49.0,51.5,51.5,1303500
