Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,6.54,6.4,6.49,2.11,159708
03/01/1990,0.0,6.54,6.35,6.35,2.07,121139
04/01/1990,0.0,6.4,6.26,6.26,2.04,76595
05/01/1990,0.0,6.3,6.21,6.3,2.05,84743
08/01/1990,0.0,6.35,6.21,6.35,2.07,50791
09/01/1990,0.0,6.35,6.26,6.35,2.07,130645
10/01/1990,0.0,6.4,6.26,6.26,2.04,272155
11/01/1990,0.0,6.35,6.26,6.35,2.07,143683
12/01/1990,0.0,6.26,6.12,6.17,2.01,252328
15/01/1990,0.0,6.21,6.12,6.12,1.99,35310
16/01/1990,0.0,6.17,6.03,6.07,1.98,116793
17/01/1990,0.0,6.17,6.07,6.17,2.01,159165
18/01/1990,0.0,6.17,6.03,6.03,1.96,155362
19/01/1990,0.0,6.17,6.03,6.07,1.98,18741
22/01/1990,0.0,6.17,6.07,6.07,1.98,141238
23/01/1990,0.0,6.17,6.07,6.07,1.98,291711
24/01/1990,0.0,6.07,5.94,6.03,1.96,242821
25/01/1990,0.0,6.07,6.03,6.07,1.98,365318
26/01/1990,0.0,6.07,5.98,5.98,1.95,195561
29/01/1990,0.0,6.07,5.94,5.94,1.93,98324
30/01/1990,0.0,6.03,5.8,5.84,1.9,215932
31/01/1990,0.0,5.94,5.84,5.89,1.92,289810
01/02/1990,0.0,5.98,5.89,5.94,1.93,725476
02/02/1990,0.0,6.03,5.94,5.98,1.95,798811
05/02/1990,0.0,6.07,5.94,6.03,1.96,499766
06/02/1990,0.0,6.07,5.98,6.03,1.96,279489
07/02/1990,0.0,6.07,5.94,6.07,1.98,142596
08/02/1990,0.0,6.17,6.03,6.03,1.96,330009
09/02/1990,0.0,6.07,5.98,5.98,1.95,77409
12/02/1990,0.0,6.07,5.98,5.98,1.95,26890
13/02/1990,0.0,6.07,5.98,6.07,1.98,236846
14/02/1990,0.0,6.07,5.98,5.98,1.95,19556
15/02/1990,0.0,6.21,5.98,6.12,1.99,181437
16/02/1990,0.0,6.21,6.12,6.12,1.99,155090
20/02/1990,0.0,6.21,6.07,6.12,1.99,76051
21/02/1990,0.0,6.07,5.94,6.07,1.98,20643
22/02/1990,0.0,6.12,6.03,6.07,1.98,79311
23/02/1990,0.0,6.07,5.98,6.07,1.98,30964
26/02/1990,0.0,6.12,5.98,5.98,1.95,69533
27/02/1990,0.0,6.07,5.98,6.03,1.96,87731
