Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,1.44,1.42,1.44,1.0,1270800
03/01/1990,0.0,1.44,1.4,1.44,1.0,547200
04/01/1990,0.0,1.5,1.46,1.48,1.03,303600
05/01/1990,0.0,1.5,1.46,1.46,1.02,31200
08/01/1990,0.0,1.5,1.48,1.5,1.05,193200
09/01/1990,0.0,1.52,1.48,1.5,1.05,362400
10/01/1990,0.0,1.52,1.48,1.5,1.05,42000
11/01/1990,0.0,1.52,1.52,1.52,1.06,3600
12/01/1990,0.0,1.5,1.46,1.48,1.03,655200
15/01/1990,0.0,1.48,1.46,1.46,1.02,513600
16/01/1990,0.0,1.44,1.44,1.44,1.0,52800
17/01/1990,0.0,1.48,1.44,1.44,1.0,20400
18/01/1990,0.0,1.5,1.44,1.44,1.0,51600
19/01/1990,0.0,1.5,1.44,1.48,1.03,106800
22/01/1990,0.0,1.5,1.48,1.49,1.04,31200
23/01/1990,0.0,1.49,1.49,1.49,1.04,18000
24/01/1990,0.0,1.49,1.45,1.45,1.01,40800
25/01/1990,0.0,1.46,1.46,1.46,1.02,4800
26/01/1990,0.0,1.46,1.45,1.45,1.01,12000
29/01/1990,0.0,1.44,1.42,1.42,0.99,182400
30/01/1990,0.0,1.42,1.41,1.41,0.98,28800
31/01/1990,0.0,1.41,1.41,1.41,0.98,20400
01/02/1990,0.0,1.42,1.41,1.41,0.98,25200
02/02/1990,1.41,1.41,1.41,1.41,0.98,0
05/02/1990,1.41,1.41,1.41,1.41,0.98,0
06/02/1990,0.0,1.45,1.44,1.45,1.01,98400
07/02/1990,0.0,1.44,1.43,1.43,0.99,126000
08/02/1990,1.43,1.43,1.43,1.43,0.99,0
09/02/1990,0.0,1.43,1.43,1.43,0.99,145200
12/02/1990,0.0,1.43,1.42,1.42,0.99,2400
13/02/1990,0.0,1.42,1.41,1.42,0.99,33600
14/02/1990,0.0,1.42,1.41,1.41,0.98,6000
15/02/1990,0.0,1.4,1.4,1.4,0.97,30000
16/02/1990,0.0,1.4,1.39,1.4,0.97,4800
20/02/1990,0.0,1.4,1.4,1.4,0.97,223200
21/02/1990,0.0,1.43,1.39,1.42,0.99,1022400
22/02/1990,0.0,1.43,1.42,1.42,0.99,2400
23/02/1990,0.0,1.44,1.42,1.44,1.0,82800
26/02/1990,0.0,1.43,1.42,1.42,0.99,12000
27/02/1990,0.0,1.42,1.42,1.42,0.99,6000
28/02/1990,0.0,1.46,1.41,1.45,1.01,262800
01/03/1990,0.0,1.46,1.44,1.44,1.0,178800
02/03/1990,0.0,1.44,1.43,1.44,1.0,13200
