Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,23.5,24.25,23.5,24.25,2.92,375800
03/01/1990,24.25,24.25,23.12,23.38,2.82,207300
04/01/1990,23.38,23.38,22.5,22.88,2.76,150700
05/01/1990,22.62,23.25,22.62,23.25,2.8,127500
08/01/1990,23.12,23.62,23.12,23.38,2.82,177300
09/01/1990,23.38,23.5,22.5,22.5,2.71,172200
10/01/1990,22.5,22.75,22.12,22.25,2.68,224600
11/01/1990,22.38,22.75,22.38,22.62,2.73,172700
12/01/1990,22.38,22.38,22.0,22.12,2.67,160800
15/01/1990,22.12,22.25,21.75,21.88,2.64,141100
16/01/1990,21.75,22.75,21.62,22.5,2.71,187300
17/01/1990,22.38,22.62,22.38,22.5,2.71,213500
18/01/1990,22.5,23.5,22.38,23.38,2.82,234500
19/01/1990,23.5,23.88,23.38,23.88,2.88,347900
22/01/1990,23.75,23.88,22.88,22.88,2.76,253400
23/01/1990,23.0,23.62,22.62,23.12,2.79,233100
24/01/1990,22.5,23.25,22.38,23.0,2.77,199800
25/01/1990,23.0,23.38,22.25,22.38,2.7,262400
26/01/1990,22.38,23.0,22.0,22.0,2.65,340600
29/01/1990,22.0,22.62,21.38,22.25,2.68,327200
30/01/1990,22.12,22.5,22.0,22.38,2.7,278500
31/01/1990,22.5,23.38,22.5,23.0,2.77,259300
01/02/1990,22.88,23.0,22.25,22.25,2.68,242000
02/02/1990,22.25,22.38,22.12,22.25,2.68,97900
05/02/1990,22.12,22.5,22.0,22.12,2.67,199500
06/02/1990,22.0,22.0,21.5,21.75,2.62,133300
07/02/1990,21.5,21.88,21.25,21.5,2.59,183400
08/02/1990,21.38,21.62,20.75,21.0,2.53,194400
09/02/1990,21.0,21.5,20.88,21.25,2.56,135600
12/02/1990,21.38,21.5,21.12,21.12,2.54,128500
13/02/1990,21.0,21.88,20.88,21.5,2.61,141500
14/02/1990,21.62,22.5,21.25,21.62,2.63,288000
15/02/1990,21.38,22.0,21.38,22.0,2.68,181200
16/02/1990,21.88,22.38,21.62,21.62,2.63,268000
20/02/1990,21.62,21.62,21.0,21.12,2.57,165400
21/02/1990,21.0,21.25,21.0,21.25,2.58,304800
22/02/1990,21.25,21.5,21.0,21.0,2.55,178500
23/02/1990,21.0,21.25,20.62,20.88,2.54,162000
26/02/1990,20.88,21.62,20.88,21.62,2.63,214500
27/02/1990,21.62,21.88,21.38,21.38,2.6,414800
28/02/1990,21.5,21.88,21.5,21.62,2.63,229600
01/03/1990,21.88,22.0,21.12,21.25,2.58,244200
02/03/1990,21.5,21.75,21.25,21.5,2.61,255700
05/03/1990,21.38,21.62,20.62,21.0,2.55,335500
06/03/1990,20.88,21.62,20.88,21.5,2.61,193100
07/03/1990,21.38,21.5,20.62,20.88,2.54,364000
08/03/1990,20.88,21.75,20.88,21.62,2.63,242600
09/03/1990,21.62,22.12,21.5,21.75,2.64,408500
12/03/1990,21.5,21.88,21.38,21.62,2.63,209600
13/03/1990,21.75,22.12,21.25,21.5,2.61,347400
14/03/1990,21.5,22.0,21.38,21.75,2.64,244200
15/03/1990,21.75,22.0,21.75,21.88,2.66,132700
16/03/1990,21.88,22.38,21.75,22.38,2.72,669300
19/03/1990,22.25,22.25,21.88,22.25,2.71,240200
20/03/1990,22.0,22.38,21.88,22.0,2.68,444600
21/03/1990,22.0,22.12,21.88,21.88,2.66,254000
22/03/1990,22.0,22.25,21.75,22.25,2.71,359200
23/03/1990,22.25,22.5,22.12,22.25,2.71,230900
26/03/1990,22.25,22.75,22.25,22.38,2.72,203500
27/03/1990,22.25,22.88,22.25,22.75,2.77,194800
28/03/1990,23.0,23.12,22.38,22.5,2.74,396400
29/03/1990,22.5,22.62,22.0,22.38,2.72,169900
30/03/1990,22.12,22.5,22.0,22.25,2.71,206700
02/04/1990,22.25,22.25,22.0,22.25,2.71,175700
03/04/1990,22.38,22.5,22.25,22.5,2.74,286600
04/04/1990,22.38,22.38,22.12,22.12,2.69,164000
