Date,Open,High,Low,Close,Adj Close,Volume
13/02/1992,2.0,2.09,2.0,2.05,1.65,18506400
14/02/1992,2.06,2.28,2.06,2.25,1.82,3128000
18/02/1992,2.22,2.28,2.06,2.06,1.67,2584800
19/02/1992,2.09,2.16,2.03,2.16,1.74,2454400
20/02/1992,2.12,2.28,2.12,2.22,1.79,1304000
21/02/1992,2.22,2.28,2.22,2.28,1.84,616800
24/02/1992,2.22,2.31,2.22,2.31,1.87,772800
25/02/1992,2.27,2.31,2.25,2.28,1.84,517600
26/02/1992,2.31,2.34,2.25,2.34,1.89,851200
27/02/1992,2.28,2.44,2.28,2.41,1.94,555200
28/02/1992,2.44,2.59,2.38,2.53,2.04,1108800
02/03/1992,2.59,2.61,2.47,2.56,2.07,873600
03/03/1992,2.55,2.56,2.44,2.47,1.99,512000
04/03/1992,2.47,2.53,2.44,2.44,1.97,163200
05/03/1992,2.53,2.53,2.34,2.34,1.89,707200
06/03/1992,2.39,2.44,2.34,2.34,1.89,765600
09/03/1992,2.34,2.44,2.34,2.39,1.93,766400
10/03/1992,2.34,2.44,2.34,2.44,1.97,93600
11/03/1992,2.5,2.53,2.44,2.45,1.98,222400
12/03/1992,2.44,2.53,2.44,2.44,1.97,89600
13/03/1992,2.44,2.56,2.44,2.53,2.04,211200
16/03/1992,2.5,2.56,2.5,2.56,2.07,94400
17/03/1992,2.47,2.56,2.47,2.47,1.99,150400
18/03/1992,2.47,2.47,2.47,2.47,1.99,52000
19/03/1992,2.56,2.56,2.44,2.44,1.97,68800
20/03/1992,2.44,2.53,2.44,2.53,2.04,124800
23/03/1992,2.44,2.52,2.44,2.48,2.01,314400
24/03/1992,2.47,2.52,2.44,2.44,1.97,437600
25/03/1992,2.53,2.53,2.44,2.47,1.99,79200
26/03/1992,2.41,2.42,2.41,2.41,1.94,47200
27/03/1992,2.5,2.5,2.44,2.5,2.02,79200
30/03/1992,2.44,2.5,2.44,2.47,1.99,46400
31/03/1992,2.44,2.5,2.44,2.5,2.02,107200
01/04/1992,2.44,2.5,2.41,2.44,1.97,356000
02/04/1992,2.5,2.5,2.44,2.47,1.99,51200
03/04/1992,2.44,2.5,2.44,2.47,1.99,116800
06/04/1992,2.44,2.5,2.44,2.44,1.97,71200
07/04/1992,2.44,2.56,2.44,2.5,2.02,116000
08/04/1992,2.44,2.5,2.44,2.5,2.02,247200
09/04/1992,2.44,2.53,2.44,2.47,1.99,36000
10/04/1992,2.47,2.53,2.47,2.47,1.99,87200
13/04/1992,2.47,2.53,2.47,2.47,1.99,16000
14/04/1992,2.53,2.53,2.47,2.47,1.99,25600
15/04/1992,2.47,2.5,2.44,2.44,1.97,84800
16/04/1992,2.47,2.5,2.44,2.44,1.97,62400
20/04/1992,2.41,2.41,2.38,2.38,1.92,59200
21/04/1992,2.38,2.38,2.38,2.38,1.92,7200
22/04/1992,2.38,2.47,2.38,2.47,2.0,7200
23/04/1992,2.38,2.42,2.38,2.38,1.92,179200
24/04/1992,2.38,2.44,2.34,2.41,1.95,252800
27/04/1992,2.34,2.44,2.34,2.34,1.9,62400
28/04/1992,2.31,2.34,2.25,2.25,1.82,99200
29/04/1992,2.34,2.34,2.25,2.28,1.85,552000
30/04/1992,2.34,2.34,2.25,2.25,1.82,128000
01/05/1992,2.31,2.31,2.31,2.31,1.87,6400
04/05/1992,2.25,2.31,2.25,2.31,1.87,38400
05/05/1992,2.25,2.25,2.2,2.25,1.82,55200
06/05/1992,2.19,2.25,2.19,2.19,1.77,461600
07/05/1992,2.19,2.19,2.12,2.12,1.72,28800
08/05/1992,2.12,2.25,2.12,2.16,1.74,551200
11/05/1992,2.16,2.25,2.16,2.25,1.82,135200
12/05/1992,2.16,2.34,2.16,2.22,1.8,291200
13/05/1992,2.31,2.31,2.23,2.23,1.81,52800
14/05/1992,2.22,2.23,2.22,2.22,1.8,326400
15/05/1992,2.22,2.22,2.22,2.22,1.8,800
18/05/1992,2.22,2.22,2.22,2.22,1.8,2400
19/05/1992,2.22,2.22,2.22,2.22,1.8,27200
20/05/1992,2.19,2.25,2.16,2.16,1.74,62400
21/05/1992,2.16,2.16,2.03,2.09,1.69,151200
22/05/1992,2.09,2.09,2.03,2.06,1.67,77600
26/05/1992,1.94,1.94,1.75,1.92,1.56,1848800
27/05/1992,1.88,2.0,1.88,1.97,1.59,980000
28/05/1992,1.92,2.0,1.84,1.89,1.53,801600
29/05/1992,1.91,1.91,1.86,1.88,1.52,256000
01/06/1992,1.84,1.91,1.81,1.88,1.52,144800
02/06/1992,1.91,1.91,1.81,1.86,1.5,235200
03/06/1992,1.91,1.91,1.81,1.81,1.47,50400
04/06/1992,1.81,1.88,1.81,1.88,1.52,874400
05/06/1992,1.88,1.88,1.88,1.88,1.52,4000
08/06/1992,1.91,1.91,1.91,1.91,1.54,1600
09/06/1992,1.81,1.88,1.81,1.83,1.48,1157600
10/06/1992,1.88,1.88,1.81,1.81,1.47,16800
11/06/1992,1.84,1.88,1.81,1.88,1.52,36000
12/06/1992,1.88,1.88,1.81,1.81,1.47,104000
15/06/1992,1.81,1.81,1.72,1.75,1.42,316800
16/06/1992,1.78,1.78,1.72,1.78,1.44,108000
17/06/1992,1.72,1.75,1.72,1.73,1.4,243200
18/06/1992,1.69,1.7,1.66,1.69,1.37,1378400
19/06/1992,1.66,1.75,1.66,1.75,1.42,1427200
22/06/1992,1.75,1.75,1.69,1.69,1.37,14400
23/06/1992,1.66,1.72,1.66,1.72,1.39,6400
24/06/1992,1.7,1.7,1.66,1.67,1.36,1123200
25/06/1992,1.75,1.75,1.62,1.62,1.32,159200
26/06/1992,1.59,1.66,1.47,1.56,1.27,258400
29/06/1992,1.56,1.59,1.56,1.59,1.29,1517600
30/06/1992,1.59,1.59,1.47,1.58,1.28,27200
01/07/1992,1.59,1.62,1.59,1.59,1.29,194400
02/07/1992,1.69,1.69,1.59,1.62,1.32,143200
06/07/1992,1.61,1.62,1.61,1.62,1.32,400000
07/07/1992,1.69,1.69,1.56,1.56,1.27,1510400
08/07/1992,1.56,1.62,1.5,1.52,1.23,1468000
09/07/1992,1.47,1.62,1.47,1.53,1.24,408800
10/07/1992,1.56,1.66,1.56,1.64,1.33,88000
13/07/1992,1.66,1.66,1.55,1.58,1.28,198400
14/07/1992,1.53,1.56,1.53,1.56,1.27,644000
15/07/1992,1.61,1.66,1.59,1.64,1.33,330400
16/07/1992,1.62,1.62,1.55,1.58,1.28,175200
17/07/1992,1.5,1.5,1.44,1.48,1.2,673600
20/07/1992,1.5,1.56,1.44,1.5,1.22,31200
21/07/1992,1.53,1.53,1.53,1.53,1.24,5600
22/07/1992,1.44,1.56,1.44,1.44,1.17,659200
23/07/1992,1.56,1.56,1.44,1.53,1.24,177600
24/07/1992,1.44,1.48,1.44,1.48,1.2,48000
27/07/1992,1.44,1.53,1.44,1.53,1.24,4000
28/07/1992,1.5,1.52,1.47,1.47,1.19,587200
29/07/1992,1.47,1.53,1.47,1.53,1.24,30400
30/07/1992,1.48,1.62,1.47,1.62,1.32,1344000
31/07/1992,1.62,1.62,1.56,1.56,1.27,6400
03/08/1992,1.56,1.69,1.56,1.69,1.37,77600
04/08/1992,1.62,1.67,1.62,1.62,1.32,247200
05/08/1992,1.7,1.72,1.69,1.69,1.37,283200
06/08/1992,1.62,1.7,1.62,1.7,1.38,7200
07/08/1992,1.62,1.66,1.62,1.66,1.34,301600
10/08/1992,1.72,1.72,1.7,1.7,1.38,80000
11/08/1992,1.67,1.69,1.62,1.62,1.32,299200
12/08/1992,1.75,1.75,1.56,1.62,1.32,232000
13/08/1992,1.56,1.56,1.53,1.55,1.26,480000
14/08/1992,1.59,1.59,1.59,1.59,1.29,6400
17/08/1992,1.59,1.59,1.53,1.53,1.24,576800
18/08/1992,1.59,1.59,1.53,1.55,1.26,142400
19/08/1992,1.53,1.56,1.53,1.55,1.26,177600
20/08/1992,1.55,1.55,1.55,1.55,1.26,0
21/08/1992,1.53,1.56,1.53,1.56,1.27,27200
24/08/1992,1.47,1.59,1.47,1.59,1.29,38400
25/08/1992,1.52,1.53,1.5,1.52,1.23,196000
26/08/1992,1.47,1.56,1.47,1.52,1.23,2765600
27/08/1992,1.47,1.52,1.47,1.48,1.2,93600
28/08/1992,1.53,1.53,1.53,1.53,1.24,8000
31/08/1992,1.56,1.56,1.47,1.47,1.19,10400
01/09/1992,1.47,1.55,1.47,1.5,1.22,138400
02/09/1992,1.47,1.47,1.47,1.47,1.19,20000
03/09/1992,1.56,1.59,1.5,1.56,1.27,556000
04/09/1992,1.5,1.58,1.5,1.58,1.28,5600
08/09/1992,1.55,1.56,1.5,1.52,1.23,352800
09/09/1992,1.5,1.58,1.5,1.58,1.28,652000
10/09/1992,1.53,1.62,1.53,1.53,1.24,26400
11/09/1992,1.66,1.75,1.62,1.69,1.37,232800
14/09/1992,1.81,2.25,1.81,1.91,1.55,1387200
15/09/1992,1.94,1.94,1.81,1.94,1.57,123200
16/09/1992,1.88,2.19,1.88,2.14,1.74,944800
17/09/1992,2.19,2.19,1.97,1.97,1.6,203200
18/09/1992,2.03,2.03,2.0,2.0,1.62,519200
21/09/1992,2.03,2.06,1.92,2.06,1.67,1224000
22/09/1992,1.95,2.06,1.95,2.02,1.64,854400
23/09/1992,2.06,2.06,1.94,2.06,1.67,35200
24/09/1992,2.06,2.06,1.94,2.03,1.65,23200
25/09/1992,1.94,2.0,1.94,2.0,1.62,62400
28/09/1992,1.94,2.03,1.94,1.95,1.59,144800
29/09/1992,2.0,2.06,1.95,2.06,1.67,18400
30/09/1992,1.94,1.94,1.94,1.94,1.57,3200
01/10/1992,2.06,2.06,2.06,2.06,1.67,41600
02/10/1992,2.06,2.08,2.03,2.06,1.67,102400
05/10/1992,1.95,1.98,1.95,1.98,1.61,156000
06/10/1992,1.94,2.03,1.94,1.94,1.58,102400
07/10/1992,1.94,2.0,1.94,2.0,1.63,18400
08/10/1992,2.0,2.03,1.94,2.03,1.65,456800
09/10/1992,2.03,2.03,1.97,1.97,1.6,23200
12/10/1992,2.03,2.03,1.94,1.94,1.58,6400
13/10/1992,1.94,2.16,1.94,2.09,1.7,253600
14/10/1992,2.06,2.11,2.06,2.11,1.72,105600
15/10/1992,2.03,2.12,2.03,2.06,1.68,129600
16/10/1992,2.03,2.12,2.03,2.12,1.73,6400
19/10/1992,2.12,2.12,2.06,2.09,1.7,457600
20/10/1992,2.12,2.16,2.06,2.11,1.72,261600
21/10/1992,2.14,2.14,2.06,2.14,1.74,244000
22/10/1992,2.06,2.14,2.06,2.06,1.68,113600
23/10/1992,2.16,2.16,2.12,2.12,1.73,140800
26/10/1992,2.09,2.19,2.09,2.16,1.75,62400
27/10/1992,2.19,2.38,2.16,2.28,1.86,782400
28/10/1992,2.38,2.38,2.25,2.38,1.93,16000
29/10/1992,2.36,2.38,2.25,2.38,1.93,102400
30/10/1992,2.25,2.41,2.25,2.25,1.83,77600
02/11/1992,2.25,2.25,2.25,2.25,1.83,0
03/11/1992,2.25,2.31,2.25,2.31,1.88,4000
04/11/1992,2.31,2.41,2.31,2.31,1.88,116000
05/11/1992,2.41,2.41,2.31,2.31,1.88,134400
06/11/1992,2.38,2.38,2.34,2.38,1.93,13600
09/11/1992,2.38,2.44,2.31,2.34,1.91,91200
10/11/1992,2.44,2.53,2.31,2.5,2.03,419200
11/11/1992,2.44,2.53,2.44,2.53,2.06,46400
12/11/1992,2.53,2.53,2.44,2.53,2.06,24800
13/11/1992,2.44,2.5,2.28,2.28,1.86,148800
16/11/1992,2.41,2.41,2.28,2.28,1.86,132800
17/11/1992,2.33,2.36,2.12,2.12,1.73,285600
18/11/1992,2.12,2.14,2.03,2.12,1.73,566400
19/11/1992,2.12,2.19,2.09,2.16,1.75,196800
20/11/1992,2.12,2.3,2.12,2.25,1.83,126400
23/11/1992,2.25,2.25,2.25,2.25,1.83,0
24/11/1992,2.2,2.28,2.16,2.16,1.75,260800
25/11/1992,2.27,2.34,2.25,2.34,1.91,173600
27/11/1992,2.28,2.34,2.28,2.33,1.89,17600
30/11/1992,2.25,2.34,2.25,2.25,1.83,397600
01/12/1992,2.25,2.34,2.25,2.33,1.89,77600
02/12/1992,2.25,2.34,2.25,2.33,1.89,92000
03/12/1992,2.3,2.34,2.27,2.34,1.91,105600
04/12/1992,2.25,2.34,2.25,2.34,1.91,29600
07/12/1992,2.28,2.28,2.28,2.28,1.86,8000
08/12/1992,2.28,2.34,2.28,2.34,1.91,46400
09/12/1992,2.34,2.47,2.34,2.38,1.93,76800
10/12/1992,2.44,2.47,2.34,2.34,1.91,82400
11/12/1992,2.34,2.34,2.34,2.34,1.91,1600
14/12/1992,2.34,2.34,2.34,2.34,1.91,4000
15/12/1992,2.47,2.47,2.34,2.38,1.93,26400
16/12/1992,2.34,2.41,2.22,2.22,1.81,81600
17/12/1992,2.25,2.28,2.22,2.28,1.86,16800
18/12/1992,2.28,2.28,2.25,2.28,1.86,16800
21/12/1992,2.28,2.28,2.28,2.28,1.86,48000
22/12/1992,2.25,2.28,2.22,2.25,1.83,154400
23/12/1992,2.28,2.28,2.22,2.25,1.83,6400
24/12/1992,2.28,2.28,2.28,2.28,1.86,4800
28/12/1992,2.22,2.28,2.22,2.28,1.86,20800
29/12/1992,2.22,2.25,2.22,2.25,1.83,8000
30/12/1992,2.19,2.31,2.19,2.28,1.86,76000
31/12/1992,2.22,2.28,2.2,2.25,1.83,167200
04/01/1993,2.22,2.25,2.22,2.25,1.83,177600
05/01/1993,2.25,2.38,2.25,2.38,1.93,1566400
06/01/1993,2.38,2.47,2.38,2.44,1.98,880000
07/01/1993,2.44,2.5,2.41,2.48,2.02,764800
08/01/1993,2.5,2.5,2.41,2.41,1.96,374400
11/01/1993,2.44,2.47,2.41,2.47,2.01,1232000
12/01/1993,2.47,2.5,2.44,2.47,2.01,466400
13/01/1993,2.41,2.5,2.41,2.5,2.03,69600
14/01/1993,2.5,2.5,2.44,2.5,2.03,330400
15/01/1993,2.5,2.78,2.41,2.78,2.26,2082400
18/01/1993,2.75,2.84,2.59,2.59,2.11,349600
19/01/1993,2.59,2.75,2.59,2.67,2.18,583200
20/01/1993,2.72,2.72,2.66,2.72,2.22,1062400
21/01/1993,2.75,2.75,2.62,2.69,2.19,488000
22/01/1993,2.75,2.75,2.66,2.7,2.2,1213600
25/01/1993,2.75,2.84,2.72,2.84,2.32,1308000
26/01/1993,2.84,2.88,2.75,2.88,2.34,651200
27/01/1993,2.88,2.88,2.78,2.88,2.34,475200
28/01/1993,2.91,2.91,2.81,2.84,2.32,194400
29/01/1993,2.88,3.16,2.88,3.12,2.55,576000
01/02/1993,3.16,3.31,3.06,3.06,2.5,1063200
02/02/1993,3.12,3.16,3.06,3.16,2.57,83200
03/02/1993,3.12,3.16,3.0,3.12,2.55,951200
04/02/1993,3.09,3.25,3.06,3.09,2.52,686400
05/02/1993,3.22,3.22,3.06,3.09,2.52,64000
08/02/1993,3.16,3.22,3.12,3.22,2.62,898400
09/02/1993,3.22,3.56,3.22,3.53,2.88,453600
10/02/1993,3.44,3.56,3.28,3.38,2.75,339200
11/02/1993,3.41,3.47,3.38,3.44,2.8,339200
12/02/1993,3.56,3.59,3.47,3.47,2.83,350400
16/02/1993,3.44,3.53,3.31,3.44,2.8,432000
17/02/1993,3.34,3.44,3.22,3.38,2.75,116800
18/02/1993,3.38,3.38,3.25,3.25,2.65,224800
19/02/1993,3.31,3.31,3.25,3.31,2.7,930400
22/02/1993,3.31,3.34,3.17,3.22,2.62,1428800
23/02/1993,3.19,3.25,3.09,3.16,2.57,221600
24/02/1993,3.16,3.84,3.11,3.84,3.13,3927200
25/02/1993,3.78,3.91,3.78,3.78,3.08,1496000
26/02/1993,3.78,3.97,3.78,3.97,3.24,816000
01/03/1993,3.97,4.25,3.84,4.12,3.36,733600
02/03/1993,4.19,4.38,4.09,4.38,3.57,1752000
03/03/1993,4.38,4.41,4.19,4.31,3.52,1473600
04/03/1993,4.28,4.41,4.25,4.28,3.49,533600
05/03/1993,4.41,4.5,4.28,4.5,3.67,661600
08/03/1993,4.5,4.56,4.44,4.56,3.72,314400
09/03/1993,4.47,4.88,4.47,4.72,3.85,1983200
10/03/1993,4.75,4.75,4.56,4.62,3.77,79200
11/03/1993,4.62,4.69,4.44,4.5,3.67,684800
12/03/1993,4.44,4.45,3.88,4.31,3.52,887200
15/03/1993,4.31,4.31,4.12,4.23,3.45,571200
16/03/1993,4.16,4.22,4.16,4.22,3.44,1286400
17/03/1993,4.22,4.28,4.17,4.28,3.49,894400
18/03/1993,4.28,4.28,4.19,4.25,3.46,600000
19/03/1993,4.28,4.28,4.19,4.28,3.49,16800
22/03/1993,4.22,4.22,3.5,3.5,2.85,1813600
23/03/1993,3.53,3.75,3.5,3.66,2.98,816000
24/03/1993,3.75,3.75,3.59,3.75,3.06,145600
25/03/1993,3.75,3.98,3.59,3.84,3.13,215200
26/03/1993,3.97,4.16,3.94,4.06,3.31,157600
29/03/1993,4.03,4.03,3.88,4.0,3.26,148000
30/03/1993,4.0,4.12,3.91,4.12,3.36,127200
31/03/1993,4.12,4.12,3.94,4.12,3.36,59200
01/04/1993,4.12,4.12,3.94,4.06,3.31,476800
02/04/1993,4.03,4.06,3.88,4.0,3.26,180000
05/04/1993,4.38,4.5,4.19,4.44,3.62,423200
06/04/1993,4.5,4.5,4.28,4.38,3.57,302400
07/04/1993,4.38,4.53,4.31,4.38,3.57,309600
08/04/1993,4.38,4.53,4.38,4.5,3.67,136000
12/04/1993,4.53,4.53,4.44,4.53,3.69,60000
13/04/1993,4.53,4.53,4.44,4.53,3.69,147200
14/04/1993,4.44,4.56,4.28,4.44,3.62,355200
15/04/1993,4.56,4.81,4.47,4.62,3.77,455200
16/04/1993,4.62,4.75,4.5,4.62,3.77,179200
19/04/1993,4.5,4.61,4.31,4.44,3.62,210400
20/04/1993,4.38,4.56,4.38,4.38,3.57,419200
21/04/1993,4.38,4.5,4.38,4.5,3.67,63200
22/04/1993,4.44,4.75,4.44,4.75,3.87,336800
23/04/1993,4.62,4.62,4.5,4.5,3.67,570400
26/04/1993,4.5,4.69,4.5,4.56,3.72,158400
27/04/1993,4.53,4.56,4.5,4.53,3.69,480000
28/04/1993,4.5,4.62,4.5,4.62,3.77,273600
29/04/1993,4.62,4.75,4.56,4.75,3.87,138400
30/04/1993,4.66,4.78,4.62,4.78,3.9,600800
03/05/1993,4.78,4.88,4.69,4.84,3.95,252800
04/05/1993,4.81,5.12,4.75,5.12,4.18,560800
05/05/1993,5.0,5.22,4.98,5.06,4.13,375200
06/05/1993,5.08,5.19,4.94,5.19,4.23,621600
07/05/1993,5.19,5.19,4.94,5.12,4.18,20800
10/05/1993,5.19,5.19,4.94,4.94,4.03,40800
11/05/1993,5.19,5.34,5.0,5.34,4.36,839200
12/05/1993,5.27,5.34,5.12,5.12,4.18,342400
13/05/1993,5.34,5.34,5.12,5.12,4.18,484000
14/05/1993,5.12,5.34,5.12,5.12,4.18,280800
17/05/1993,5.12,5.41,5.12,5.36,4.37,368000
18/05/1993,5.62,5.62,5.19,5.44,4.44,171200
19/05/1993,5.44,5.62,5.44,5.56,4.54,403200
20/05/1993,5.66,5.66,5.38,5.59,4.56,1224800
21/05/1993,5.5,5.61,5.5,5.59,4.56,262400
24/05/1993,5.59,5.75,5.5,5.62,4.59,446400
25/05/1993,5.64,6.0,5.62,5.94,4.84,222400
26/05/1993,6.0,6.12,5.88,6.0,4.9,226400
27/05/1993,6.25,6.98,5.88,6.28,5.13,1121600
28/05/1993,6.56,6.75,6.38,6.62,5.41,681600
01/06/1993,6.56,6.56,6.25,6.25,5.1,568800
02/06/1993,6.25,6.5,6.16,6.31,5.15,425600
03/06/1993,6.31,6.38,6.19,6.31,5.15,968800
04/06/1993,6.38,6.38,6.19,6.38,5.2,140800
07/06/1993,6.38,6.38,6.19,6.38,5.2,237600
08/06/1993,6.25,6.38,6.12,6.16,5.02,296800
09/06/1993,6.12,6.38,6.0,6.12,5.0,117600
10/06/1993,6.12,6.12,5.62,5.75,4.69,358400
11/06/1993,5.88,5.88,5.62,5.88,4.79,379200
14/06/1993,5.88,5.88,5.69,5.84,4.77,21600
15/06/1993,5.88,5.92,5.75,5.89,4.81,284000
16/06/1993,6.12,6.12,5.81,6.09,4.97,29600
17/06/1993,6.12,6.12,5.89,6.0,4.9,56000
18/06/1993,6.12,6.12,5.94,5.95,4.86,82400
21/06/1993,6.12,6.12,5.94,6.12,5.0,234400
22/06/1993,6.12,6.25,5.94,6.25,5.1,166400
23/06/1993,6.25,6.44,6.0,6.25,5.1,108800
24/06/1993,6.31,6.56,6.22,6.56,5.35,108800
25/06/1993,6.56,6.56,6.22,6.56,5.35,72000
28/06/1993,6.38,6.75,6.31,6.75,5.51,436800
29/06/1993,6.78,6.78,6.47,6.62,5.41,146400
30/06/1993,6.78,6.78,6.47,6.75,5.51,107200
01/07/1993,6.47,6.97,6.47,6.7,5.47,412000
02/07/1993,6.69,7.12,6.69,7.12,5.82,179200
06/07/1993,7.12,7.12,6.88,7.06,5.77,86400
07/07/1993,6.88,7.06,6.88,7.0,5.72,172800
08/07/1993,7.03,7.03,6.94,7.02,5.73,672800
09/07/1993,7.06,7.06,6.88,6.97,5.69,197600
12/07/1993,7.06,7.06,6.88,6.97,5.69,423200
13/07/1993,7.06,7.09,6.97,7.06,5.77,203200
14/07/1993,7.06,7.09,6.88,7.09,5.79,263200
15/07/1993,7.62,7.75,7.25,7.62,6.23,207200
16/07/1993,7.75,7.75,7.38,7.5,6.12,514400
19/07/1993,7.38,7.75,7.38,7.75,6.33,220000
20/07/1993,7.75,7.75,7.38,7.69,6.28,448800
21/07/1993,7.62,7.75,7.5,7.5,6.12,228000
22/07/1993,7.62,7.75,7.5,7.72,6.3,212800
23/07/1993,7.75,7.75,7.56,7.7,6.29,116000
26/07/1993,7.75,7.75,7.38,7.62,6.23,71200
27/07/1993,7.38,7.75,7.38,7.75,6.33,88800
28/07/1993,7.66,7.75,7.56,7.75,6.33,533600
29/07/1993,7.75,7.75,7.5,7.69,6.28,170400
30/07/1993,7.69,7.69,7.38,7.69,6.28,132800
02/08/1993,7.66,7.94,7.59,7.94,6.48,76800
