Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,4.26,4.38,4.23,4.37,2.03,4586490
03/01/1990,4.36,4.4,4.31,4.32,2.01,3068677
04/01/1990,4.29,4.35,4.28,4.31,2.0,2400026
05/01/1990,4.29,4.32,4.27,4.31,2.0,2148328
08/01/1990,4.3,4.34,4.28,4.33,2.01,2131802
09/01/1990,4.32,4.34,4.27,4.28,1.99,1568661
10/01/1990,4.23,4.28,4.18,4.26,1.98,2538586
11/01/1990,4.28,4.29,4.25,4.25,1.97,2655537
12/01/1990,4.19,4.21,4.14,4.14,1.92,2842403
15/01/1990,4.12,4.13,4.08,4.11,1.91,4393267
16/01/1990,4.06,4.1,4.06,4.1,1.9,5358108
17/01/1990,4.1,4.13,4.06,4.09,1.9,3353426
18/01/1990,4.04,4.1,4.03,4.06,1.89,4853442
19/01/1990,4.1,4.16,4.08,4.15,1.93,4773356
22/01/1990,4.14,4.16,4.04,4.05,1.88,3968686
23/01/1990,4.05,4.09,4.04,4.07,1.89,2572909
24/01/1990,3.99,4.05,3.96,4.05,1.88,6659817
25/01/1990,4.06,4.08,3.95,3.97,1.85,4609371
26/01/1990,3.95,3.98,3.81,3.93,1.83,4091993
29/01/1990,3.93,3.94,3.87,3.94,1.83,3455122
30/01/1990,3.93,3.95,3.87,3.93,1.83,3333086
31/01/1990,3.93,3.95,3.9,3.92,1.82,4721237
01/02/1990,3.93,3.95,3.91,3.95,1.84,3302578
02/02/1990,3.92,3.95,3.91,3.93,1.83,2881810
05/02/1990,3.96,4.02,3.94,3.99,1.85,2464857
06/02/1990,3.98,3.98,3.91,3.92,1.82,2175023
07/02/1990,3.93,3.93,3.89,3.92,1.82,4043687
08/02/1990,3.92,3.95,3.86,3.89,1.81,3380121
09/02/1990,3.91,3.95,3.9,3.94,1.83,3191983
12/02/1990,3.93,3.95,3.9,3.93,1.83,1229250
13/02/1990,3.94,4.0,3.94,4.0,1.86,2900878
14/02/1990,4.0,4.02,3.99,4.02,1.87,3769108
15/02/1990,4.01,4.08,4.01,4.08,1.9,5731841
16/02/1990,4.08,4.08,4.02,4.02,1.88,4930985
20/02/1990,4.01,4.02,3.9,3.92,1.84,5768706
21/02/1990,3.87,3.93,3.85,3.91,1.83,3359782
22/02/1990,3.92,3.94,3.89,3.89,1.82,4601744
23/02/1990,3.83,3.91,3.83,3.89,1.82,4641151
26/02/1990,3.88,3.92,3.88,3.91,1.83,2909777
27/02/1990,3.91,4.02,3.91,3.96,1.86,4604286
28/02/1990,3.96,4.05,3.96,4.02,1.88,4141570
01/03/1990,4.03,4.08,4.03,4.06,1.9,3532665
02/03/1990,4.07,4.12,4.06,4.07,1.91,5337769
05/03/1990,4.08,4.13,4.07,4.11,1.93,9039503
06/03/1990,4.12,4.17,4.11,4.14,1.94,16125172
07/03/1990,4.17,4.26,4.17,4.21,1.97,5832266
08/03/1990,4.19,4.24,4.18,4.22,1.98,3748769
09/03/1990,4.22,4.31,4.22,4.29,2.01,6956006
12/03/1990,4.27,4.28,4.24,4.28,2.0,7725082
13/03/1990,4.26,4.32,4.25,4.29,2.01,8361954
14/03/1990,4.29,4.34,4.27,4.29,2.01,6814903
15/03/1990,4.28,4.32,4.27,4.3,2.01,4522930
16/03/1990,4.31,4.41,4.31,4.41,2.06,15978984
19/03/1990,4.36,4.42,4.34,4.42,2.07,7557284
20/03/1990,4.41,4.51,4.41,4.46,2.09,13934894
21/03/1990,4.47,4.48,4.44,4.46,2.09,6803462
22/03/1990,4.49,4.52,4.36,4.42,2.07,8229749
23/03/1990,4.42,4.47,4.42,4.46,2.09,4000466
26/03/1990,4.47,4.48,4.43,4.45,2.09,3465291
27/03/1990,4.45,4.48,4.41,4.44,2.08,3405545
28/03/1990,4.47,4.48,4.44,4.48,2.1,4046230
29/03/1990,4.47,4.66,4.46,4.55,2.13,9532729
30/03/1990,4.56,4.56,4.46,4.5,2.11,5429295
02/04/1990,4.44,4.47,4.42,4.42,2.07,3225034
03/04/1990,4.43,4.49,4.43,4.47,2.1,6377610
04/04/1990,4.47,4.5,4.46,4.46,2.09,4807678
05/04/1990,4.47,4.47,4.44,4.45,2.09,2918675
06/04/1990,4.45,4.45,4.41,4.44,2.08,1694510
09/04/1990,4.42,4.46,4.42,4.44,2.08,1964004
10/04/1990,4.43,4.49,4.43,4.49,2.11,2434348
11/04/1990,4.49,4.49,4.43,4.44,2.08,1993242
12/04/1990,4.47,4.47,4.44,4.47,2.1,3527580
16/04/1990,4.46,4.55,4.46,4.53,2.12,4043687
17/04/1990,4.52,4.54,4.5,4.51,2.11,2386042
18/04/1990,4.54,4.54,4.48,4.48,2.1,4770814
19/04/1990,4.44,4.47,4.43,4.43,2.08,4104705
20/04/1990,4.44,4.46,4.41,4.42,2.07,6275914
23/04/1990,4.41,4.41,4.37,4.4,2.06,3716989
24/04/1990,4.39,4.39,4.38,4.39,2.05,3162746
25/04/1990,4.37,4.4,4.37,4.39,2.05,4750474
26/04/1990,4.38,4.39,4.32,4.38,2.05,3111898
27/04/1990,4.39,4.39,4.3,4.3,2.01,2641554
30/04/1990,4.29,4.34,4.27,4.33,2.03,2668249
01/05/1990,4.35,4.39,4.34,4.38,2.05,2323754
