Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.56,8.66,8.47,8.62,5.25,156800
03/01/1990,8.69,8.69,8.5,8.53,5.19,236800
04/01/1990,8.56,8.59,8.44,8.53,5.19,378000
05/01/1990,8.5,8.69,8.47,8.59,5.23,597600
08/01/1990,8.59,8.69,8.56,8.69,5.29,408800
09/01/1990,8.66,8.81,8.66,8.72,5.3,439200
10/01/1990,8.72,8.75,8.69,8.72,5.3,198000
11/01/1990,8.75,8.75,8.69,8.72,5.3,369200
12/01/1990,8.62,8.62,8.56,8.59,5.26,342400
15/01/1990,8.59,8.59,8.56,8.59,5.26,173200
16/01/1990,8.56,8.62,8.56,8.62,5.28,96000
17/01/1990,8.62,8.69,8.59,8.66,5.3,114800
18/01/1990,8.66,8.72,8.62,8.69,5.31,155600
19/01/1990,8.72,8.78,8.69,8.75,5.35,243200
22/01/1990,8.75,8.81,8.72,8.72,5.33,344800
23/01/1990,8.75,8.84,8.72,8.78,5.37,487600
24/01/1990,8.69,8.81,8.62,8.75,5.35,532000
25/01/1990,8.81,8.88,8.78,8.81,5.39,399600
26/01/1990,8.81,8.97,8.81,8.88,5.43,396000
29/01/1990,8.84,8.88,8.81,8.84,5.41,287600
30/01/1990,8.84,8.91,8.81,8.88,5.43,331200
31/01/1990,8.88,8.91,8.88,8.91,5.45,125600
01/02/1990,8.91,8.91,8.84,8.84,5.41,134400
02/02/1990,8.84,8.91,8.84,8.91,5.45,85200
05/02/1990,8.88,8.94,8.88,8.91,5.45,126400
06/02/1990,8.88,8.91,8.84,8.84,5.41,102800
07/02/1990,8.81,8.88,8.81,8.88,5.43,258400
08/02/1990,8.88,8.94,8.84,8.88,5.43,374800
09/02/1990,8.94,8.97,8.91,8.97,5.49,352400
12/02/1990,8.94,8.94,8.88,8.88,5.43,104800
13/02/1990,8.88,8.94,8.84,8.91,5.45,126400
14/02/1990,8.91,8.94,8.91,8.94,5.47,148800
15/02/1990,8.91,8.94,8.88,8.91,5.45,73200
16/02/1990,8.88,8.91,8.81,8.84,5.41,405600
20/02/1990,8.81,8.84,8.75,8.78,5.37,284000
21/02/1990,8.75,8.84,8.72,8.84,5.41,228400
22/02/1990,8.84,8.88,8.81,8.84,5.41,123200
23/02/1990,8.81,8.84,8.75,8.75,5.35,236400
26/02/1990,8.75,8.88,8.75,8.88,5.43,155200
27/02/1990,8.84,8.97,8.84,8.91,5.45,203600
28/02/1990,8.94,9.06,8.94,8.97,5.49,253200
