Date,Open,High,Low,Close,Adj Close,Volume
31/10/1994,23.38,24.25,23.38,23.75,11.87,32800
01/11/1994,23.75,23.75,23.38,23.38,11.69,13200
02/11/1994,23.38,23.75,23.25,23.75,11.87,7000
03/11/1994,23.75,23.88,23.62,23.62,11.81,5400
04/11/1994,23.62,23.75,23.12,23.12,11.56,9800
07/11/1994,23.12,23.25,23.0,23.25,11.62,7200
08/11/1994,23.25,23.25,23.0,23.0,11.5,2200
09/11/1994,23.12,23.25,23.12,23.12,11.56,5600
10/11/1994,23.12,23.12,23.0,23.12,11.56,82800
11/11/1994,23.12,23.25,23.0,23.12,11.56,16400
14/11/1994,23.12,23.25,23.0,23.12,11.56,54600
15/11/1994,23.0,23.0,23.0,23.0,11.5,1800
16/11/1994,23.0,23.12,23.0,23.12,11.56,4600
17/11/1994,23.12,23.88,23.0,23.88,11.94,10600
18/11/1994,23.88,23.88,23.5,23.62,11.81,8400
21/11/1994,23.62,23.88,23.5,23.75,11.87,7000
22/11/1994,23.75,24.0,23.5,23.5,11.75,14800
23/11/1994,23.5,23.62,23.5,23.62,11.81,8000
25/11/1994,23.5,23.5,23.5,23.5,11.75,2000
28/11/1994,23.5,23.75,23.5,23.5,11.75,1400
29/11/1994,23.5,23.5,23.38,23.38,11.69,1800
30/11/1994,23.38,23.62,23.38,23.38,11.69,6000
01/12/1994,23.38,23.5,22.75,22.75,11.37,35400
02/12/1994,22.75,22.75,22.62,22.75,11.37,12600
05/12/1994,22.75,22.75,22.62,22.62,11.31,5400
06/12/1994,22.5,22.5,22.12,22.12,11.06,16000
07/12/1994,22.12,22.25,21.88,22.12,11.06,11600
08/12/1994,22.12,22.25,22.12,22.25,11.12,6000
09/12/1994,22.25,22.5,22.0,22.0,11.0,9000
12/12/1994,22.0,22.25,21.75,22.12,11.06,7600
13/12/1994,22.12,22.62,22.12,22.62,11.31,4600
14/12/1994,22.75,23.88,22.75,23.88,11.94,10800
15/12/1994,23.88,24.75,23.88,24.75,12.37,13400
16/12/1994,24.75,24.88,24.25,24.38,12.19,20400
19/12/1994,24.38,24.62,24.0,24.0,12.0,10000
20/12/1994,24.12,24.38,24.12,24.38,12.19,8000
21/12/1994,24.38,24.88,24.38,24.88,12.44,7800
22/12/1994,24.88,25.0,24.88,24.88,12.44,9000
23/12/1994,24.88,25.0,24.88,25.0,12.5,5400
27/12/1994,24.88,24.88,24.62,24.75,12.37,6000
28/12/1994,24.75,24.88,24.62,24.75,12.37,3200
29/12/1994,24.62,24.62,23.5,23.75,11.87,9600
30/12/1994,23.75,24.12,23.25,24.0,12.0,28000
03/01/1995,24.0,24.5,23.75,23.75,11.87,4600
04/01/1995,24.12,24.25,24.12,24.25,12.12,3000
05/01/1995,24.12,24.12,24.12,24.12,12.06,1600
06/01/1995,24.12,24.25,24.0,24.25,12.12,3200
09/01/1995,24.25,24.25,24.0,24.12,12.06,5600
10/01/1995,24.0,24.0,23.5,23.5,11.75,6600
11/01/1995,23.5,23.75,22.75,23.5,11.75,25600
12/01/1995,23.5,23.5,23.25,23.38,11.69,4400
13/01/1995,23.38,23.5,23.25,23.5,11.75,3200
16/01/1995,23.5,23.88,23.38,23.5,11.75,6600
17/01/1995,23.5,23.75,23.5,23.75,11.87,3200
18/01/1995,23.75,23.88,23.5,23.75,11.87,12000
19/01/1995,23.62,23.62,23.5,23.5,11.75,3200
20/01/1995,23.25,23.25,22.38,22.75,11.37,36000
23/01/1995,22.75,23.25,22.62,23.25,11.62,9200
24/01/1995,23.25,23.25,23.12,23.25,11.62,3000
25/01/1995,23.25,23.62,23.12,23.62,11.81,14200
26/01/1995,23.62,23.75,23.25,23.38,11.69,8600
