Date,Open,High,Low,Close,Adj Close,Volume
26/02/1992,7.12,8.25,6.88,7.88,7.88,11616800
27/02/1992,8.06,8.06,7.69,7.78,7.78,1918400
28/02/1992,7.81,7.94,7.56,7.69,7.69,1387200
02/03/1992,7.62,8.06,7.56,7.94,7.94,1206000
03/03/1992,7.94,8.06,7.88,8.0,8.0,222800
04/03/1992,8.0,8.0,7.69,7.75,7.75,596000
05/03/1992,7.69,7.75,7.56,7.69,7.69,1759200
06/03/1992,7.62,7.94,7.62,7.75,7.75,297200
09/03/1992,7.81,8.19,7.81,8.0,8.0,659600
10/03/1992,8.0,8.25,7.94,8.19,8.19,698400
11/03/1992,8.31,8.31,8.06,8.06,8.06,274400
12/03/1992,8.06,8.31,8.06,8.19,8.19,519600
13/03/1992,8.12,8.5,8.12,8.44,8.44,233200
16/03/1992,8.38,8.44,8.12,8.12,8.12,372800
17/03/1992,8.19,8.28,8.19,8.19,8.19,172000
18/03/1992,8.19,8.44,8.19,8.31,8.31,147600
19/03/1992,8.5,8.69,8.38,8.56,8.56,613600
20/03/1992,8.69,8.81,8.62,8.75,8.75,181200
23/03/1992,8.81,8.81,8.56,8.75,8.75,51600
24/03/1992,8.62,8.69,8.56,8.62,8.62,88000
25/03/1992,8.56,8.69,8.56,8.66,8.66,230000
26/03/1992,8.69,8.69,8.31,8.31,8.31,556400
27/03/1992,8.25,8.44,7.88,7.88,7.88,251600
30/03/1992,7.88,8.06,7.88,8.0,8.0,188400
31/03/1992,7.94,8.06,7.94,8.0,8.0,210000
01/04/1992,7.94,7.94,7.5,7.59,7.59,272400
02/04/1992,7.5,7.62,7.31,7.5,7.5,416000
03/04/1992,7.31,7.5,7.25,7.5,7.5,574400
06/04/1992,7.44,7.69,7.44,7.56,7.56,588800
07/04/1992,7.69,7.75,7.44,7.56,7.56,909600
08/04/1992,7.44,7.5,7.19,7.38,7.38,544400
09/04/1992,7.38,7.53,7.25,7.47,7.47,355200
10/04/1992,7.56,7.69,7.5,7.5,7.5,93200
13/04/1992,7.56,7.69,7.56,7.69,7.69,37200
14/04/1992,7.69,7.94,7.56,7.94,7.94,193600
15/04/1992,7.94,7.94,7.81,7.81,7.81,85200
16/04/1992,7.81,7.81,7.62,7.62,7.62,91200
20/04/1992,7.66,7.66,7.31,7.34,7.34,256400
21/04/1992,7.12,7.19,6.69,6.81,6.81,542800
22/04/1992,6.75,6.75,6.38,6.62,6.62,663600
23/04/1992,6.62,6.75,6.59,6.69,6.69,229200
24/04/1992,6.62,6.75,6.62,6.62,6.62,92400
27/04/1992,6.75,6.75,6.25,6.31,6.31,514000
28/04/1992,6.44,6.69,6.44,6.62,6.62,350800
29/04/1992,6.66,6.69,6.31,6.5,6.5,390000
30/04/1992,6.44,7.25,6.38,7.25,7.25,336800
01/05/1992,7.38,7.69,7.31,7.69,7.69,400800
04/05/1992,7.62,8.12,7.62,8.12,8.12,440000
05/05/1992,8.19,8.56,8.0,8.38,8.38,246800
06/05/1992,8.5,8.5,8.22,8.25,8.25,405600
07/05/1992,8.19,8.56,8.19,8.38,8.38,623600
08/05/1992,8.5,8.5,8.31,8.34,8.34,335200
11/05/1992,8.31,8.31,7.88,7.88,7.88,270000
12/05/1992,7.88,7.88,7.44,7.53,7.53,233600
13/05/1992,7.5,7.56,7.06,7.25,7.25,244400
14/05/1992,7.12,7.25,6.75,7.12,7.12,451600
15/05/1992,7.0,7.56,6.91,7.38,7.38,305600
18/05/1992,7.31,7.5,7.19,7.19,7.19,288800
19/05/1992,7.12,7.19,7.0,7.19,7.19,85200
20/05/1992,7.06,7.06,6.81,6.84,6.84,154400
21/05/1992,6.75,6.88,6.75,6.75,6.75,109600
22/05/1992,6.78,7.0,6.75,6.88,6.88,155600
26/05/1992,6.88,6.94,6.69,6.69,6.69,179200
27/05/1992,6.88,7.0,6.62,6.75,6.75,1305600
28/05/1992,7.0,7.0,6.81,6.88,6.88,173200
29/05/1992,6.94,6.94,6.59,6.84,6.84,800000
01/06/1992,6.81,7.19,6.81,7.19,7.19,137600
02/06/1992,7.19,7.94,7.19,7.81,7.81,733600
03/06/1992,7.81,8.38,7.81,8.34,8.34,1156800
04/06/1992,8.31,8.38,7.62,7.84,7.84,828400
05/06/1992,7.81,8.06,7.56,7.59,7.59,118800
08/06/1992,7.69,7.81,7.44,7.44,7.44,308000
09/06/1992,7.44,7.44,6.88,6.94,6.94,312800
10/06/1992,7.06,7.31,6.94,7.0,7.0,336800
11/06/1992,7.0,7.31,6.88,7.25,7.25,524800
12/06/1992,7.34,7.38,7.12,7.19,7.19,172000
15/06/1992,7.31,7.31,7.12,7.31,7.31,150800
16/06/1992,7.12,7.25,7.06,7.06,7.06,214000
17/06/1992,7.06,7.06,6.31,6.5,6.5,648400
18/06/1992,6.5,6.5,6.19,6.38,6.38,948000
19/06/1992,6.38,6.62,6.38,6.56,6.56,340800
22/06/1992,6.56,6.56,6.25,6.5,6.5,344400
23/06/1992,6.5,6.81,6.5,6.75,6.75,259200
24/06/1992,6.62,6.75,6.62,6.69,6.69,74000
25/06/1992,6.69,6.69,6.31,6.38,6.38,326400
26/06/1992,6.25,6.5,6.19,6.5,6.5,199200
29/06/1992,6.5,6.81,6.44,6.75,6.75,343600
30/06/1992,6.81,7.19,6.81,7.0,7.0,420800
01/07/1992,6.94,7.0,6.75,6.88,6.88,194800
02/07/1992,6.81,6.81,6.31,6.62,6.62,439600
06/07/1992,6.69,6.81,6.56,6.62,6.62,227600
07/07/1992,6.69,6.69,6.38,6.44,6.44,263200
08/07/1992,6.44,6.62,6.38,6.56,6.56,368800
09/07/1992,6.56,6.81,6.56,6.62,6.62,820400
10/07/1992,6.56,6.69,6.5,6.56,6.56,81200
13/07/1992,6.5,6.56,6.0,6.19,6.19,776000
14/07/1992,6.06,6.44,6.06,6.38,6.38,195600
15/07/1992,6.28,6.38,6.25,6.31,6.31,252400
16/07/1992,6.38,6.44,6.25,6.31,6.31,451600
17/07/1992,6.38,6.5,6.31,6.38,6.38,219600
20/07/1992,6.12,6.25,6.12,6.25,6.25,162400
21/07/1992,6.25,6.25,6.12,6.22,6.22,250400
22/07/1992,6.22,6.25,6.12,6.25,6.25,216800
23/07/1992,6.12,6.16,5.94,5.94,5.94,492400
24/07/1992,5.94,5.97,5.75,5.81,5.81,360000
27/07/1992,5.84,5.84,5.62,5.66,5.66,1535600
28/07/1992,5.69,5.94,5.56,5.88,5.88,2428000
29/07/1992,6.0,6.06,5.88,6.03,6.03,1139600
30/07/1992,6.06,6.44,6.0,6.44,6.44,2898000
31/07/1992,6.44,6.62,6.38,6.5,6.5,1864800
03/08/1992,6.5,6.56,6.38,6.38,6.38,522000
04/08/1992,6.44,6.44,6.25,6.25,6.25,893600
05/08/1992,6.31,6.38,6.31,6.38,6.38,1535600
06/08/1992,6.38,6.41,6.31,6.41,6.41,216400
07/08/1992,6.31,6.5,6.31,6.5,6.5,595600
10/08/1992,6.38,6.44,6.38,6.44,6.44,274400
11/08/1992,6.31,6.44,6.31,6.31,6.31,134000
12/08/1992,6.38,6.38,6.31,6.38,6.38,362400
13/08/1992,6.31,6.38,6.31,6.31,6.31,445600
14/08/1992,6.31,6.38,6.31,6.31,6.31,858800
17/08/1992,6.38,6.44,6.31,6.31,6.31,290400
18/08/1992,6.41,6.44,6.19,6.22,6.22,354400
19/08/1992,6.19,6.31,6.19,6.22,6.22,320000
20/08/1992,6.19,6.22,5.94,5.94,5.94,312000
21/08/1992,5.94,6.12,5.88,5.88,5.88,329600
24/08/1992,5.88,5.94,5.75,5.75,5.75,1096000
25/08/1992,5.75,5.88,5.75,5.88,5.88,1310800
26/08/1992,5.94,6.25,5.88,6.25,6.25,1317200
27/08/1992,6.19,6.38,6.12,6.34,6.34,1305600
28/08/1992,6.31,6.38,6.31,6.38,6.38,998000
31/08/1992,6.31,6.38,6.25,6.25,6.25,2262400
01/09/1992,6.25,6.28,6.25,6.28,6.28,2063600
02/09/1992,6.31,6.31,6.12,6.31,6.31,1288800
03/09/1992,6.19,6.31,6.19,6.25,6.25,955200
04/09/1992,6.25,6.31,6.25,6.31,6.31,778000
08/09/1992,6.19,6.28,6.19,6.19,6.19,60400
09/09/1992,6.19,6.31,6.19,6.25,6.25,362000
10/09/1992,6.38,6.69,6.19,6.62,6.62,2952400
11/09/1992,6.5,7.25,6.5,7.03,7.03,3481200
14/09/1992,7.12,7.31,7.12,7.25,7.25,2900800
15/09/1992,7.19,7.31,7.19,7.25,7.25,887600
16/09/1992,7.06,7.12,7.0,7.06,7.06,444000
17/09/1992,7.06,7.12,6.94,6.94,6.94,480000
18/09/1992,6.94,7.06,6.94,6.97,6.97,320000
21/09/1992,6.94,7.25,6.94,7.16,7.16,1528800
22/09/1992,7.06,7.19,7.03,7.09,7.09,372800
23/09/1992,7.06,7.12,7.0,7.03,7.03,178800
24/09/1992,7.06,7.12,7.0,7.03,7.03,166400
25/09/1992,7.12,7.12,6.5,6.69,6.69,1005600
28/09/1992,6.56,6.88,6.44,6.88,6.88,411200
29/09/1992,6.84,7.0,6.75,6.94,6.94,144800
30/09/1992,6.94,7.44,6.94,7.38,7.38,1877600
01/10/1992,7.25,7.38,7.19,7.31,7.31,372400
02/10/1992,7.19,7.22,6.94,6.94,6.94,1053600
05/10/1992,6.88,6.94,6.38,6.62,6.62,796800
06/10/1992,6.69,6.75,6.56,6.69,6.69,716400
07/10/1992,6.62,6.75,6.56,6.59,6.59,278800
08/10/1992,6.56,6.94,6.56,6.84,6.84,1690800
09/10/1992,6.94,7.19,6.81,7.06,7.06,1269200
12/10/1992,7.06,7.31,7.06,7.25,7.25,859200
13/10/1992,7.25,7.31,7.19,7.25,7.25,1376400
14/10/1992,7.19,7.22,7.12,7.22,7.22,343200
15/10/1992,7.12,7.44,7.12,7.41,7.41,647200
16/10/1992,7.38,7.81,7.38,7.81,7.81,3544400
19/10/1992,7.69,8.19,7.69,8.12,8.12,1288000
20/10/1992,8.06,8.25,7.81,7.81,7.81,1742400
21/10/1992,7.81,8.19,7.81,8.12,8.12,668400
22/10/1992,8.06,8.06,7.69,7.88,7.88,363600
23/10/1992,7.88,7.88,7.5,7.62,7.62,1185200
26/10/1992,7.56,7.62,7.5,7.5,7.5,294400
27/10/1992,7.38,7.44,7.09,7.25,7.25,1070400
28/10/1992,7.38,7.5,7.25,7.31,7.31,536000
29/10/1992,7.38,7.75,7.38,7.53,7.53,1123600
30/10/1992,7.56,7.62,7.5,7.56,7.56,328000
02/11/1992,7.5,7.62,7.5,7.56,7.56,198800
03/11/1992,7.5,7.78,7.5,7.75,7.75,776000
04/11/1992,7.75,7.81,7.69,7.81,7.81,1099600
05/11/1992,7.69,8.09,7.69,8.0,8.0,1137200
06/11/1992,8.0,8.25,8.0,8.12,8.12,940400
09/11/1992,8.19,8.31,8.12,8.31,8.31,740000
10/11/1992,8.19,8.31,8.06,8.06,8.06,565200
11/11/1992,8.06,8.34,8.06,8.25,8.25,780400
12/11/1992,8.31,8.31,8.12,8.12,8.12,1027600
13/11/1992,8.19,8.25,8.0,8.12,8.12,242000
16/11/1992,8.12,8.22,8.06,8.22,8.22,169600
17/11/1992,8.19,8.19,8.06,8.19,8.19,316400
18/11/1992,8.0,8.53,8.0,8.44,8.44,810800
19/11/1992,8.5,8.88,8.5,8.75,8.75,946400
20/11/1992,8.69,8.75,8.56,8.62,8.62,961600
23/11/1992,8.62,8.69,8.12,8.19,8.19,288400
24/11/1992,8.12,8.25,7.88,8.03,8.03,881600
25/11/1992,8.0,8.06,7.88,7.94,7.94,565200
27/11/1992,7.88,8.0,7.88,7.88,7.88,35600
30/11/1992,8.0,8.0,7.81,7.81,7.81,377600
01/12/1992,7.75,7.81,7.44,7.62,7.62,587200
02/12/1992,7.62,7.75,7.62,7.69,7.69,881600
03/12/1992,7.62,7.75,7.62,7.62,7.62,196400
04/12/1992,7.62,8.0,7.62,7.91,7.91,1166400
07/12/1992,7.88,8.19,7.88,8.19,8.19,906000
08/12/1992,8.12,8.38,8.12,8.31,8.31,854000
09/12/1992,8.25,8.38,8.25,8.38,8.38,1419600
10/12/1992,8.31,8.38,8.25,8.25,8.25,894400
11/12/1992,8.25,8.38,8.25,8.31,8.31,676400
14/12/1992,8.25,8.31,8.25,8.31,8.31,168800
15/12/1992,8.31,8.31,8.12,8.31,8.31,769200
16/12/1992,8.25,8.31,8.19,8.31,8.31,257200
17/12/1992,8.31,8.62,8.25,8.56,8.56,519200
18/12/1992,8.62,8.69,8.5,8.62,8.62,336400
21/12/1992,8.69,8.72,8.56,8.62,8.62,79200
22/12/1992,8.75,8.84,8.62,8.66,8.66,483200
23/12/1992,8.75,8.81,8.69,8.75,8.75,434400
24/12/1992,8.69,8.78,8.69,8.75,8.75,34000
28/12/1992,8.69,8.81,8.56,8.62,8.62,146800
29/12/1992,8.5,8.5,8.31,8.44,8.44,224800
30/12/1992,8.5,8.62,8.44,8.53,8.53,664800
31/12/1992,8.56,8.69,8.47,8.66,8.66,678000
04/01/1993,8.62,8.62,8.31,8.56,8.56,199200
05/01/1993,8.38,8.69,8.38,8.62,8.62,397600
06/01/1993,8.75,9.25,8.75,9.19,9.19,1153200
07/01/1993,9.31,9.62,9.19,9.25,9.25,2245600
08/01/1993,9.19,9.31,9.19,9.25,9.25,528800
11/01/1993,9.25,9.31,9.12,9.12,9.12,404800
12/01/1993,9.19,9.19,8.88,8.88,8.88,162800
13/01/1993,8.88,8.94,8.81,8.88,8.88,150000
14/01/1993,8.88,9.12,8.81,9.12,9.12,1038000
15/01/1993,9.0,9.56,9.0,9.31,9.31,1751600
18/01/1993,9.31,9.5,9.31,9.38,9.38,251600
19/01/1993,9.44,9.44,9.06,9.16,9.16,1260000
20/01/1993,9.09,9.19,8.5,8.5,8.5,1677200
21/01/1993,8.5,8.62,8.0,8.53,8.53,2728000
22/01/1993,8.62,8.75,8.38,8.38,8.38,525600
25/01/1993,8.31,8.88,8.31,8.88,8.88,448800
26/01/1993,8.88,9.0,8.75,9.0,9.0,534400
27/01/1993,8.94,9.0,8.62,8.75,8.75,834000
28/01/1993,8.62,8.75,8.5,8.62,8.62,457200
29/01/1993,8.62,8.62,8.31,8.44,8.44,518800
01/02/1993,8.34,8.44,8.06,8.38,8.38,426000
02/02/1993,8.31,8.75,8.31,8.72,8.72,454800
03/02/1993,8.69,8.81,8.31,8.44,8.44,486800
04/02/1993,8.44,8.44,7.94,7.94,7.94,658800
05/02/1993,7.94,8.0,7.56,7.72,7.72,2412800
08/02/1993,7.62,7.81,7.56,7.69,7.69,949600
09/02/1993,7.72,7.75,7.5,7.53,7.53,960800
10/02/1993,7.62,8.12,7.56,7.81,7.81,882000
11/02/1993,7.81,7.94,7.5,7.62,7.62,654000
12/02/1993,7.75,8.19,7.75,8.19,8.19,603600
16/02/1993,8.0,8.0,7.19,7.56,7.56,710800
17/02/1993,7.44,7.62,7.22,7.25,7.25,1638800
18/02/1993,7.44,7.75,7.44,7.75,7.75,539200
19/02/1993,7.81,8.06,7.69,8.06,8.06,486400
22/02/1993,8.19,8.19,7.91,8.0,8.0,800400
23/02/1993,8.06,8.12,7.88,7.88,7.88,664400
24/02/1993,7.75,8.06,7.75,8.0,8.0,403200
25/02/1993,7.94,8.09,7.88,8.0,8.0,240000
26/02/1993,8.06,8.12,8.0,8.0,8.0,276000
01/03/1993,8.03,8.12,8.0,8.12,8.12,32000
02/03/1993,7.88,8.0,7.84,7.94,7.94,148000
03/03/1993,7.88,8.0,7.81,7.94,7.94,103600
04/03/1993,7.81,7.88,7.69,7.81,7.81,321200
05/03/1993,7.81,7.81,7.69,7.69,7.69,73600
08/03/1993,7.81,7.81,7.56,7.69,7.69,185600
09/03/1993,7.69,7.69,7.31,7.41,7.41,319200
10/03/1993,7.31,7.38,7.12,7.25,7.25,1746400
11/03/1993,7.19,7.44,7.0,7.06,7.06,2574000
12/03/1993,6.94,7.25,6.66,7.22,7.22,3586400
15/03/1993,7.38,7.44,7.06,7.12,7.12,610800
16/03/1993,7.12,7.12,7.0,7.12,7.12,896400
17/03/1993,7.09,7.19,7.0,7.06,7.06,663200
18/03/1993,7.06,7.06,6.88,6.88,6.88,863200
19/03/1993,6.91,7.0,6.66,6.66,6.66,1996800
22/03/1993,6.62,6.62,6.44,6.5,6.5,1267600
23/03/1993,6.56,6.81,6.5,6.75,6.75,508800
24/03/1993,6.88,7.25,6.88,7.22,7.22,377200
25/03/1993,7.56,7.75,7.38,7.56,7.56,739200
26/03/1993,7.75,8.06,7.75,7.94,7.94,672400
29/03/1993,7.94,8.31,7.94,8.12,8.12,336000
30/03/1993,8.31,8.5,8.28,8.34,8.34,995600
31/03/1993,8.41,8.56,8.31,8.38,8.38,605200
01/04/1993,8.44,8.44,8.25,8.31,8.31,474800
02/04/1993,8.19,8.22,8.0,8.16,8.16,467600
05/04/1993,8.19,8.19,7.81,7.81,7.81,382800
06/04/1993,8.0,8.12,7.81,7.94,7.94,244800
07/04/1993,8.06,8.06,7.88,7.94,7.94,497200
08/04/1993,8.06,8.12,8.0,8.12,8.12,158000
12/04/1993,8.12,8.19,7.94,8.0,8.0,267200
13/04/1993,8.0,8.38,8.0,8.19,8.19,294000
14/04/1993,8.19,8.25,7.44,7.5,7.5,438400
15/04/1993,7.44,8.19,7.31,8.0,8.0,656400
16/04/1993,8.06,8.25,7.94,8.22,8.22,195200
19/04/1993,8.25,8.25,7.94,8.16,8.16,550400
20/04/1993,8.62,8.75,8.5,8.62,8.62,4040800
21/04/1993,8.62,8.81,8.56,8.75,8.75,351600
22/04/1993,8.69,8.88,8.62,8.75,8.75,819200
23/04/1993,8.81,8.88,8.69,8.75,8.75,410400
26/04/1993,8.69,8.81,8.69,8.69,8.69,491200
27/04/1993,8.75,9.12,8.69,9.0,9.0,1663600
28/04/1993,9.0,9.19,8.56,8.62,8.62,1056800
29/04/1993,8.56,8.56,8.19,8.5,8.5,934000
30/04/1993,8.56,8.81,8.38,8.78,8.78,479600
03/05/1993,8.81,8.81,8.44,8.81,8.81,482400
04/05/1993,8.81,9.25,8.69,9.12,9.12,1714400
05/05/1993,9.12,9.5,9.12,9.38,9.38,2310800
06/05/1993,9.38,9.5,9.25,9.28,9.28,693200
07/05/1993,9.25,9.31,9.06,9.12,9.12,783600
10/05/1993,9.12,9.25,9.0,9.25,9.25,299200
11/05/1993,9.12,9.19,9.06,9.19,9.19,19200
12/05/1993,9.0,9.25,9.0,9.12,9.12,96800
13/05/1993,9.06,9.12,8.97,8.97,8.97,429200
14/05/1993,8.94,9.06,8.94,8.94,8.94,332000
17/05/1993,8.97,9.0,8.94,9.0,9.0,652000
18/05/1993,8.94,9.06,8.94,9.0,9.0,421200
19/05/1993,9.06,9.56,9.0,9.5,9.5,1055600
20/05/1993,9.75,10.31,9.75,10.31,10.31,2939200
21/05/1993,10.19,10.25,9.75,10.25,10.25,1997200
24/05/1993,10.12,10.38,10.06,10.12,10.12,1434000
25/05/1993,10.12,10.56,10.0,10.56,10.56,726800
26/05/1993,10.56,10.56,10.38,10.44,10.44,301200
27/05/1993,10.56,10.56,10.25,10.25,10.25,425600
28/05/1993,10.25,10.25,9.94,10.12,10.12,267600
01/06/1993,10.0,10.31,10.0,10.31,10.31,337600
02/06/1993,10.19,10.31,10.19,10.31,10.31,152800
03/06/1993,10.38,10.81,10.31,10.75,10.75,680400
04/06/1993,10.69,10.69,10.06,10.06,10.06,1608400
07/06/1993,10.12,10.12,9.62,9.78,9.78,620000
08/06/1993,9.69,9.75,9.31,9.5,9.5,1447200
09/06/1993,9.38,9.88,9.38,9.81,9.81,812400
10/06/1993,9.88,9.88,9.69,9.75,9.75,196400
11/06/1993,9.75,9.88,9.75,9.78,9.78,267600
14/06/1993,9.88,10.31,9.75,10.12,10.12,856000
15/06/1993,10.31,10.31,9.75,9.75,9.75,670800
16/06/1993,9.75,10.06,9.75,10.0,10.0,245600
17/06/1993,10.06,10.06,9.94,10.06,10.06,692400
18/06/1993,9.94,10.06,9.94,10.06,10.06,428400
21/06/1993,10.0,10.0,9.56,9.69,9.69,679600
22/06/1993,9.69,9.69,9.5,9.56,9.56,163200
23/06/1993,9.62,9.94,9.5,9.91,9.91,288800
24/06/1993,9.75,9.81,9.62,9.75,9.75,368800
25/06/1993,9.75,10.88,9.62,10.81,10.81,1836400
28/06/1993,10.81,11.5,10.75,11.5,11.5,1176000
29/06/1993,11.5,11.56,11.19,11.5,11.5,889200
30/06/1993,11.38,11.75,11.38,11.38,11.38,617600
01/07/1993,10.88,11.19,10.75,10.88,10.88,610800
02/07/1993,10.88,11.38,10.75,11.38,11.38,567200
06/07/1993,11.19,11.38,11.06,11.31,11.31,866800
07/07/1993,11.06,11.25,11.0,11.19,11.19,391600
08/07/1993,11.25,11.31,11.06,11.25,11.25,187200
09/07/1993,11.19,11.44,11.12,11.31,11.31,161200
12/07/1993,11.31,11.56,11.31,11.31,11.31,367600
13/07/1993,11.25,11.44,11.25,11.31,11.31,180400
14/07/1993,11.31,11.44,11.31,11.44,11.44,168000
15/07/1993,11.44,11.44,10.94,10.97,10.97,736800
16/07/1993,10.94,10.94,10.38,10.38,10.38,841200
19/07/1993,10.38,10.62,10.19,10.31,10.31,1222800
20/07/1993,10.5,11.44,10.5,11.22,11.22,2143200
21/07/1993,11.19,11.22,11.06,11.19,11.19,791200
22/07/1993,11.19,11.31,11.12,11.25,11.25,818400
23/07/1993,11.25,12.12,11.19,12.0,12.0,1376800
26/07/1993,12.06,12.31,12.0,12.19,12.19,2224800
27/07/1993,12.19,12.69,12.19,12.5,12.5,1925600
28/07/1993,12.5,12.5,12.19,12.38,12.38,1258400
29/07/1993,12.44,12.5,12.38,12.41,12.41,1261200
30/07/1993,12.44,12.44,12.12,12.19,12.19,274800
02/08/1993,12.31,12.69,12.25,12.5,12.5,991600
03/08/1993,12.44,12.5,12.19,12.25,12.25,1108800
04/08/1993,12.19,12.25,12.12,12.19,12.19,362400
05/08/1993,12.25,12.56,12.12,12.47,12.47,446400
06/08/1993,12.5,12.75,12.44,12.69,12.69,514800
09/08/1993,12.81,12.94,12.69,12.81,12.81,428800
10/08/1993,12.69,12.81,12.62,12.75,12.75,394800
11/08/1993,12.81,12.81,12.69,12.69,12.69,510400
12/08/1993,12.69,12.75,12.19,12.31,12.31,797200
13/08/1993,12.0,12.06,11.75,11.97,11.97,354400
16/08/1993,12.0,12.44,11.88,12.38,12.38,425600
17/08/1993,12.44,12.44,12.12,12.31,12.31,174400
18/08/1993,12.19,12.75,12.19,12.62,12.62,921200
19/08/1993,12.62,12.81,12.5,12.81,12.81,443200
20/08/1993,12.75,12.81,12.38,12.44,12.44,743600
23/08/1993,12.5,12.84,12.38,12.44,12.44,332000
24/08/1993,12.38,12.38,12.12,12.38,12.38,381600
25/08/1993,12.0,12.38,12.0,12.16,12.16,1205600
26/08/1993,12.12,12.19,11.81,12.12,12.12,798000
27/08/1993,12.19,12.19,11.94,11.94,11.94,290000
30/08/1993,11.94,12.06,11.94,11.94,11.94,107200
31/08/1993,12.06,12.06,11.94,12.06,12.06,122800
01/09/1993,12.0,12.44,11.94,12.44,12.44,844000
02/09/1993,12.44,12.88,12.38,12.62,12.62,746000
03/09/1993,12.62,12.75,12.16,12.5,12.5,561600
07/09/1993,12.44,12.5,12.25,12.25,12.25,1390400
08/09/1993,12.19,12.31,11.5,11.75,11.75,1705200
09/09/1993,11.81,12.5,11.69,12.5,12.5,828000
10/09/1993,12.38,12.5,12.31,12.5,12.5,128800
13/09/1993,12.44,12.5,12.06,12.09,12.09,516000
14/09/1993,12.0,12.0,11.56,11.75,11.75,1014000
15/09/1993,11.75,12.0,11.69,11.81,11.81,1048800
16/09/1993,11.56,11.75,11.44,11.69,11.69,1338400
17/09/1993,11.56,11.62,11.19,11.19,11.19,874000
20/09/1993,11.31,11.56,11.19,11.53,11.53,519200
21/09/1993,11.44,11.56,11.25,11.31,11.31,154800
22/09/1993,11.5,11.62,11.38,11.62,11.62,319600
23/09/1993,11.62,12.31,11.62,12.19,12.19,642400
24/09/1993,12.06,12.44,12.06,12.06,12.06,823600
27/09/1993,12.19,12.19,11.88,11.94,11.94,187600
28/09/1993,12.06,12.06,11.81,11.88,11.88,91600
29/09/1993,11.94,11.94,11.81,11.94,11.94,51600
30/09/1993,11.81,11.88,11.69,11.88,11.88,336000
01/10/1993,11.88,11.88,11.75,11.75,11.75,67200
04/10/1993,11.75,11.81,11.75,11.75,11.75,150000
05/10/1993,11.81,11.81,11.19,11.31,11.31,1656000
06/10/1993,11.19,11.44,10.88,11.41,11.41,1338800
07/10/1993,11.5,11.56,11.25,11.38,11.38,567200
08/10/1993,11.44,11.5,11.25,11.25,11.25,339600
11/10/1993,11.19,11.5,11.19,11.5,11.5,1734000
12/10/1993,11.5,12.38,11.44,12.12,12.12,1243600
13/10/1993,12.06,12.44,12.06,12.31,12.31,433200
14/10/1993,12.25,12.75,12.25,12.62,12.62,704000
15/10/1993,12.81,13.0,12.62,12.81,12.81,571200
18/10/1993,12.81,12.94,12.62,12.62,12.62,412800
19/10/1993,12.62,12.69,12.06,12.12,12.12,784800
20/10/1993,12.19,12.25,11.75,11.75,11.75,1931600
21/10/1993,11.81,12.47,11.69,12.25,12.25,418800
22/10/1993,12.06,12.81,11.88,12.28,12.28,1646000
25/10/1993,12.25,12.38,12.0,12.06,12.06,1020400
26/10/1993,12.03,12.06,11.75,11.94,11.94,773200
27/10/1993,12.06,12.5,11.94,12.5,12.5,995200
28/10/1993,12.56,13.19,12.44,12.94,12.94,1559600
29/10/1993,12.91,13.0,12.69,12.88,12.88,1055600
01/11/1993,12.94,13.19,12.69,12.88,12.88,857200
02/11/1993,12.88,12.88,12.31,12.5,12.5,756800
03/11/1993,12.38,12.5,11.88,11.94,11.94,688400
04/11/1993,11.81,12.0,11.69,11.81,11.81,803600
05/11/1993,11.62,12.25,11.62,12.22,12.22,920000
08/11/1993,12.31,12.5,12.12,12.5,12.5,367200
09/11/1993,12.5,12.69,12.38,12.5,12.5,332000
10/11/1993,12.44,12.5,12.0,12.38,12.38,814800
11/11/1993,12.31,12.31,12.03,12.12,12.12,271200
12/11/1993,12.12,12.25,12.12,12.19,12.19,19600
15/11/1993,12.19,12.25,12.0,12.12,12.12,151200
16/11/1993,12.19,12.31,11.88,12.03,12.03,1504400
17/11/1993,11.94,12.06,11.69,11.94,11.94,537200
18/11/1993,11.81,11.94,11.41,11.5,11.5,2080400
19/11/1993,11.44,11.56,11.19,11.38,11.38,1004000
22/11/1993,11.19,11.25,10.81,11.25,11.25,1126400
23/11/1993,11.31,11.72,11.25,11.66,11.66,824400
24/11/1993,11.75,11.94,11.69,11.81,11.81,424400
26/11/1993,11.88,11.94,11.75,11.78,11.78,46400
29/11/1993,11.81,11.91,10.97,11.31,11.31,750800
30/11/1993,11.31,11.5,11.19,11.31,11.31,517200
