Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.9,8.9,8.82,8.9,1.58,1390408
03/01/1990,8.9,8.97,8.86,8.93,1.58,2169586
04/01/1990,8.9,8.9,8.55,8.55,1.51,1498118
05/01/1990,8.67,8.67,8.32,8.4,1.49,1335079
08/01/1990,8.48,8.63,8.44,8.63,1.53,674087
09/01/1990,8.63,8.78,8.55,8.55,1.51,1211328
10/01/1990,8.48,8.63,8.44,8.59,1.52,1245048
11/01/1990,8.59,8.63,8.55,8.59,1.52,699296
12/01/1990,8.55,8.55,8.32,8.4,1.49,815845
15/01/1990,8.32,8.4,8.32,8.32,1.47,746112
16/01/1990,8.25,8.4,8.21,8.4,1.49,773613
17/01/1990,8.4,8.51,8.36,8.44,1.49,823703
18/01/1990,8.4,8.51,8.36,8.51,1.51,803405
19/01/1990,8.55,8.71,8.51,8.67,1.53,1108856
22/01/1990,8.63,8.67,8.51,8.51,1.51,658046
23/01/1990,8.51,8.55,8.44,8.51,1.51,782125
24/01/1990,8.44,8.55,8.36,8.48,1.5,1090522
25/01/1990,8.51,8.51,8.4,8.44,1.49,615813
26/01/1990,8.4,8.48,8.32,8.4,1.49,944181
29/01/1990,8.4,8.44,8.25,8.36,1.48,2455721
30/01/1990,8.09,8.17,7.98,8.09,1.46,5229989
31/01/1990,8.17,8.36,8.13,8.25,1.49,5548535
01/02/1990,8.25,8.29,8.21,8.29,1.5,955639
02/02/1990,8.25,8.32,8.25,8.29,1.5,662629
05/02/1990,8.29,8.36,8.25,8.32,1.5,812899
06/02/1990,8.32,8.36,8.21,8.21,1.48,847929
07/02/1990,8.17,8.32,8.13,8.32,1.5,696022
08/02/1990,8.32,8.32,8.21,8.21,1.48,838762
09/02/1990,8.21,8.29,8.21,8.29,1.5,521526
12/02/1990,8.25,8.29,8.17,8.21,1.48,480930
13/02/1990,8.21,8.21,8.06,8.17,1.48,894091
14/02/1990,8.21,8.29,8.17,8.29,1.5,834179
15/02/1990,8.25,8.4,8.25,8.36,1.51,1031593
16/02/1990,8.36,8.36,8.21,8.21,1.48,1220494
20/02/1990,8.21,8.21,8.06,8.17,1.48,942544
21/02/1990,8.09,8.21,8.06,8.13,1.47,994271
22/02/1990,8.17,8.17,8.06,8.09,1.46,955639
23/02/1990,8.06,8.13,7.98,8.09,1.46,850548
26/02/1990,8.06,8.09,8.02,8.06,1.45,1685710
27/02/1990,8.06,8.06,8.02,8.02,1.45,973645
28/02/1990,8.02,8.02,7.94,7.98,1.44,4896710
01/03/1990,7.98,8.02,7.94,7.94,1.43,2405631
02/03/1990,7.98,8.02,7.94,7.94,1.43,2794238
05/03/1990,7.94,7.98,7.9,7.94,1.43,3238173
06/03/1990,7.9,7.98,7.9,7.98,1.44,1914880
07/03/1990,7.98,8.02,7.9,7.9,1.43,2053364
08/03/1990,7.94,7.98,7.9,7.98,1.44,1708627
09/03/1990,7.94,7.94,7.9,7.94,1.43,686201
12/03/1990,7.9,7.98,7.9,7.98,1.44,1016206
13/03/1990,7.94,7.98,7.9,7.9,1.43,1558029
14/03/1990,7.9,7.98,7.9,7.98,1.44,999836
15/03/1990,7.94,8.02,7.94,7.98,1.44,991979
16/03/1990,8.06,8.06,7.94,8.06,1.45,3694549
19/03/1990,8.02,8.06,7.98,8.02,1.45,623343
20/03/1990,8.02,8.09,7.94,8.02,1.45,993616
21/03/1990,8.02,8.13,7.98,8.06,1.45,778851
22/03/1990,8.06,8.09,7.87,7.9,1.43,893436
23/03/1990,7.9,8.17,7.79,7.83,1.41,880013
26/03/1990,7.83,7.87,7.83,7.87,1.42,1007039
27/03/1990,7.83,8.02,7.83,8.02,1.45,736618
28/03/1990,7.98,8.02,7.9,7.98,1.44,985759
29/03/1990,7.94,7.98,7.9,7.94,1.43,795875
30/03/1990,7.98,8.02,7.94,8.02,1.45,911115
02/04/1990,7.94,8.02,7.9,7.94,1.43,1119332
03/04/1990,7.9,8.02,7.87,8.02,1.45,613848
04/04/1990,8.02,8.02,7.9,7.94,1.43,603045
05/04/1990,7.94,7.94,7.87,7.9,1.43,364053
06/04/1990,7.9,7.94,7.79,7.87,1.42,468489
09/04/1990,7.79,7.9,7.79,7.9,1.43,481257
10/04/1990,7.9,7.9,7.83,7.87,1.42,1180553
11/04/1990,7.83,7.9,7.83,7.83,1.41,328368
12/04/1990,7.87,7.87,7.79,7.83,1.41,609592
16/04/1990,7.87,7.87,7.71,7.75,1.4,1160583
17/04/1990,7.71,7.79,7.64,7.75,1.4,886561
18/04/1990,7.83,7.83,7.48,7.79,1.41,1228352
19/04/1990,7.79,7.83,7.75,7.83,1.41,964479
20/04/1990,7.79,7.79,7.67,7.71,1.39,1309871
23/04/1990,7.71,7.75,7.6,7.6,1.37,998854
24/04/1990,7.6,7.64,7.56,7.64,1.38,584711
25/04/1990,7.64,7.64,7.52,7.52,1.36,791946
26/04/1990,7.56,7.56,7.41,7.48,1.35,2502537
27/04/1990,7.45,7.45,7.37,7.37,1.33,1195940
30/04/1990,7.41,7.52,7.37,7.45,1.34,1428057
01/05/1990,7.33,7.37,7.25,7.37,1.36,1897201
02/05/1990,7.37,7.37,7.22,7.22,1.33,2151252
03/05/1990,7.25,7.29,7.22,7.25,1.34,1016860
04/05/1990,7.25,7.41,7.25,7.41,1.37,1355050
07/05/1990,7.41,7.64,7.41,7.64,1.41,965461
08/05/1990,7.64,7.64,7.52,7.56,1.4,1713537
09/05/1990,7.6,7.64,7.6,7.64,1.41,1131773
10/05/1990,7.64,7.67,7.6,7.64,1.41,969717
11/05/1990,7.64,7.83,7.64,7.75,1.43,3198560
14/05/1990,7.75,7.87,7.71,7.87,1.45,3160910
15/05/1990,7.79,7.87,7.79,7.83,1.45,1477492
16/05/1990,7.83,8.09,7.75,7.83,1.45,2419054
17/05/1990,7.79,7.83,7.75,7.79,1.44,1540350
18/05/1990,7.79,7.79,7.71,7.79,1.44,2868555
21/05/1990,7.75,7.83,7.71,7.79,1.44,793911
22/05/1990,7.79,7.79,7.71,7.75,1.43,981175
23/05/1990,7.71,7.75,7.52,7.52,1.39,1729579
24/05/1990,7.56,7.64,7.56,7.56,1.4,1536422
25/05/1990,7.6,7.64,7.56,7.56,1.4,1108528
29/05/1990,7.56,7.67,7.56,7.67,1.42,1198887
30/05/1990,7.71,7.75,7.64,7.71,1.42,1239810
