Date,Open,High,Low,Close,Adj Close,Volume
29/06/1998,14.12,14.44,13.97,14.28,5.6,12615000
30/06/1998,14.22,14.22,13.88,13.91,5.45,3075200
01/07/1998,13.88,14.0,13.56,13.94,5.46,1186200
02/07/1998,13.88,13.88,13.62,13.84,5.43,1127200
06/07/1998,13.84,13.84,13.56,13.59,5.33,1233600
07/07/1998,13.59,13.62,13.47,13.53,5.31,1247000
08/07/1998,13.53,13.62,13.5,13.62,5.34,784600
09/07/1998,13.56,13.59,13.38,13.5,5.29,586200
10/07/1998,13.5,13.5,13.16,13.5,5.29,768600
13/07/1998,13.38,13.47,13.16,13.44,5.27,771000
14/07/1998,13.41,13.56,13.25,13.5,5.29,1336800
15/07/1998,13.44,13.47,13.28,13.47,5.28,465600
16/07/1998,13.41,13.44,13.25,13.31,5.22,807200
17/07/1998,13.31,13.31,13.16,13.25,5.19,1087000
20/07/1998,13.16,13.19,13.0,13.16,5.16,1084000
21/07/1998,13.09,13.16,12.94,13.0,5.1,437600
22/07/1998,13.03,13.03,12.88,13.03,5.11,1013000
23/07/1998,13.03,13.19,13.03,13.16,5.16,892400
24/07/1998,13.06,13.09,13.0,13.06,5.12,1031600
27/07/1998,13.0,13.12,12.91,13.09,5.13,769600
28/07/1998,13.03,13.09,12.69,12.88,5.05,1633800
29/07/1998,12.78,12.88,12.53,12.75,5.0,1044400
30/07/1998,12.69,12.97,12.66,12.88,5.05,935800
31/07/1998,12.88,12.88,12.5,12.59,4.94,773600
03/08/1998,12.5,12.56,12.28,12.44,4.88,1298400
04/08/1998,12.34,12.34,11.88,12.03,4.72,1235200
05/08/1998,12.12,12.56,12.06,12.56,4.93,1002600
06/08/1998,12.56,12.56,12.25,12.38,4.85,1137000
07/08/1998,12.31,12.41,12.12,12.22,4.79,703000
10/08/1998,12.25,12.5,12.25,12.38,4.85,1498800
11/08/1998,12.25,12.28,12.0,12.09,4.74,716800
12/08/1998,12.09,12.56,12.06,12.56,4.93,798000
13/08/1998,12.44,12.53,12.34,12.47,4.89,413000
14/08/1998,12.34,12.44,12.25,12.38,4.85,391400
17/08/1998,12.5,12.66,12.41,12.62,4.95,1041000
18/08/1998,12.59,12.62,12.38,12.5,4.9,901800
19/08/1998,12.47,12.47,12.31,12.44,4.88,605400
20/08/1998,12.5,12.56,12.44,12.53,4.91,1263800
21/08/1998,12.44,12.62,12.41,12.62,4.95,918000
24/08/1998,12.69,12.81,12.66,12.69,4.97,755800
25/08/1998,12.72,12.88,12.69,12.88,5.05,1171600
26/08/1998,12.81,12.84,12.75,12.81,5.02,692000
27/08/1998,12.81,12.94,12.78,12.78,5.01,1447200
28/08/1998,12.81,12.81,12.72,12.81,5.02,692200
31/08/1998,12.78,12.78,12.44,12.72,4.99,2624200
01/09/1998,12.59,12.66,12.28,12.66,4.96,892000
02/09/1998,12.53,12.56,12.31,12.53,4.91,2602000
03/09/1998,12.41,12.53,12.28,12.5,4.9,534400
04/09/1998,12.56,12.62,12.41,12.56,4.93,718600
08/09/1998,12.53,12.66,12.38,12.66,4.96,397400
09/09/1998,12.66,12.66,12.5,12.62,4.95,433400
10/09/1998,12.56,12.69,12.5,12.66,4.96,654400
11/09/1998,12.56,12.72,12.47,12.69,4.97,464600
14/09/1998,12.75,12.88,12.69,12.88,5.05,580600
15/09/1998,12.78,13.22,12.78,13.16,5.16,649800
16/09/1998,13.12,13.22,13.03,13.22,5.18,2367000
17/09/1998,12.91,13.03,12.88,12.97,5.16,3287600
18/09/1998,12.94,13.19,12.91,13.16,5.24,683800
21/09/1998,13.16,13.22,13.03,13.16,5.24,556400
22/09/1998,13.19,13.25,13.03,13.03,5.19,817400
23/09/1998,13.12,13.34,13.06,13.34,5.31,743000
24/09/1998,13.34,13.34,13.03,13.12,5.22,1448200
25/09/1998,13.0,13.22,13.0,13.19,5.25,369800
28/09/1998,13.09,13.25,13.03,13.25,5.27,828200
29/09/1998,13.22,13.44,13.22,13.38,5.32,528400
30/09/1998,13.25,13.25,12.97,13.03,5.19,740600
01/10/1998,13.06,13.38,13.03,13.34,5.31,850200
