Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,4.91,4.95,4.86,4.94,2.8,914400
03/01/1990,4.98,5.06,4.98,5.0,2.83,2444000
04/01/1990,5.0,5.0,4.91,4.95,2.81,2237600
05/01/1990,4.97,4.98,4.95,4.97,2.81,258400
08/01/1990,4.97,5.02,4.95,5.0,2.83,873600
09/01/1990,5.03,5.05,5.0,5.0,2.83,961600
10/01/1990,5.02,5.03,4.84,4.89,2.77,2244800
11/01/1990,4.91,5.05,4.91,5.05,2.86,1288800
12/01/1990,5.0,5.05,4.97,5.0,2.83,1564000
15/01/1990,5.0,5.02,4.97,4.97,2.81,1035200
16/01/1990,4.97,5.0,4.95,5.0,2.83,1239200
17/01/1990,5.0,5.0,4.97,4.98,2.82,2031200
18/01/1990,4.98,4.98,4.95,4.95,2.81,996000
19/01/1990,4.95,4.95,4.83,4.84,2.74,1620000
22/01/1990,4.88,4.88,4.75,4.75,2.69,952800
23/01/1990,4.75,4.81,4.72,4.75,2.69,764000
24/01/1990,4.69,4.69,4.5,4.56,2.58,1641600
25/01/1990,4.59,4.59,4.55,4.56,2.58,1008000
26/01/1990,4.53,4.56,4.48,4.5,2.55,1260800
29/01/1990,4.5,4.5,4.38,4.45,2.52,976800
30/01/1990,4.45,4.45,4.28,4.31,2.44,1755200
31/01/1990,4.31,4.38,4.3,4.36,2.47,2112000
01/02/1990,4.38,4.38,4.34,4.38,2.48,496800
02/02/1990,4.39,4.56,4.39,4.48,2.54,1284000
05/02/1990,4.52,4.58,4.48,4.55,2.58,648000
06/02/1990,4.59,4.62,4.56,4.61,2.61,760000
07/02/1990,4.58,4.67,4.58,4.67,2.65,263200
08/02/1990,4.7,4.72,4.66,4.67,2.65,533600
09/02/1990,4.7,4.77,4.69,4.75,2.69,489600
12/02/1990,4.75,4.75,4.69,4.72,2.67,272000
13/02/1990,4.7,4.72,4.64,4.66,2.64,506400
14/02/1990,4.66,4.67,4.62,4.62,2.62,358400
15/02/1990,4.66,4.69,4.62,4.69,2.66,614400
16/02/1990,4.69,4.7,4.64,4.64,2.63,403200
20/02/1990,4.62,4.64,4.47,4.48,2.54,720800
21/02/1990,4.44,4.45,4.41,4.42,2.5,460000
22/02/1990,4.47,4.47,4.41,4.41,2.5,1161600
23/02/1990,4.41,4.42,4.38,4.39,2.49,568800
26/02/1990,4.41,4.41,4.31,4.33,2.45,3068800
