Date,Open,High,Low,Close,Adj Close,Volume
17/03/1992,1.57,1.57,1.54,1.54,1.37,156000
18/03/1992,1.56,1.6,1.55,1.6,1.43,618000
19/03/1992,1.62,1.65,1.6,1.64,1.45,984000
20/03/1992,1.61,1.66,1.61,1.66,1.47,260400
23/03/1992,1.67,1.7,1.67,1.67,1.48,658800
24/03/1992,1.67,1.74,1.67,1.71,1.52,230400
25/03/1992,1.7,1.73,1.7,1.72,1.53,388800
26/03/1992,1.71,1.72,1.71,1.71,1.52,116400
27/03/1992,1.71,1.71,1.7,1.7,1.51,219600
30/03/1992,1.7,1.71,1.69,1.69,1.5,128400
31/03/1992,1.69,1.69,1.68,1.69,1.5,81600
01/04/1992,1.69,1.7,1.67,1.69,1.5,865200
02/04/1992,1.7,1.7,1.68,1.68,1.49,146400
03/04/1992,1.7,1.7,1.67,1.67,1.48,135600
06/04/1992,1.69,1.69,1.64,1.67,1.48,92400
07/04/1992,1.67,1.69,1.67,1.67,1.48,198000
08/04/1992,1.65,1.65,1.59,1.61,1.44,49200
09/04/1992,1.62,1.71,1.6,1.68,1.49,142800
10/04/1992,1.7,1.7,1.69,1.69,1.5,67200
13/04/1992,1.7,1.85,1.7,1.85,1.65,316800
14/04/1992,1.83,1.95,1.81,1.9,1.68,472800
15/04/1992,1.91,1.91,1.86,1.88,1.67,226800
16/04/1992,1.85,1.85,1.79,1.82,1.62,55200
20/04/1992,1.83,1.83,1.67,1.73,1.54,132000
21/04/1992,1.72,1.78,1.72,1.78,1.58,224400
22/04/1992,1.76,1.8,1.75,1.79,1.59,70800
23/04/1992,1.79,1.8,1.77,1.8,1.6,230400
24/04/1992,1.8,1.84,1.8,1.84,1.64,72000
27/04/1992,1.82,1.82,1.82,1.82,1.62,1200
28/04/1992,1.82,1.82,1.81,1.82,1.62,159600
29/04/1992,1.82,1.83,1.81,1.83,1.63,142800
30/04/1992,1.83,1.92,1.83,1.9,1.68,414000
01/05/1992,1.9,1.95,1.88,1.95,1.73,484800
04/05/1992,1.94,1.95,1.92,1.95,1.73,159600
05/05/1992,1.95,1.95,1.95,1.95,1.73,0
06/05/1992,2.08,2.08,2.02,2.02,1.8,187200
07/05/1992,2.02,2.03,2.02,2.02,1.8,406800
08/05/1992,2.02,2.02,2.0,2.02,1.8,24000
11/05/1992,2.0,2.02,2.0,2.0,1.78,189600
12/05/1992,2.0,2.01,2.0,2.01,1.79,260400
13/05/1992,2.02,2.02,1.98,1.98,1.76,292800
14/05/1992,2.0,2.04,1.98,2.02,1.8,822000
15/05/1992,2.04,2.04,1.98,2.01,1.79,448800
18/05/1992,2.0,2.01,1.98,2.01,1.79,34800
19/05/1992,2.01,2.01,1.98,2.0,1.78,292800
20/05/1992,2.0,2.01,1.98,2.01,1.79,721200
21/05/1992,1.99,2.01,1.98,2.01,1.79,183600
22/05/1992,2.0,2.01,1.98,2.01,1.79,1551600
26/05/1992,2.0,2.0,1.98,1.99,1.77,474000
27/05/1992,1.98,1.98,1.98,1.98,1.76,171600
28/05/1992,1.98,1.98,1.85,1.9,1.68,513600
29/05/1992,1.9,1.94,1.9,1.94,1.72,681600
01/06/1992,1.9,1.94,1.9,1.94,1.72,280800
02/06/1992,1.94,1.94,1.9,1.94,1.72,85200
03/06/1992,1.92,1.98,1.92,1.98,1.76,978000
04/06/1992,1.98,2.0,1.96,2.0,1.78,688800
05/06/1992,2.0,2.0,1.96,2.0,1.78,853200
08/06/1992,2.0,2.04,1.99,2.02,1.8,955200
09/06/1992,2.02,2.02,1.96,1.98,1.76,783600
10/06/1992,2.0,2.02,1.98,2.0,1.78,1491600
11/06/1992,2.02,2.02,2.0,2.01,1.79,668400
12/06/1992,2.02,2.02,2.0,2.0,1.78,439200
15/06/1992,2.02,2.02,1.98,1.98,1.76,1444800
16/06/1992,2.0,2.0,1.98,1.98,1.76,250800
17/06/1992,1.98,1.98,1.88,1.94,1.72,762000
18/06/1992,1.88,1.94,1.81,1.83,1.63,926400
19/06/1992,1.83,1.88,1.83,1.85,1.65,37200
22/06/1992,1.85,1.85,1.79,1.83,1.63,172800
23/06/1992,1.81,1.81,1.77,1.81,1.61,106800
24/06/1992,1.75,1.75,1.75,1.75,1.56,28800
25/06/1992,1.75,1.75,1.73,1.73,1.54,78000
26/06/1992,1.73,1.77,1.71,1.73,1.54,255600
29/06/1992,1.74,1.83,1.74,1.83,1.63,1275600
30/06/1992,1.83,1.83,1.79,1.83,1.63,337200
01/07/1992,1.81,1.83,1.79,1.79,1.59,114000
02/07/1992,1.83,1.83,1.78,1.78,1.58,117600
06/07/1992,1.77,1.77,1.69,1.73,1.54,853200
07/07/1992,1.73,1.77,1.68,1.71,1.52,202800
08/07/1992,1.73,1.73,1.69,1.73,1.54,115200
09/07/1992,1.67,1.73,1.67,1.72,1.53,543600
10/07/1992,1.73,1.73,1.71,1.71,1.52,345600
13/07/1992,1.69,1.73,1.69,1.71,1.52,1306800
14/07/1992,1.69,1.71,1.69,1.7,1.51,3024000
15/07/1992,1.71,1.71,1.69,1.7,1.51,128400
16/07/1992,1.69,1.71,1.69,1.71,1.52,18000
17/07/1992,1.71,1.71,1.69,1.69,1.5,117600
20/07/1992,1.71,1.75,1.69,1.73,1.54,234000
21/07/1992,1.81,1.84,1.78,1.83,1.62,167200
22/07/1992,1.84,1.84,1.78,1.8,1.6,18400
23/07/1992,1.81,1.81,1.81,1.81,1.61,3200
24/07/1992,1.81,1.81,1.78,1.78,1.58,53600
27/07/1992,1.81,1.81,1.78,1.78,1.58,204800
28/07/1992,1.78,1.81,1.75,1.78,1.58,656800
29/07/1992,1.81,1.84,1.75,1.81,1.61,307200
30/07/1992,1.84,1.84,1.78,1.78,1.58,77600
31/07/1992,1.81,1.81,1.77,1.81,1.61,27200
03/08/1992,1.75,1.81,1.75,1.81,1.61,165600
04/08/1992,1.81,1.81,1.81,1.81,1.61,117600
05/08/1992,1.81,1.88,1.78,1.88,1.67,443200
06/08/1992,1.88,1.88,1.81,1.84,1.64,69600
07/08/1992,1.81,1.84,1.81,1.83,1.62,367200
10/08/1992,1.81,1.83,1.81,1.81,1.61,64800
11/08/1992,1.78,1.81,1.72,1.72,1.53,528000
12/08/1992,1.69,1.72,1.69,1.72,1.53,56800
13/08/1992,1.72,1.72,1.72,1.72,1.53,0
14/08/1992,1.75,1.75,1.69,1.75,1.56,5600
17/08/1992,1.72,1.72,1.69,1.69,1.5,24800
18/08/1992,1.7,1.75,1.69,1.72,1.53,115200
19/08/1992,1.69,1.72,1.69,1.72,1.53,629600
20/08/1992,1.72,1.72,1.72,1.72,1.53,66400
21/08/1992,1.75,1.75,1.69,1.69,1.5,212800
24/08/1992,1.69,1.72,1.69,1.69,1.5,110400
25/08/1992,1.72,1.72,1.62,1.72,1.53,639200
26/08/1992,1.66,1.69,1.64,1.66,1.47,251200
27/08/1992,1.62,1.69,1.62,1.66,1.47,64800
28/08/1992,1.62,1.69,1.62,1.69,1.5,20800
31/08/1992,1.64,1.69,1.62,1.69,1.5,561600
01/09/1992,1.64,1.69,1.62,1.66,1.47,176000
02/09/1992,1.62,1.69,1.62,1.62,1.44,118400
03/09/1992,1.69,1.69,1.62,1.62,1.44,234400
04/09/1992,1.62,1.66,1.62,1.62,1.44,319200
08/09/1992,1.62,1.62,1.53,1.62,1.44,397600
09/09/1992,1.56,1.62,1.53,1.62,1.44,134400
10/09/1992,1.56,1.72,1.56,1.72,1.53,1401600
11/09/1992,1.72,1.72,1.62,1.67,1.49,398400
14/09/1992,1.66,1.72,1.66,1.72,1.53,169600
15/09/1992,1.66,1.72,1.66,1.72,1.53,1226400
16/09/1992,1.62,1.69,1.62,1.66,1.47,388800
17/09/1992,1.66,1.67,1.61,1.66,1.47,1022400
18/09/1992,1.59,1.62,1.56,1.61,1.43,324800
21/09/1992,1.56,1.62,1.5,1.62,1.44,1413600
22/09/1992,1.55,1.59,1.53,1.56,1.39,476000
23/09/1992,1.53,1.62,1.53,1.62,1.44,941600
24/09/1992,1.62,1.66,1.58,1.62,1.44,626400
25/09/1992,1.59,1.66,1.59,1.62,1.44,666400
28/09/1992,1.59,1.62,1.59,1.59,1.42,136800
29/09/1992,1.56,1.62,1.56,1.56,1.39,403200
30/09/1992,1.62,1.62,1.53,1.53,1.36,429600
01/10/1992,1.53,1.59,1.53,1.55,1.37,1384000
02/10/1992,1.62,1.62,1.47,1.53,1.36,564000
05/10/1992,1.47,1.47,1.36,1.41,1.25,792000
06/10/1992,1.34,1.47,1.34,1.44,1.28,644000
07/10/1992,1.44,1.5,1.44,1.5,1.33,48800
08/10/1992,1.5,1.59,1.47,1.56,1.39,3263200
09/10/1992,1.59,1.61,1.56,1.59,1.42,128000
12/10/1992,1.56,1.62,1.56,1.62,1.44,76800
13/10/1992,1.62,1.62,1.56,1.62,1.44,176000
14/10/1992,1.53,1.59,1.53,1.59,1.42,1211200
15/10/1992,1.59,1.59,1.5,1.53,1.36,71200
16/10/1992,1.59,1.59,1.53,1.53,1.36,299200
19/10/1992,1.55,1.66,1.53,1.66,1.47,676800
20/10/1992,1.66,1.66,1.62,1.62,1.44,28000
21/10/1992,1.62,1.62,1.62,1.62,1.44,15200
22/10/1992,1.62,1.66,1.62,1.66,1.47,128000
23/10/1992,1.61,1.66,1.61,1.62,1.44,40800
26/10/1992,1.66,1.69,1.62,1.69,1.5,109600
27/10/1992,1.67,1.69,1.62,1.69,1.5,99200
28/10/1992,1.69,1.78,1.66,1.78,1.58,311200
29/10/1992,1.78,1.78,1.72,1.78,1.58,22400
30/10/1992,1.72,1.78,1.72,1.78,1.58,761600
02/11/1992,1.78,1.88,1.75,1.8,1.6,859200
03/11/1992,1.78,1.84,1.72,1.78,1.58,532000
