Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,19.38,19.94,19.25,19.88,7.98,97400
03/01/1990,20.0,20.0,19.0,19.12,7.68,97000
04/01/1990,19.06,19.25,19.0,19.12,7.68,158400
05/01/1990,19.06,19.12,18.75,18.88,7.58,59200
08/01/1990,19.0,19.06,18.88,19.0,7.63,54600
09/01/1990,19.06,19.06,18.81,18.88,7.58,136000
10/01/1990,18.88,19.06,18.75,19.0,7.63,59800
11/01/1990,18.88,19.06,18.81,18.88,7.58,35000
12/01/1990,19.0,19.0,18.75,18.94,7.6,99000
15/01/1990,18.81,18.94,18.75,18.94,7.6,66600
16/01/1990,18.94,18.94,18.44,18.56,7.45,98200
17/01/1990,18.5,18.62,18.38,18.44,7.4,58000
18/01/1990,18.38,18.44,18.0,18.38,7.38,69200
19/01/1990,18.38,18.38,18.06,18.12,7.27,84800
22/01/1990,18.19,18.19,17.5,17.5,7.02,60000
23/01/1990,17.62,17.62,17.12,17.31,6.95,52600
24/01/1990,17.19,17.19,16.69,17.12,6.87,73000
25/01/1990,17.25,17.38,17.0,17.0,6.82,60200
26/01/1990,17.0,17.12,16.62,17.0,6.82,71400
29/01/1990,17.12,17.12,16.44,16.88,6.77,62600
30/01/1990,16.75,16.81,16.38,16.75,6.72,62800
31/01/1990,16.88,17.5,16.56,17.5,7.02,119000
01/02/1990,17.38,17.62,17.38,17.44,7.0,46800
02/02/1990,17.38,17.5,17.31,17.38,6.97,390800
05/02/1990,17.38,17.56,17.31,17.5,7.02,40400
06/02/1990,17.62,17.62,17.5,17.5,7.02,74000
07/02/1990,17.44,17.75,17.38,17.75,7.12,70400
08/02/1990,17.75,17.88,17.62,17.62,7.07,42600
09/02/1990,17.75,17.75,17.5,17.75,7.12,40800
12/02/1990,17.62,17.62,17.38,17.5,7.02,239200
13/02/1990,17.38,17.44,17.25,17.44,7.0,42000
14/02/1990,17.44,17.5,17.38,17.5,7.02,31200
15/02/1990,17.44,17.56,17.44,17.5,7.02,141000
16/02/1990,17.5,17.62,17.5,17.62,7.07,31800
20/02/1990,17.5,17.5,17.31,17.38,6.97,57400
21/02/1990,17.31,17.69,17.25,17.69,7.1,52000
22/02/1990,17.81,18.0,17.5,17.5,7.02,78600
23/02/1990,17.5,17.69,17.25,17.62,7.07,60200
26/02/1990,17.62,17.75,17.56,17.75,7.12,108000
27/02/1990,17.62,18.0,17.5,17.94,7.2,86000
28/02/1990,17.81,18.12,17.75,17.88,7.17,146200
01/03/1990,17.88,17.94,17.81,17.88,7.17,62800
02/03/1990,17.94,17.94,17.75,17.81,7.15,614400
05/03/1990,17.81,17.81,17.56,17.62,7.07,152400
06/03/1990,17.56,17.81,17.5,17.81,7.2,217200
07/03/1990,17.75,17.94,17.69,17.81,7.2,219200
08/03/1990,17.94,18.0,17.75,18.0,7.28,78400
09/03/1990,17.88,18.0,17.69,17.94,7.26,59000
12/03/1990,17.81,18.19,17.75,18.19,7.36,171800
13/03/1990,18.06,18.19,17.81,17.88,7.23,66600
14/03/1990,17.81,18.19,17.81,18.0,7.28,50400
15/03/1990,18.0,18.19,17.94,18.12,7.33,20400
16/03/1990,18.25,18.25,17.81,18.19,7.36,114200
19/03/1990,18.06,18.19,17.94,18.06,7.31,56400
20/03/1990,18.0,18.12,17.88,17.94,7.26,65800
21/03/1990,17.94,17.94,17.81,17.81,7.2,36400
22/03/1990,17.75,17.81,17.69,17.75,7.18,39000
23/03/1990,17.69,17.69,17.44,17.44,7.05,95400
26/03/1990,17.56,17.62,17.5,17.5,7.08,86800
27/03/1990,17.62,17.81,17.5,17.81,7.2,171000
28/03/1990,18.06,18.25,17.81,18.0,7.28,76800
29/03/1990,18.12,18.12,17.75,17.81,7.2,76000
30/03/1990,17.88,17.94,17.81,17.94,7.26,84400
02/04/1990,17.88,17.94,17.75,17.81,7.2,173400
03/04/1990,17.81,18.38,17.81,18.31,7.41,79400
04/04/1990,18.0,18.0,17.06,17.25,6.98,429800
05/04/1990,17.25,17.25,16.62,16.62,6.72,314200
06/04/1990,16.69,16.81,16.5,16.81,6.8,146400
09/04/1990,16.81,17.25,16.81,17.12,6.93,139000
10/04/1990,17.25,17.5,17.0,17.25,6.98,102800
11/04/1990,17.25,17.44,17.19,17.19,6.95,20800
12/04/1990,17.19,17.38,17.12,17.38,7.03,53000
16/04/1990,17.38,17.38,17.25,17.25,6.98,75800
17/04/1990,17.25,17.25,17.06,17.06,6.9,76800
18/04/1990,17.12,17.12,16.94,16.94,6.85,99400
19/04/1990,16.94,17.0,16.81,17.0,6.88,37800
20/04/1990,16.94,17.0,16.62,16.62,6.72,82000
23/04/1990,16.5,16.56,16.12,16.44,6.65,128600
24/04/1990,16.5,16.62,16.25,16.25,6.57,191600
25/04/1990,16.31,16.44,16.31,16.38,6.62,121800
26/04/1990,16.62,16.62,16.44,16.44,6.65,132000
27/04/1990,16.5,16.5,16.12,16.12,6.52,324200
30/04/1990,16.12,16.44,16.06,16.31,6.6,74800
01/05/1990,16.31,16.69,16.31,16.56,6.7,151800
02/05/1990,16.5,16.56,16.38,16.38,6.62,83400
03/05/1990,16.44,16.44,16.12,16.12,6.52,102600
04/05/1990,16.12,16.38,16.12,16.38,6.62,55600
07/05/1990,16.31,16.38,16.0,16.0,6.47,82600
08/05/1990,16.0,16.12,16.0,16.12,6.52,133400
09/05/1990,16.06,16.62,16.06,16.62,6.72,64400
10/05/1990,16.75,16.75,16.44,16.44,6.65,52800
11/05/1990,16.44,16.75,16.44,16.75,6.77,145400
14/05/1990,16.75,17.31,16.75,17.31,7.0,129000
15/05/1990,17.31,17.62,17.25,17.56,7.1,82200
16/05/1990,17.5,17.5,17.19,17.38,7.03,55800
17/05/1990,17.44,17.44,17.19,17.19,6.95,37600
18/05/1990,17.19,17.19,17.06,17.19,6.95,38200
21/05/1990,17.19,17.25,17.0,17.25,6.98,516800
22/05/1990,17.25,17.38,16.94,17.06,6.9,122200
23/05/1990,17.06,17.19,16.81,17.19,6.95,140800
24/05/1990,17.19,17.19,16.88,16.88,6.83,167600
25/05/1990,16.88,16.94,16.62,16.75,6.77,43600
29/05/1990,16.75,17.38,16.75,17.38,7.03,59600
30/05/1990,17.31,17.31,16.94,17.19,6.95,88400
31/05/1990,17.06,17.31,17.06,17.12,6.93,229800
01/06/1990,17.12,17.44,17.06,17.31,7.0,61200
04/06/1990,17.31,17.62,17.31,17.62,7.13,140600
05/06/1990,17.44,17.5,17.25,17.38,7.08,258200
06/06/1990,17.25,17.38,17.12,17.31,7.06,94800
07/06/1990,17.44,17.44,17.12,17.12,6.98,165200
08/06/1990,17.25,17.25,17.12,17.12,6.98,47000
11/06/1990,17.12,17.5,17.12,17.5,7.13,212800
12/06/1990,17.5,17.5,17.19,17.44,7.11,219600
13/06/1990,17.5,17.5,17.19,17.31,7.06,116600
14/06/1990,17.25,17.44,17.25,17.44,7.11,68000
15/06/1990,17.19,17.38,17.12,17.38,7.08,200400
18/06/1990,17.38,17.38,17.12,17.25,7.03,54800
19/06/1990,17.19,17.25,17.0,17.12,6.98,196600
20/06/1990,17.19,17.19,16.94,17.0,6.93,319000
21/06/1990,16.88,17.06,16.88,17.0,6.93,32400
22/06/1990,16.94,17.12,16.94,16.94,6.9,131400
25/06/1990,16.88,16.94,16.75,16.88,6.88,47000
26/06/1990,16.94,17.19,16.94,17.0,6.93,215800
27/06/1990,17.12,17.44,17.06,17.19,7.01,58200
28/06/1990,17.12,17.38,17.12,17.31,7.06,39000
29/06/1990,17.25,17.31,17.12,17.25,7.03,71800
02/07/1990,17.31,17.44,17.12,17.31,7.06,45400
03/07/1990,17.44,17.69,17.31,17.56,7.16,115000
05/07/1990,17.44,17.44,16.94,17.0,6.93,67600
06/07/1990,17.0,17.31,17.0,17.12,6.98,25400
09/07/1990,17.19,17.19,16.94,17.19,7.01,24200
10/07/1990,17.12,17.19,16.94,17.0,6.93,62600
11/07/1990,17.12,17.25,17.0,17.06,6.95,46200
12/07/1990,17.06,17.5,17.06,17.5,7.13,45200
13/07/1990,17.62,17.81,17.31,17.31,7.06,49000
16/07/1990,17.38,17.5,17.25,17.31,7.06,52600
17/07/1990,17.31,17.44,17.31,17.44,7.11,48800
18/07/1990,17.38,17.44,17.25,17.44,7.11,47800
19/07/1990,17.38,17.44,17.19,17.38,7.08,32800
20/07/1990,17.25,17.44,17.25,17.31,7.06,40400
23/07/1990,17.31,17.5,17.25,17.44,7.11,70200
24/07/1990,17.31,17.38,17.0,17.12,6.98,77400
25/07/1990,17.25,17.25,17.06,17.19,7.01,27200
26/07/1990,17.06,17.38,17.0,17.31,7.06,68000
27/07/1990,17.25,17.31,16.94,17.0,6.93,35600
30/07/1990,16.88,17.5,16.81,17.5,7.13,46200
31/07/1990,17.38,17.94,17.31,17.62,7.18,118800
