Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.12,1.17,1.12,1.17,0.99,9900
03/01/1990,1.17,1.17,1.08,1.12,0.96,26100
04/01/1990,1.12,1.12,1.08,1.12,0.96,16200
05/01/1990,1.17,1.17,1.17,1.17,0.99,6000
08/01/1990,1.17,1.17,1.17,1.17,0.99,17400
09/01/1990,1.21,1.25,1.21,1.21,1.03,11400
10/01/1990,1.21,1.21,1.21,1.21,1.03,17400
11/01/1990,1.21,1.21,1.17,1.21,1.03,2400
12/01/1990,1.17,1.17,1.17,1.17,0.99,66900
15/01/1990,1.17,1.17,1.17,1.17,0.99,17700
16/01/1990,1.17,1.17,1.12,1.12,0.96,2100
17/01/1990,1.12,1.12,1.12,1.12,0.96,1500
18/01/1990,1.12,1.17,1.08,1.08,0.92,6000
19/01/1990,1.08,1.12,1.08,1.12,0.96,16800
22/01/1990,1.12,1.12,1.08,1.08,0.92,15600
23/01/1990,1.08,1.08,1.08,1.08,0.92,7500
24/01/1990,1.08,1.08,1.04,1.08,0.92,6000
25/01/1990,1.08,1.08,1.04,1.08,0.92,22200
26/01/1990,1.08,1.08,1.04,1.04,0.89,36000
29/01/1990,1.04,1.04,1.04,1.04,0.89,13500
30/01/1990,1.04,1.04,1.04,1.04,0.89,53400
31/01/1990,1.04,1.04,0.96,0.96,0.82,13200
01/02/1990,0.96,1.0,0.96,1.0,0.85,23100
02/02/1990,1.0,1.12,1.0,1.08,0.92,24600
05/02/1990,1.08,1.08,1.08,1.08,0.92,0
06/02/1990,1.08,1.08,1.08,1.08,0.92,0
07/02/1990,1.04,1.04,0.96,1.0,0.85,21300
08/02/1990,1.0,1.0,0.96,1.0,0.85,28200
09/02/1990,1.0,1.0,0.96,1.0,0.85,12900
12/02/1990,1.0,1.0,0.96,1.0,0.85,31800
13/02/1990,1.0,1.0,1.0,1.0,0.85,15900
14/02/1990,1.0,1.0,0.96,1.0,0.85,4500
15/02/1990,1.0,1.0,0.96,0.96,0.82,15000
16/02/1990,0.96,1.0,0.96,1.0,0.85,7500
20/02/1990,1.0,1.0,1.0,1.0,0.85,3600
21/02/1990,1.0,1.0,0.96,1.0,0.85,1500
22/02/1990,0.96,0.96,0.92,0.92,0.78,2700
23/02/1990,0.92,0.92,0.92,0.92,0.78,19500
26/02/1990,0.88,0.88,0.79,0.79,0.67,77700
27/02/1990,0.83,0.83,0.83,0.83,0.71,9600
28/02/1990,0.88,0.88,0.88,0.88,0.74,4200
01/03/1990,0.88,0.88,0.83,0.88,0.74,25500
02/03/1990,0.88,0.88,0.83,0.88,0.74,34500
05/03/1990,0.88,0.92,0.83,0.92,0.78,12900
06/03/1990,0.92,0.92,0.88,0.88,0.74,10800
07/03/1990,0.88,0.96,0.88,0.96,0.82,23100
