Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.92,4.09,3.92,4.09,1.95,1480000
03/01/1990,4.12,4.14,3.92,3.98,1.9,2176800
04/01/1990,3.97,3.98,3.89,3.91,1.86,1254400
05/01/1990,3.92,3.92,3.86,3.91,1.86,1961600
08/01/1990,3.89,3.91,3.88,3.88,1.85,1448000
09/01/1990,3.88,3.91,3.83,3.83,1.82,1717600
10/01/1990,3.81,3.84,3.78,3.81,1.82,1056000
11/01/1990,3.81,3.81,3.78,3.81,1.82,535200
12/01/1990,3.78,3.78,3.67,3.72,1.77,916000
15/01/1990,3.66,3.69,3.61,3.66,1.74,659200
16/01/1990,3.61,3.62,3.52,3.62,1.73,1732800
17/01/1990,3.64,3.69,3.56,3.59,1.71,1421600
18/01/1990,3.56,3.62,3.52,3.59,1.71,2292800
19/01/1990,3.61,3.66,3.61,3.62,1.73,835200
22/01/1990,3.64,3.66,3.62,3.62,1.73,896000
23/01/1990,3.64,3.66,3.62,3.64,1.74,1000000
24/01/1990,3.58,3.61,3.5,3.59,1.72,1004800
25/01/1990,3.62,3.62,3.53,3.55,1.69,936000
26/01/1990,3.58,3.64,3.53,3.61,1.72,753600
29/01/1990,3.64,3.66,3.61,3.66,1.75,884800
30/01/1990,3.66,3.67,3.53,3.53,1.69,882400
31/01/1990,3.56,3.59,3.53,3.59,1.72,524000
01/02/1990,3.61,3.62,3.56,3.58,1.71,457600
02/02/1990,3.56,3.59,3.53,3.55,1.69,2262400
05/02/1990,3.52,3.53,3.48,3.53,1.69,883200
06/02/1990,3.53,3.53,3.48,3.52,1.68,468000
07/02/1990,3.52,3.53,3.47,3.52,1.68,1128000
08/02/1990,3.5,3.58,3.48,3.5,1.67,1403200
09/02/1990,3.53,3.53,3.48,3.53,1.69,1898400
12/02/1990,3.5,3.53,3.45,3.47,1.66,955200
13/02/1990,3.47,3.47,3.41,3.44,1.64,1448800
14/02/1990,3.45,3.52,3.44,3.52,1.68,575200
15/02/1990,3.53,3.55,3.42,3.44,1.64,1041600
16/02/1990,3.44,3.48,3.44,3.47,1.66,912000
20/02/1990,3.41,3.42,3.36,3.42,1.63,1124800
21/02/1990,3.38,3.39,3.31,3.39,1.62,2441600
22/02/1990,3.39,3.45,3.33,3.36,1.6,1454400
23/02/1990,3.36,3.36,3.2,3.25,1.55,2076000
26/02/1990,3.25,3.41,3.25,3.33,1.59,1005600
27/02/1990,3.34,3.38,3.31,3.36,1.6,786400
28/02/1990,3.38,3.44,3.33,3.38,1.61,1810400
01/03/1990,3.38,3.45,3.34,3.39,1.62,3206400
02/03/1990,3.42,3.45,3.39,3.42,1.63,872000
05/03/1990,3.41,3.42,3.34,3.34,1.6,1030400
06/03/1990,3.34,3.38,3.33,3.33,1.59,3026400
07/03/1990,3.31,3.39,3.31,3.34,1.6,1614400
08/03/1990,3.38,3.44,3.33,3.38,1.61,4304800
09/03/1990,3.38,3.44,3.38,3.44,1.64,1707200
12/03/1990,3.41,3.48,3.39,3.47,1.66,1157600
13/03/1990,3.47,3.52,3.45,3.47,1.66,1924800
14/03/1990,3.47,3.48,3.44,3.44,1.64,1037600
15/03/1990,3.41,3.44,3.39,3.41,1.63,606400
16/03/1990,3.48,3.55,3.47,3.52,1.68,2476000
19/03/1990,3.52,3.59,3.5,3.58,1.71,1228800
20/03/1990,3.59,3.59,3.5,3.52,1.68,2040000
21/03/1990,3.5,3.53,3.5,3.52,1.68,954400
22/03/1990,3.5,3.55,3.48,3.5,1.67,1276800
23/03/1990,3.53,3.55,3.5,3.55,1.69,557600
26/03/1990,3.58,3.66,3.58,3.62,1.73,1599200
27/03/1990,3.66,3.66,3.59,3.64,1.74,780800
28/03/1990,3.62,3.66,3.61,3.62,1.73,1035200
29/03/1990,3.62,3.64,3.59,3.64,1.74,616000
30/03/1990,3.62,3.73,3.59,3.7,1.77,1203200
02/04/1990,3.66,3.7,3.64,3.66,1.75,879200
03/04/1990,3.72,3.75,3.69,3.72,1.78,1090400
04/04/1990,3.73,3.77,3.69,3.77,1.8,1442400
05/04/1990,3.77,3.83,3.75,3.83,1.83,964000
06/04/1990,3.86,3.91,3.81,3.88,1.85,915200
09/04/1990,3.88,3.91,3.86,3.89,1.86,982400
10/04/1990,3.89,3.94,3.86,3.92,1.87,1065600
11/04/1990,3.94,3.98,3.91,3.98,1.9,1692800
12/04/1990,3.97,4.02,3.97,4.0,1.91,1024000
16/04/1990,4.03,4.06,3.98,4.02,1.92,723200
17/04/1990,3.98,4.02,3.97,3.98,1.9,706400
18/04/1990,3.97,4.02,3.97,4.0,1.91,618400
19/04/1990,4.0,4.05,3.88,3.88,1.85,1544000
20/04/1990,3.88,3.88,3.77,3.78,1.81,932000
23/04/1990,3.78,3.78,3.66,3.67,1.76,694400
24/04/1990,3.69,3.7,3.66,3.67,1.76,565600
25/04/1990,3.69,3.72,3.64,3.67,1.76,1619200
26/04/1990,3.67,3.72,3.67,3.7,1.77,2418400
27/04/1990,3.67,3.7,3.67,3.69,1.76,3144800
30/04/1990,3.7,3.8,3.69,3.8,1.82,991200
01/05/1990,3.81,3.88,3.72,3.75,1.79,1251200
02/05/1990,3.73,3.84,3.69,3.84,1.84,1521600
03/05/1990,3.94,3.98,3.94,3.95,1.89,1735200
04/05/1990,4.0,4.0,3.95,3.98,1.91,589600
07/05/1990,3.98,4.06,3.98,4.02,1.92,650400
08/05/1990,4.02,4.09,4.0,4.06,1.94,1168800
09/05/1990,4.08,4.17,4.08,4.09,1.96,1336000
10/05/1990,4.08,4.11,4.02,4.09,1.96,2124000
11/05/1990,4.11,4.41,4.09,4.2,2.01,4175200
14/05/1990,4.22,4.31,4.22,4.23,2.03,1741600
15/05/1990,4.23,4.33,4.22,4.33,2.07,1454400
16/05/1990,4.3,4.33,4.28,4.31,2.06,2388800
17/05/1990,4.33,4.33,4.27,4.28,2.05,692800
18/05/1990,4.3,4.3,4.2,4.22,2.02,1340800
21/05/1990,4.22,4.41,4.17,4.34,2.08,2492000
22/05/1990,4.38,4.44,4.25,4.27,2.04,1676000
23/05/1990,4.31,4.34,4.28,4.3,2.06,1688000
24/05/1990,4.3,4.34,4.3,4.33,2.07,528800
25/05/1990,4.34,4.38,4.33,4.34,2.08,509600
29/05/1990,4.34,4.38,4.3,4.38,2.09,692800
30/05/1990,4.36,4.41,4.34,4.34,2.08,1125600
31/05/1990,4.31,4.34,4.3,4.3,2.06,1132000
01/06/1990,4.33,4.36,4.31,4.34,2.08,1179200
04/06/1990,4.33,4.34,4.31,4.34,2.08,626400
05/06/1990,4.34,4.38,4.33,4.34,2.08,1057600
06/06/1990,4.34,4.38,4.33,4.36,2.08,390400
07/06/1990,4.38,4.39,4.31,4.34,2.08,627200
08/06/1990,4.34,4.34,4.25,4.25,2.03,568800
11/06/1990,4.25,4.31,4.25,4.27,2.04,686400
12/06/1990,4.3,4.42,4.25,4.38,2.09,792000
