Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,11.94,12.23,11.94,12.23,1.47,3622994
03/01/1990,12.2,12.23,11.92,12.01,1.45,3306822
04/01/1990,11.85,11.85,11.33,11.75,1.44,3264454
05/01/1990,11.57,11.57,11.12,11.19,1.37,3073269
08/01/1990,11.19,11.45,11.05,11.38,1.39,2713670
09/01/1990,11.31,11.33,11.07,11.12,1.36,1850422
10/01/1990,11.09,11.09,10.69,10.81,1.32,3137350
11/01/1990,10.88,10.98,10.81,10.9,1.33,2579682
12/01/1990,10.79,10.79,10.43,10.57,1.29,2915448
15/01/1990,10.53,10.55,10.39,10.41,1.27,1604688
16/01/1990,10.27,10.62,10.15,10.62,1.3,3398973
17/01/1990,10.62,10.64,10.27,10.34,1.26,1997122
18/01/1990,10.24,10.55,10.24,10.53,1.29,2875728
19/01/1990,10.57,10.72,10.57,10.57,1.29,3045200
22/01/1990,10.6,10.62,10.2,10.27,1.25,2140114
23/01/1990,10.29,10.34,10.08,10.34,1.26,2288402
24/01/1990,10.34,10.46,9.89,10.41,1.27,2207373
25/01/1990,10.41,10.43,10.08,10.08,1.23,2422920
26/01/1990,10.05,10.17,9.84,9.98,1.22,3454581
29/01/1990,10.01,10.03,9.84,9.96,1.22,1790578
30/01/1990,9.98,9.98,9.58,9.87,1.2,2362546
31/01/1990,9.89,9.98,9.87,9.98,1.22,1739736
01/02/1990,10.03,10.15,10.01,10.15,1.24,2339243
02/02/1990,10.1,10.31,10.05,10.27,1.25,1813880
05/02/1990,10.27,10.43,10.2,10.41,1.27,2509245
06/02/1990,10.39,10.39,10.03,10.13,1.24,1850422
07/02/1990,9.98,10.22,9.87,10.2,1.25,1782104
08/02/1990,10.24,10.24,9.75,9.82,1.2,1725437
09/02/1990,9.98,10.03,9.84,10.01,1.22,2353542
12/02/1990,10.01,10.05,9.89,9.91,1.21,1391259
13/02/1990,9.96,10.03,9.82,10.01,1.22,1278984
14/02/1990,10.08,10.15,10.01,10.05,1.23,1735499
15/02/1990,10.03,10.34,10.03,10.29,1.26,1518363
16/02/1990,10.24,10.43,10.2,10.24,1.25,2648530
20/02/1990,10.15,10.15,9.94,10.01,1.22,1716434
21/02/1990,9.84,9.98,9.82,9.94,1.21,3200373
22/02/1990,9.98,10.27,9.91,9.94,1.21,2391144
23/02/1990,9.89,10.08,9.87,10.01,1.22,1872666
26/02/1990,9.98,10.13,9.91,10.13,1.24,1971701
27/02/1990,10.17,10.39,10.17,10.34,1.26,2184070
28/02/1990,10.29,10.43,10.29,10.34,1.26,1811232
01/03/1990,10.29,10.64,10.29,10.57,1.29,1802758
02/03/1990,10.67,10.86,10.64,10.81,1.32,1721730
05/03/1990,10.81,10.95,10.69,10.76,1.31,3122522
06/03/1990,10.74,10.88,10.72,10.88,1.33,1757742
07/03/1990,10.88,10.93,10.72,10.76,1.31,1342006
08/03/1990,10.79,10.93,10.76,10.9,1.33,1304405
09/03/1990,10.86,10.88,10.64,10.76,1.31,1817058
12/03/1990,10.69,10.79,10.67,10.74,1.31,1575030
13/03/1990,10.72,10.72,10.55,10.64,1.3,1298579
14/03/1990,10.62,10.62,10.48,10.48,1.28,2089272
15/03/1990,10.53,10.55,10.46,10.5,1.28,1127518
16/03/1990,10.62,10.62,10.5,10.55,1.29,2586037
19/03/1990,10.39,10.64,10.36,10.57,1.29,1058141
20/03/1990,10.53,10.57,10.41,10.46,1.28,1057611
21/03/1990,10.5,10.53,10.36,10.39,1.27,743558
22/03/1990,10.34,10.36,10.2,10.31,1.26,1493472
23/03/1990,10.31,10.46,10.27,10.39,1.27,1351539
26/03/1990,10.43,10.55,10.31,10.31,1.26,793341
27/03/1990,10.31,10.55,10.31,10.53,1.29,1049667
28/03/1990,10.5,10.64,10.5,10.64,1.3,1155587
29/03/1990,10.62,10.72,10.5,10.72,1.31,1108453
30/03/1990,10.67,10.79,10.48,10.67,1.3,2871491
02/04/1990,10.6,10.76,10.57,10.72,1.31,1043842
03/04/1990,10.72,11.02,10.69,10.93,1.33,3036197
04/04/1990,10.79,10.79,10.6,10.62,1.32,2834419
05/04/1990,10.64,10.74,10.6,10.74,1.33,3006539
06/04/1990,10.72,10.81,10.64,10.79,1.34,1379608
09/04/1990,10.79,10.88,10.76,10.88,1.35,1203251
10/04/1990,10.86,10.98,10.83,10.98,1.36,1752976
11/04/1990,10.95,11.02,10.88,10.98,1.36,965990
12/04/1990,10.98,11.12,10.95,11.09,1.38,1439453
16/04/1990,11.09,11.23,11.05,11.12,1.38,1768334
17/04/1990,11.02,11.07,10.95,10.98,1.36,1045960
18/04/1990,11.02,11.02,10.69,10.74,1.33,1529485
19/04/1990,10.67,10.76,10.57,10.57,1.31,2059614
20/04/1990,10.53,10.55,10.29,10.39,1.29,3995302
23/04/1990,10.36,10.41,10.22,10.27,1.27,2081858
24/04/1990,10.27,10.36,10.05,10.2,1.27,1790578
25/04/1990,10.2,10.34,10.2,10.31,1.28,1614221
26/04/1990,10.36,10.43,10.22,10.22,1.27,1031131
27/04/1990,10.24,10.27,10.13,10.15,1.26,1482350
30/04/1990,10.2,10.34,10.15,10.31,1.28,836238
